calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.4,13.2,0.9,0.0,8.7,,,,1.5,,,,,
2016-01-02,6.0,14.8,-0.2,0.0,7.4,,,,1.1,,,,,
2016-01-03,7.5,16.2,-0.5,0.0,7.5,,,,0.8,,,,,
2016-01-04,7.8,17.3,0.5,0.0,8.7,,,,0.9,,,,,
2016-01-05,8.7,15.8,0.9,0.0,7.6,,,,1.2,,,,,
2016-01-06,8.3,11.2,5.1,0.0,0.0,,,,1.6,,,,,
2016-01-07,8.2,14.1,3.0,0.0,4.7,,,,1.7,,,,,
2016-01-08,5.6,11.2,0.0,0.0,8.8,,,,1.5,,,,,
2016-01-09,5.4,12.1,-0.6,0.0,8.9,,,,1.4,,,,,
2016-01-10,6.3,13.1,-1.0,0.0,8.9,,,,1.6,,,,,
2016-01-11,5.3,10.8,-1.1,0.0,2.1,,,,1.2,,,,,
2016-01-12,3.4,7.2,0.3,0.0,0.0,,,,2.3,,,,,
2016-01-13,3.1,10.7,-2.9,0.0,7.6,,,,1.0,,,,,
2016-01-14,4.0,12.1,-3.3,0.0,9.0,,,,1.1,,,,,
2016-01-15,5.7,10.9,1.5,0.0,6.1,,,,1.9,,,,,
2016-01-16,6.5,12.3,0.6,0.0,8.2,,,,1.6,,,,,
2016-01-17,5.3,8.4,1.8,4.0,1.4,,,,2.4,,,,,
2016-01-18,4.2,8.9,0.4,50.5,0.0,,,,3.8,,,,,
2016-01-19,5.1,9.0,1.6,0.0,9.2,,,,3.5,,,,,
2016-01-20,3.9,11.7,-0.9,0.0,7.9,,,,2.0,,,,,
2016-01-21,3.9,9.7,-3.6,0.0,5.6,,,,1.6,,,,,
2016-01-22,5.2,11.4,0.9,0.0,7.1,,,,1.6,,,,,
2016-01-23,3.9,7.4,-0.1,0.0,0.8,,,,1.5,,,,,
2016-01-24,1.5,7.4,-4.7,0.0,7.5,,,,1.5,,,,,
2016-01-25,0.2,8.5,-7.1,0.0,9.3,,,,1.0,,,,,
2016-01-26,2.7,9.7,-4.2,0.0,8.0,,,,1.6,,,,,
2016-01-27,4.1,12.6,-4.0,0.0,9.2,,,,1.3,,,,,
2016-01-28,5.6,14.2,-2.2,0.0,9.3,,,,1.0,,,,,
2016-01-29,5.1,6.7,2.7,22.5,0.0,,,,2.4,,,,,
2016-01-30,3.4,4.7,1.6,4.5,0.0,,,,3.2,,,,,
2016-01-31,5.5,9.2,1.8,0.0,0.2,,,,1.1,,,,,
2016-02-01,4.5,5.4,3.3,0.0,0.0,,,,2.0,,,,,
2016-02-02,5.6,11.4,2.4,0.0,7.6,,,,1.9,,,,,
2016-02-03,4.7,9.3,0.7,0.0,7.0,,,,1.8,,,,,
2016-02-04,4.9,10.3,2.1,0.0,5.6,,,,1.7,,,,,
2016-02-05,5.9,12.8,-1.5,0.0,9.0,,,,1.2,,,,,
2016-02-06,6.7,9.9,2.5,0.0,2.5,,,,2.3,,,,,
2016-02-07,4.3,8.4,0.8,0.0,6.3,,,,2.5,,,,,
2016-02-08,4.0,9.2,0.4,0.0,8.4,,,,2.2,,,,,
