calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.2,12.5,-0.3,0.0,9.1,,,,1.8,,,,,
2016-01-02,6.7,15.1,0.1,0.0,8.6,,,,1.6,,,,,
2016-01-03,8.7,17.7,2.5,0.0,7.4,,,,1.4,,,,,
2016-01-04,8.6,15.9,2.4,0.0,9.1,,,,1.5,,,,,
2016-01-05,9.1,15.2,3.4,0.0,7.8,,,,1.4,,,,,
2016-01-06,8.5,11.4,5.8,0.0,0.6,,,,1.1,,,,,
2016-01-07,8.3,13.8,4.3,0.0,3.7,,,,1.5,,,,,
2016-01-08,5.8,13.2,0.7,0.0,8.2,,,,1.7,,,,,
2016-01-09,5.1,11.6,0.0,0.0,8.9,,,,1.7,,,,,
2016-01-10,6.0,13.2,0.2,0.0,9.2,,,,1.4,,,,,
2016-01-11,5.5,11.0,0.0,0.0,3.6,,,,1.4,,,,,
2016-01-12,4.9,7.6,1.5,0.0,0.0,,,,1.4,,,,,
2016-01-13,4.2,9.6,-1.0,0.0,7.8,,,,1.5,,,,,
2016-01-14,4.9,12.2,-1.6,0.0,8.9,,,,1.7,,,,,
2016-01-15,5.0,10.7,-1.1,0.0,7.0,,,,1.5,,,,,
2016-01-16,6.2,10.5,1.8,0.0,8.6,,,,1.4,,,,,
2016-01-17,5.2,8.8,0.6,6.5,1.4,,,,1.5,,,,,
2016-01-18,6.2,10.0,2.4,36.5,0.0,,,,2.6,,,,,
2016-01-19,5.2,9.6,0.8,0.0,9.5,,,,6.0,,,,,
2016-01-20,4.3,11.3,-1.7,0.0,9.3,,,,2.3,,,,,
2016-01-21,4.5,11.0,-2.1,0.0,6.8,,,,1.5,,,,,
2016-01-22,5.4,10.2,1.8,0.0,5.1,,,,1.2,,,,,
2016-01-23,4.2,7.9,0.4,0.0,1.3,,,,1.0,,,,,
2016-01-24,2.7,7.1,-1.2,0.0,8.6,,,,3.1,,,,,
2016-01-25,2.1,8.7,-4.2,0.0,9.7,,,,1.9,,,,,
2016-01-26,2.3,9.4,-3.6,0.0,9.1,,,,1.7,,,,,
2016-01-27,4.2,12.9,-3.0,0.0,9.6,,,,1.8,,,,,
2016-01-28,5.5,13.2,-0.9,0.0,9.5,,,,1.6,,,,,
2016-01-29,5.4,7.2,3.0,38.5,0.0,,,,1.3,,,,,
2016-01-30,4.2,6.1,2.8,11.0,0.0,,,,1.2,,,,,
2016-01-31,6.0,9.6,2.8,0.0,0.9,,,,1.4,,,,,
2016-02-01,3.9,5.8,1.5,0.0,0.0,,,,1.2,,,,,
2016-02-02,5.1,10.0,2.1,0.5,5.4,,,,1.3,,,,,
2016-02-03,4.3,10.0,-1.1,0.0,6.5,,,,1.3,,,,,
2016-02-04,4.6,8.7,1.8,0.0,4.7,,,,1.4,,,,,
2016-02-05,5.4,12.5,-0.8,0.0,9.2,,,,1.6,,,,,
2016-02-06,6.3,10.3,1.1,0.0,0.8,,,,1.5,,,,,
2016-02-07,4.1,9.0,0.4,0.0,5.3,,,,1.9,,,,,
2016-02-08,3.3,9.1,-1.4,0.0,8.4,,,,1.4,,,,,
2016-02-09,5.9,11.7,-1.5,0.0,9.4,,,,3.1,,,,,
2016-02-10,4.9,11.5,-1.1,0.0,9.9,,,,2.1,,,,,
2016-02-11,4.1,11.2,-1.8,0.0,9.7,,,,1.6,,,,,
2016-02-12,6.1,10.7,-0.4,0.0,0.6,,,,1.2,,,,,
2016-02-13,13.2,21.0,6.6,3.0,6.2,,,,2.1,,,,,
2016-02-14,18.4,22.7,14.7,71.0,3.0,,,,3.3,,,,,
2016-02-15,8.8,18.6,1.4,2.5,2.0,,,,2.4,,,,,
2016-02-16,4.8,10.1,0.2,0.0,9.5,,,,1.9,,,,,
2016-02-17,5.4,12.7,-0.2,0.0,6.9,,,,2.2,,,,,
2016-02-18,4.3,10.8,-1.5,0.0,8.3,,,,1.4,,,,,
2016-02-19,9.9,17.1,1.4,0.0,10.0,,,,2.3,,,,,
2016-02-20,7.4,9.9,5.5,47.5,0.0,,,,1.1,,,,,
2016-02-21,10.1,15.5,5.9,0.0,3.2,,,,1.7,,,,,
2016-02-22,6.6,9.2,3.3,0.0,1.5,,,,1.0,,,,,
2016-02-23,6.9,10.9,3.9,0.0,0.7,,,,1.3,,,,,
2016-02-24,5.7,8.3,3.5,0.0,0.1,,,,1.7,,,,,
2016-02-25,2.9,6.0,0.4,0.5,0.4,,,,1.5,,,,,
2016-02-26,4.4,10.5,-1.4,0.0,9.7,,,,2.0,,,,,
2016-02-27,6.8,12.3,-1.7,0.0,10.0,,,,2.3,,,,,
2016-02-28,8.7,14.4,2.0,5.5,8.8,,,,1.9,,,,,
