calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.9,13.0,0.9,0.0,8.6,,,,2.5,,,,,
2016-01-02,8.2,15.6,2.4,0.0,7.4,,,,2.0,,,,,
2016-01-03,9.6,17.5,2.7,0.0,7.6,,,,2.0,,,,,
2016-01-04,9.7,16.7,4.1,0.0,8.8,,,,1.5,,,,,
2016-01-05,10.8,16.1,4.4,0.0,8.1,,,,2.1,,,,,
2016-01-06,9.4,12.2,7.5,0.0,0.4,,,,2.3,,,,,
2016-01-07,9.3,14.0,5.4,0.0,6.0,,,,2.5,,,,,
2016-01-08,7.4,12.5,2.6,0.0,8.4,,,,2.3,,,,,
2016-01-09,7.2,11.9,2.6,0.0,8.9,,,,2.2,,,,,
2016-01-10,7.8,13.4,2.3,0.0,9.0,,,,2.1,,,,,
2016-01-11,7.3,11.4,3.6,0.0,3.6,,,,2.2,,,,,
2016-01-12,4.5,7.8,2.2,0.0,0.0,,,,3.1,,,,,
2016-01-13,4.6,10.4,-1.4,0.0,8.2,,,,1.6,,,,,
2016-01-14,6.2,12.5,0.0,0.0,8.8,,,,1.9,,,,,
2016-01-15,6.7,11.1,2.8,0.0,6.4,,,,2.6,,,,,
2016-01-16,6.9,12.0,2.7,0.0,9.1,,,,2.1,,,,,
2016-01-17,6.1,9.1,2.2,4.0,2.7,,,,3.0,,,,,
2016-01-18,4.8,11.3,0.7,32.0,0.0,,,,4.5,,,,,
2016-01-19,6.5,11.2,1.9,0.0,9.3,,,,4.2,,,,,
2016-01-20,5.3,12.3,0.8,0.0,7.5,,,,2.6,,,,,
2016-01-21,5.3,11.1,-1.2,0.0,7.4,,,,2.0,,,,,
2016-01-22,6.2,10.8,3.2,0.0,6.8,,,,2.7,,,,,
2016-01-23,4.9,7.5,2.2,0.0,0.1,,,,2.2,,,,,
2016-01-24,3.1,8.6,-2.5,0.0,7.3,,,,2.6,,,,,
2016-01-25,2.7,8.7,-3.7,0.0,9.4,,,,1.8,,,,,
2016-01-26,4.4,10.1,-1.3,0.0,7.7,,,,2.2,,,,,
2016-01-27,5.9,12.8,-1.3,0.0,9.4,,,,1.9,,,,,
2016-01-28,6.8,13.8,-0.2,0.0,9.5,,,,1.8,,,,,
2016-01-29,5.7,7.1,3.1,21.0,0.0,,,,3.3,,,,,
2016-01-30,3.9,5.2,2.1,4.0,0.0,,,,3.7,,,,,
2016-01-31,7.0,11.0,2.9,0.0,0.0,,,,2.1,,,,,
2016-02-01,5.4,6.1,4.3,0.0,0.0,,,,2.7,,,,,
2016-02-02,6.2,11.0,3.2,0.0,6.9,,,,2.6,,,,,
2016-02-03,5.5,9.6,2.9,0.0,7.0,,,,2.9,,,,,
2016-02-04,5.7,10.1,2.5,0.0,6.5,,,,2.1,,,,,
2016-02-05,6.5,11.7,0.1,0.0,9.2,,,,1.7,,,,,
2016-02-06,7.4,10.8,4.5,0.0,3.8,,,,2.8,,,,,
2016-02-07,5.4,9.5,1.9,0.0,8.0,,,,3.3,,,,,
2016-02-08,5.0,10.5,1.2,0.0,9.5,,,,2.4,,,,,
2016-02-09,6.9,12.8,0.9,0.0,9.8,,,,2.5,,,,,
2016-02-10,5.9,12.0,-0.8,0.0,9.9,,,,1.9,,,,,
2016-02-11,6.0,10.8,2.1,0.0,9.4,,,,2.5,,,,,
2016-02-12,7.9,12.6,2.1,0.5,1.5,,,,3.0,,,,,
2016-02-13,14.2,18.2,8.0,0.0,5.7,,,,5.2,,,,,
2016-02-14,17.9,19.8,16.2,36.0,2.2,,,,10.3,,,,,
2016-02-15,9.2,18.0,2.1,1.0,1.5,,,,4.1,,,,,
2016-02-16,6.2,10.6,2.0,0.0,,,,,2.5,,,,,
2016-02-17,6.8,13.2,1.7,0.0,8.4,,,,2.8,,,,,
2016-02-18,6.3,11.8,0.8,0.0,8.3,,,,2.5,,,,,
2016-02-19,11.1,16.7,3.1,0.0,9.9,,,,2.8,,,,,
2016-02-20,8.4,11.0,7.0,32.5,0.2,,,,3.0,,,,,
2016-02-21,10.5,16.8,6.8,0.5,6.1,,,,3.0,,,,,
2016-02-22,7.5,9.5,5.4,0.0,1.3,,,,2.5,,,,,
2016-02-23,8.0,11.9,5.9,0.0,4.1,,,,2.1,,,,,
2016-02-24,6.5,8.5,2.9,0.0,0.4,,,,3.7,,,,,
2016-02-25,4.5,8.7,1.7,0.0,3.6,,,,2.4,,,,,
2016-02-26,5.8,11.7,1.0,0.0,10.4,,,,2.4,,,,,
2016-02-27,8.9,12.5,3.4,0.0,9.3,,,,4.5,,,,,
2016-02-28,10.0,15.3,4.3,0.5,9.5,,,,2.5,,,,,
2016-02-29,8.7,13.7,5.0,8.0,1.8,,,,3.0,,,,,
2016-03-01,6.0,10.0,2.2,0.0,10.3,,,,3.0,,,,,
2016-03-02,6.6,11.9,0.9,0.0,10.1,,,,2.0,,,,,
2016-03-03,10.1,16.7,2.7,0.0,10.7,,,,2.4,,,,,
2016-03-04,11.0,16.2,4.7,0.0,9.4,,,,2.1,,,,,
2016-03-05,12.4,18.4,8.2,0.0,6.2,,,,2.7,,,,,
2016-03-06,12.9,15.8,9.7,11.0,1.3,,,,3.1,,,,,
2016-03-07,14.9,15.8,13.5,51.0,0.0,,,,1.5,,,,,
2016-03-08,15.1,18.6,12.7,0.0,7.3,,,,1.8,,,,,
2016-03-09,9.5,15.0,4.8,25.5,0.0,,,,3.6,,,,,
2016-03-10,6.6,8.9,4.2,0.5,0.0,,,,3.4,,,,,
2016-03-11,4.9,6.4,3.6,1.5,0.0,,,,2.5,,,,,
2016-03-12,6.6,9.5,3.8,0.0,3.5,,,,3.0,,,,,
2016-03-13,7.9,12.3,4.3,0.0,5.5,,,,3.2,,,,,
2016-03-14,5.6,7.6,2.8,45.5,0.0,,,,4.4,,,,,
2016-03-15,8.9,14.7,4.1,0.0,11.2,,,,3.6,,,,,
2016-03-16,9.8,13.9,3.2,0.0,2.5,,,,2.5,,,,,
2016-03-17,13.0,17.9,7.2,0.0,11.4,,,,2.7,,,,,
2016-03-18,14.2,17.9,7.4,0.0,6.6,,,,4.6,,,,,
2016-03-19,15.7,19.7,14.1,16.0,2.2,,,,3.1,,,,,
2016-03-20,12.1,15.0,9.5,3.0,0.3,,,,2.6,,,,,
2016-03-21,9.6,12.9,7.3,1.0,2.3,,,,2.2,,,,,
2016-03-22,11.2,15.8,6.6,0.0,8.0,,,,2.5,,,,,
2016-03-23,12.2,18.8,6.5,0.0,7.3,,,,2.5,,,,,
2016-03-24,6.9,8.9,5.2,0.0,0.0,,,,3.2,,,,,
2016-03-25,8.4,12.9,3.5,0.0,6.0,,,,2.5,,,,,
2016-03-26,8.5,12.8,5.7,0.0,4.8,,,,2.4,,,,,
2016-03-27,11.3,16.5,6.6,0.0,9.0,,,,2.5,,,,,
2016-03-28,11.5,15.4,9.5,0.0,2.2,,,,2.7,,,,,
2016-03-29,13.3,17.9,7.0,0.0,9.3,,,,3.2,,,,,
2016-03-30,15.4,18.4,11.0,0.0,2.8,,,,3.3,,,,,
2016-03-31,15.0,19.1,9.5,0.0,10.0,,,,2.8,,,,,
2016-04-01,13.5,18.4,8.4,2.0,1.6,,,,4.0,,,,,
2016-04-02,11.4,14.8,8.3,1.0,0.7,,,,3.7,,,,,
2016-04-03,13.5,17.3,9.8,2.5,0.3,,,,3.2,,,,,
2016-04-04,16.2,20.0,10.6,10.5,1.3,,,,5.4,,,,,
2016-04-05,10.9,12.4,9.8,1.0,0.0,,,,1.8,,,,,
2016-04-06,13.9,18.3,7.1,0.0,6.7,,,,2.8,,,,,
2016-04-07,15.1,20.7,11.4,35.5,0.0,,,,2.6,,,,,
2016-04-08,17.0,22.4,13.5,0.0,1.8,,,,2.3,,,,,
2016-04-09,16.5,21.3,12.3,0.0,10.3,,,,3.3,,,,,
2016-04-10,16.3,20.8,11.7,0.0,3.2,,,,2.0,,,,,
2016-04-11,12.3,17.2,8.3,0.0,1.7,,,,4.2,,,,,
2016-04-12,11.5,14.9,6.2,0.0,10.4,,,,4.4,,,,,
2016-04-13,15.6,19.1,12.7,5.0,0.7,,,,3.4,,,,,
2016-04-14,15.4,18.9,13.2,24.5,1.4,,,,2.4,,,,,
2016-04-15,17.6,22.5,13.1,0.0,10.2,,,,2.8,,,,,
2016-04-16,16.4,21.4,10.6,0.0,5.7,,,,3.5,,,,,
2016-04-17,18.8,20.8,17.3,3.0,3.0,,,,9.9,,,,,
2016-04-18,18.5,21.0,15.0,0.0,6.6,,,,5.0,,,,,
2016-04-19,17.0,21.0,12.8,0.0,11.4,,,,2.9,,,,,
2016-04-20,15.6,18.5,10.6,0.0,11.6,,,,4.8,,,,,
2016-04-21,16.8,19.3,13.4,12.5,0.0,,,,5.8,,,,,
2016-04-22,17.9,23.9,13.6,0.0,7.9,,,,2.9,,,,,
2016-04-23,18.0,21.8,15.2,0.0,5.0,,,,3.1,,,,,
2016-04-24,16.0,18.4,13.5,1.0,0.0,,,,2.3,,,,,
2016-04-25,17.8,21.9,14.7,0.0,8.2,,,,2.2,,,,,
2016-04-26,18.7,22.4,14.4,0.0,10.7,,,,3.2,,,,,
2016-04-27,18.4,20.8,16.2,0.5,0.1,,,,2.1,,,,,
2016-04-28,15.4,16.6,14.9,21.0,0.0,,,,2.9,,,,,
2016-04-29,16.3,20.1,13.8,4.0,3.7,,,,2.9,,,,,
2016-04-30,16.1,20.0,11.1,0.0,11.7,,,,3.5,,,,,
2016-05-01,18.7,24.1,11.6,0.0,10.2,,,,1.8,,,,,
2016-05-02,18.4,21.5,15.0,0.0,4.3,,,,2.0,,,,,
2016-05-03,19.6,22.4,18.0,0.5,5.5,,,,5.2,,,,,
2016-05-04,20.5,24.4,18.9,10.5,10.1,,,,8.7,,,,,
2016-05-05,21.2,25.4,17.6,0.0,12.5,,,,3.5,,,,,
2016-05-06,18.6,22.3,16.6,0.0,0.0,,,,3.0,,,,,
2016-05-07,20.2,23.2,16.8,0.5,9.3,,,,5.5,,,,,
2016-05-08,20.2,22.8,18.2,0.0,7.7,,,,3.6,,,,,
2016-05-09,18.0,21.2,15.5,8.5,0.0,,,,1.9,,,,,
2016-05-10,19.1,22.0,16.0,4.5,1.1,,,,2.8,,,,,
2016-05-11,20.5,22.3,19.1,12.5,3.8,,,,9.9,,,,,
2016-05-12,20.2,23.9,15.8,0.0,13.2,,,,2.5,,,,,
2016-05-13,19.8,23.9,15.2,0.0,11.7,,,,2.0,,,,,
2016-05-14,20.9,26.1,16.2,0.0,9.1,,,,3.4,,,,,
2016-05-15,18.3,24.0,14.2,0.0,12.3,,,,3.1,,,,,
2016-05-16,19.4,22.9,16.4,0.0,1.3,,,,4.5,,,,,
2016-05-17,18.9,20.6,16.4,23.5,0.0,,,,3.6,,,,,
2016-05-18,20.7,27.5,14.5,0.0,13.3,,,,3.2,,,,,
2016-05-19,20.4,26.3,15.9,0.0,11.5,,,,3.9,,,,,
2016-05-20,17.9,21.2,14.9,0.0,2.8,,,,3.5,,,,,
2016-05-21,18.6,23.5,13.4,0.0,12.7,,,,2.4,,,,,
2016-05-22,23.2,30.6,17.1,0.0,13.1,,,,3.1,,,,,
2016-05-23,20.4,25.4,14.9,0.0,11.9,,,,1.5,,,,,
2016-05-24,21.8,25.6,18.5,0.0,8.0,,,,2.7,,,,,
2016-05-25,21.3,23.1,20.4,0.0,0.4,,,,7.4,,,,,
2016-05-26,21.7,24.4,20.5,0.0,2.0,,,,6.8,,,,,
2016-05-27,20.1,23.0,16.3,9.0,0.0,,,,3.6,,,,,
2016-05-28,19.1,22.7,15.3,0.0,0.1,,,,2.0,,,,,
2016-05-29,20.6,25.0,15.2,0.0,9.7,,,,2.4,,,,,
2016-05-30,17.4,20.9,15.2,13.5,0.0,,,,3.1,,,,,
2016-05-31,20.0,23.3,16.5,0.0,8.7,,,,4.4,,,,,
2016-06-01,21.2,24.6,18.3,0.0,6.6,,,,2.7,,,,,
2016-06-02,21.2,27.2,17.2,0.0,11.3,,,,3.6,,,,,
2016-06-03,19.8,23.4,15.2,0.0,13.3,,,,4.9,,,,,
2016-06-04,21.0,23.3,16.7,0.0,6.7,,,,6.2,,,,,
2016-06-05,18.8,21.1,16.8,4.5,1.9,,,,2.1,,,,,
2016-06-06,20.3,24.6,16.2,0.0,1.7,,,,2.1,,,,,
2016-06-07,19.5,21.1,18.4,2.5,0.0,,,,1.9,,,,,
2016-06-08,21.0,24.8,18.2,2.5,4.9,,,,1.6,,,,,
2016-06-09,21.1,23.6,19.1,2.5,0.0,,,,2.2,,,,,
2016-06-10,22.9,29.2,19.6,0.0,11.4,,,,2.2,,,,,
2016-06-11,21.9,24.9,18.2,0.0,11.3,,,,2.7,,,,,
2016-06-12,22.8,25.2,21.0,0.0,6.9,,,,2.5,,,,,
2016-06-13,20.8,22.2,18.6,52.5,0.0,,,,4.5,,,,,
2016-06-14,22.3,26.5,20.2,0.0,3.3,,,,2.7,,,,,
2016-06-15,22.1,25.8,20.2,0.0,4.0,,,,2.2,,,,,
2016-06-16,21.6,22.8,20.4,4.5,0.0,,,,2.1,,,,,
2016-06-17,23.0,26.5,19.9,0.5,5.1,,,,1.8,,,,,
2016-06-18,25.0,27.6,22.7,0.0,12.4,,,,2.4,,,,,
2016-06-19,22.9,25.4,20.2,1.0,2.2,,,,2.1,,,,,
2016-06-20,24.1,27.5,20.5,0.5,6.2,,,,1.5,,,,,
2016-06-21,23.2,26.2,20.5,15.0,3.3,,,,1.6,,,,,
2016-06-22,22.7,24.4,21.9,0.0,0.0,,,,1.9,,,,,
2016-06-23,23.7,27.9,21.7,18.5,2.8,,,,2.5,,,,,
2016-06-24,23.0,26.6,21.5,0.0,1.7,,,,2.5,,,,,
2016-06-25,24.8,27.8,22.0,1.0,1.1,,,,7.0,,,,,
2016-06-26,24.0,27.6,21.6,0.0,9.6,,,,2.4,,,,,
2016-06-27,23.7,28.3,21.2,0.0,8.3,,,,3.0,,,,,
2016-06-28,19.6,22.1,17.0,23.5,0.0,,,,2.5,,,,,
2016-06-29,21.0,23.2,19.7,2.0,0.1,,,,1.0,,,,,
2016-06-30,22.3,24.8,20.2,0.0,1.0,,,,1.4,,,,,
2016-07-01,23.5,27.1,21.6,0.0,7.9,,,,2.0,,,,,
2016-07-02,25.3,28.8,22.1,0.0,8.0,,,,3.6,,,,,
2016-07-03,27.2,30.9,25.0,0.0,8.6,,,,4.3,,,,,
2016-07-04,26.8,31.4,24.7,3.0,10.8,,,,2.2,,,,,
2016-07-05,23.1,25.9,20.5,0.0,0.0,,,,2.8,,,,,
2016-07-06,23.1,26.2,20.8,0.0,7.3,,,,3.5,,,,,
2016-07-07,25.5,28.5,21.9,0.0,13.0,,,,2.1,,,,,
2016-07-08,24.2,26.9,23.0,0.0,0.0,,,,2.3,,,,,
2016-07-09,22.2,23.6,20.4,25.5,0.1,,,,2.9,,,,,
2016-07-10,24.3,28.3,21.2,0.0,7.3,,,,1.7,,,,,
2016-07-11,25.2,28.3,22.2,0.0,12.3,,,,2.0,,,,,
2016-07-12,25.5,28.6,22.6,0.0,7.5,,,,2.1,,,,,
2016-07-13,24.9,27.8,23.5,0.0,0.7,,,,1.2,,,,,
2016-07-14,26.2,30.9,23.6,5.0,7.6,,,,2.0,,,,,
2016-07-15,23.4,25.9,21.9,6.5,0.0,,,,2.3,,,,,
2016-07-16,23.9,26.6,21.8,0.0,3.5,,,,2.3,,,,,
2016-07-17,25.8,29.4,23.3,0.0,3.8,,,,1.8,,,,,
2016-07-18,28.8,34.5,26.1,0.0,9.4,,,,2.3,,,,,
2016-07-19,27.6,31.1,25.6,0.0,7.8,,,,3.0,,,,,
2016-07-20,26.8,31.3,25.1,0.0,5.0,,,,2.8,,,,,
2016-07-21,22.2,25.4,21.1,39.5,0.0,,,,2.5,,,,,
2016-07-22,21.8,22.9,20.8,16.5,0.0,,,,2.1,,,,,
2016-07-23,23.3,26.7,20.1,0.0,1.1,,,,2.3,,,,,
2016-07-24,24.2,28.3,20.8,0.0,7.6,,,,1.8,,,,,
2016-07-25,24.6,27.9,21.6,0.0,3.3,,,,1.9,,,,,
2016-07-26,24.2,26.7,21.9,0.5,0.0,,,,3.1,,,,,
2016-07-27,24.0,25.6,22.5,0.5,0.5,,,,3.5,,,,,
2016-07-28,25.5,29.1,23.2,0.5,8.1,,,,2.3,,,,,
2016-07-29,26.2,29.7,24.1,0.0,12.2,,,,2.5,,,,,
2016-07-30,26.4,29.9,22.6,0.0,12.1,,,,1.9,,,,,
2016-07-31,28.0,32.3,24.8,0.0,7.9,,,,3.3,,,,,
2016-08-01,27.4,32.2,25.3,0.0,2.4,,,,2.6,,,,,
2016-08-02,26.4,29.3,23.6,26.0,4.9,,,,2.0,,,,,
2016-08-03,26.9,30.6,24.2,6.5,7.6,,,,2.2,,,,,
2016-08-04,27.6,30.4,25.0,0.0,12.3,,,,2.8,,,,,
2016-08-05,27.8,31.3,24.4,0.0,12.3,,,,3.0,,,,,
2016-08-06,28.3,31.3,26.1,0.0,10.8,,,,2.7,,,,,
2016-08-07,29.8,35.4,25.8,0.0,10.3,,,,3.2,,,,,
2016-08-08,30.0,34.7,26.2,0.0,8.9,,,,4.7,,,,,
2016-08-09,27.8,31.3,25.5,0.0,9.8,,,,1.4,,,,,
2016-08-10,29.3,35.3,26.2,0.0,8.8,,,,2.6,,,,,
2016-08-11,28.2,32.7,25.9,0.0,5.0,,,,2.4,,,,,
2016-08-12,26.8,30.3,25.3,0.0,3.8,,,,2.3,,,,,
2016-08-13,26.9,30.3,24.7,0.0,9.3,,,,2.6,,,,,
2016-08-14,26.5,29.3,24.9,0.0,4.5,,,,2.3,,,,,
2016-08-15,27.2,29.8,25.7,0.0,1.5,,,,2.8,,,,,
2016-08-16,27.4,33.8,23.5,19.0,4.8,,,,4.2,,,,,
2016-08-17,28.1,30.5,24.1,0.0,10.1,,,,5.9,,,,,
2016-08-18,28.1,31.7,26.2,0.0,5.4,,,,2.0,,,,,
2016-08-19,28.9,34.2,26.0,0.5,6.8,,,,3.9,,,,,
2016-08-20,26.8,31.6,24.7,11.5,2.0,,,,3.1,,,,,
2016-08-21,27.7,31.8,24.5,0.0,5.8,,,,1.8,,,,,
2016-08-22,26.2,28.5,23.4,128.5,0.0,,,,5.3,,,,,
2016-08-23,26.8,29.4,24.7,0.0,2.4,,,,2.9,,,,,
2016-08-24,27.1,31.4,24.6,0.0,6.1,,,,2.4,,,,,
2016-08-25,27.7,31.7,24.5,0.0,12.2,,,,2.3,,,,,
2016-08-26,28.0,31.8,24.7,0.0,12.4,,,,3.0,,,,,
2016-08-27,24.7,29.0,21.4,6.0,1.5,,,,2.6,,,,,
2016-08-28,22.5,25.0,20.6,5.0,0.0,,,,3.5,,,,,
2016-08-29,25.9,30.9,22.4,3.5,3.1,,,,3.9,,,,,
2016-08-30,25.8,27.9,24.9,12.5,2.0,,,,4.3,,,,,
2016-08-31,26.9,29.5,24.9,0.0,11.9,,,,6.3,,,,,
2016-09-01,27.0,30.5,24.6,0.0,10.7,,,,3.1,,,,,
2016-09-02,27.4,32.9,23.7,0.0,7.7,,,,2.1,,,,,
2016-09-03,27.7,33.4,25.0,0.5,2.7,,,,3.3,,,,,
2016-09-04,26.6,30.7,24.0,1.0,6.1,,,,2.2,,,,,
2016-09-05,27.4,32.2,24.5,0.0,8.8,,,,2.3,,,,,
2016-09-06,28.1,29.8,26.5,0.0,8.8,,,,5.8,,,,,
2016-09-07,27.2,30.2,25.3,1.0,3.3,,,,4.9,,,,,
2016-09-08,27.2,31.5,25.2,4.5,3.6,,,,3.2,,,,,
2016-09-09,26.9,29.8,24.6,1.5,8.5,,,,2.0,,,,,
2016-09-10,27.1,32.3,23.9,0.0,8.0,,,,2.5,,,,,
2016-09-11,23.4,26.1,21.8,14.5,0.0,,,,1.9,,,,,
2016-09-12,25.6,29.1,22.5,0.0,4.2,,,,2.8,,,,,
2016-09-13,23.8,26.5,21.4,35.0,0.1,,,,2.2,,,,,
2016-09-14,23.0,25.9,21.0,15.5,0.1,,,,1.9,,,,,
2016-09-15,24.9,28.1,22.9,3.5,0.6,,,,1.6,,,,,
2016-09-16,23.5,24.7,22.7,1.5,0.2,,,,1.8,,,,,
2016-09-17,25.0,28.1,21.6,0.5,5.5,,,,2.5,,,,,
2016-09-18,25.5,27.1,23.4,0.0,0.0,,,,5.6,,,,,
2016-09-19,22.2,24.4,19.5,7.5,0.0,,,,3.1,,,,,
2016-09-20,19.5,21.0,18.1,78.5,0.0,,,,4.7,,,,,
2016-09-21,20.9,23.5,18.1,0.0,0.1,,,,3.1,,,,,
2016-09-22,20.0,22.4,18.4,25.5,0.0,,,,3.7,,,,,
2016-09-23,22.1,24.5,20.1,12.5,0.0,,,,1.3,,,,,
2016-09-24,22.0,24.5,20.7,7.0,0.0,,,,1.9,,,,,
2016-09-25,23.7,28.1,20.4,0.0,4.8,,,,2.1,,,,,
2016-09-26,24.9,28.8,21.6,0.0,5.2,,,,1.3,,,,,
2016-09-27,25.8,30.3,22.1,0.0,9.3,,,,2.4,,,,,
2016-09-28,26.7,30.4,24.2,0.5,4.6,,,,4.2,,,,,
2016-09-29,25.5,28.3,22.6,0.0,0.1,,,,3.0,,,,,
2016-09-30,22.0,23.9,20.6,0.0,0.1,,,,2.0,,,,,
2016-10-01,20.6,22.2,18.3,0.0,0.0,,,,2.7,,,,,
2016-10-02,22.8,26.0,20.5,0.0,5.4,,,,1.5,,,,,
2016-10-03,23.1,26.2,20.8,4.0,0.1,,,,2.4,,,,,
