calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.3,13.0,5.2,,9.4,,,,3.4,4.9,1020.0,47,1025.3,2.5
2016-01-02,7.9,13.3,3.7,,5.9,,,,2.2,5.9,1016.4,55,1021.6,3.5
2016-01-03,10.1,15.4,5.2,,7.9,,,,2.0,8.0,1011.0,64,1016.2,5.8
2016-01-04,10.8,14.7,6.4,,9.3,,,,1.9,7.5,1008.2,58,1013.4,0.0
2016-01-05,11.8,14.8,8.4,,8.0,,,,2.1,7.0,1010.9,51,1016.0,3.5
2016-01-06,9.7,11.2,8.6,,0.4,,,,2.3,8.8,1011.7,73,1016.9,10.0
2016-01-07,9.3,13.5,6.0,,6.4,,,,3.2,6.3,1007.1,54,1012.3,6.3
2016-01-08,8.1,11.6,4.9,,8.4,,,,2.6,5.2,1008.0,48,1013.2,4.5
2016-01-09,8.1,11.7,4.1,,9.3,,,,2.5,5.9,1011.9,55,1017.1,1.5
2016-01-10,8.4,13.0,3.6,,9.5,,,,2.4,6.3,1011.3,58,1016.5,1.0
2016-01-11,7.9,10.6,5.8,,1.7,,,,2.6,6.1,1011.7,57,1017.0,7.3
2016-01-12,4.5,7.8,2.8,0.0,0.0,,,,3.4,6.2,1009.5,73,1014.8,10.0
2016-01-13,5.8,10.1,1.9,,8.5,,,,2.0,5.5,1007.8,60,1013.0,2.5
2016-01-14,7.1,11.2,1.6,,9.3,,,,2.0,5.4,1006.7,54,1011.9,1.0
2016-01-15,6.5,10.8,3.3,0.0,7.5,,,,3.5,6.5,1010.7,68,1016.0,6.8
2016-01-16,7.2,10.5,3.6,,9.3,,,,2.6,6.0,1013.4,59,1018.6,2.3
2016-01-17,6.5,8.8,4.3,3.5,1.8,,,,3.3,6.0,1016.4,62,1021.7,7.0
2016-01-18,4.5,9.3,0.5,45.5,0.0,,5,5,5.9,7.6,993.5,90,998.7,7.5
2016-01-19,5.7,9.5,2.0,,9.7,,,,7.0,3.9,995.9,42,1001.2,0.5
2016-01-20,4.8,10.8,0.4,,7.5,,,,5.2,3.6,1004.0,42,1009.2,1.3
2016-01-21,5.9,10.0,2.0,,7.2,,,,3.0,3.7,1012.1,40,1017.4,5.8
2016-01-22,6.4,10.7,3.5,0.0,9.0,,,,4.0,3.6,1014.1,38,1019.4,7.3
2016-01-23,4.8,6.7,3.1,0.0,0.4,,,,3.2,4.6,1011.9,53,1017.2,9.0
2016-01-24,3.6,8.1,0.3,,8.2,,,,4.2,3.4,999.3,44,1004.5,2.3
2016-01-25,3.6,8.2,-0.9,,10.1,,,,2.5,2.2,1011.3,28,1016.6,0.0
2016-01-26,4.7,9.4,0.6,,8.8,,,,2.5,4.1,1017.4,48,1022.8,1.3
2016-01-27,7.3,13.3,1.4,,9.8,,,,2.5,5.0,1018.5,50,1023.8,1.8
2016-01-28,8.6,13.4,3.1,,9.8,,,,1.8,5.3,1020.3,48,1025.6,0.0
2016-01-29,5.8,7.8,3.4,21.0,0.0,,,,3.2,7.4,1018.2,81,1023.5,10.0
2016-01-30,3.9,5.4,2.0,3.5,0.0,,,,4.2,7.0,1014.7,87,1020.0,10.0
2016-01-31,6.8,9.8,3.5,,1.1,,,,1.9,6.5,1015.2,66,1020.5,9.5
2016-02-01,5.2,6.6,3.7,0.0,0.0,,,,3.1,6.5,1014.1,74,1019.4,8.3
2016-02-02,6.0,9.6,3.3,0.0,8.0,,,,3.8,4.4,1012.8,48,1018.0,6.8
2016-02-03,5.6,8.7,3.3,,7.2,,,,3.9,4.3,1015.8,48,1021.1,6.0
2016-02-04,6.0,9.2,2.8,,5.8,,,,2.3,6.1,1014.7,65,1020.0,6.5
2016-02-05,7.7,11.7,2.8,,9.3,,,,2.3,5.8,1010.5,57,1015.7,7.5
2016-02-06,7.2,9.9,5.1,,2.1,,,,3.3,7.4,1007.0,72,1012.2,9.8
2016-02-07,5.6,9.5,2.6,0.0,8.6,,,,4.2,4.0,1010.5,45,1015.8,5.8
2016-02-08,5.1,9.7,1.7,,6.6,,,,2.8,5.1,1012.8,58,1018.1,3.3
2016-02-09,7.2,12.7,1.8,,10.0,,,,4.0,5.5,1004.5,57,1009.8,0.5
2016-02-10,6.6,10.9,3.4,,10.4,,,,4.8,3.2,1013.9,34,1019.2,0.0
2016-02-11,6.6,9.9,3.3,,9.4,,,,3.5,4.3,1024.7,45,1030.0,0.3
2016-02-12,7.3,11.0,2.5,0.5,1.4,,,,2.7,7.5,1025.8,71,1031.2,7.5
