calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.4,13.3,0.1,0.0,5.9,,,,0.5,,,,,
2016-01-02,5.9,12.4,0.8,1.0,0.2,,,,0.2,,,,,
2016-01-03,10.3,16.7,7.8,1.0,0.9,,,,0.3,,,,,
2016-01-04,10.4,17.3,6.6,0.0,6.3,,,,0.9,,,,,
2016-01-05,8.7,12.5,6.1,2.0,0.0,,,,0.7,,,,,
2016-01-06,7.6,9.7,6.0,2.5,0.0,,,,0.2,,,,,
2016-01-07,6.6,10.4,3.8,0.0,1.1,,,,1.2,,,,,
2016-01-08,5.9,9.0,3.4,0.0,0.6,,,,1.5,,,,,
2016-01-09,5.5,11.3,1.3,0.0,7.1,,,,1.0,,,,,
2016-01-10,4.6,11.8,-0.1,0.0,5.9,,,,0.8,,,,,
2016-01-11,5.8,10.7,1.2,0.0,0.0,,,,0.3,,,,,
2016-01-12,6.8,12.1,3.1,1.0,5.2,,,,1.3,,,,,
2016-01-13,5.5,8.1,2.2,0.0,0.9,,,,1.6,,,,,
2016-01-14,4.4,9.6,1.1,0.0,3.8,,,,1.1,,,,,
2016-01-15,3.7,10.5,-1.2,0.0,5.8,,,,0.6,,,,,
2016-01-16,2.8,13.2,-2.1,0.0,6.8,,,,0.3,,,,,
2016-01-17,3.3,9.0,-1.6,11.5,0.0,,,,0.4,,,,,
2016-01-18,8.0,12.9,2.7,7.5,1.0,,,,3.0,,,,,
2016-01-19,2.8,4.8,-0.6,2.5,1.2,,,,4.3,,,,,
2016-01-20,1.1,5.5,-1.4,3.5,1.3,,,,1.5,,,,,
2016-01-21,2.3,7.3,-2.4,0.0,2.2,,,,0.3,,,,,
2016-01-22,5.5,10.9,1.0,0.0,3.7,,,,0.9,,,,,
2016-01-23,3.5,11.0,0.3,0.0,2.4,,,,1.1,,,,,
2016-01-24,-2.5,1.2,-6.0,7.0,0.4,,,,2.2,,,,,
2016-01-25,-0.3,4.3,-5.6,1.5,4.5,,,,1.1,,,,,
2016-01-26,2.8,9.2,-1.3,0.0,2.5,,,,0.6,,,,,
2016-01-27,5.2,10.7,0.7,0.0,2.5,,,,0.8,,,,,
2016-01-28,5.2,8.9,1.4,3.0,0.0,,,,0.1,,,,,
2016-01-29,10.0,13.0,6.8,56.5,0.0,,,,0.3,,,,,
2016-01-30,10.2,13.5,5.3,0.5,1.1,,,,1.2,,,,,
2016-01-31,6.6,14.0,1.6,0.0,7.9,,,,0.8,,,,,
2016-02-01,6.0,8.5,3.1,0.0,0.0,,,,0.7,,,,,
2016-02-02,5.2,11.0,0.8,0.0,3.5,,,,1.2,,,,,
2016-02-03,4.4,11.8,0.4,0.0,5.8,,,,0.6,,,,,
2016-02-04,4.9,11.6,-0.8,0.0,8.1,,,,0.9,,,,,
2016-02-05,4.9,12.4,-0.1,0.0,5.6,,,,0.8,,,,,
2016-02-06,3.7,9.2,-0.8,0.0,2.7,,,,1.2,,,,,
2016-02-07,4.0,12.4,-1.0,0.0,7.9,,,,0.6,,,,,
2016-02-08,3.6,11.7,-2.0,0.0,8.5,,,,0.7,,,,,
2016-02-09,5.4,11.4,-0.5,0.0,5.3,,,,2.0,,,,,
2016-02-10,4.7,14.4,-2.2,0.0,8.5,,,,0.6,,,,,
2016-02-11,6.6,18.3,-2.4,0.0,8.6,,,,0.5,,,,,
2016-02-12,10.7,16.1,5.9,0.5,0.0,,,,0.3,,,,,
2016-02-13,15.4,19.6,11.4,63.5,0.0,,,,0.9,,,,,
2016-02-14,13.4,19.4,7.3,12.0,3.7,,,,2.1,,,,,
2016-02-15,3.4,7.4,0.0,3.5,1.7,,,,3.0,,,,,
2016-02-16,2.4,6.2,-0.4,2.0,1.3,,,,1.2,,,,,
2016-02-17,4.2,9.2,-1.5,0.0,3.9,,,,1.6,,,,,
2016-02-18,4.3,14.4,-2.6,0.0,8.2,,,,0.4,,,,,
2016-02-19,7.2,16.7,0.9,0.0,4.0,,,,0.3,,,,,
2016-02-20,8.5,10.9,6.6,35.5,1.0,,,,1.2,,,,,
2016-02-21,6.8,10.7,2.6,0.0,6.9,,,,1.8,,,,,
2016-02-22,6.4,14.5,0.0,0.0,3.5,,,,0.5,,,,,
2016-02-23,6.8,10.1,3.5,3.0,0.0,,,,0.7,,,,,
2016-02-24,5.6,12.3,1.4,0.0,4.3,,,,0.8,,,,,
2016-02-25,4.0,9.3,0.0,0.5,4.2,,,,0.9,,,,,
