calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,,,,,,,,
2016-01-02,,,,0.5,,,,,,,,,,
2016-01-03,,,,1.5,,,,,,,,,,
2016-01-04,,,,0.0,,,,,,,,,,
2016-01-05,,,,1.5,,,,,,,,,,
2016-01-06,,,,2.0,,,,,,,,,,
2016-01-07,,,,0.0,,,,,,,,,,
2016-01-08,,,,0.0,,,,,,,,,,
2016-01-09,,,,0.0,,,,,,,,,,
2016-01-10,,,,0.0,,,,,,,,,,
2016-01-11,,,,0.0,,,,,,,,,,
2016-01-12,,,,0.0,,,,,,,,,,
2016-01-13,,,,0.0,,,,,,,,,,
2016-01-14,,,,0.0,,,,,,,,,,
2016-01-15,,,,0.0,,,,,,,,,,
2016-01-16,,,,0.0,,,,,,,,,,
2016-01-17,,,,26.5,,,,,,,,,,
2016-01-18,,,,10.0,,,,,,,,,,
2016-01-19,,,,15.5,,,,,,,,,,
2016-01-20,,,,0.0,,,,,,,,,,
2016-01-21,,,,0.0,,,,,,,,,,
2016-01-22,,,,0.0,,,,,,,,,,
2016-01-23,,,,0.0,,,,,,,,,,
2016-01-24,,,,11.0,,,,,,,,,,
2016-01-25,,,,0.5,,,,,,,,,,
2016-01-26,,,,0.0,,,,,,,,,,
2016-01-27,,,,0.0,,,,,,,,,,
2016-01-28,,,,4.5,,,,,,,,,,
2016-01-29,,,,47.5,,,,,,,,,,
2016-01-30,,,,1.0,,,,,,,,,,
2016-01-31,,,,0.0,,,,,,,,,,
2016-02-01,,,,0.5,,,,,,,,,,
2016-02-02,,,,0.0,,,,,,,,,,
2016-02-03,,,,0.0,,,,,,,,,,
2016-02-04,,,,0.0,,,,,,,,,,
2016-02-05,,,,0.0,,,,,,,,,,
2016-02-06,,,,0.0,,,,,,,,,,
2016-02-07,,,,0.0,,,,,,,,,,
2016-02-08,,,,0.0,,,,,,,,,,
2016-02-09,,,,0.0,,,,,,,,,,
2016-02-10,,,,0.0,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,3.5,,,,,,,,,,
2016-02-13,,,,63.5,,,,,,,,,,
2016-02-14,,,,25.0,,,,,,,,,,
2016-02-15,,,,0.0,,,,,,,,,,
2016-02-16,,,,0.0,,,,,,,,,,
2016-02-17,,,,0.0,,,,,,,,,,
2016-02-18,,,,0.0,,,,,,,,,,
2016-02-19,,,,0.0,,,,,,,,,,
2016-02-20,,,,38.0,,,,,,,,,,
2016-02-21,,,,0.0,,,,,,,,,,
2016-02-22,,,,0.5,,,,,,,,,,
2016-02-23,,,,2.5,,,,,,,,,,
