calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.3,13.7,2.4,,8.9,12.13,,,1.8,6.4,1029.1,65,1029.7,0.8
2016-01-02,7.9,13.8,2.2,0.0,1.0,6.35,,,1.3,7.5,1025.4,71,1026.0,7.5
2016-01-03,11.3,16.1,8.6,1.0,3.0,7.63,,,1.2,10.8,1019.0,82,1019.6,8.3
2016-01-04,11.9,20.3,5.7,,8.9,12.11,,,1.5,8.8,1017.7,68,1018.3,0.5
2016-01-05,9.9,13.4,7.4,0.0,0.0,1.89,,,1.4,8.3,1020.5,69,1021.1,9.8
2016-01-06,10.1,13.1,8.0,1.0,0.1,3.72,,,1.4,10.3,1018.3,83,1018.9,10.0
2016-01-07,8.6,14.6,4.2,,8.3,11.50,,,1.7,6.7,1017.2,63,1017.8,2.5
2016-01-08,6.4,12.1,2.6,,2.7,7.40,,,1.9,6.0,1017.7,64,1018.3,5.8
2016-01-09,6.3,12.7,1.0,,9.1,12.60,,,1.6,5.2,1021.3,57,1021.9,1.8
2016-01-10,7.0,13.6,2.2,,7.4,10.46,,,1.4,6.0,1022.1,62,1022.7,4.8
2016-01-11,8.8,14.1,4.2,0.0,3.4,7.67,,,1.3,6.4,1019.1,59,1019.7,8.3
2016-01-12,9.1,13.3,4.7,0.0,6.3,10.57,,,1.8,5.6,1014.7,50,1015.3,3.8
2016-01-13,6.0,11.3,2.5,,7.4,11.64,,,2.3,5.5,1015.7,61,1016.3,2.8
2016-01-14,5.6,12.2,0.7,,9.1,13.54,,,2.0,4.9,1017.9,56,1018.5,6.3
2016-01-15,5.6,11.3,1.1,,7.0,11.30,,,1.5,5.0,1019.3,57,1019.9,5.3
2016-01-16,6.2,13.2,0.2,,9.4,13.38,,,1.7,4.5,1020.6,52,1021.2,0.0
2016-01-17,7.0,10.8,2.7,25.5,0.9,4.56,,,1.5,7.3,1015.3,71,1015.9,8.0
2016-01-18,9.7,16.0,1.7,3.5,7.2,11.84,,,3.1,7.9,1001.2,66,1001.8,6.8
2016-01-19,1.5,3.8,0.3,0.0,2.7,7.85,,,2.4,5.8,1011.8,85,1012.4,8.8
2016-01-20,4.0,9.5,-0.7,0.0,6.8,11.54,,,2.1,4.4,1020.3,55,1020.9,4.3
2016-01-21,5.0,9.5,0.1,,4.5,8.66,,,2.1,5.6,1021.3,67,1021.9,8.8
2016-01-22,6.7,11.3,3.5,,5.7,11.42,,,2.0,5.5,1021.1,58,1021.7,9.5
2016-01-23,5.5,11.3,2.2,,0.8,5.61,,,1.8,5.2,1018.2,58,1018.8,9.0
2016-01-24,-0.2,3.1,-3.6,0.0,7.4,12.52,,,2.8,3.3,1016.0,54,1016.6,4.8
2016-01-25,1.4,8.0,-4.0,0.0,9.3,14.39,,,1.6,3.6,1023.7,56,1024.3,3.5
2016-01-26,4.0,9.8,-1.1,0.0,2.6,8.68,,,1.5,4.9,1025.7,61,1026.3,6.5
2016-01-27,6.2,11.7,-0.5,,3.8,9.04,,,1.0,5.7,1028.4,63,1029.0,5.5
2016-01-28,7.8,11.7,3.2,1.5,1.3,4.51,,,1.3,7.3,1027.9,69,1028.5,8.5
2016-01-29,10.4,13.0,8.0,37.5,0.0,1.54,,,1.8,12.5,1016.8,98,1017.4,10.0
2016-01-30,11.6,14.0,9.5,3.5,0.0,3.38,,,1.2,10.6,1015.7,78,1016.3,10.0
2016-01-31,10.3,16.0,5.3,,9.6,14.70,,,1.8,6.7,1021.7,55,1022.3,4.0
2016-02-01,7.8,10.4,5.9,0.0,0.0,3.93,,,1.3,7.0,1020.3,67,1020.9,9.5
2016-02-02,7.8,12.6,3.8,,8.0,14.14,,,1.7,5.2,1019.1,51,1019.7,7.0
2016-02-03,7.4,13.1,1.9,,7.5,13.72,,,1.6,5.3,1021.8,53,1022.4,2.0
2016-02-04,7.4,13.2,1.4,,9.0,15.01,,,1.4,5.4,1021.3,55,1021.9,3.5
2016-02-05,8.5,14.7,3.0,,7.3,12.44,,,1.3,5.7,1017.3,53,1017.9,5.3
2016-02-06,7.2,11.7,2.9,,3.9,9.49,,,1.6,4.5,1015.1,45,1015.7,5.3
2016-02-07,6.3,11.2,1.5,0.0,7.9,15.15,,,2.0,4.2,1017.6,46,1018.2,3.3
2016-02-08,6.6,13.0,0.5,,10.1,16.01,,,2.1,4.4,1017.6,47,1018.2,1.0
2016-02-09,8.2,14.3,3.5,0.0,9.0,15.15,,,2.5,4.3,1016.5,43,1017.1,4.0
2016-02-10,6.7,13.4,0.6,,10.1,16.17,,,1.6,4.8,1024.4,51,1025.0,0.0
2016-02-11,8.9,15.3,2.1,,9.9,15.90,,,1.7,7.3,1028.6,64,1029.2,3.8
2016-02-12,10.7,13.0,7.6,0.0,0.1,1.88,,,1.3,10.1,1027.2,78,1027.8,9.8
2016-02-13,14.5,19.8,11.2,146.5,0.0,1.40,,,1.5,16.4,1015.1,98,1015.7,10.0
