calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.0,12.4,-3.1,0.0,7.8,,,,1.2,,,,,
2016-01-02,5.6,15.1,-2.5,0.5,2.8,,,,0.7,,,,,
2016-01-03,10.3,16.9,7.4,1.0,2.5,,,,0.5,,,,,
2016-01-04,9.2,19.2,4.1,0.0,7.5,,,,0.9,,,,,
2016-01-05,7.8,11.3,4.8,2.0,0.0,,,,0.5,,,,,
2016-01-06,7.5,9.6,4.3,3.0,0.0,,,,0.9,,,,,
2016-01-07,6.3,11.3,1.2,0.0,3.9,,,,1.3,,,,,
2016-01-08,4.6,9.5,0.2,0.0,1.9,,,,1.5,,,,,
2016-01-09,4.8,11.6,-1.4,0.0,7.8,,,,1.3,,,,,
2016-01-10,4.5,12.1,-0.6,0.0,5.5,,,,0.9,,,,,
2016-01-11,5.0,9.4,0.3,0.0,0.0,,,,0.7,,,,,
2016-01-12,6.2,12.0,1.5,0.0,6.0,,,,1.2,,,,,
2016-01-13,4.3,9.6,-0.2,0.0,6.1,,,,1.7,,,,,
2016-01-14,3.8,9.0,-0.9,0.0,3.9,,,,1.2,,,,,
2016-01-15,2.1,10.6,-3.1,0.0,6.7,,,,0.7,,,,,
2016-01-16,1.5,12.3,-5.4,0.0,8.0,,,,0.7,,,,,
2016-01-17,3.8,12.2,-2.7,37.0,0.0,,,,1.0,,,,,
2016-01-18,8.0,12.1,0.2,13.5,4.0,,,,3.6,,,,,
2016-01-19,1.7,5.1,-1.3,1.5,4.7,,,,4.9,,,,,
2016-01-20,1.3,6.6,-1.4,0.0,5.7,,,,1.9,,,,,
2016-01-21,2.4,7.7,-3.4,0.0,2.8,,,,1.0,,,,,
2016-01-22,5.2,11.8,-0.1,0.0,4.5,,,,1.0,,,,,
2016-01-23,3.6,11.3,-0.1,0.0,2.3,,,,1.1,,,,,
2016-01-24,-2.8,1.3,-5.7,1.5,1.5,,,,2.2,,,,,
2016-01-25,-1.1,4.0,-6.1,0.0,3.8,,,,1.4,,,,,
2016-01-26,1.0,8.3,-4.7,0.0,3.7,,,,1.2,,,,,
2016-01-27,4.5,10.7,-1.8,0.0,1.8,,,,1.2,,,,,
2016-01-28,5.3,9.3,-0.4,1.5,0.0,,,,0.2,,,,,
2016-01-29,10.0,12.9,6.9,60.0,0.0,,,,0.4,,,,,
2016-01-30,10.4,12.5,7.3,0.5,0.0,,,,2.2,,,,,
2016-01-31,6.2,14.1,0.9,0.0,8.3,,,,1.4,,,,,
2016-02-01,4.9,8.1,0.9,0.0,0.0,,,,1.1,,,,,
2016-02-02,5.4,12.4,-0.7,0.0,7.7,,,,1.4,,,,,
2016-02-03,4.1,12.8,-2.8,0.0,8.0,,,,1.4,,,,,
2016-02-04,4.7,12.5,-2.0,0.0,8.0,,,,1.5,,,,,
2016-02-05,5.2,14.4,-1.4,0.0,5.9,,,,1.4,,,,,
2016-02-06,4.4,9.1,-1.8,0.0,3.0,,,,1.4,,,,,
2016-02-07,1.6,10.2,-4.1,0.0,4.8,,,,0.8,,,,,
2016-02-08,2.5,12.0,-4.1,0.0,8.6,,,,1.7,,,,,
2016-02-09,4.4,11.9,-2.6,0.0,8.1,,,,2.0,,,,,
2016-02-10,3.1,12.7,-3.7,0.0,8.8,,,,0.8,,,,,
2016-02-11,5.5,15.6,-2.9,0.0,8.5,,,,0.7,,,,,
2016-02-12,9.6,12.8,5.0,4.0,0.0,,,,0.7,,,,,
2016-02-13,14.8,18.5,10.6,89.0,0.0,,,,2.1,,,,,
2016-02-14,14.3,18.6,7.4,5.0,6.6,,,,3.3,,,,,
2016-02-15,4.3,7.6,0.2,0.0,6.6,,,,2.3,,,,,
2016-02-16,1.9,6.0,-0.4,0.0,3.4,,,,1.9,,,,,
2016-02-17,4.5,9.2,-2.3,0.0,7.8,,,,2.0,,,,,
2016-02-18,3.5,12.4,-4.0,0.0,9.2,,,,1.2,,,,,
2016-02-19,6.9,15.8,-1.0,0.0,5.5,,,,0.8,,,,,
2016-02-20,9.5,11.8,7.2,61.0,1.3,,,,1.8,,,,,
2016-02-21,6.5,11.7,1.9,0.0,8.5,,,,1.7,,,,,
2016-02-22,5.7,12.0,-1.2,0.0,4.7,,,,1.0,,,,,
2016-02-23,6.9,10.3,2.7,2.0,0.0,,,,0.9,,,,,
2016-02-24,5.2,12.9,0.4,0.0,7.3,,,,1.2,,,,,
2016-02-25,3.4,11.3,-1.8,0.0,8.2,,,,1.5,,,,,
2016-02-26,3.2,11.4,-3.1,0.0,7.8,,,,1.1,,,,,
2016-02-27,5.9,14.5,-1.5,0.0,4.3,,,,1.1,,,,,
2016-02-28,7.4,16.6,-0.3,0.0,8.2,,,,0.8,,,,,
2016-02-29,4.5,11.9,-1.1,2.0,6.4,,,,1.9,,,,,
2016-03-01,1.3,8.7,-3.3,0.0,7.5,,,,1.4,,,,,
2016-03-02,3.6,13.9,-3.9,0.0,9.7,,,,1.5,,,,,
2016-03-03,6.4,18.1,-2.9,0.0,9.7,,,,1.2,,,,,
2016-03-04,8.9,18.1,1.6,0.0,3.7,,,,0.6,,,,,
2016-03-05,11.9,17.5,6.1,0.0,1.0,,,,0.8,,,,,
2016-03-06,15.1,17.2,10.8,8.0,0.0,,,,1.7,,,,,
2016-03-07,15.0,23.1,11.3,0.0,7.2,,,,1.0,,,,,
2016-03-08,15.5,24.1,8.9,0.0,8.1,,,,1.4,,,,,
2016-03-09,11.6,13.8,7.0,63.5,0.0,,,,1.7,,,,,
2016-03-10,8.3,13.6,3.7,0.0,1.1,,,,1.7,,,,,
2016-03-11,8.0,14.7,2.4,0.0,8.3,,,,1.7,,,,,
2016-03-12,6.5,14.0,-0.1,0.0,10.0,,,,1.4,,,,,
2016-03-13,7.4,13.7,1.0,3.5,1.7,,,,0.7,,,,,
2016-03-14,6.8,10.7,1.2,14.0,2.0,,,,1.1,,,,,
2016-03-15,6.1,15.7,-0.8,0.0,10.4,,,,1.1,,,,,
2016-03-16,8.8,16.0,2.5,0.0,7.7,,,,1.1,,,,,
2016-03-17,10.3,18.8,3.6,0.0,9.0,,,,1.0,,,,,
2016-03-18,10.9,13.6,6.4,47.0,0.0,,,,0.8,,,,,
2016-03-19,15.4,22.9,9.1,1.0,6.8,,,,1.7,,,,,
2016-03-20,10.6,18.9,4.1,0.0,10.6,,,,1.1,,,,,
2016-03-21,8.1,16.5,1.4,0.0,10.6,,,,1.1,,,,,
2016-03-22,8.6,18.2,0.7,0.0,10.0,,,,1.4,,,,,
2016-03-23,10.9,19.3,1.3,0.0,4.3,,,,1.1,,,,,
2016-03-24,10.1,17.2,2.5,0.0,8.3,,,,1.4,,,,,
2016-03-25,5.7,14.1,-1.0,0.0,10.3,,,,1.1,,,,,
2016-03-26,7.0,14.5,-0.6,0.0,11.0,,,,1.4,,,,,
2016-03-27,8.0,16.2,1.6,0.0,10.0,,,,1.9,,,,,
2016-03-28,7.9,17.3,0.3,0.0,9.0,,,,1.1,,,,,
2016-03-29,9.2,17.7,-0.7,0.0,6.5,,,,1.2,,,,,
2016-03-30,11.7,18.8,5.1,0.0,1.3,,,,1.2,,,,,
2016-03-31,11.7,19.5,5.0,16.5,3.1,,,,0.8,,,,,
2016-04-01,14.5,16.2,12.5,84.5,0.1,,,,2.5,,,,,
2016-04-02,14.5,18.0,11.6,2.0,0.0,,,,1.4,,,,,
2016-04-03,16.1,17.6,14.0,40.5,0.0,,,,1.7,,,,,
2016-04-04,17.2,22.2,13.1,25.5,3.1,,,,1.5,,,,,
2016-04-05,15.2,21.4,10.9,0.0,6.7,,,,1.2,,,,,
2016-04-06,14.5,21.2,7.9,1.5,6.0,,,,0.7,,,,,
2016-04-07,17.8,22.7,12.8,43.5,0.0,,,,2.8,,,,,
2016-04-08,16.0,20.1,11.8,0.0,3.2,,,,1.3,,,,,
2016-04-09,15.2,22.5,10.9,0.0,5.4,,,,0.8,,,,,
2016-04-10,14.2,19.3,10.7,0.0,0.4,,,,0.4,,,,,
2016-04-11,13.4,21.0,7.9,0.0,7.9,,,,0.9,,,,,
2016-04-12,10.2,15.7,4.9,0.0,7.2,,,,0.8,,,,,
2016-04-13,13.7,19.5,7.7,26.5,0.1,,,,0.8,,,,,
2016-04-14,17.8,25.3,11.3,0.0,7.7,,,,0.6,,,,,
2016-04-15,14.9,22.3,8.7,0.0,11.7,,,,0.8,,,,,
2016-04-16,15.1,20.9,8.6,0.0,6.5,,,,1.3,,,,,
2016-04-17,19.0,26.9,11.1,34.5,9.8,,,,2.6,,,,,
2016-04-18,12.2,14.9,8.0,1.0,0.0,,,,0.8,,,,,
2016-04-19,13.5,22.6,3.7,0.0,12.1,,,,1.1,,,,,
2016-04-20,12.9,19.5,5.5,0.0,1.7,,,,0.6,,,,,
2016-04-21,15.3,18.7,13.6,87.5,0.0,,,,0.9,,,,,
2016-04-22,19.0,25.9,12.4,0.0,12.0,,,,1.5,,,,,
2016-04-23,15.3,25.2,10.8,4.5,4.1,,,,0.4,,,,,
2016-04-24,15.0,18.3,13.3,0.5,0.3,,,,0.4,,,,,
2016-04-25,16.0,20.1,13.3,3.5,0.5,,,,0.7,,,,,
2016-04-26,18.4,23.5,14.2,0.0,9.8,,,,0.8,,,,,
2016-04-27,16.9,17.6,16.4,51.5,0.0,,,,1.2,,,,,
2016-04-28,18.1,23.1,12.2,0.5,5.0,,,,1.5,,,,,
2016-04-29,14.2,21.9,7.3,0.0,11.4,,,,1.2,,,,,
2016-04-30,14.0,22.5,5.0,0.0,12.4,,,,0.9,,,,,
2016-05-01,17.4,25.5,9.1,0.0,12.3,,,,1.0,,,,,
2016-05-02,17.6,24.8,11.6,0.0,9.2,,,,0.7,,,,,
2016-05-03,18.3,21.2,14.7,65.5,0.0,,,,2.8,,,,,
2016-05-04,17.7,24.3,11.5,0.0,11.2,,,,2.0,,,,,
2016-05-05,19.1,26.9,9.7,0.0,10.1,,,,1.5,,,,,
2016-05-06,14.3,15.8,12.9,9.5,0.0,,,,0.9,,,,,
2016-05-07,18.6,26.5,12.4,0.0,6.1,,,,1.2,,,,,
2016-05-08,16.5,22.8,11.3,0.0,2.8,,,,0.7,,,,,
2016-05-09,16.0,18.2,14.0,28.5,0.0,,,,0.8,,,,,
2016-05-10,19.5,22.7,16.9,59.5,0.0,,,,0.7,,,,,
2016-05-11,18.7,23.2,12.1,1.0,7.4,,,,2.1,,,,,
2016-05-12,16.8,23.8,9.8,0.0,11.9,,,,0.9,,,,,
2016-05-13,18.0,23.4,13.8,0.0,5.3,,,,0.7,,,,,
2016-05-14,18.5,25.5,13.8,0.0,10.4,,,,0.9,,,,,
2016-05-15,18.2,20.4,14.5,1.0,0.0,,,,0.6,,,,,
2016-05-16,19.2,22.3,14.9,51.0,0.0,,,,2.7,,,,,
2016-05-17,17.7,25.8,11.9,0.0,11.6,,,,1.0,,,,,
2016-05-18,17.6,25.1,10.3,0.0,11.3,,,,0.8,,,,,
2016-05-19,18.7,25.2,13.7,0.0,8.9,,,,1.1,,,,,
2016-05-20,18.4,23.7,14.6,0.0,7.8,,,,1.1,,,,,
2016-05-21,18.9,26.2,13.6,0.0,8.7,,,,0.7,,,,,
2016-05-22,19.0,25.3,14.2,0.0,10.0,,,,0.8,,,,,
2016-05-23,20.4,29.2,14.1,0.0,11.1,,,,0.8,,,,,
2016-05-24,19.3,25.1,11.6,0.5,8.2,,,,0.9,,,,,
2016-05-25,19.9,20.9,18.8,71.5,0.0,,,,0.6,,,,,
2016-05-26,20.8,21.9,19.6,36.5,0.0,,,,0.9,,,,,
2016-05-27,21.8,28.2,18.7,0.0,4.0,,,,0.4,,,,,
2016-05-28,18.0,19.6,17.0,12.0,0.0,,,,0.8,,,,,
2016-05-29,19.1,20.4,17.3,35.5,0.0,,,,0.7,,,,,
2016-05-30,21.9,28.4,19.1,0.5,5.3,,,,0.6,,,,,
2016-05-31,22.1,28.1,17.6,0.0,7.7,,,,0.7,,,,,
2016-06-01,19.5,23.4,15.7,0.0,1.0,,,,0.4,,,,,
2016-06-02,18.7,26.0,12.3,0.0,12.8,,,,0.9,,,,,
2016-06-03,18.6,24.5,11.7,0.0,10.8,,,,0.8,,,,,
2016-06-04,17.2,18.5,14.8,53.0,0.0,,,,1.0,,,,,
2016-06-05,18.4,20.7,17.2,11.5,0.0,,,,1.2,,,,,
2016-06-06,20.2,24.4,17.7,4.0,4.6,,,,1.0,,,,,
2016-06-07,19.4,20.7,18.7,60.0,0.0,,,,1.0,,,,,
2016-06-08,20.2,22.4,18.4,5.0,0.0,,,,0.6,,,,,
2016-06-09,21.8,27.4,19.6,5.5,2.4,,,,0.4,,,,,
2016-06-10,22.8,27.3,19.3,0.0,6.4,,,,0.6,,,,,
2016-06-11,23.0,27.8,20.5,0.0,2.1,,,,0.6,,,,,
2016-06-12,21.6,23.1,20.6,68.0,0.0,,,,1.0,,,,,
2016-06-13,22.1,26.3,19.4,1.0,0.8,,,,0.8,,,,,
2016-06-14,22.5,27.2,18.4,0.0,7.9,,,,0.8,,,,,
2016-06-15,23.2,27.5,20.1,0.0,3.1,,,,0.6,,,,,
2016-06-16,22.4,25.1,21.0,15.0,0.0,,,,0.9,,,,,
2016-06-17,21.7,26.5,16.5,0.0,1.3,,,,1.1,,,,,
2016-06-18,21.5,28.3,14.9,0.0,6.6,,,,0.6,,,,,
2016-06-19,21.8,25.5,20.1,22.0,0.3,,,,0.6,,,,,
2016-06-20,22.3,24.1,20.8,66.0,0.0,,,,0.7,,,,,
2016-06-21,25.6,31.4,21.1,39.0,7.8,,,,1.4,,,,,
2016-06-22,23.2,25.7,20.8,36.5,0.2,,,,0.3,,,,,
2016-06-23,25.8,31.3,21.1,16.5,9.3,,,,1.6,,,,,
2016-06-24,24.5,28.1,20.4,2.5,0.3,,,,1.5,,,,,
2016-06-25,21.7,27.2,17.0,9.5,0.1,,,,1.4,,,,,
2016-06-26,21.3,28.0,15.1,0.0,12.0,,,,1.0,,,,,
2016-06-27,19.6,26.4,15.6,46.5,4.7,,,,0.6,,,,,
2016-06-28,21.8,24.2,18.7,50.0,0.0,,,,0.6,,,,,
2016-06-29,22.5,24.4,20.7,15.5,0.0,,,,0.6,,,,,
2016-06-30,22.7,25.5,20.7,3.0,0.2,,,,0.4,,,,,
2016-07-01,24.2,29.8,20.0,0.0,8.7,,,,0.6,,,,,
2016-07-02,25.6,30.0,21.8,0.0,3.2,,,,1.0,,,,,
2016-07-03,27.4,32.7,23.2,0.0,9.0,,,,1.4,,,,,
2016-07-04,27.6,33.7,23.1,0.0,9.9,,,,1.0,,,,,
2016-07-05,26.6,31.5,22.9,0.0,10.8,,,,0.8,,,,,
2016-07-06,26.1,30.3,22.7,0.0,9.7,,,,1.0,,,,,
2016-07-07,25.3,30.8,21.5,0.0,7.0,,,,0.7,,,,,
2016-07-08,21.8,23.4,20.2,76.5,0.0,,,,0.8,,,,,
2016-07-09,24.8,29.8,21.0,58.5,1.6,,,,1.1,,,,,
2016-07-10,25.6,29.6,23.3,5.5,1.5,,,,0.4,,,,,
2016-07-11,25.0,29.7,23.0,9.5,0.1,,,,0.7,,,,,
2016-07-12,26.6,30.9,22.9,0.0,4.4,,,,1.6,,,,,
2016-07-13,25.0,26.8,23.1,5.0,0.0,,,,1.2,,,,,
2016-07-14,26.8,32.5,22.7,0.0,9.3,,,,1.9,,,,,
2016-07-15,24.4,30.1,19.3,0.0,5.6,,,,0.8,,,,,
2016-07-16,23.3,28.5,18.1,0.0,2.7,,,,0.3,,,,,
2016-07-17,26.4,31.7,23.2,5.0,6.7,,,,0.7,,,,,
2016-07-18,26.1,33.0,20.8,0.0,12.1,,,,1.0,,,,,
2016-07-19,25.7,30.8,20.2,0.0,11.0,,,,0.8,,,,,
2016-07-20,26.0,31.1,23.3,0.0,3.0,,,,0.5,,,,,
2016-07-21,25.6,29.6,23.2,11.0,3.2,,,,0.6,,,,,
2016-07-22,25.9,30.4,22.9,0.0,8.2,,,,0.6,,,,,
2016-07-23,25.1,28.6,23.0,0.5,6.1,,,,1.5,,,,,
2016-07-24,23.2,25.1,21.7,10.5,0.0,,,,0.7,,,,,
2016-07-25,23.7,28.0,21.4,3.5,0.3,,,,0.3,,,,,
2016-07-26,25.1,30.2,21.7,0.0,5.3,,,,0.7,,,,,
2016-07-27,25.4,30.3,21.6,0.0,10.4,,,,0.6,,,,,
2016-07-28,25.8,31.5,22.1,0.0,9.5,,,,0.6,,,,,
2016-07-29,25.1,30.0,22.6,0.0,2.5,,,,0.6,,,,,
2016-07-30,25.8,31.2,22.5,1.0,8.3,,,,0.6,,,,,
2016-07-31,26.3,32.8,21.3,0.0,11.4,,,,0.7,,,,,
2016-08-01,26.3,32.9,21.9,0.5,7.5,,,,0.5,,,,,
2016-08-02,25.1,32.7,22.7,8.0,6.3,,,,0.5,,,,,
2016-08-03,25.3,31.1,21.9,0.5,3.9,,,,0.4,,,,,
2016-08-04,26.3,32.3,22.4,0.0,7.1,,,,0.6,,,,,
2016-08-05,25.9,30.5,22.5,5.5,5.9,,,,0.7,,,,,
2016-08-06,26.6,32.8,22.8,0.0,9.6,,,,0.5,,,,,
2016-08-07,25.0,29.6,23.0,10.0,1.3,,,,0.5,,,,,
2016-08-08,26.8,34.1,21.0,0.0,11.3,,,,0.8,,,,,
2016-08-09,26.8,33.9,21.7,0.5,9.2,,,,0.7,,,,,
2016-08-10,27.5,32.6,23.3,0.0,6.6,,,,0.7,,,,,
2016-08-11,28.2,34.1,24.8,0.0,10.2,,,,0.7,,,,,
2016-08-12,27.2,32.5,23.7,0.0,7.0,,,,0.6,,,,,
2016-08-13,26.9,33.2,22.1,0.0,8.5,,,,0.6,,,,,
2016-08-14,26.7,32.9,23.6,10.5,7.3,,,,0.7,,,,,
2016-08-15,27.1,34.1,23.1,0.0,7.7,,,,0.9,,,,,
2016-08-16,26.2,32.6,23.0,19.5,3.7,,,,0.5,,,,,
