calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.2,12.3,1.5,0.0,7.1,,,,1.0,,,,,
2016-01-02,5.6,11.3,0.2,0.5,1.8,,,,0.4,,,,,
2016-01-03,9.0,14.9,5.7,1.0,3.1,,,,0.4,,,,,
2016-01-04,8.4,17.8,3.1,0.0,7.1,,,,0.7,,,,,
2016-01-05,7.5,11.7,4.8,0.5,0.0,,,,0.8,,,,,
2016-01-06,8.4,12.3,5.3,0.0,0.3,,,,0.3,,,,,
2016-01-07,6.3,11.4,2.4,0.0,4.9,,,,1.1,,,,,
2016-01-08,4.8,10.0,0.2,0.0,1.9,,,,0.9,,,,,
2016-01-09,5.3,10.5,1.2,0.0,7.2,,,,1.0,,,,,
2016-01-10,4.8,11.6,1.1,0.0,5.5,,,,0.9,,,,,
2016-01-11,6.8,13.2,1.8,0.0,4.6,,,,0.8,,,,,
2016-01-12,6.1,9.3,1.3,0.5,4.1,,,,1.2,,,,,
2016-01-13,3.8,9.8,-0.1,0.0,3.3,,,,0.7,,,,,
2016-01-14,3.4,9.5,-1.3,0.0,6.9,,,,0.9,,,,,
2016-01-15,3.8,8.2,0.2,0.0,7.0,,,,1.1,,,,,
2016-01-16,3.6,11.4,-0.9,0.0,7.2,,,,1.2,,,,,
2016-01-17,5.0,10.2,-0.4,13.0,1.4,,,,0.4,,,,,
2016-01-18,8.2,12.2,1.4,4.0,2.3,,,,1.9,,,,,
2016-01-19,1.0,4.0,-0.6,0.0,2.6,,,,2.0,,,,,
2016-01-20,1.8,4.2,-0.8,0.0,0.2,,,,1.2,,,,,
2016-01-21,3.8,8.4,-0.2,0.0,2.8,,,,0.6,,,,,
2016-01-22,5.3,10.1,0.7,0.0,5.6,,,,1.3,,,,,
2016-01-23,3.2,7.6,0.0,0.0,0.0,,,,1.1,,,,,
2016-01-24,-1.9,0.9,-4.6,0.0,4.9,,,,1.6,,,,,
2016-01-25,-1.4,4.0,-5.2,3.0,5.9,,,,0.8,,,,,
2016-01-26,1.0,7.8,-3.7,0.0,2.8,,,,0.7,,,,,
2016-01-27,3.3,9.8,-2.0,0.0,2.7,,,,0.6,,,,,
2016-01-28,4.6,9.2,-0.5,2.0,1.0,,,,0.3,,,,,
2016-01-29,9.0,12.3,6.0,73.0,0.0,,,,0.2,,,,,
2016-01-30,10.1,13.8,7.4,8.0,0.1,,,,0.7,,,,,
2016-01-31,7.6,13.9,3.2,0.0,6.6,,,,0.8,,,,,
2016-02-01,5.7,9.4,3.0,0.0,0.0,,,,0.6,,,,,
2016-02-02,5.5,8.8,1.2,0.0,7.2,,,,1.3,,,,,
2016-02-03,4.0,10.9,-1.3,0.0,6.9,,,,1.0,,,,,
2016-02-04,4.5,11.8,-0.7,0.0,7.3,,,,0.9,,,,,
2016-02-05,5.6,13.3,0.0,0.0,5.3,,,,0.9,,,,,
2016-02-06,4.9,9.1,1.1,0.0,2.6,,,,1.9,,,,,
2016-02-07,4.5,8.4,1.8,0.0,7.4,,,,1.4,,,,,
2016-02-08,3.9,11.1,-1.4,0.0,7.6,,,,0.9,,,,,
2016-02-09,5.6,11.9,0.9,0.0,6.4,,,,1.2,,,,,
2016-02-10,5.2,11.7,0.7,0.0,7.5,,,,1.1,,,,,
2016-02-11,5.9,14.2,-1.5,0.0,7.5,,,,0.9,,,,,
2016-02-12,7.3,12.0,2.0,0.0,0.2,,,,0.3,,,,,
2016-02-13,13.6,18.7,8.6,187.0,0.0,,,,1.1,,,,,
2016-02-14,15.7,20.5,9.7,21.0,6.5,,,,1.6,,,,,
2016-02-15,5.3,9.8,1.6,0.0,3.3,,,,2.0,,,,,
2016-02-16,3.2,8.8,-0.8,0.0,6.2,,,,1.1,,,,,
2016-02-17,3.1,7.1,-0.4,0.0,3.8,,,,1.3,,,,,
2016-02-18,4.3,12.5,-2.1,0.0,7.9,,,,0.9,,,,,
2016-02-19,7.0,15.1,0.5,0.0,5.5,,,,0.7,,,,,
2016-02-20,9.3,13.8,6.2,54.5,0.0,,,,1.0,,,,,
2016-02-21,6.4,10.1,2.7,0.0,4.2,,,,1.9,,,,,
2016-02-22,5.7,11.2,0.3,1.0,3.0,,,,1.1,,,,,
2016-02-23,7.9,10.3,5.5,2.0,0.0,,,,1.1,,,,,
2016-02-24,6.2,10.0,0.8,0.0,4.6,,,,1.6,,,,,
