calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.9,11.5,-0.3,0.0,8.4,,,,1.3,,,,,
2016-01-02,3.8,8.8,-0.5,0.0,0.9,,,,0.6,,,,,
2016-01-03,8.1,15.8,4.5,0.0,3.4,,,,0.5,,,,,
2016-01-04,7.4,15.8,3.2,0.0,5.7,,,,1.0,,,,,
2016-01-05,5.9,10.4,2.8,0.0,0.0,,,,0.9,,,,,
2016-01-06,6.8,10.5,2.6,0.0,0.4,,,,0.5,,,,,
2016-01-07,4.4,11.7,-0.3,0.0,6.2,,,,1.1,,,,,
2016-01-08,2.6,10.1,-1.5,0.0,1.5,,,,0.8,,,,,
2016-01-09,3.2,10.1,-1.5,0.0,7.7,,,,1.4,,,,,
2016-01-10,2.2,11.2,-2.3,0.0,7.6,,,,0.9,,,,,
2016-01-11,4.6,12.6,-0.8,0.0,4.1,,,,1.0,,,,,
2016-01-12,5.2,8.9,0.5,0.0,3.7,,,,1.4,,,,,
2016-01-13,2.4,8.1,-2.0,0.0,3.8,,,,0.9,,,,,
2016-01-14,1.4,9.3,-3.3,0.0,7.4,,,,1.2,,,,,
2016-01-15,2.2,8.3,-1.7,0.0,6.0,,,,1.4,,,,,
2016-01-16,1.9,11.0,-3.2,0.0,8.6,,,,0.7,,,,,
2016-01-17,2.0,6.5,-2.5,19.5,0.4,,,,0.7,,,,,
2016-01-18,6.1,12.5,0.3,3.5,2.2,,,,2.8,,,,,
2016-01-19,0.8,2.8,-0.5,0.0,2.7,,,,3.8,,,,,
2016-01-20,1.6,4.5,-1.1,0.0,1.9,,,,2.3,,,,,
2016-01-21,2.2,6.9,-1.8,0.0,2.4,,,,,,,,,
2016-01-22,2.4,8.4,-1.2,0.0,3.3,,,,0.9,,,,,
2016-01-23,1.6,7.8,-1.9,0.0,0.7,,,,1.1,,,,,
2016-01-24,-3.5,-0.5,-7.4,0.5,1.4,,,,1.9,,,,,
2016-01-25,-1.6,5.3,-7.1,0.0,8.8,,,,1.3,,,,,
2016-01-26,0.3,6.3,-3.8,0.0,1.3,,,,0.9,,,,,
2016-01-27,2.1,8.5,-2.7,0.0,2.2,,,,0.8,,,,,
2016-01-28,3.4,8.0,-1.1,1.0,1.3,,,,0.6,,,,,
2016-01-29,6.8,8.9,4.1,41.5,0.0,,,,1.2,,,,,
2016-01-30,7.0,9.6,3.9,3.5,0.0,,,,1.2,,,,,
2016-01-31,5.0,14.2,0.7,0.0,7.1,,,,0.9,,,,,
2016-02-01,3.9,7.8,1.2,0.0,0.0,,,,0.7,,,,,
2016-02-02,4.1,9.0,-0.8,0.0,6.7,,,,1.4,,,,,
2016-02-03,2.1,10.7,-2.6,0.0,6.4,,,,0.9,,,,,
2016-02-04,3.1,12.7,-2.4,0.0,7.0,,,,1.1,,,,,
2016-02-05,3.6,12.4,-1.7,0.0,6.6,,,,0.7,,,,,
2016-02-06,2.5,7.7,-2.8,0.0,3.0,,,,1.4,,,,,
2016-02-07,2.4,7.6,-2.0,0.5,5.6,,,,1.2,,,,,
2016-02-08,2.1,11.5,-3.7,0.0,9.1,,,,0.9,,,,,
2016-02-09,4.3,10.6,-0.5,0.0,7.2,,,,1.9,,,,,
2016-02-10,3.5,11.6,-2.5,0.0,8.7,,,,1.5,,,,,
2016-02-11,4.6,16.2,-3.6,0.0,9.2,,,,0.8,,,,,
2016-02-12,6.9,9.9,2.3,0.0,0.0,,,,1.1,,,,,
2016-02-13,11.5,15.2,8.3,83.0,0.0,,,,1.3,,,,,
2016-02-14,13.8,19.6,7.7,24.0,7.1,,,,2.2,,,,,
2016-02-15,4.5,8.4,0.2,0.0,4.0,,,,2.7,,,,,
2016-02-16,2.7,9.1,-2.5,0.0,9.3,,,,1.7,,,,,
2016-02-17,2.0,7.3,-2.4,0.0,4.5,,,,1.2,,,,,
2016-02-18,2.7,12.9,-4.0,0.0,9.5,,,,0.9,,,,,
2016-02-19,5.5,15.6,-1.5,0.0,4.9,,,,0.9,,,,,
2016-02-20,6.2,9.7,5.1,68.5,0.3,,,,1.4,,,,,
2016-02-21,4.9,8.7,0.6,1.0,6.0,,,,1.7,,,,,
2016-02-22,4.7,12.5,-1.5,0.0,3.9,,,,1.0,,,,,
2016-02-23,5.5,8.6,2.9,1.5,0.0,,,,1.1,,,,,
2016-02-24,3.9,8.8,0.3,0.0,2.4,,,,1.5,,,,,
2016-02-25,2.8,9.1,-2.1,0.0,6.9,,,,1.5,,,,,
2016-02-26,2.4,10.0,-2.5,0.0,8.1,,,,1.5,,,,,
2016-02-27,4.2,13.9,-2.8,0.0,5.6,,,,1.1,,,,,
2016-02-28,7.5,15.8,1.5,0.0,6.0,,,,1.0,,,,,
2016-02-29,5.2,13.8,-2.6,2.5,4.2,,,,1.7,,,,,
2016-03-01,1.1,6.1,-2.7,0.0,6.9,,,,1.8,,,,,
2016-03-02,3.0,12.5,-3.5,0.0,10.1,,,,1.4,,,,,
2016-03-03,5.2,17.5,-3.0,0.0,10.1,,,,0.8,,,,,
2016-03-04,7.0,16.7,0.6,0.0,2.9,,,,0.5,,,,,
2016-03-05,11.1,16.6,4.3,0.0,1.4,,,,1.0,,,,,
2016-03-06,13.3,15.8,11.9,20.0,0.0,,,,1.0,,,,,
2016-03-07,14.1,23.2,9.5,0.0,6.3,,,,0.9,,,,,
2016-03-08,12.8,21.8,9.3,1.0,3.5,,,,1.1,,,,,
2016-03-09,8.3,11.6,6.0,63.5,0.0,,,,1.4,,,,,
2016-03-10,6.7,10.6,4.4,0.0,1.5,,,,1.6,,,,,
2016-03-11,4.7,10.3,1.3,0.0,3.4,,,,1.4,,,,,
2016-03-12,4.5,12.9,-1.0,0.0,5.6,,,,1.1,,,,,
2016-03-13,6.4,12.7,1.6,7.5,0.5,,,,0.8,,,,,
2016-03-14,6.0,7.9,4.1,6.5,0.4,,,,2.2,,,,,
2016-03-15,6.3,12.3,0.2,0.0,10.6,,,,2.1,,,,,
2016-03-16,7.2,16.2,0.3,0.0,4.9,,,,1.0,,,,,
2016-03-17,10.1,20.3,4.6,0.0,8.4,,,,1.1,,,,,
2016-03-18,9.9,13.4,5.0,26.5,0.1,,,,0.8,,,,,
2016-03-19,14.3,21.8,10.8,3.5,2.7,,,,1.8,,,,,
2016-03-20,9.4,15.9,3.9,0.0,10.9,,,,1.9,,,,,
2016-03-21,7.4,14.4,1.2,0.0,10.7,,,,1.5,,,,,
2016-03-22,7.7,19.8,-1.1,0.0,10.9,,,,1.1,,,,,
2016-03-23,10.3,20.0,3.1,0.0,8.1,,,,1.2,,,,,
2016-03-24,8.1,11.6,3.2,0.0,5.6,,,,2.9,,,,,
