calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,,,,,,,,
2016-01-02,,,,0.0,,,,,,,,,,
2016-01-03,,,,1.0,,,,,,,,,,
2016-01-04,,,,0.0,,,,,,,,,,
2016-01-05,,,,0.0,,,,,,,,,,
2016-01-06,,,,3.0,,,,,,,,,,
2016-01-07,,,,0.0,,,,,,,,,,
2016-01-08,,,,0.0,,,,,,,,,,
2016-01-09,,,,0.0,,,,,,,,,,
2016-01-10,,,,0.0,,,,,,,,,,
2016-01-11,,,,0.0,,,,,,,,,,
2016-01-12,,,,1.5,,,,,,,,,,
2016-01-13,,,,0.0,,,,,,,,,,
2016-01-14,,,,0.0,,,,,,,,,,
2016-01-15,,,,0.0,,,,,,,,,,
2016-01-16,,,,0.0,,,,,,,,,,
2016-01-17,,,,14.5,,,,,,,,,,
2016-01-18,,,,5.5,,,,,,,,,,
2016-01-19,,,,0.0,,,,,,,,,,
2016-01-20,,,,0.0,,,,,,,,,,
2016-01-21,,,,0.0,,,,,,,,,,
2016-01-22,,,,0.0,,,,,,,,,,
2016-01-23,,,,2.0,,,,,,,,,,
2016-01-24,,,,0.0,,,,,,,,,,
2016-01-25,,,,0.0,,,,,,,,,,
2016-01-26,,,,0.0,,,,,,,,,,
2016-01-27,,,,0.0,,,,,,,,,,
2016-01-28,,,,0.5,,,,,,,,,,
2016-01-29,,,,49.5,,,,,,,,,,
2016-01-30,,,,6.0,,,,,,,,,,
2016-01-31,,,,0.0,,,,,,,,,,
2016-02-01,,,,0.0,,,,,,,,,,
2016-02-02,,,,0.0,,,,,,,,,,
2016-02-03,,,,0.0,,,,,,,,,,
2016-02-04,,,,0.0,,,,,,,,,,
2016-02-05,,,,0.0,,,,,,,,,,
2016-02-06,,,,0.0,,,,,,,,,,
2016-02-07,,,,0.0,,,,,,,,,,
2016-02-08,,,,0.0,,,,,,,,,,
2016-02-09,,,,0.0,,,,,,,,,,
2016-02-10,,,,0.0,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,0.0,,,,,,,,,,
2016-02-13,,,,47.5,,,,,,,,,,
2016-02-14,,,,5.0,,,,,,,,,,
2016-02-15,,,,0.0,,,,,,,,,,
2016-02-16,,,,0.0,,,,,,,,,,
2016-02-17,,,,0.0,,,,,,,,,,
2016-02-18,,,,0.0,,,,,,,,,,
2016-02-19,,,,0.0,,,,,,,,,,
2016-02-20,,,,47.0,,,,,,,,,,
2016-02-21,,,,0.0,,,,,,,,,,
2016-02-22,,,,0.0,,,,,,,,,,
2016-02-23,,,,1.0,,,,,,,,,,
2016-02-24,,,,0.0,,,,,,,,,,
2016-02-25,,,,0.0,,,,,,,,,,
2016-02-26,,,,0.0,,,,,,,,,,
2016-02-27,,,,0.0,,,,,,,,,,
2016-02-28,,,,0.0,,,,,,,,,,
2016-02-29,,,,0.0,,,,,,,,,,
2016-03-01,,,,0.0,,,,,,,,,,
2016-03-02,,,,0.0,,,,,,,,,,
2016-03-03,,,,0.0,,,,,,,,,,
2016-03-04,,,,0.0,,,,,,,,,,
2016-03-05,,,,0.0,,,,,,,,,,
2016-03-06,,,,4.0,,,,,,,,,,
2016-03-07,,,,0.0,,,,,,,,,,
2016-03-08,,,,0.0,,,,,,,,,,
2016-03-09,,,,43.5,,,,,,,,,,
2016-03-10,,,,0.0,,,,,,,,,,
2016-03-11,,,,0.0,,,,,,,,,,
2016-03-12,,,,0.0,,,,,,,,,,
2016-03-13,,,,9.5,,,,,,,,,,
2016-03-14,,,,19.0,,,,,,,,,,
2016-03-15,,,,0.0,,,,,,,,,,
2016-03-16,,,,0.0,,,,,,,,,,
2016-03-17,,,,0.0,,,,,,,,,,
2016-03-18,,,,32.5,,,,,,,,,,
2016-03-19,,,,10.0,,,,,,,,,,
2016-03-20,,,,0.0,,,,,,,,,,
2016-03-21,,,,0.0,,,,,,,,,,
2016-03-22,,,,0.0,,,,,,,,,,
2016-03-23,,,,0.0,,,,,,,,,,
2016-03-24,,,,0.0,,,,,,,,,,
2016-03-25,,,,0.0,,,,,,,,,,
2016-03-26,,,,0.0,,,,,,,,,,
2016-03-27,,,,3.0,,,,,,,,,,
2016-03-28,,,,0.0,,,,,,,,,,
2016-03-29,,,,0.0,,,,,,,,,,
2016-03-30,,,,0.0,,,,,,,,,,
2016-03-31,,,,3.5,,,,,,,,,,
2016-04-01,,,,16.5,,,,,,,,,,
2016-04-02,,,,0.0,,,,,,,,,,
2016-04-03,,,,17.0,,,,,,,,,,
2016-04-04,,,,43.5,,,,,,,,,,
2016-04-05,,,,0.0,,,,,,,,,,
2016-04-06,,,,0.0,,,,,,,,,,
2016-04-07,,,,55.5,,,,,,,,,,
2016-04-08,,,,0.0,,,,,,,,,,
2016-04-09,,,,0.0,,,,,,,,,,
2016-04-10,,,,0.0,,,,,,,,,,
2016-04-11,,,,0.0,,,,,,,,,,
2016-04-12,,,,0.0,,,,,,,,,,
2016-04-13,,,,41.5,,,,,,,,,,
2016-04-14,,,,33.5,,,,,,,,,,
2016-04-15,,,,0.0,,,,,,,,,,
2016-04-16,,,,0.5,,,,,,,,,,
2016-04-17,,,,54.0,,,,,,,,,,
2016-04-18,,,,2.0,,,,,,,,,,
2016-04-19,,,,0.0,,,,,,,,,,
2016-04-20,,,,0.0,,,,,,,,,,
2016-04-21,,,,55.0,,,,,,,,,,
2016-04-22,,,,0.0,,,,,,,,,,
2016-04-23,,,,10.5,,,,,,,,,,
2016-04-24,,,,0.5,,,,,,,,,,
2016-04-25,,,,0.0,,,,,,,,,,
2016-04-26,,,,0.0,,,,,,,,,,
2016-04-27,,,,12.0,,,,,,,,,,
2016-04-28,,,,10.5,,,,,,,,,,
2016-04-29,,,,0.0,,,,,,,,,,
2016-04-30,,,,0.0,,,,,,,,,,
2016-05-01,,,,0.0,,,,,,,,,,
2016-05-02,,,,0.0,,,,,,,,,,
2016-05-03,,,,17.5,,,,,,,,,,
2016-05-04,,,,0.0,,,,,,,,,,
2016-05-05,,,,0.0,,,,,,,,,,
2016-05-06,,,,4.0,,,,,,,,,,
2016-05-07,,,,0.0,,,,,,,,,,
2016-05-08,,,,0.0,,,,,,,,,,
2016-05-09,,,,18.0,,,,,,,,,,
2016-05-10,,,,69.0,,,,,,,,,,
2016-05-11,,,,1.0,,,,,,,,,,
2016-05-12,,,,0.0,,,,,,,,,,
2016-05-13,,,,0.0,,,,,,,,,,
2016-05-14,,,,0.0,,,,,,,,,,
2016-05-15,,,,0.0,,,,,,,,,,
2016-05-16,,,,40.0,,,,,,,,,,
2016-05-17,,,,5.5,,,,,,,,,,
2016-05-18,,,,0.0,,,,,,,,,,
2016-05-19,,,,0.0,,,,,,,,,,
2016-05-20,,,,0.0,,,,,,,,,,
2016-05-21,,,,0.0,,,,,,,,,,
2016-05-22,,,,0.0,,,,,,,,,,
2016-05-23,,,,0.0,,,,,,,,,,
2016-05-24,,,,0.0,,,,,,,,,,
2016-05-25,,,,8.0,,,,,,,,,,
2016-05-26,,,,24.0,,,,,,,,,,
2016-05-27,,,,0.0,,,,,,,,,,
2016-05-28,,,,0.5,,,,,,,,,,
2016-05-29,,,,42.5,,,,,,,,,,
2016-05-30,,,,4.5,,,,,,,,,,
2016-05-31,,,,0.0,,,,,,,,,,
2016-06-01,,,,0.0,,,,,,,,,,
2016-06-02,,,,0.0,,,,,,,,,,
2016-06-03,,,,0.0,,,,,,,,,,
2016-06-04,,,,4.5,,,,,,,,,,
2016-06-05,,,,0.5,,,,,,,,,,
2016-06-06,,,,0.0,,,,,,,,,,
2016-06-07,,,,140.5,,,,,,,,,,
2016-06-08,,,,0.0,,,,,,,,,,
2016-06-09,,,,0.0,,,,,,,,,,
2016-06-10,,,,0.0,,,,,,,,,,
2016-06-11,,,,0.0,,,,,,,,,,
2016-06-12,,,,44.5,,,,,,,,,,
2016-06-13,,,,1.5,,,,,,,,,,
2016-06-14,,,,0.0,,,,,,,,,,
2016-06-15,,,,0.0,,,,,,,,,,
2016-06-16,,,,17.5,,,,,,,,,,
2016-06-17,,,,0.5,,,,,,,,,,
2016-06-18,,,,0.0,,,,,,,,,,
2016-06-19,,,,13.5,,,,,,,,,,
2016-06-20,,,,16.0,,,,,,,,,,
2016-06-21,,,,100.5,,,,,,,,,,
2016-06-22,,,,22.0,,,,,,,,,,
2016-06-23,,,,17.5,,,,,,,,,,
2016-06-24,,,,8.0,,,,,,,,,,
2016-06-25,,,,1.0,,,,,,,,,,
2016-06-26,,,,0.0,,,,,,,,,,
