calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.1,8.6,-5.0,0.0,7.3,,,,1.0,,,,,
2016-01-02,6.8,12.9,-2.0,0.5,1.2,,,,0.9,,,,,
2016-01-03,8.8,13.6,3.8,0.0,0.0,,,,0.7,,,,,
2016-01-04,7.8,13.9,1.4,0.0,8.7,,,,1.5,,,,,
2016-01-05,6.0,8.9,3.9,10.5,0.1,,,,1.2,,,,,
2016-01-06,5.0,7.4,0.3,1.0,0.0,,,,0.9,,,,,
2016-01-07,4.5,6.9,2.5,0.0,1.0,,,,3.0,,,,,
2016-01-08,2.7,3.6,1.3,0.0,0.3,,,,2.4,,,,,
2016-01-09,1.5,5.0,-2.7,0.0,2.2,,,,1.6,,,,,
2016-01-10,1.8,8.0,-2.4,0.0,7.3,,,,1.5,,,,,
2016-01-11,3.5,8.7,-1.9,0.0,0.3,,,,1.1,,,,,
2016-01-12,2.5,5.7,-1.2,0.0,0.2,,,,1.7,,,,,
2016-01-13,1.3,3.5,-1.0,0.0,0.9,,,,2.8,,,,,
2016-01-14,1.1,6.1,-4.2,0.0,3.2,,,,2.0,,,,,
2016-01-15,-1.6,5.6,-6.0,0.0,3.3,,,,0.6,,,,,
2016-01-16,0.3,10.8,-6.8,0.0,9.3,,,,0.9,,,,,
2016-01-17,2.2,5.5,-3.7,17.0,0.0,,,,1.6,,,,,
2016-01-18,3.1,6.4,-2.3,6.5,0.4,,,,4.5,,,,,
2016-01-19,-2.1,-0.6,-3.2,0.5,0.2,,,,5.5,,,,,
2016-01-20,-2.0,2.3,-5.2,0.0,8.1,,,,2.7,,,,,
2016-01-21,-2.4,2.6,-7.1,0.0,0.5,,,,0.8,,,,,
2016-01-22,1.3,5.3,-3.4,0.0,3.1,,,,1.5,,,,,
2016-01-23,-0.1,3.7,-3.4,0.0,1.6,,,,1.7,,,,,
2016-01-24,-6.9,-3.3,-11.3,1.5,0.0,,,,4.1,,,,,
2016-01-25,-3.7,-0.5,-10.0,0.0,1.3,,,,3.3,,,,,
2016-01-26,1.0,3.8,-2.2,0.0,0.0,,,,2.8,,,,,
2016-01-27,3.3,7.9,-1.6,0.0,3.6,,,,1.8,,,,,
2016-01-28,4.9,7.1,1.3,9.5,0.0,,,,0.3,,,,,
2016-01-29,9.7,12.6,5.7,41.0,0.0,,,,1.2,,,,,
2016-01-30,7.4,9.3,1.6,2.5,0.6,,,,1.8,,,,,
2016-01-31,3.5,10.1,-1.0,0.0,4.1,,,,1.6,,,,,
2016-02-01,2.6,4.9,0.2,0.0,0.0,,,,2.1,,,,,
2016-02-02,1.6,6.1,-2.9,0.0,3.3,,,,1.9,,,,,
2016-02-03,1.8,6.7,-2.4,0.0,2.3,,,,2.0,,,,,
2016-02-04,2.0,7.7,-2.9,0.0,7.9,,,,2.2,,,,,
2016-02-05,1.8,9.4,-2.8,0.0,7.8,,,,1.5,,,,,
2016-02-06,1.1,5.5,-2.7,0.0,2.3,,,,2.4,,,,,
2016-02-07,-0.8,5.2,-5.5,0.0,3.4,,,,1.2,,,,,
2016-02-08,0.6,6.6,-6.6,0.0,6.5,,,,2.3,,,,,
2016-02-09,5.0,9.2,-1.7,0.0,9.5,,,,4.3,,,,,
2016-02-10,2.3,12.4,-5.3,0.0,10.0,,,,1.3,,,,,
2016-02-11,5.3,16.6,-4.1,0.0,8.4,,,,0.9,,,,,
2016-02-12,11.5,14.3,3.2,0.5,0.1,,,,2.2,,,,,
2016-02-13,14.2,18.7,10.2,50.5,0.3,,,,2.0,,,,,
2016-02-14,7.1,15.8,0.9,7.5,0.0,,,,5.1,,,,,
2016-02-15,-0.8,2.2,-2.7,0.0,2.6,,,,4.1,,,,,
2016-02-16,-0.3,3.7,-3.0,0.5,3.2,,,,3.1,,,,,
2016-02-17,1.2,5.4,-2.7,2.5,3.1,,,,2.5,,,,,
2016-02-18,2.3,9.4,-4.8,0.0,10.1,,,,1.6,,,,,
2016-02-19,6.6,12.2,0.4,0.0,4.5,,,,1.6,,,,,
2016-02-20,5.8,7.9,3.5,38.0,0.0,,,,2.4,,,,,
2016-02-21,3.1,7.2,-1.9,0.0,7.7,,,,2.4,,,,,
2016-02-22,3.3,9.9,-2.7,3.5,1.1,,,,1.1,,,,,
2016-02-23,4.4,7.5,0.4,6.5,0.1,,,,1.3,,,,,
2016-02-24,3.2,8.3,-0.5,0.0,4.6,,,,2.5,,,,,
2016-02-25,0.4,4.2,-3.7,0.0,1.1,,,,2.6,,,,,
2016-02-26,-0.1,7.2,-5.7,0.0,8.4,,,,1.3,,,,,
2016-02-27,4.0,11.5,-4.0,0.0,5.0,,,,1.8,,,,,
2016-02-28,7.4,16.0,-0.9,0.0,8.8,,,,1.8,,,,,
2016-02-29,2.8,10.5,-3.1,0.0,3.1,,,,5.0,,,,,
2016-03-01,-1.0,4.4,-7.4,0.0,10.5,,,,2.6,,,,,
2016-03-02,2.4,10.9,-5.3,0.0,8.7,,,,1.9,,,,,
2016-03-03,4.8,14.3,-4.6,0.0,10.5,,,,1.4,,,,,
2016-03-04,10.6,19.3,4.1,0.0,3.5,,,,1.0,,,,,
2016-03-05,12.6,20.2,4.5,0.0,9.8,,,,1.8,,,,,
2016-03-06,15.3,21.8,9.7,0.0,1.6,,,,1.4,,,,,
2016-03-07,14.6,22.6,8.4,0.0,6.8,,,,1.6,,,,,
2016-03-08,12.8,20.6,6.5,0.0,6.7,,,,2.0,,,,,
2016-03-09,7.5,10.7,5.0,27.0,0.4,,,,3.7,,,,,
2016-03-10,5.8,10.4,2.8,0.0,0.5,,,,1.7,,,,,
2016-03-11,3.3,8.5,-1.0,0.0,3.2,,,,1.9,,,,,
2016-03-12,2.7,10.5,-4.3,0.0,10.9,,,,1.3,,,,,
2016-03-13,3.6,9.2,-2.0,4.5,0.4,,,,0.7,,,,,
2016-03-14,5.0,9.2,2.6,6.0,2.6,,,,3.8,,,,,
2016-03-15,6.0,13.7,1.2,0.0,10.9,,,,2.4,,,,,
2016-03-16,6.7,15.5,-0.5,0.0,6.1,,,,1.3,,,,,
2016-03-17,9.4,19.6,-1.2,0.0,9.9,,,,1.2,,,,,
2016-03-18,11.9,14.5,8.3,17.0,0.0,,,,1.3,,,,,
2016-03-19,12.3,16.4,5.7,5.5,0.6,,,,2.4,,,,,
2016-03-20,8.2,14.8,2.3,0.0,11.2,,,,3.0,,,,,
2016-03-21,6.5,15.2,-0.2,0.0,11.4,,,,2.1,,,,,
2016-03-22,7.5,16.5,-2.9,0.0,11.3,,,,1.8,,,,,
2016-03-23,8.6,15.0,2.7,0.0,1.9,,,,1.6,,,,,
2016-03-24,6.2,11.4,1.5,0.0,5.8,,,,3.4,,,,,
2016-03-25,4.1,10.9,-1.1,0.0,10.8,,,,2.8,,,,,
2016-03-26,5.7,14.0,-3.0,0.0,10.6,,,,1.7,,,,,
2016-03-27,4.2,10.4,-1.2,0.0,4.0,,,,2.1,,,,,
2016-03-28,5.0,13.6,-3.7,0.0,8.8,,,,1.8,,,,,
2016-03-29,7.8,14.6,-1.2,0.0,4.5,,,,2.2,,,,,
2016-03-30,11.9,14.5,9.6,0.0,0.0,,,,2.5,,,,,
2016-03-31,10.7,13.7,5.9,12.0,0.2,,,,1.3,,,,,
2016-04-01,12.5,15.1,10.6,2.5,0.7,,,,1.9,,,,,
2016-04-02,14.0,20.4,6.7,0.0,6.9,,,,1.5,,,,,
2016-04-03,14.7,17.6,13.2,4.5,0.0,,,,1.3,,,,,
2016-04-04,13.9,16.4,11.4,20.5,0.0,,,,1.8,,,,,
2016-04-05,12.7,18.4,7.6,0.0,9.7,,,,2.4,,,,,
2016-04-06,13.4,19.6,6.5,9.0,1.6,,,,1.5,,,,,
2016-04-07,16.3,19.8,12.1,93.5,0.0,,,,6.5,,,,,
2016-04-08,14.3,19.5,9.7,0.0,3.0,,,,1.9,,,,,
2016-04-09,14.6,21.7,8.9,0.0,7.9,,,,1.5,,,,,
2016-04-10,13.2,20.1,8.7,0.0,1.8,,,,1.8,,,,,
2016-04-11,11.9,16.2,4.9,0.0,7.7,,,,2.5,,,,,
2016-04-12,11.1,18.8,2.3,0.0,8.8,,,,1.9,,,,,
2016-04-13,13.9,20.6,7.5,4.0,3.8,,,,1.2,,,,,
2016-04-14,16.1,22.8,7.7,0.0,9.2,,,,1.6,,,,,
2016-04-15,13.6,21.6,6.7,0.0,11.8,,,,2.1,,,,,
2016-04-16,,,,,,,,,,,,,,
2016-04-17,,,,,,,,,,,,,,
2016-04-18,,,,0.0,,,,,,,,,,
2016-04-19,,,,0.0,,,,,,,,,,
2016-04-20,,,,0.0,,,,,,,,,,
2016-04-21,15.9,19.9,12.5,125.0,0.0,,,,3.9,,,,,
2016-04-22,16.1,21.1,12.7,0.5,7.8,,,,3.0,,,,,
2016-04-23,12.3,18.5,10.4,6.0,0.3,,,,1.2,,,,,
2016-04-24,12.8,15.4,10.7,1.5,0.0,,,,1.6,,,,,
2016-04-25,13.9,15.6,11.6,3.5,0.0,,,,1.7,,,,,
2016-04-26,17.7,22.2,14.4,0.0,2.9,,,,2.1,,,,,
2016-04-27,16.4,17.7,15.5,29.0,0.0,,,,2.1,,,,,
2016-04-28,13.9,16.4,10.5,12.5,0.0,,,,3.1,,,,,
2016-04-29,11.6,18.1,5.6,0.0,12.1,,,,2.1,,,,,
2016-04-30,13.0,20.9,2.8,0.0,12.5,,,,2.2,,,,,
2016-05-01,16.5,23.8,7.9,0.0,12.0,,,,2.3,,,,,
2016-05-02,17.1,26.4,8.0,0.0,10.0,,,,1.4,,,,,
2016-05-03,15.4,19.1,11.2,42.5,0.0,,,,4.0,,,,,
2016-05-04,14.9,20.5,9.6,0.0,11.8,,,,5.1,,,,,
2016-05-05,17.3,24.8,11.9,0.0,8.5,,,,2.6,,,,,
2016-05-06,15.1,18.3,11.9,16.0,0.1,,,,1.0,,,,,
2016-05-07,18.6,23.3,14.9,2.0,2.9,,,,2.4,,,,,
2016-05-08,16.3,23.2,11.9,13.0,3.0,,,,1.8,,,,,
2016-05-09,17.6,19.1,14.8,50.5,0.0,,,,3.4,,,,,
2016-05-10,18.6,20.1,16.1,72.0,0.0,,,,3.6,,,,,
2016-05-11,13.9,18.7,7.5,7.5,1.0,,,,2.8,,,,,
2016-05-12,15.7,25.0,4.5,0.0,13.0,,,,1.6,,,,,
2016-05-13,18.5,24.9,13.0,0.0,8.7,,,,1.6,,,,,
2016-05-14,19.6,27.3,11.6,0.0,10.5,,,,1.6,,,,,
2016-05-15,19.6,24.4,15.8,0.0,0.7,,,,1.2,,,,,
2016-05-16,14.8,20.4,7.0,31.5,0.4,,,,2.1,,,,,
2016-05-17,13.8,23.9,3.2,0.0,12.4,,,,1.4,,,,,
2016-05-18,16.5,26.6,6.1,0.0,12.9,,,,1.8,,,,,
2016-05-19,17.0,24.0,9.0,0.0,6.9,,,,2.3,,,,,
2016-05-20,18.8,24.3,13.8,0.0,10.8,,,,3.5,,,,,
2016-05-21,17.9,24.8,11.7,0.0,5.3,,,,2.1,,,,,
2016-05-22,17.8,26.7,8.6,0.0,12.1,,,,2.0,,,,,
2016-05-23,19.4,28.4,9.6,0.0,13.0,,,,1.7,,,,,
2016-05-24,20.1,26.4,12.8,0.0,1.6,,,,1.3,,,,,
2016-05-25,20.5,24.2,18.2,24.5,0.7,,,,1.0,,,,,
2016-05-26,22.5,27.3,19.2,1.5,4.9,,,,2.1,,,,,
2016-05-27,20.8,26.0,17.3,0.5,3.4,,,,1.6,,,,,
2016-05-28,17.4,19.0,16.5,12.0,0.0,,,,1.2,,,,,
2016-05-29,18.9,21.0,16.8,35.0,0.0,,,,1.0,,,,,
2016-05-30,21.0,27.8,13.8,2.0,11.8,,,,2.0,,,,,
2016-05-31,19.8,28.4,9.6,0.0,12.3,,,,1.8,,,,,
2016-06-01,17.4,22.1,13.0,0.0,2.0,,,,1.6,,,,,
2016-06-02,17.3,24.3,10.6,0.0,13.2,,,,2.6,,,,,
2016-06-03,18.3,26.6,9.3,0.0,11.1,,,,1.2,,,,,
2016-06-04,16.2,17.5,14.5,23.5,0.0,,,,1.8,,,,,
2016-06-05,16.9,18.7,15.4,3.5,0.0,,,,2.1,,,,,
2016-06-06,18.8,21.6,16.8,0.0,0.5,,,,2.6,,,,,
2016-06-07,20.9,26.4,17.7,0.0,5.0,,,,1.8,,,,,
2016-06-08,21.0,26.4,16.7,7.0,4.4,,,,1.3,,,,,
2016-06-09,20.6,25.0,18.0,28.0,2.1,,,,1.0,,,,,
2016-06-10,22.4,29.0,16.8,0.5,9.2,,,,1.5,,,,,
2016-06-11,22.7,27.6,18.2,0.0,4.2,,,,1.2,,,,,
2016-06-12,20.2,21.7,19.2,25.0,0.0,,,,1.8,,,,,
2016-06-13,21.0,25.4,17.1,2.5,4.0,,,,1.4,,,,,
2016-06-14,21.8,28.2,15.1,0.0,12.4,,,,1.6,,,,,
2016-06-15,23.5,28.7,18.6,0.0,6.3,,,,1.3,,,,,
