calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.4,11.4,-2.0,0.0,8.7,,,,0.5,,,,,
2016-01-02,8.4,15.1,2.7,0.5,0.9,,,,0.6,,,,,
2016-01-03,10.5,16.9,5.6,0.0,0.4,,,,0.6,,,,,
2016-01-04,8.6,16.5,3.4,0.0,7.0,,,,0.7,,,,,
2016-01-05,7.6,10.7,6.4,6.0,0.0,,,,0.6,,,,,
2016-01-06,7.1,11.3,3.4,0.0,0.0,,,,0.4,,,,,
2016-01-07,5.8,9.7,3.3,0.0,2.4,,,,0.8,,,,,
2016-01-08,4.8,7.1,1.3,0.0,0.1,,,,1.1,,,,,
2016-01-09,2.8,8.7,-2.0,0.0,1.6,,,,0.6,,,,,
2016-01-10,3.6,10.9,-1.0,0.0,8.2,,,,0.6,,,,,
2016-01-11,5.8,12.4,0.4,0.0,1.3,,,,1.3,,,,,
2016-01-12,4.1,8.7,-0.6,0.0,0.6,,,,0.8,,,,,
2016-01-13,2.4,6.6,-1.8,0.0,0.2,,,,0.8,,,,,
2016-01-14,2.9,9.0,-1.5,0.0,5.4,,,,1.3,,,,,
2016-01-15,1.6,9.6,-3.2,0.0,5.4,,,,0.8,,,,,
2016-01-16,3.0,13.3,-4.5,0.0,9.2,,,,0.7,,,,,
2016-01-17,4.3,8.5,-1.0,18.0,0.0,,,,0.8,,,,,
2016-01-18,5.6,9.7,-0.1,3.5,1.6,,,,2.0,,,,,
2016-01-19,0.3,3.1,-1.4,0.5,1.5,,,,2.2,,,,,
2016-01-20,0.4,5.0,-3.6,0.0,5.5,,,,1.3,,,,,
2016-01-21,0.0,4.7,-5.0,0.0,0.1,,,,0.5,,,,,
2016-01-22,2.8,8.1,-2.8,0.0,4.2,,,,1.1,,,,,
2016-01-23,1.5,6.2,-1.2,0.0,1.0,,,,1.8,,,,,
2016-01-24,-4.3,-1.1,-7.1,1.0,0.2,,,,2.5,,,,,
2016-01-25,-2.7,1.3,-8.3,0.5,1.7,,,,0.4,,,,,
2016-01-26,0.5,4.1,-1.8,0.0,0.0,,,,0.2,,,,,
2016-01-27,3.3,10.4,-1.9,0.0,2.2,,,,0.5,,,,,
2016-01-28,6.2,10.2,3.0,6.0,0.0,,,,0.3,,,,,
2016-01-29,11.3,14.2,8.7,38.5,0.0,,,,0.5,,,,,
2016-01-30,9.5,13.9,3.9,0.0,4.5,,,,2.0,,,,,
2016-01-31,6.1,13.5,1.8,0.0,5.4,,,,0.9,,,,,
2016-02-01,4.2,8.0,1.4,0.0,0.1,,,,0.7,,,,,
2016-02-02,3.2,8.6,-1.3,0.0,2.0,,,,1.2,,,,,
2016-02-03,4.6,10.8,-0.5,0.5,1.2,,,,0.5,,,,,
2016-02-04,3.3,10.7,-2.2,0.0,6.9,,,,0.7,,,,,
2016-02-05,2.8,9.7,-1.8,0.0,4.4,,,,1.0,,,,,
2016-02-06,2.3,8.4,-2.1,0.0,3.6,,,,1.3,,,,,
2016-02-07,1.6,8.2,-3.4,0.0,3.8,,,,0.7,,,,,
2016-02-08,2.7,9.6,-3.9,0.0,4.5,,,,1.0,,,,,
2016-02-09,4.3,12.4,-1.8,0.0,9.4,,,,1.8,,,,,
2016-02-10,4.1,15.2,-4.0,0.0,10.0,,,,0.9,,,,,
2016-02-11,6.8,19.0,-2.0,0.0,6.8,,,,0.7,,,,,
2016-02-12,11.3,20.5,3.7,2.0,2.3,,,,1.9,,,,,
2016-02-13,15.3,19.5,10.9,61.5,0.0,,,,1.4,,,,,
2016-02-14,9.8,17.8,3.7,0.5,0.4,,,,2.2,,,,,
2016-02-15,2.2,4.8,-0.6,0.5,2.6,,,,1.9,,,,,
2016-02-16,1.8,6.7,-2.0,0.0,2.1,,,,1.0,,,,,
2016-02-17,2.6,8.6,-2.0,0.0,1.9,,,,1.1,,,,,
2016-02-18,3.4,12.3,-3.7,0.0,8.9,,,,0.9,,,,,
2016-02-19,6.6,15.0,-1.1,0.0,4.4,,,,0.9,,,,,
2016-02-20,7.8,11.5,4.9,30.5,0.0,,,,1.3,,,,,
2016-02-21,4.3,9.8,-0.7,3.5,8.2,,,,1.8,,,,,
2016-02-22,4.9,11.6,-1.7,3.0,1.2,,,,0.7,,,,,
2016-02-23,6.7,11.9,3.4,5.0,1.6,,,,1.0,,,,,
2016-02-24,5.1,11.1,1.8,0.0,4.8,,,,1.5,,,,,
2016-02-25,2.3,6.0,-2.9,0.0,1.5,,,,1.3,,,,,
2016-02-26,2.1,10.9,-4.2,0.0,8.8,,,,0.7,,,,,
2016-02-27,5.4,14.4,-1.9,0.0,1.6,,,,1.0,,,,,
2016-02-28,8.8,18.5,0.7,0.0,9.7,,,,1.2,,,,,
2016-02-29,4.2,9.7,-1.5,0.0,2.5,,,,2.7,,,,,
2016-03-01,0.6,8.2,-4.3,0.0,7.6,,,,0.8,,,,,
2016-03-02,3.7,13.5,-4.5,0.0,9.0,,,,0.9,,,,,
2016-03-03,7.3,17.5,-2.7,0.0,9.7,,,,0.9,,,,,
2016-03-04,13.0,21.8,7.0,0.0,3.5,,,,0.7,,,,,
2016-03-05,14.3,23.2,5.5,0.0,10.2,,,,1.6,,,,,
2016-03-06,15.5,24.4,8.3,0.0,1.7,,,,0.7,,,,,
2016-03-07,16.0,25.3,8.7,0.0,8.5,,,,0.9,,,,,
2016-03-08,14.1,23.1,8.6,0.0,6.5,,,,1.4,,,,,
2016-03-09,9.2,13.3,5.3,29.5,0.1,,,,2.4,,,,,
2016-03-10,7.5,12.1,4.3,0.0,0.2,,,,1.4,,,,,
2016-03-11,4.8,10.6,0.1,0.0,4.5,,,,1.8,,,,,
2016-03-12,4.1,11.7,-2.2,0.0,8.1,,,,1.2,,,,,
2016-03-13,5.2,10.7,-0.9,6.0,0.0,,,,0.4,,,,,
2016-03-14,7.8,12.6,4.0,2.5,5.2,,,,2.8,,,,,
2016-03-15,7.3,16.7,0.2,0.0,11.1,,,,1.8,,,,,
2016-03-16,8.6,18.4,1.9,0.0,7.9,,,,0.9,,,,,
2016-03-17,11.5,22.4,0.7,0.0,10.6,,,,0.9,,,,,
2016-03-18,12.7,15.4,9.5,24.5,0.0,,,,0.5,,,,,
2016-03-19,13.4,16.9,7.1,1.0,1.4,,,,1.2,,,,,
2016-03-20,9.5,17.5,2.2,0.0,11.1,,,,2.8,,,,,
2016-03-21,8.7,18.3,1.6,0.0,11.3,,,,2.4,,,,,
2016-03-22,8.8,19.4,-1.1,0.0,11.4,,,,1.0,,,,,
2016-03-23,10.0,17.6,1.9,0.0,3.2,,,,1.0,,,,,
2016-03-24,7.9,13.4,1.9,0.0,4.1,,,,2.0,,,,,
2016-03-25,7.5,14.0,1.8,0.0,9.0,,,,2.3,,,,,
2016-03-26,8.0,16.9,-1.6,1.0,9.6,,,,1.1,,,,,
2016-03-27,6.4,13.0,1.2,2.0,3.9,,,,1.0,,,,,
2016-03-28,7.0,16.8,-1.2,0.0,10.0,,,,1.0,,,,,
2016-03-29,9.4,17.6,0.2,0.0,3.8,,,,1.2,,,,,
2016-03-30,12.1,16.4,7.8,1.0,0.0,,,,0.7,,,,,
2016-03-31,12.6,16.5,7.6,5.5,0.4,,,,0.6,,,,,
2016-04-01,14.1,18.9,11.5,0.0,1.0,,,,1.3,,,,,
2016-04-02,15.8,24.6,8.0,0.0,8.3,,,,1.2,,,,,
2016-04-03,16.2,22.8,11.4,3.5,0.1,,,,0.8,,,,,
2016-04-04,15.4,19.5,10.4,10.0,1.0,,,,1.5,,,,,
2016-04-05,13.5,21.4,6.7,0.0,8.7,,,,1.1,,,,,
2016-04-06,14.7,22.4,8.1,6.0,2.7,,,,0.8,,,,,
2016-04-07,18.6,21.6,14.1,55.0,0.0,,,,2.7,,,,,
2016-04-08,15.9,21.6,10.8,0.0,3.9,,,,0.5,,,,,
2016-04-09,15.9,25.8,8.8,0.0,7.0,,,,0.5,,,,,
2016-04-10,15.8,24.3,10.9,0.0,2.7,,,,0.9,,,,,
2016-04-11,14.1,20.1,6.3,0.0,8.0,,,,2.3,,,,,
2016-04-12,13.9,24.8,3.8,0.0,8.0,,,,1.1,,,,,
2016-04-13,15.1,21.9,8.9,9.5,1.6,,,,0.7,,,,,
2016-04-14,17.8,25.3,10.0,0.0,9.8,,,,1.8,,,,,
2016-04-15,16.4,26.7,8.1,0.0,11.9,,,,1.3,,,,,
2016-04-16,16.7,25.4,7.4,6.5,6.2,,,,2.0,,,,,
2016-04-17,15.8,20.2,7.9,18.0,7.9,,,,1.9,,,,,
2016-04-18,11.0,16.7,5.4,0.0,0.0,,,,0.7,,,,,
2016-04-19,12.0,22.1,3.4,0.0,10.4,,,,1.1,,,,,
2016-04-20,14.5,25.8,3.1,0.0,8.7,,,,0.9,,,,,
2016-04-21,16.7,20.8,13.0,82.0,0.0,,,,1.4,,,,,
