calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,11.4,-1.0,0.0,9.1,,,,1.6,,,,,
2016-01-02,9.1,13.0,3.5,0.5,0.0,,,,1.4,,,,,
2016-01-03,12.1,16.0,7.6,0.0,0.0,,,,1.1,,,,,
2016-01-04,10.7,17.6,5.3,0.0,8.5,,,,1.2,,,,,
2016-01-05,9.2,11.6,7.2,18.5,0.0,,,,1.1,,,,,
2016-01-06,7.8,9.7,4.7,2.0,0.0,,,,0.6,,,,,
2016-01-07,7.3,10.5,4.0,0.0,1.1,,,,1.4,,,,,
2016-01-08,5.9,7.1,4.7,1.0,0.0,,,,1.0,,,,,
2016-01-09,5.2,9.6,2.4,0.0,1.2,,,,1.3,,,,,
2016-01-10,5.8,10.7,2.6,0.0,4.2,,,,1.4,,,,,
2016-01-11,6.4,9.6,3.4,0.0,0.0,,,,1.0,,,,,
2016-01-12,5.6,8.8,2.4,0.5,0.0,,,,0.8,,,,,
2016-01-13,4.1,6.0,1.4,0.0,0.0,,,,0.8,,,,,
2016-01-14,4.7,8.6,0.4,0.0,0.6,,,,0.9,,,,,
2016-01-15,3.5,9.2,-0.5,0.0,1.3,,,,1.3,,,,,
2016-01-16,5.3,13.9,-2.1,0.0,9.2,,,,1.3,,,,,
2016-01-17,6.2,9.4,1.7,11.0,0.0,,,,1.2,,,,,
2016-01-18,7.3,11.2,2.6,7.0,0.5,,,,2.9,,,,,
2016-01-19,2.7,4.1,0.9,0.5,0.0,,,,2.9,,,,,
2016-01-20,2.1,5.9,-1.3,0.0,4.4,,,,1.7,,,,,
2016-01-21,1.8,5.8,-2.3,0.0,0.0,,,,1.1,,,,,
2016-01-22,4.1,9.0,-0.8,0.0,3.8,,,,1.0,,,,,
2016-01-23,3.1,7.2,-0.3,1.0,1.3,,,,1.5,,,,,
2016-01-24,-3.2,0.0,-8.5,7.5,0.0,,,,2.0,,,,,
2016-01-25,-0.9,4.3,-8.8,0.0,5.7,,,,1.3,,,,,
2016-01-26,3.2,8.2,-0.2,0.0,0.2,,,,1.4,,,,,
2016-01-27,5.7,11.2,0.7,0.0,2.2,,,,1.7,,,,,
2016-01-28,8.6,10.4,5.8,2.0,0.0,,,,1.4,,,,,
2016-01-29,11.7,14.5,9.5,47.5,0.0,,,,1.0,,,,,
2016-01-30,10.4,12.9,6.2,2.5,0.4,,,,0.8,,,,,
2016-01-31,7.9,14.4,3.5,0.0,6.8,,,,1.2,,,,,
2016-02-01,6.5,8.4,4.8,0.0,0.0,,,,1.0,,,,,
2016-02-02,4.8,8.8,0.7,0.0,3.6,,,,1.2,,,,,
2016-02-03,5.4,9.9,1.4,0.0,3.9,,,,1.1,,,,,
2016-02-04,5.2,10.9,0.6,0.0,7.7,,,,1.4,,,,,
2016-02-05,5.0,11.1,0.9,0.0,6.6,,,,1.5,,,,,
