calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.7,12.0,-1.4,,9.3,12.10,,,1.4,6.7,1026.8,81,1031.8,0.5
2016-01-02,9.6,15.1,4.0,0.0,0.5,5.11,,,1.0,9.3,1020.7,78,1025.5,10.0
2016-01-03,11.8,15.2,8.3,,0.0,4.14,,,1.0,11.8,1014.9,86,1019.7,8.0
2016-01-04,11.0,17.6,5.4,,8.6,10.97,,,1.4,10.3,1016.2,81,1021.0,5.5
2016-01-05,9.4,12.2,7.2,11.0,0.0,1.36,,,1.4,10.0,1017.4,85,1022.2,10.0
2016-01-06,8.3,10.4,6.0,0.5,0.0,2.19,,,1.0,10.1,1015.6,93,1020.4,10.0
2016-01-07,7.9,11.6,4.9,0.0,3.8,8.61,,,1.8,7.6,1016.7,74,1021.6,7.3
2016-01-08,6.7,7.6,5.7,0.0,0.0,2.00,,,1.3,6.9,1016.5,71,1021.4,10.0
2016-01-09,5.8,9.8,1.5,,3.4,7.56,,,1.3,6.1,1019.6,67,1024.5,7.5
2016-01-10,6.0,11.4,2.4,,5.4,9.14,,,1.3,6.7,1020.0,73,1024.9,6.0
2016-01-11,7.0,10.4,3.4,0.0,0.2,4.59,,,1.4,7.0,1016.4,71,1021.2,10.0
2016-01-12,6.2,9.1,3.7,0.0,0.1,4.00,,,1.4,7.0,1014.0,73,1018.9,9.0
2016-01-13,4.5,7.3,1.9,0.0,0.1,2.80,,,1.4,6.1,1015.1,73,1020.0,10.0
2016-01-14,5.5,10.0,0.8,0.0,2.9,7.19,,,1.6,5.7,1016.3,64,1021.2,7.3
2016-01-15,3.7,9.3,-1.0,,2.0,7.41,,,1.5,5.0,1016.4,66,1021.4,5.3
2016-01-16,5.7,14.1,-1.3,,9.6,12.94,,,1.5,5.3,1016.6,61,1021.5,2.8
2016-01-17,6.5,10.0,2.1,12.0,0.0,1.71,,,1.9,8.5,1007.8,86,1012.6,10.0
2016-01-18,7.2,11.4,1.8,2.0,2.0,5.05,,,4.0,7.5,1004.6,72,1009.4,9.0
2016-01-19,2.7,5.1,1.3,0.0,3.5,8.94,,,4.7,4.5,1014.0,60,1018.9,8.5
2016-01-20,2.6,6.4,-0.4,0.0,6.0,10.67,,,2.2,4.1,1021.0,56,1025.9,6.5
2016-01-21,1.5,5.0,-2.5,0.0,0.0,3.84,,,1.2,5.2,1019.6,77,1024.6,8.0
2016-01-22,4.7,9.3,-0.2,,5.2,10.33,,,1.8,6.6,1019.2,78,1024.1,8.0
2016-01-23,3.5,7.0,0.0,0.0,2.0,4.28,,,2.4,6.2,1017.8,79,1022.7,8.5
2016-01-24,-3.0,0.1,-5.5,1.5,0.1,4.12,4,4,3.2,3.7,1016.8,76,1021.8,10.0
