calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.5,10.8,-3.3,0.0,,,,,1.6,,,,,
2016-01-02,10.2,15.0,3.9,0.0,,,,,1.6,,,,,
2016-01-03,11.3,14.9,7.1,0.0,,,,,1.3,,,,,
2016-01-04,10.7,16.8,5.2,0.0,,,,,1.4,,,,,
2016-01-05,8.7,11.9,5.9,6.5,,,,,2.4,,,,,
2016-01-06,6.8,9.0,2.8,0.5,,,,,1.0,,,,,
2016-01-07,6.2,10.7,2.6,0.0,,,,,2.0,,,,,
2016-01-08,4.9,6.0,3.1,0.0,,,,,1.5,,,,,
2016-01-09,4.1,8.4,-1.4,0.0,,,,,1.4,,,,,
2016-01-10,5.1,10.3,-0.1,0.0,,,,,1.4,,,,,
2016-01-11,6.1,9.3,1.8,0.0,,,,,1.3,,,,,
2016-01-12,4.7,7.7,1.3,0.0,,,,,1.5,,,,,
2016-01-13,3.3,6.4,-0.5,0.0,,,,,1.4,,,,,
2016-01-14,3.8,7.7,-1.1,0.0,,,,,1.6,,,,,
2016-01-15,2.9,8.4,-1.7,0.0,,,,,2.6,,,,,
2016-01-16,5.7,13.2,-2.6,0.0,,,,,2.0,,,,,
2016-01-17,7.1,12.0,0.0,6.5,,,,,3.2,,,,,
2016-01-18,5.7,10.3,-0.4,4.0,,,,,4.6,,,,,
2016-01-19,0.7,3.8,-1.4,0.0,,,,,4.6,,,,,
2016-01-20,0.7,5.7,-3.2,0.0,,,,,2.3,,,,,
2016-01-21,0.5,4.5,-5.0,0.0,,,,,1.3,,,,,
2016-01-22,3.6,8.4,-2.2,0.0,,,,,1.6,,,,,
2016-01-23,2.0,6.4,-1.8,0.0,,,,,2.8,,,,,
2016-01-24,-4.9,-1.8,-9.3,0.0,,,,,3.6,,,,,
2016-01-25,-2.0,2.8,-9.4,0.0,,,,,1.3,,,,,
2016-01-26,3.1,6.7,-0.8,0.0,,,,,1.4,,,,,
2016-01-27,6.0,10.5,-1.1,0.0,,,,,1.4,,,,,
2016-01-28,9.1,12.2,5.8,2.5,,,,,1.3,,,,,
2016-01-29,11.9,14.7,9.8,44.0,,,,,1.8,,,,,
2016-01-30,9.6,12.7,5.0,3.5,,,,,1.7,,,,,
2016-01-31,7.2,13.7,1.4,0.0,,,,,1.9,,,,,
2016-02-01,4.8,6.9,2.1,0.0,,,,,1.4,,,,,
2016-02-02,3.8,8.1,-1.3,0.0,,,,,1.5,,,,,
2016-02-03,4.4,8.0,0.2,0.0,,,,,1.2,,,,,
2016-02-04,4.5,9.6,-1.4,0.0,,,,,1.4,,,,,
2016-02-05,4.5,10.3,-0.6,0.0,,,,,1.8,,,,,
2016-02-06,3.2,7.2,-0.4,0.0,,,,,2.1,,,,,
2016-02-07,2.3,7.8,-3.6,0.0,,,,,1.5,,,,,
2016-02-08,3.7,10.2,-3.0,0.0,,,,,2.5,,,,,
2016-02-09,7.2,12.1,0.7,0.0,,,,,3.8,,,,,
2016-02-10,6.2,14.0,-2.3,0.0,,,,,2.0,,,,,
2016-02-11,9.3,17.6,-0.4,0.0,,,,,1.8,,,,,
2016-02-12,14.3,20.7,8.4,0.5,,,,,2.5,,,,,
2016-02-13,16.6,21.7,12.4,42.5,,,,,2.5,,,,,
2016-02-14,9.4,16.7,3.7,1.5,,,,,5.5,,,,,
2016-02-15,1.9,4.4,-1.5,0.0,,,,,4.5,,,,,
2016-02-16,2.0,5.1,-2.8,0.0,,,,,2.2,,,,,
2016-02-17,3.9,8.9,-0.4,0.5,,,,,2.0,,,,,
2016-02-18,5.0,11.6,-1.7,0.0,,,,,2.0,,,,,
2016-02-19,9.2,14.3,1.6,0.5,,,,,1.6,,,,,
2016-02-20,8.0,9.6,5.4,34.5,,,,,3.6,,,,,
2016-02-21,5.2,9.6,-0.5,0.0,,,,,2.6,,,,,
2016-02-22,5.1,10.4,-1.4,2.5,,,,,1.5,,,,,
2016-02-23,6.7,10.7,3.3,6.0,,,,,2.4,,,,,
2016-02-24,5.5,11.6,0.8,0.0,,,,,2.7,,,,,
2016-02-25,3.0,7.8,-2.8,0.0,,,,,2.2,,,,,
2016-02-26,2.8,9.4,-3.7,0.0,,,,,1.5,,,,,
