calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.7,11.3,1.4,0.0,8.3,,,,1.3,,,,,
2016-01-02,10.2,13.5,5.9,0.5,0.0,,,,0.8,,,,,
2016-01-03,12.0,15.2,7.7,0.0,0.0,,,,0.8,,,,,
2016-01-04,10.8,17.1,6.1,0.0,8.2,,,,0.9,,,,,
2016-01-05,10.3,12.2,8.0,18.0,0.0,,,,1.7,,,,,
2016-01-06,8.9,11.1,6.0,1.5,0.0,,,,1.4,,,,,
2016-01-07,9.1,11.3,5.9,0.0,3.6,,,,1.5,,,,,
2016-01-08,7.5,8.2,6.3,0.0,0.0,,,,1.2,,,,,
2016-01-09,7.0,9.2,3.1,0.0,0.1,,,,1.5,,,,,
2016-01-10,6.7,10.2,4.0,0.0,2.5,,,,1.4,,,,,
2016-01-11,8.4,11.0,5.2,0.0,0.0,,,,2.0,,,,,
2016-01-12,7.5,9.3,3.5,0.0,0.1,,,,1.6,,,,,
2016-01-13,6.1,8.2,3.5,0.0,0.2,,,,1.2,,,,,
2016-01-14,6.1,9.1,1.3,0.0,0.8,,,,1.1,,,,,
2016-01-15,4.3,8.7,0.5,0.0,0.6,,,,1.8,,,,,
2016-01-16,5.2,12.6,-0.1,0.0,8.6,,,,1.3,,,,,
2016-01-17,6.9,10.1,2.4,13.5,0.0,,,,1.1,,,,,
2016-01-18,7.9,11.3,3.0,3.5,0.8,,,,2.3,,,,,
2016-01-19,3.8,5.2,1.6,0.5,0.3,,,,3.2,,,,,
2016-01-20,3.2,5.6,0.2,0.0,3.8,,,,2.5,,,,,
2016-01-21,2.7,6.0,-1.0,0.0,0.0,,,,1.4,,,,,
2016-01-22,6.1,8.8,1.9,0.0,4.2,,,,2.5,,,,,
2016-01-23,5.3,7.7,1.5,0.5,0.2,,,,3.0,,,,,
2016-01-24,-1.8,1.8,-3.2,4.5,0.0,,,,3.0,,,,,
2016-01-25,-0.8,2.4,-6.5,1.0,1.7,,,,1.3,,,,,
2016-01-26,3.8,7.7,0.4,0.0,0.2,,,,1.5,,,,,
2016-01-27,5.8,11.0,0.6,0.0,1.1,,,,1.1,,,,,
2016-01-28,9.0,14.8,6.2,2.0,0.0,,,,0.7,,,,,
2016-01-29,13.2,15.6,10.9,44.0,0.0,,,,2.1,,,,,
2016-01-30,11.3,14.1,7.1,0.5,4.9,,,,2.2,,,,,
2016-01-31,8.6,13.6,4.3,0.0,6.0,,,,1.2,,,,,
2016-02-01,7.5,8.8,5.6,0.0,0.0,,,,1.3,,,,,
2016-02-02,5.6,8.2,2.0,0.0,4.3,,,,1.8,,,,,
2016-02-03,5.6,10.1,1.5,0.0,5.2,,,,1.3,,,,,
2016-02-04,5.6,10.5,1.1,0.0,6.7,,,,1.1,,,,,
2016-02-05,5.5,10.8,2.0,0.0,5.0,,,,1.5,,,,,
2016-02-06,5.4,9.5,1.3,0.0,5.9,,,,1.9,,,,,
2016-02-07,5.1,9.9,0.3,0.0,8.1,,,,1.4,,,,,
2016-02-08,6.2,10.4,0.8,0.0,4.6,,,,1.8,,,,,
2016-02-09,9.6,13.1,3.2,0.0,8.6,,,,2.0,,,,,
2016-02-10,6.4,13.6,1.0,0.0,9.2,,,,1.4,,,,,
2016-02-11,9.0,16.3,1.7,0.0,8.0,,,,1.5,,,,,
2016-02-12,14.4,17.8,9.7,0.0,0.3,,,,2.3,,,,,
2016-02-13,18.0,22.3,13.7,29.5,2.0,,,,3.5,,,,,
2016-02-14,11.1,19.1,6.1,1.0,0.0,,,,2.1,,,,,
2016-02-15,4.3,6.2,2.8,0.0,1.0,,,,3.0,,,,,
2016-02-16,4.4,7.0,2.4,0.5,1.3,,,,1.5,,,,,
2016-02-17,6.1,9.9,2.6,0.5,3.4,,,,1.5,,,,,
2016-02-18,6.6,12.3,0.9,0.0,9.0,,,,1.9,,,,,
2016-02-19,9.1,13.3,3.4,1.5,2.2,,,,1.0,,,,,
2016-02-20,9.9,12.0,7.9,38.0,0.1,,,,2.0,,,,,
2016-02-21,7.4,9.7,2.5,0.0,7.0,,,,2.6,,,,,
2016-02-22,6.3,9.6,1.3,3.5,0.0,,,,1.2,,,,,
2016-02-23,9.0,12.0,6.7,8.5,0.5,,,,2.6,,,,,
2016-02-24,7.6,11.6,4.5,0.0,9.0,,,,1.9,,,,,
2016-02-25,5.5,7.9,1.6,0.0,2.0,,,,2.4,,,,,
2016-02-26,4.4,10.2,-0.4,0.0,8.7,,,,1.3,,,,,
2016-02-27,8.0,14.3,2.3,0.0,1.5,,,,2.4,,,,,
2016-02-28,10.9,18.1,3.7,0.0,9.8,,,,1.7,,,,,
2016-02-29,7.1,14.6,2.9,0.0,1.5,,,,2.8,,,,,
2016-03-01,3.4,7.3,-0.6,0.0,5.4,,,,1.6,,,,,
2016-03-02,5.6,13.2,-1.0,0.0,9.7,,,,1.4,,,,,
2016-03-03,9.2,16.8,1.6,0.0,10.2,,,,1.5,,,,,
2016-03-04,14.1,21.2,9.6,0.0,7.8,,,,1.1,,,,,
2016-03-05,15.3,22.5,7.6,0.0,8.8,,,,2.5,,,,,
2016-03-06,18.7,23.3,14.0,0.0,1.6,,,,2.6,,,,,
2016-03-07,16.1,23.7,11.3,0.0,10.2,,,,1.3,,,,,
2016-03-08,14.1,19.8,10.0,0.0,5.0,,,,1.2,,,,,
2016-03-09,11.0,14.1,9.4,32.5,1.7,,,,3.7,,,,,
2016-03-10,10.3,12.4,7.4,0.0,0.3,,,,2.7,,,,,
2016-03-11,8.3,10.8,6.3,0.0,4.1,,,,2.7,,,,,
2016-03-12,7.7,11.1,4.5,0.0,10.4,,,,1.9,,,,,
2016-03-13,7.3,10.5,3.2,6.5,0.0,,,,1.3,,,,,
