calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.2,10.8,-3.2,0.0,7.8,,,,0.8,,,,,
2016-01-02,6.1,13.6,-2.0,0.5,0.5,,,,0.7,,,,,
2016-01-03,8.7,14.7,3.5,0.0,0.4,,,,0.6,,,,,
2016-01-04,6.9,15.1,1.2,0.0,6.9,,,,0.8,,,,,
2016-01-05,5.7,8.6,4.0,10.5,0.0,,,,0.6,,,,,
2016-01-06,5.0,7.5,2.5,0.0,0.0,,,,0.5,,,,,
2016-01-07,4.0,8.0,1.7,0.0,1.6,,,,1.3,,,,,
2016-01-08,2.7,4.4,-0.4,0.0,0.0,,,,1.6,,,,,
2016-01-09,0.7,5.5,-3.2,0.0,2.2,,,,0.9,,,,,
2016-01-10,1.9,9.3,-2.1,0.0,7.1,,,,1.2,,,,,
2016-01-11,3.4,9.1,-1.4,0.0,1.6,,,,1.4,,,,,
2016-01-12,2.4,6.7,-0.9,0.0,0.4,,,,1.2,,,,,
2016-01-13,0.8,4.1,-2.3,0.0,0.7,,,,1.8,,,,,
2016-01-14,1.3,7.2,-2.6,0.0,5.2,,,,1.5,,,,,
2016-01-15,-0.8,6.1,-4.7,0.0,3.4,,,,0.8,,,,,
2016-01-16,0.7,11.5,-6.2,0.0,8.5,,,,0.7,,,,,
2016-01-17,1.5,5.6,-3.8,20.5,0.0,,,,0.7,,,,,
2016-01-18,3.3,7.2,-2.0,4.0,1.0,,,,2.9,,,,,
2016-01-19,-1.8,0.1,-2.7,0.5,0.7,,,,3.2,,,,,
2016-01-20,-1.9,2.7,-5.2,0.0,6.3,,,,1.9,,,,,
2016-01-21,-2.1,2.8,-6.8,0.0,0.8,,,,0.5,,,,,
2016-01-22,1.0,5.5,-3.3,0.0,2.1,,,,,,,,,
2016-01-23,-0.7,3.8,-3.9,0.5,0.6,,,,2.1,,,,,
2016-01-24,-6.8,-3.8,-10.4,1.0,0.4,,,,2.9,,,,,
2016-01-25,-4.5,-0.1,-10.7,0.0,2.7,,,,1.1,,,,,
2016-01-26,-0.6,2.9,-4.0,0.0,0.0,,,,0.8,,,,,
2016-01-27,1.8,8.5,-3.3,0.0,2.6,,,,0.9,,,,,
2016-01-28,4.3,9.0,0.5,4.5,0.0,,,,0.8,,,,,
2016-01-29,9.2,11.9,7.0,28.5,0.0,,,,1.2,,,,,
2016-01-30,6.8,9.6,1.7,2.0,0.9,,,,1.7,,,,,
2016-01-31,3.9,11.0,-0.2,0.0,3.7,,,,0.9,,,,,
2016-02-01,2.0,5.2,-0.9,0.0,0.0,,,,1.0,,,,,
2016-02-02,1.4,5.5,-2.2,0.0,3.3,,,,1.2,,,,,
2016-02-03,2.3,6.7,-0.5,0.5,1.2,,,,0.9,,,,,
2016-02-04,1.7,8.5,-2.6,0.0,7.5,,,,1.1,,,,,
