calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.6,5.9,-3.2,,8.8,,,,4.4,4.4,896.2,72,,
2016-01-02,4.5,7.0,0.5,1.0,0.2,,,,3.0,7.6,893.3,90,,
2016-01-03,7.6,10.4,5.1,0.5,0.4,,,,2.1,9.9,889.1,94,,
2016-01-04,5.1,9.1,3.1,,6.4,,,,4.5,8.0,889.5,92,,
2016-01-05,3.3,5.3,-0.3,9.5,0.1,,,,3.7,7.0,889.8,90,,
2016-01-06,3.6,6.7,-1.0,1.0,0.0,,,,2.5,6.2,887.9,77,,
2016-01-07,-1.0,0.2,-2.3,,0.3,,,,5.8,5.5,887.2,97,,
2016-01-08,-3.0,-1.8,-4.3,0.5,0.0,,,,4.8,4.9,886.1,99,,
2016-01-09,-3.1,-1.1,-4.6,,1.4,,,,5.0,4.2,889.0,86,,
2016-01-10,-0.4,2.5,-3.2,,6.0,,,,3.6,4.6,890.1,78,,
2016-01-11,1.3,4.4,-1.5,,0.4,,,,2.3,4.1,887.5,63,,
2016-01-12,-1.9,0.4,-4.7,,0.1,,,,4.7,5.1,884.3,96,,
2016-01-13,-4.1,-2.8,-5.0,,0.1,,,,4.9,4.3,884.3,96,,
2016-01-14,-3.6,-0.6,-5.6,,2.4,,,,4.6,4.1,885.8,88,,
2016-01-15,-3.0,0.9,-6.3,,3.9,,,,3.1,3.3,886.4,69,,
2016-01-16,0.0,5.7,-5.0,,9.0,,,,3.7,4.0,887.7,66,,
2016-01-17,2.6,6.7,-0.8,16.0,0.0,,,,6.3,6.7,881.4,88,,
2016-01-18,-1.4,6.9,-8.0,13.0,0.0,,,,8.2,5.6,875.6,99,,
2016-01-19,-7.6,-6.9,-8.4,0.5,0.0,,,,9.1,3.3,881.3,95,,
2016-01-20,-7.3,-4.5,-9.0,,5.3,,,,4.8,3.2,888.0,91,,
2016-01-21,-4.4,-1.5,-8.1,,0.5,,,,2.6,3.0,887.8,68,,
2016-01-22,-2.7,-0.1,-5.4,,4.5,,,,6.0,4.5,888.4,90,,
2016-01-23,-4.4,-1.1,-8.8,2.5,1.1,,,,4.1,4.3,886.3,96,,
2016-01-24,-12.1,-8.8,-14.4,1.0,0.0,,,,7.1,2.2,881.4,91,,
2016-01-25,-8.3,-6.3,-13.2,,0.0,,,,5.3,3.1,889.0,94,,
2016-01-26,-3.6,-2.0,-6.3,,0.0,,,,4.8,4.6,891.7,99,,
2016-01-27,-0.8,1.0,-3.1,,2.8,,,,3.8,5.7,895.2,99,,
2016-01-28,5.5,8.4,0.9,6.0,0.0,,,,5.2,8.9,894.3,98,,
2016-01-29,9.4,10.9,7.4,50.0,0.0,,,,4.8,,887.3,,,
2016-01-30,3.2,8.0,-0.6,1.0,0.4,,,,3.7,,887.0,,,
2016-01-31,0.9,3.7,-1.0,,3.4,,,,4.1,,890.9,,,
2016-02-01,-2.0,-0.6,-3.8,,0.0,,,,3.3,,888.4,,,
2016-02-02,-3.4,0.6,-5.8,,3.4,,,,4.6,,887.3,,,
2016-02-03,-2.6,-0.4,-4.0,,1.4,,,,2.9,4.9,889.5,96,,
2016-02-04,-2.2,3.3,-5.0,,7.2,,,,3.4,4.4,889.3,86,,
2016-02-05,-1.5,4.8,-3.9,,6.6,,,,3.4,4.6,886.4,84,,
2016-02-06,-3.9,-1.4,-5.8,,1.5,,,,5.1,4.2,884.2,91,,
2016-02-07,-4.3,-0.1,-6.9,,2.8,,,,3.7,3.7,884.8,84,,
2016-02-08,-2.9,-0.3,-6.3,,3.7,,,,4.5,4.3,885.4,87,,
2016-02-09,-0.2,3.3,-4.1,,8.2,,,,7.2,4.2,886.9,71,,
2016-02-10,1.5,8.3,-3.7,,9.8,,,,3.8,3.7,891.6,58,,
2016-02-11,6.3,12.6,0.9,,8.2,,,,3.6,4.3,894.8,45,,
2016-02-12,6.8,8.8,4.2,1.0,0.0,,,,8.7,9.5,892.6,96,,
2016-02-13,11.7,13.8,8.6,39.0,0.0,,,,7.3,,885.0,,,
2016-02-14,3.2,12.9,-4.0,16.0,0.0,,,,6.7,,879.8,,,
2016-02-15,-6.6,-3.9,-8.3,,0.1,,,,6.4,,881.4,,,
2016-02-16,-5.4,-3.1,-7.7,0.5,0.0,,,,4.6,,884.5,,,
2016-02-17,-3.5,-0.6,-6.0,2.5,1.0,,,,4.2,,888.0,,,
2016-02-18,-1.3,4.2,-6.7,,10.2,,,,3.6,,891.0,,,
2016-02-19,3.5,7.2,0.9,0.5,3.9,,,,4.1,5.9,894.0,76,,
2016-02-20,2.9,5.7,-0.7,34.5,0.2,,,,6.3,7.3,885.5,97,,
2016-02-21,-2.0,1.4,-4.5,1.0,6.8,,,,5.0,4.3,891.5,82,,
2016-02-22,1.1,5.3,-2.5,2.5,1.3,,,,2.7,4.3,894.6,65,,
2016-02-23,1.6,5.6,-1.9,6.5,0.0,,,,4.0,6.5,891.3,94,,
2016-02-24,-1.9,1.9,-5.6,,2.1,,,,5.2,4.6,891.6,86,,
2016-02-25,-4.7,-1.7,-7.5,,0.3,,,,4.2,4.1,894.3,93,,
2016-02-26,-2.2,1.6,-6.9,,8.6,,,,3.7,3.1,895.0,61,,
2016-02-27,2.3,4.6,-0.6,,0.3,,,,4.6,5.0,893.4,67,,
