calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.7,12.1,2.5,0.0,8.8,,,,1.4,,,,,
2016-01-02,10.6,13.4,7.0,0.0,0.1,,,,1.1,,,,,
2016-01-03,12.4,15.1,9.5,0.0,0.0,,,,1.0,,,,,
2016-01-04,12.2,17.4,8.1,0.0,8.3,,,,1.2,,,,,
2016-01-05,10.0,11.8,6.9,20.5,0.0,,,,1.8,,,,,
2016-01-06,9.3,10.9,6.8,0.0,0.0,,,,1.7,,,,,
2016-01-07,8.5,11.0,6.4,0.0,1.5,,,,1.6,,,,,
2016-01-08,7.2,8.0,6.8,0.0,0.0,,,,1.4,,,,,
2016-01-09,6.8,10.1,4.5,0.0,2.7,,,,1.4,,,,,
2016-01-10,7.3,10.7,5.0,0.0,2.9,,,,1.3,,,,,
2016-01-11,8.0,10.3,5.6,0.0,0.1,,,,1.8,,,,,
2016-01-12,7.3,9.2,4.1,0.0,0.1,,,,1.9,,,,,
2016-01-13,5.8,7.3,4.3,0.0,0.0,,,,1.6,,,,,
2016-01-14,6.2,9.6,3.2,0.0,1.9,,,,1.5,,,,,
2016-01-15,5.2,8.3,1.9,0.0,1.2,,,,1.5,,,,,
2016-01-16,7.3,13.5,2.2,0.0,9.2,,,,1.3,,,,,
2016-01-17,7.6,9.3,4.6,13.0,0.0,,,,2.0,,,,,
2016-01-18,7.4,10.8,2.2,2.0,2.0,,,,3.8,,,,,
2016-01-19,3.0,4.7,1.6,0.0,1.4,,,,3.4,,,,,
2016-01-20,2.7,5.6,0.3,0.0,5.1,,,,2.1,,,,,
2016-01-21,2.5,5.0,-0.6,0.0,0.0,,,,1.3,,,,,
2016-01-22,5.3,8.5,1.0,0.0,3.8,,,,1.9,,,,,
2016-01-23,4.6,7.1,0.0,0.0,0.2,,,,3.4,,,,,
2016-01-24,-2.3,0.4,-3.7,1.0,0.1,,,,3.1,,,,,
2016-01-25,-0.3,2.8,-4.6,0.0,1.7,,,,1.5,,,,,
2016-01-26,4.3,7.4,1.4,0.0,0.5,,,,1.4,,,,,
2016-01-27,6.8,10.6,2.8,0.0,1.8,,,,1.4,,,,,
2016-01-28,9.4,13.3,7.0,2.5,0.0,,,,0.9,,,,,
2016-01-29,12.4,14.4,10.3,46.5,0.0,,,,1.9,,,,,
2016-01-30,10.8,13.5,9.2,0.0,5.2,,,,3.1,,,,,
2016-01-31,9.5,14.5,5.3,0.0,7.6,,,,1.6,,,,,
2016-02-01,6.9,8.4,5.4,0.0,0.0,,,,1.3,,,,,
2016-02-02,5.7,8.1,2.7,0.0,4.3,,,,2.0,,,,,
2016-02-03,6.3,10.9,2.7,0.0,4.7,,,,1.2,,,,,
2016-02-04,6.3,11.0,2.4,0.0,6.7,,,,1.2,,,,,
2016-02-05,6.3,10.8,3.4,0.0,5.2,,,,1.4,,,,,
2016-02-06,5.5,8.9,3.1,0.0,2.9,,,,2.1,,,,,
2016-02-07,4.9,10.0,1.2,0.0,8.9,,,,1.5,,,,,
2016-02-08,6.5,11.5,1.2,0.0,6.7,,,,1.8,,,,,
2016-02-09,10.1,13.1,6.5,0.0,8.9,,,,2.5,,,,,
2016-02-10,8.0,14.3,3.6,0.0,9.6,,,,1.3,,,,,
2016-02-11,10.2,18.0,3.9,0.0,7.6,,,,1.0,,,,,
2016-02-12,14.4,18.2,10.1,0.0,0.4,,,,2.0,,,,,
2016-02-13,17.4,20.7,14.4,16.5,0.1,,,,2.9,,,,,
2016-02-14,10.3,17.9,5.3,1.5,0.0,,,,4.1,,,,,
2016-02-15,3.8,5.5,2.3,0.0,2.5,,,,2.8,,,,,
2016-02-16,4.1,6.4,1.5,0.5,1.9,,,,1.6,,,,,
2016-02-17,6.2,10.1,3.9,0.5,4.6,,,,1.7,,,,,
2016-02-18,6.9,13.4,2.1,0.0,9.5,,,,1.4,,,,,
2016-02-19,9.9,13.5,6.3,0.5,2.6,,,,1.2,,,,,
2016-02-20,9.3,12.3,7.7,34.5,0.1,,,,2.3,,,,,
2016-02-21,7.1,9.5,4.5,0.0,8.5,,,,2.8,,,,,
2016-02-22,6.2,9.5,2.3,3.0,0.0,,,,1.1,,,,,
2016-02-23,8.2,11.1,6.2,7.0,0.8,,,,2.2,,,,,
2016-02-24,7.1,11.4,2.2,0.0,8.1,,,,2.6,,,,,
2016-02-25,4.5,7.5,1.4,0.0,1.9,,,,2.0,,,,,
2016-02-26,4.9,10.4,-0.2,0.0,8.6,,,,1.4,,,,,
2016-02-27,8.5,15.9,3.7,0.0,3.2,,,,1.7,,,,,
2016-02-28,11.8,18.3,6.2,0.0,9.9,,,,1.4,,,,,
2016-02-29,6.6,13.2,1.9,0.0,1.8,,,,3.6,,,,,
2016-03-01,3.1,7.1,1.5,0.0,6.7,,,,1.6,,,,,
2016-03-02,6.7,13.0,1.1,0.0,9.9,,,,1.7,,,,,
2016-03-03,10.6,17.4,4.1,0.0,10.2,,,,1.6,,,,,
2016-03-04,15.2,21.4,10.8,0.0,7.2,,,,1.3,,,,,
2016-03-05,16.6,23.3,10.1,0.0,10.0,,,,2.7,,,,,
2016-03-06,18.8,24.6,15.5,0.0,2.4,,,,2.2,,,,,
2016-03-07,17.2,24.4,13.1,0.0,10.1,,,,1.8,,,,,
2016-03-08,14.5,20.7,11.7,0.0,5.0,,,,1.9,,,,,
2016-03-09,10.1,13.6,8.6,25.5,0.8,,,,4.6,,,,,
2016-03-10,9.6,12.0,7.9,0.0,0.4,,,,2.5,,,,,
2016-03-11,7.5,10.5,5.5,0.0,5.9,,,,3.1,,,,,
2016-03-12,7.4,11.2,3.9,0.0,11.0,,,,2.2,,,,,
2016-03-13,7.2,10.2,4.7,7.0,0.0,,,,1.3,,,,,
2016-03-14,9.0,13.0,6.6,4.0,8.1,,,,3.9,,,,,
2016-03-15,9.4,13.8,5.4,0.0,10.9,,,,2.4,,,,,
2016-03-16,11.5,18.1,6.3,0.0,5.5,,,,1.3,,,,,
2016-03-17,13.9,21.8,7.0,0.0,10.8,,,,1.1,,,,,
2016-03-18,14.5,15.9,12.4,7.5,0.0,,,,1.2,,,,,
2016-03-19,14.7,16.8,11.2,0.0,1.2,,,,2.5,,,,,
2016-03-20,11.6,15.6,9.1,0.0,10.9,,,,4.0,,,,,
2016-03-21,10.7,14.8,7.5,0.0,11.2,,,,3.6,,,,,
2016-03-22,12.1,19.4,4.8,0.0,11.4,,,,1.6,,,,,
2016-03-23,11.0,13.3,8.2,0.0,0.1,,,,1.1,,,,,
2016-03-24,11.1,14.9,7.3,0.0,11.0,,,,3.5,,,,,
2016-03-25,9.2,12.4,5.4,0.0,8.4,,,,3.5,,,,,
2016-03-26,10.5,16.5,4.1,0.0,10.1,,,,2.0,,,,,
2016-03-27,9.5,14.2,5.8,0.5,6.8,,,,2.1,,,,,
2016-03-28,10.6,17.5,5.3,0.0,10.9,,,,2.0,,,,,
2016-03-29,12.7,17.5,7.8,0.0,4.5,,,,1.5,,,,,
2016-03-30,14.2,17.2,11.9,0.0,0.0,,,,1.4,,,,,
2016-03-31,12.9,16.0,11.0,9.0,0.0,,,,1.1,,,,,
2016-04-01,14.6,18.5,13.0,0.5,0.8,,,,2.9,,,,,
2016-04-02,16.5,24.1,10.9,0.0,6.8,,,,1.1,,,,,
2016-04-03,16.7,21.2,14.4,3.0,0.1,,,,0.8,,,,,
2016-04-04,15.7,18.2,13.4,14.0,0.0,,,,1.9,,,,,
2016-04-05,15.3,20.7,11.9,0.0,9.2,,,,1.7,,,,,
2016-04-06,16.1,20.6,11.9,2.0,0.8,,,,1.2,,,,,
2016-04-07,18.7,22.6,15.4,24.0,0.0,,,,5.5,,,,,
2016-04-08,16.0,20.2,13.5,0.0,4.4,,,,1.1,,,,,
2016-04-09,17.2,22.8,12.4,0.0,6.8,,,,1.1,,,,,
