calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.5,12.0,-3.9,0.0,5.7,,,,0.7,,,,,
2016-01-02,4.9,9.1,-2.1,4.0,0.1,,,,0.6,,,,,
2016-01-03,10.3,13.9,6.7,1.5,0.3,,,,0.7,,,,,
2016-01-04,9.7,16.8,6.2,0.0,4.9,,,,1.4,,,,,
2016-01-05,8.6,11.4,7.0,16.0,0.0,,,,1.0,,,,,
2016-01-06,8.4,10.0,6.7,11.5,0.0,,,,0.6,,,,,
2016-01-07,6.9,11.0,3.7,0.0,2.9,,,,1.9,,,,,
2016-01-08,5.8,8.6,3.2,0.0,0.1,,,,1.6,,,,,
2016-01-09,4.0,9.3,-2.0,0.0,2.1,,,,1.2,,,,,
2016-01-10,3.3,10.5,-2.3,0.0,2.3,,,,1.0,,,,,
2016-01-11,5.2,8.3,1.9,1.0,0.0,,,,0.6,,,,,
2016-01-12,5.8,9.2,2.1,1.0,3.0,,,,1.6,,,,,
2016-01-13,3.3,7.4,-0.6,0.0,0.1,,,,1.4,,,,,
2016-01-14,3.9,9.4,-1.2,0.0,3.4,,,,1.4,,,,,
2016-01-15,1.3,8.5,-3.6,0.0,1.2,,,,0.7,,,,,
2016-01-16,2.8,13.6,-3.9,0.0,8.5,,,,1.0,,,,,
2016-01-17,4.0,12.4,-2.7,14.0,0.0,,,,1.1,,,,,
2016-01-18,6.9,10.6,0.3,1.5,0.3,,,,3.7,,,,,
2016-01-19,0.7,2.0,-0.1,3.5,0.1,,,,3.0,,,,,
2016-01-20,0.9,5.6,-3.2,0.0,8.3,,,,1.9,,,,,
2016-01-21,-1.1,1.2,-4.4,0.0,0.0,,,,0.6,,,,,
2016-01-22,2.4,7.7,-0.4,0.0,1.3,,,,0.8,,,,,
2016-01-23,3.1,9.2,0.7,0.0,2.0,,,,1.8,,,,,
2016-01-24,-3.3,0.7,-5.3,5.5,0.0,,,,2.2,,,,,
2016-01-25,-4.0,3.4,-13.8,0.0,7.8,,,,1.3,,,,,
2016-01-26,0.4,4.1,-3.8,0.0,0.5,,,,0.7,,,,,
2016-01-27,1.6,5.6,-0.4,0.0,0.0,,,,0.6,,,,,
2016-01-28,4.4,6.8,0.9,1.0,0.0,,,,0.6,,,,,
2016-01-29,8.6,11.9,5.4,68.5,0.0,,,,0.9,,,,,
2016-01-30,10.6,14.5,4.4,1.5,1.0,,,,1.9,,,,,
2016-01-31,6.2,14.6,1.6,0.0,6.3,,,,1.4,,,,,
2016-02-01,5.4,7.6,2.3,0.0,0.0,,,,1.4,,,,,
2016-02-02,3.7,9.7,-2.0,0.0,8.1,,,,1.8,,,,,
2016-02-03,2.1,11.3,-4.6,0.0,8.3,,,,1.4,,,,,
2016-02-04,2.8,12.0,-4.7,0.0,6.9,,,,1.4,,,,,
2016-02-05,3.6,12.6,-1.9,0.0,8.4,,,,1.5,,,,,
2016-02-06,1.8,8.8,-3.8,0.0,3.0,,,,1.6,,,,,
2016-02-07,2.2,10.1,-4.6,0.0,10.2,,,,1.6,,,,,
2016-02-08,2.1,11.2,-5.6,0.0,8.3,,,,1.5,,,,,
2016-02-09,5.9,13.1,-1.1,0.0,9.2,,,,2.7,,,,,
2016-02-10,4.8,16.9,-4.7,0.0,10.2,,,,1.3,,,,,
2016-02-11,7.3,18.3,-4.3,0.0,8.3,,,,1.3,,,,,
2016-02-12,14.2,16.5,10.0,2.5,0.0,,,,2.2,,,,,
