calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.1,10.6,1.2,0.5,5.7,,,,1.4,7.3,1029.0,90,1029.5,
2016-01-02,7.0,13.7,2.0,,5.8,,,,3.1,7.9,1024.3,79,1024.8,
2016-01-03,7.8,16.8,2.8,,6.1,,,,1.4,9.3,1018.9,88,1019.4,
2016-01-04,8.6,15.0,4.1,0.0,4.1,,,,2.2,9.5,1018.2,86,1018.7,
2016-01-05,6.4,10.0,3.4,0.0,0.8,,,,1.5,8.7,1021.4,90,1021.9,
2016-01-06,7.5,11.9,4.2,,2.8,,,,1.4,8.6,1019.3,84,1019.8,
2016-01-07,5.3,7.8,2.9,1.5,0.2,,,,1.5,8.2,1017.6,92,1018.1,
2016-01-08,3.9,8.0,1.3,,1.0,,,,2.0,6.8,1017.0,85,1017.5,
2016-01-09,5.1,11.0,1.8,0.0,5.4,,,,1.7,6.7,1020.7,77,1021.2,
2016-01-10,5.8,9.0,1.9,0.0,1.3,,,,2.0,6.3,1022.0,69,1022.5,
2016-01-11,6.7,10.3,3.9,1.0,2.9,,,,2.1,7.5,1019.9,77,1020.4,
2016-01-12,3.5,6.7,0.0,19.0,0.2,,,,2.6,7.1,1016.7,91,1017.2,
2016-01-13,2.7,9.0,-0.5,0.0,4.8,,,,2.1,6.4,1015.4,87,1015.9,
2016-01-14,3.3,9.4,-1.1,0.0,6.8,,,,2.7,5.7,1017.1,76,1017.6,
2016-01-15,4.2,8.2,1.7,0.0,3.8,,,,1.7,6.0,1019.6,73,1020.1,
2016-01-16,4.0,9.1,0.2,0.0,3.6,,,,1.8,6.4,1021.9,80,1022.4,
2016-01-17,4.0,8.2,0.0,2.0,0.7,,,,1.3,6.8,1018.9,84,1019.4,
2016-01-18,6.1,10.4,3.2,20.0,0.2,,,,2.7,8.2,1000.4,86,1000.9,
2016-01-19,1.4,4.8,-1.1,0.0,6.3,,,,4.3,3.3,1008.5,50,1009.0,
