calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.4,9.8,-1.6,2.0,4.4,,,,,,,,,
2016-01-02,3.5,12.9,-1.8,0.0,5.3,,,,,,,,,
2016-01-03,5.3,15.4,0.6,0.0,5.2,,,,0.7,,,,,
2016-01-04,6.7,14.6,2.6,0.0,2.2,,,,0.8,,,,,
2016-01-05,4.1,9.2,0.1,0.5,0.0,,,,0.6,,,,,
2016-01-06,5.3,11.2,2.5,0.0,1.2,,,,0.7,,,,,
2016-01-07,3.7,8.4,-0.3,0.5,0.7,,,,1.1,,,,,
2016-01-08,3.1,9.8,-1.1,0.0,0.9,,,,1.3,,,,,
2016-01-09,2.7,10.7,-2.3,0.0,6.4,,,,1.1,,,,,
2016-01-10,2.9,10.9,-4.2,0.0,5.3,,,,1.3,,,,,
2016-01-11,4.2,11.0,-1.6,0.0,3.8,,,,1.1,,,,,
2016-01-12,3.5,8.2,-1.4,0.0,4.5,,,,2.3,,,,,
2016-01-13,1.8,8.5,-2.3,0.0,4.4,,,,1.2,,,,,
2016-01-14,1.4,10.2,-3.3,0.0,4.8,,,,1.4,,,,,
2016-01-15,1.5,9.3,-4.1,0.0,7.4,,,,1.3,,,,,
2016-01-16,0.9,8.1,-4.2,0.0,4.9,,,,1.3,,,,,
2016-01-17,2.1,8.1,-4.6,2.0,2.0,,,,0.8,,,,,
2016-01-18,6.1,11.2,2.3,11.0,0.8,,,,2.6,,,,,
2016-01-19,0.2,3.9,-2.1,0.0,4.0,,,,4.1,,,,,
2016-01-20,0.3,3.1,-2.9,12.0,1.5,,,,3.3,,,,,
2016-01-21,1.7,4.7,-0.7,0.0,1.4,,,,,,,,,
2016-01-22,1.9,5.6,-0.8,0.0,4.0,,,,1.6,,,,,
2016-01-23,1.7,6.5,-1.9,0.0,1.2,,,,1.6,,,,,
2016-01-24,-2.3,0.8,-5.6,0.0,6.9,,,,3.6,,,,,
2016-01-25,-2.3,5.2,-9.8,2.0,6.3,,,,1.4,,,,,
2016-01-26,-0.4,7.3,-7.2,0.0,6.1,,,,1.1,,,,,
2016-01-27,2.2,10.2,-2.9,0.0,6.0,,,,1.2,,,,,
2016-01-28,3.0,10.3,-4.6,0.5,2.8,,,,0.5,,,,,
2016-01-29,5.6,7.2,4.2,43.0,0.0,,,,0.6,,,,,
2016-01-30,5.7,8.1,3.4,3.5,0.2,,,,2.0,,,,,
2016-01-31,5.1,11.0,0.2,0.0,5.1,,,,1.7,,,,,
2016-02-01,3.4,5.7,-0.1,0.0,0.0,,,,1.7,,,,,
2016-02-02,2.7,8.3,-0.8,0.0,5.7,,,,1.6,,,,,
2016-02-03,1.5,6.8,-2.9,0.0,2.0,,,,1.2,,,,,
2016-02-04,2.0,9.6,-4.1,0.0,5.9,,,,0.9,,,,,
2016-02-05,2.4,10.7,-3.4,0.0,8.1,,,,1.0,,,,,
2016-02-06,2.4,9.5,-2.9,0.5,3.1,,,,1.6,,,,,
2016-02-07,0.8,5.1,-3.5,8.5,5.9,,,,2.1,,,,,
2016-02-08,0.6,9.4,-3.3,0.0,7.2,,,,1.1,,,,,
2016-02-09,2.1,9.1,-3.5,1.5,3.4,,,,2.6,,,,,
2016-02-10,2.0,7.2,-2.4,2.0,5.6,,,,2.1,,,,,
2016-02-11,2.1,11.7,-4.7,0.0,10.1,,,,1.1,,,,,
2016-02-12,5.9,14.4,-3.5,0.0,6.0,,,,1.5,,,,,
2016-02-13,11.3,16.3,7.2,44.0,0.0,,,,0.8,,,,,
2016-02-14,13.8,19.1,8.1,15.0,1.5,,,,2.2,,,,,
2016-02-15,3.5,8.1,0.6,1.5,0.9,,,,3.1,,,,,
2016-02-16,1.4,6.6,-2.5,0.5,7.6,,,,1.8,,,,,
2016-02-17,1.0,5.2,-2.8,0.5,3.6,,,,1.6,,,,,
2016-02-18,1.5,11.1,-4.0,0.0,7.3,,,,1.2,,,,,
2016-02-19,5.1,14.7,-3.4,0.0,6.6,,,,1.2,,,,,
2016-02-20,5.8,7.4,3.8,26.0,0.0,,,,1.1,,,,,
2016-02-21,4.7,8.3,-0.4,0.5,5.5,,,,2.8,,,,,
2016-02-22,3.5,7.8,-1.2,0.0,0.8,,,,1.1,,,,,
2016-02-23,5.8,11.8,1.3,0.0,2.8,,,,1.1,,,,,
2016-02-24,2.4,6.2,-2.2,0.0,3.4,,,,2.9,,,,,
2016-02-25,1.6,7.9,-3.7,0.0,6.2,,,,2.1,,,,,
2016-02-26,1.8,9.7,-4.3,0.0,7.2,,,,1.9,,,,,
2016-02-27,5.0,12.6,-3.5,0.0,4.8,,,,1.3,,,,,
2016-02-28,6.1,16.1,-1.1,0.0,7.1,,,,1.2,,,,,
2016-02-29,4.0,8.5,-1.1,5.5,0.1,,,,2.4,,,,,
2016-03-01,-0.4,3.3,-2.4,3.0,3.8,,,,2.3,,,,,
2016-03-02,1.9,10.5,-4.3,0.0,8.0,,,,1.4,,,,,
2016-03-03,5.1,15.3,-3.3,0.0,10.0,,,,1.2,,,,,
2016-03-04,8.2,18.8,-0.6,0.0,7.1,,,,1.1,,,,,
2016-03-05,13.5,21.0,7.3,0.0,6.5,,,,1.6,,,,,
2016-03-06,15.1,19.5,6.2,0.0,1.2,,,,2.2,,,,,
2016-03-07,12.6,17.9,7.2,1.5,1.2,,,,1.4,,,,,
2016-03-08,11.0,17.8,6.7,0.0,0.5,,,,1.7,,,,,
2016-03-09,6.7,10.2,5.1,28.0,0.0,,,,2.5,,,,,
2016-03-10,5.0,7.7,1.9,0.0,0.1,,,,2.4,,,,,
2016-03-11,3.0,8.2,-1.6,0.0,2.2,,,,2.1,,,,,
2016-03-12,2.4,9.5,-3.1,0.0,6.2,,,,1.7,,,,,
2016-03-13,5.5,13.2,-2.6,8.0,3.2,,,,0.9,,,,,
2016-03-14,5.1,7.2,3.6,15.0,0.1,,,,2.1,,,,,
2016-03-15,4.9,10.3,-1.3,0.0,7.3,,,,2.9,,,,,
2016-03-16,4.4,14.4,-2.9,0.0,1.1,,,,0.8,,,,,
2016-03-17,8.4,20.5,-1.3,0.0,10.9,,,,1.1,,,,,
2016-03-18,10.6,18.4,0.4,1.0,2.7,,,,1.3,,,,,
2016-03-19,12.5,16.6,8.5,9.5,0.1,,,,1.9,,,,,
2016-03-20,8.7,12.3,6.3,0.0,4.3,,,,3.1,,,,,
2016-03-21,6.5,11.7,-0.8,0.0,9.1,,,,3.1,,,,,
2016-03-22,6.6,17.9,-2.8,0.0,9.7,,,,1.1,,,,,
2016-03-23,7.8,16.5,0.4,0.0,6.7,,,,2.2,,,,,
2016-03-24,6.6,10.3,4.0,0.0,4.3,,,,3.1,,,,,
2016-03-25,4.5,9.3,-1.9,0.0,5.4,,,,2.6,,,,,
2016-03-26,3.9,12.3,-2.5,0.0,6.7,,,,1.5,,,,,
2016-03-27,6.7,16.4,-2.7,0.0,7.4,,,,1.3,,,,,
2016-03-28,7.7,14.9,0.9,0.0,7.3,,,,1.5,,,,,
2016-03-29,8.2,17.9,-1.1,0.0,6.0,,,,1.3,,,,,
2016-03-30,11.1,19.9,2.3,0.0,7.6,,,,1.5,,,,,
2016-03-31,12.5,21.5,7.2,0.0,4.5,,,,1.1,,,,,
2016-04-01,12.4,15.0,9.2,1.5,0.0,,,,0.7,,,,,
2016-04-02,14.2,20.7,5.1,0.0,4.1,,,,2.6,,,,,
2016-04-03,15.1,19.8,9.7,1.5,0.6,,,,1.6,,,,,
2016-04-04,13.2,17.5,10.3,11.5,0.0,,,,1.7,,,,,
2016-04-05,11.4,17.1,5.3,0.0,5.6,,,,1.8,,,,,
2016-04-06,12.7,22.6,3.1,0.0,8.7,,,,1.0,,,,,
2016-04-07,15.3,21.4,10.1,44.0,0.0,,,,2.4,,,,,
2016-04-08,13.5,19.4,7.4,0.0,3.9,,,,1.7,,,,,
2016-04-09,13.8,23.5,7.0,0.0,6.7,,,,1.3,,,,,
2016-04-10,13.6,21.0,6.8,0.0,0.4,,,,1.1,,,,,
2016-04-11,8.1,13.1,2.3,0.0,7.1,,,,3.6,,,,,
2016-04-12,9.8,18.8,-1.6,0.0,10.2,,,,1.7,,,,,
2016-04-13,14.9,19.5,12.9,40.5,0.6,,,,1.8,,,,,
2016-04-14,16.4,23.0,12.3,2.0,5.0,,,,1.9,,,,,
2016-04-15,11.5,16.9,3.3,0.0,11.7,,,,3.3,,,,,
2016-04-16,13.9,25.4,1.2,0.0,9.9,,,,1.7,,,,,
2016-04-17,18.1,25.0,10.4,11.0,7.1,,,,3.1,,,,,
2016-04-18,12.4,17.8,7.4,0.0,0.8,,,,1.5,,,,,
2016-04-19,11.1,20.1,2.4,0.0,10.0,,,,1.8,,,,,
2016-04-20,13.0,23.3,2.4,0.0,11.5,,,,1.6,,,,,
2016-04-21,14.0,15.9,11.0,14.0,0.0,,,,1.6,,,,,
2016-04-22,16.7,23.2,11.1,0.5,6.4,,,,1.5,,,,,
2016-04-23,16.7,25.9,10.2,1.5,4.2,,,,1.1,,,,,
2016-04-24,14.5,21.0,8.7,0.0,5.6,,,,2.0,,,,,
2016-04-25,15.6,23.1,7.5,0.0,3.2,,,,1.1,,,,,
2016-04-26,17.8,28.4,8.1,0.0,11.1,,,,1.1,,,,,
2016-04-27,15.3,20.2,12.0,6.5,0.0,,,,1.0,,,,,
2016-04-28,14.4,18.2,11.0,9.5,0.1,,,,2.1,,,,,
2016-04-29,10.2,15.3,4.4,0.0,5.0,,,,3.3,,,,,
2016-04-30,11.6,22.2,2.4,0.0,9.8,,,,1.5,,,,,
2016-05-01,15.4,26.4,5.8,0.0,7.6,,,,1.4,,,,,
2016-05-02,18.0,30.1,7.3,0.0,11.9,,,,1.2,,,,,
2016-05-03,18.3,22.2,11.5,6.5,0.2,,,,2.7,,,,,
2016-05-04,18.9,24.1,11.8,1.0,12.6,,,,4.0,,,,,
2016-05-05,17.0,24.4,9.5,0.0,11.3,,,,2.0,,,,,
