calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.9,11.3,2.7,0.0,7.2,,,,2.3,,,,,
2016-01-02,6.4,13.6,0.3,0.0,5.4,,,,0.6,,,,,
2016-01-03,9.0,14.7,4.8,0.0,1.3,,,,0.4,,,,,
2016-01-04,10.4,17.7,3.6,0.0,7.4,,,,0.9,,,,,
2016-01-05,10.9,15.3,6.6,0.0,2.8,,,,1.5,,,,,
2016-01-06,10.6,12.7,9.2,0.0,0.5,,,,1.9,,,,,
2016-01-07,9.3,12.3,5.6,0.0,7.1,,,,2.3,,,,,
2016-01-08,8.3,12.2,4.3,0.0,1.2,,,,2.0,,,,,
2016-01-09,6.6,11.8,1.3,0.0,7.4,,,,1.7,,,,,
2016-01-10,7.4,13.0,0.8,0.0,7.5,,,,1.5,,,,,
2016-01-11,7.9,12.7,1.8,0.0,4.2,,,,1.2,,,,,
2016-01-12,7.9,10.4,4.8,0.0,1.5,,,,2.5,,,,,
2016-01-13,6.6,11.6,1.6,0.0,3.8,,,,2.0,,,,,
2016-01-14,6.3,10.5,-0.1,0.0,6.7,,,,1.9,,,,,
2016-01-15,5.2,10.4,-0.1,0.0,6.9,,,,1.2,,,,,
2016-01-16,5.1,10.3,-0.4,0.0,7.2,,,,1.9,,,,,
2016-01-17,5.3,10.9,-1.3,24.5,4.6,,,,1.1,,,,,
2016-01-18,9.6,13.6,5.5,51.5,3.1,,,,2.9,,,,,
2016-01-19,3.1,6.8,-1.3,0.0,5.2,,,,1.8,,,,,
2016-01-20,4.8,8.2,-1.4,0.0,5.7,,,,2.6,,,,,
2016-01-21,5.2,8.6,3.0,0.0,3.7,,,,2.0,,,,,
2016-01-22,5.3,9.6,1.5,0.0,7.1,,,,1.7,,,,,
2016-01-23,4.3,7.2,1.2,0.0,0.0,,,,2.0,,,,,
2016-01-24,0.5,3.1,-2.2,0.0,8.2,,,,2.5,,,,,
2016-01-25,1.5,6.9,-2.3,0.0,7.7,,,,1.9,,,,,
2016-01-26,4.2,9.5,0.0,0.0,8.1,,,,1.4,,,,,
2016-01-27,6.6,11.9,-0.1,0.0,7.7,,,,1.7,,,,,
2016-01-28,7.8,13.7,0.6,0.0,7.1,,,,0.8,,,,,
2016-01-29,8.1,10.0,6.8,31.5,0.0,,,,0.9,,,,,
2016-01-30,9.0,10.2,7.5,2.0,0.0,,,,2.5,,,,,
2016-01-31,7.5,12.5,2.7,0.0,8.4,,,,2.1,,,,,
2016-02-01,8.0,9.5,3.2,0.0,0.0,,,,1.9,,,,,
2016-02-02,6.8,10.8,3.6,0.0,8.1,,,,2.5,,,,,
2016-02-03,5.4,8.7,2.8,0.0,8.6,,,,3.0,,,,,
2016-02-04,5.8,11.2,-0.8,0.0,6.7,,,,1.3,,,,,
2016-02-05,7.2,12.9,1.6,0.0,8.2,,,,1.4,,,,,
2016-02-06,6.6,9.3,0.8,0.0,2.0,,,,1.9,,,,,
2016-02-07,5.2,8.6,0.7,0.0,8.8,,,,3.1,,,,,
2016-02-08,4.1,10.7,-0.6,0.0,8.9,,,,1.4,,,,,
2016-02-09,5.4,11.0,-1.1,0.0,6.1,,,,1.5,,,,,
2016-02-10,5.8,9.6,3.9,0.0,7.8,,,,2.7,,,,,
2016-02-11,6.5,12.8,2.3,0.0,9.3,,,,2.0,,,,,
2016-02-12,7.8,9.7,3.7,0.0,0.0,,,,0.7,,,,,
2016-02-13,10.8,16.9,6.5,33.0,0.0,,,,0.7,,,,,
2016-02-14,17.1,20.3,12.6,17.5,1.0,,,,2.4,,,,,
