calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.5,11.7,0.7,0.0,9.1,,,,3.8,,,,,
2016-01-02,5.3,11.8,-1.8,0.0,7.4,,,,1.4,,,,,
2016-01-03,7.8,14.6,4.2,0.0,4.3,,,,1.3,,,,,
2016-01-04,9.4,17.4,1.9,0.0,9.1,,,,2.4,,,,,
2016-01-05,10.1,15.2,6.1,0.0,3.6,,,,3.1,,,,,
2016-01-06,9.9,12.6,8.0,0.0,1.0,,,,2.2,,,,,
2016-01-07,7.9,11.8,3.6,0.0,6.0,,,,3.1,,,,,
2016-01-08,6.3,11.9,0.6,0.0,2.1,,,,2.4,,,,,
2016-01-09,6.1,11.5,0.8,0.0,9.6,,,,3.2,,,,,
2016-01-10,6.0,12.1,-1.0,0.0,8.4,,,,2.8,,,,,
2016-01-11,7.0,12.5,2.1,0.0,5.6,,,,2.5,,,,,
2016-01-12,6.3,10.2,1.2,0.0,1.0,,,,2.9,,,,,
2016-01-13,4.1,10.4,-2.0,0.0,7.8,,,,2.2,,,,,
2016-01-14,4.8,10.5,-1.4,0.0,8.2,,,,2.8,,,,,
2016-01-15,4.8,10.5,-0.8,0.0,8.9,,,,2.9,,,,,
2016-01-16,3.7,10.1,-2.5,0.0,6.2,,,,2.7,,,,,
2016-01-17,4.1,9.1,-2.8,14.5,5.6,,,,1.5,,,,,
2016-01-18,8.7,12.3,4.0,30.0,3.5,,,,5.0,,,,,
2016-01-19,1.7,5.0,-0.3,0.5,3.8,,,,4.9,,,,,
2016-01-20,3.7,7.7,-0.8,0.0,3.9,,,,5.5,,,,,
2016-01-21,4.3,7.9,1.6,0.0,4.4,,,,3.1,,,,,
2016-01-22,4.4,9.7,0.8,0.0,7.3,,,,3.2,,,,,
