calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.5,11.5,-1.3,0.0,8.4,,,,1.9,,,,,
2016-01-02,3.9,13.5,-2.9,0.0,5.6,,,,0.8,,,,,
2016-01-03,6.6,14.7,1.9,0.0,3.5,,,,0.7,,,,,
2016-01-04,7.3,17.7,-0.2,0.0,8.4,,,,1.1,,,,,
2016-01-05,7.7,13.7,1.1,0.0,2.2,,,,1.3,,,,,
2016-01-06,8.5,13.4,5.5,0.0,1.4,,,,1.0,,,,,
2016-01-07,7.6,10.4,3.6,0.0,2.1,,,,2.0,,,,,
2016-01-08,5.0,10.1,0.4,0.0,0.6,,,,1.3,,,,,
2016-01-09,5.2,11.7,-1.5,0.0,8.5,,,,2.0,,,,,
2016-01-10,3.7,11.8,-2.3,0.0,7.9,,,,1.5,,,,,
2016-01-11,4.2,12.6,-2.4,0.0,5.9,,,,1.2,,,,,
2016-01-12,5.8,10.4,1.9,0.0,2.4,,,,2.0,,,,,
2016-01-13,3.3,10.5,-3.1,0.0,6.1,,,,1.4,,,,,
2016-01-14,4.8,9.4,-1.7,0.0,8.2,,,,2.4,,,,,
2016-01-15,3.9,10.2,-2.2,0.0,8.2,,,,1.7,,,,,
2016-01-16,3.2,10.6,-2.6,0.0,6.2,,,,1.6,,,,,
2016-01-17,3.4,10.7,-3.4,10.5,4.6,,,,0.8,,,,,
2016-01-18,7.2,10.4,3.3,28.0,0.4,,,,2.6,,,,,
2016-01-19,1.1,4.5,-1.1,3.5,3.5,,,,2.5,,,,,
2016-01-20,3.5,7.0,-0.8,0.0,6.1,,,,4.3,,,,,
2016-01-21,3.9,6.4,0.9,0.0,1.3,,,,1.5,,,,,
2016-01-22,3.5,8.6,0.0,0.0,4.4,,,,1.7,,,,,
2016-01-23,2.0,6.1,-1.4,0.0,0.0,,,,1.2,,,,,
