calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.9,11.5,1.1,0.0,7.5,,,,1.9,5.6,1021.7,62,1028.8,
2016-01-02,5.0,11.8,-0.7,,6.2,,,,1.3,6.4,1018.6,75,1025.8,
2016-01-03,7.8,14.2,2.0,,8.0,,,,1.2,8.3,1012.7,79,1019.8,
2016-01-04,9.9,16.8,3.1,,6.0,,,,1.6,8.5,1010.9,72,1017.8,
2016-01-05,9.0,14.0,3.6,0.0,3.5,,,,1.6,7.8,1013.5,70,1020.5,
2016-01-06,9.0,13.0,6.1,,2.6,,,,1.1,7.7,1011.9,68,1018.9,
2016-01-07,6.8,11.2,3.3,0.0,3.3,,,,2.3,6.8,1009.3,69,1016.4,
2016-01-08,5.7,11.5,0.3,0.0,3.3,,,,1.5,6.1,1009.8,68,1016.9,
2016-01-09,5.5,12.0,0.9,,7.0,,,,1.9,5.2,1013.3,59,1020.4,
2016-01-10,5.9,11.8,0.9,,5.0,,,,1.5,5.3,1014.3,58,1021.4,
2016-01-11,6.0,10.7,1.7,0.0,2.8,,,,1.4,6.5,1012.4,70,1019.5,
2016-01-12,5.3,10.8,0.1,0.0,3.8,,,,1.7,5.9,1008.1,67,1015.1,
2016-01-13,4.1,10.4,-0.7,,5.2,,,,1.8,5.5,1008.3,68,1015.4,
2016-01-14,3.9,10.8,-1.4,0.0,5.4,,,,1.6,4.9,1009.5,63,1016.6,
2016-01-15,4.3,9.7,0.3,,6.6,,,,2.5,4.9,1011.9,60,1019.1,
2016-01-16,4.3,9.2,-0.3,,7.6,,,,2.0,5.4,1014.1,67,1021.2,
2016-01-17,4.3,9.5,-2.0,4.0,4.1,,,,1.4,5.6,1012.8,69,1019.9,
2016-01-18,7.6,11.0,4.4,12.5,0.1,,,,2.9,8.5,992.3,82,999.2,
2016-01-19,2.5,6.2,-1.5,0.0,8.7,,,,3.8,3.3,1000.9,45,1008.0,
2016-01-20,0.9,3.7,-1.2,12.5,2.3,,,,2.8,5.4,1008.4,83,1015.6,
2016-01-21,2.9,7.9,-0.9,0.0,5.4,,,,1.6,5.6,1014.0,76,1021.1,
2016-01-22,3.1,8.9,-0.6,,8.2,,,,1.9,4.8,1015.1,64,1022.3,
2016-01-23,1.0,3.7,-2.8,,0.0,,,,1.2,4.4,1012.0,68,1019.2,
2016-01-24,-0.2,3.5,-3.7,0.0,9.4,,,,2.9,2.3,1005.6,38,1012.7,
2016-01-25,-0.8,4.1,-4.5,0.5,6.0,,,,1.4,4.5,1014.4,78,1021.7,
