calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.2,13.6,0.7,0.0,,,,,3.1,,,,,
2016-01-02,10.7,14.9,6.3,2.0,,,,,2.6,,,,,
2016-01-03,13.5,17.3,10.8,0.0,,,,,2.1,,,,,
2016-01-04,14.7,20.9,10.7,0.0,,,,,4.4,,,,,
2016-01-05,12.7,16.7,9.2,3.5,,,,,4.4,,,,,
2016-01-06,9.7,10.7,7.2,13.5,,,,,2.9,,,,,
2016-01-07,9.4,13.9,6.4,0.0,,,,,5.8,,,,,
2016-01-08,9.1,13.7,5.3,0.0,,,,,3.9,,,,,
2016-01-09,7.9,13.3,3.4,0.0,,,,,5.1,,,,,
2016-01-10,8.4,13.4,3.4,0.0,,,,,3.0,,,,,
2016-01-11,8.5,10.2,7.5,3.5,,,,,3.0,,,,,
2016-01-12,8.7,14.3,5.2,2.0,,,,,4.7,,,,,
2016-01-13,7.0,12.6,2.2,0.0,,,,,4.8,,,,,
2016-01-14,7.3,12.6,2.9,0.0,,,,,4.3,,,,,
2016-01-15,7.1,11.8,2.2,0.0,,,,,3.0,,,,,
2016-01-16,6.3,12.3,-0.3,0.0,,,,,3.5,,,,,
2016-01-17,8.1,13.1,2.3,27.0,,,,,3.7,,,,,
2016-01-18,10.6,15.0,4.3,0.5,,,,,10.8,,,,,
2016-01-19,4.4,8.9,2.0,0.0,,,,,9.4,,,,,
2016-01-20,4.2,9.2,0.9,0.0,,,,,7.0,,,,,
2016-01-21,4.6,7.8,0.7,0.0,,,,,3.8,,,,,
2016-01-22,7.5,11.6,3.8,0.0,,,,,3.2,,,,,
2016-01-23,7.1,13.2,1.5,0.0,,,,,5.0,,,,,
2016-01-24,0.2,3.3,-3.2,0.0,,,,,5.1,,,,,
2016-01-25,2.1,8.5,-3.6,0.0,,,,,5.2,,,,,
2016-01-26,5.8,12.3,-0.8,0.0,,,,,4.3,,,,,
2016-01-27,7.6,13.1,0.8,0.0,,,,,3.2,,,,,
2016-01-28,11.0,16.0,5.6,0.0,,,,,2.1,,,,,
2016-01-29,14.4,17.1,11.6,37.5,,,,,2.5,,,,,
2016-01-30,14.3,16.5,9.9,0.5,,,,,4.4,,,,,
2016-01-31,10.9,17.2,5.0,0.0,,,,,3.8,,,,,
2016-02-01,8.4,9.6,6.8,2.0,,,,,4.4,,,,,
2016-02-02,7.2,11.5,4.5,0.0,,,,,4.8,,,,,
2016-02-03,7.3,14.1,2.1,0.0,,,,,3.7,,,,,
2016-02-04,8.9,15.4,3.2,0.0,,,,,5.1,,,,,
2016-02-05,8.9,13.1,5.9,0.0,,,,,4.1,,,,,
2016-02-06,7.2,11.6,3.2,0.0,,,,,6.5,,,,,
2016-02-07,5.9,11.3,0.6,0.0,,,,,3.9,,,,,
2016-02-08,7.6,14.0,1.6,0.0,,,,,4.3,,,,,
2016-02-09,11.2,16.6,6.4,0.0,,,,,7.1,,,,,
2016-02-10,8.8,14.4,2.7,0.0,,,,,3.4,,,,,
2016-02-11,10.2,16.2,3.2,0.0,,,,,3.3,,,,,
2016-02-12,14.6,18.1,9.2,3.0,,,,,4.8,,,,,
2016-02-13,17.6,22.9,14.0,25.0,,,,,3.2,,,,,
2016-02-14,14.5,20.8,8.1,1.0,,,,,9.3,,,,,
2016-02-15,5.7,9.3,1.1,0.0,,,,,8.7,,,,,
2016-02-16,5.6,11.4,0.5,0.0,,,,,5.5,,,,,
2016-02-17,8.1,13.7,4.0,0.0,,,,,5.4,,,,,
2016-02-18,8.3,13.2,4.4,0.0,,,,,3.6,,,,,
2016-02-19,11.0,18.4,2.9,0.5,,,,,3.3,,,,,
2016-02-20,11.8,16.9,9.4,75.0,,,,,5.7,,,,,
2016-02-21,9.3,13.7,5.3,0.0,,,,,4.8,,,,,
2016-02-22,7.9,11.5,4.7,4.5,,,,,3.0,,,,,
2016-02-23,9.7,12.1,8.1,13.0,,,,,3.9,,,,,
2016-02-24,9.2,15.4,4.2,0.0,,,,,6.3,,,,,
2016-02-25,7.4,13.8,3.1,0.0,,,,,5.6,,,,,
2016-02-26,7.4,12.3,3.8,0.0,,,,,3.8,,,,,
2016-02-27,10.0,18.2,3.6,0.0,,,,,3.4,,,,,
2016-02-28,11.6,17.5,4.7,0.0,,,,,3.8,,,,,
2016-02-29,9.3,14.1,2.8,0.0,,,,,8.3,,,,,
2016-03-01,4.6,9.2,0.1,0.0,,,,,4.6,,,,,
2016-03-02,8.1,13.8,2.2,0.0,,,,,4.9,,,,,
2016-03-03,10.4,16.7,3.4,0.0,,,,,3.2,,,,,
2016-03-04,13.0,19.4,6.5,0.0,,,,,3.7,,,,,
2016-03-05,15.3,21.8,9.3,0.0,,,,,3.1,,,,,
2016-03-06,17.4,18.6,14.3,4.5,,,,,3.3,,,,,
2016-03-07,17.5,21.3,14.3,0.0,,,,,2.4,,,,,
2016-03-08,16.6,20.7,11.9,0.0,,,,,3.6,,,,,
2016-03-09,13.8,17.0,10.4,57.5,,,,,5.5,,,,,
2016-03-10,10.9,13.3,6.9,0.0,,,,,2.7,,,,,
2016-03-11,10.4,14.8,6.9,0.0,,,,,5.2,,,,,
2016-03-12,9.2,13.2,5.0,0.0,,,,,4.6,,,,,
2016-03-13,10.2,14.8,5.8,9.5,,,,,3.1,,,,,
2016-03-14,10.5,14.1,6.0,27.5,,,,,5.1,,,,,
2016-03-15,8.5,14.2,2.0,0.0,,,,,3.0,,,,,
2016-03-16,11.6,17.2,5.7,0.0,,,,,3.4,,,,,
2016-03-17,13.7,19.1,6.7,0.0,,,,,3.1,,,,,
2016-03-18,14.8,17.6,11.7,45.5,,,,,3.6,,,,,
2016-03-19,18.5,23.3,14.5,6.5,,,,,4.4,,,,,
2016-03-20,14.7,18.4,9.5,0.0,,,,,4.3,,,,,
2016-03-21,12.9,16.7,8.9,0.0,,,,,4.5,,,,,
2016-03-22,13.6,19.0,6.1,0.0,,,,,4.5,,,,,
2016-03-23,14.5,17.3,12.2,0.5,,,,,2.7,,,,,
2016-03-24,12.9,15.9,10.0,0.0,,,,,7.7,,,,,
2016-03-25,10.7,14.3,7.3,0.0,,,,,5.9,,,,,
2016-03-26,10.1,15.0,4.7,0.0,,,,,2.9,,,,,
2016-03-27,11.2,17.5,6.9,0.0,,,,,4.9,,,,,
2016-03-28,11.8,18.3,5.6,0.0,,,,,4.7,,,,,
2016-03-29,14.0,19.6,7.5,0.0,,,,,3.9,,,,,
2016-03-30,16.0,21.5,12.7,0.0,,,,,3.4,,,,,
2016-03-31,14.0,15.3,12.7,28.0,,,,,2.2,,,,,
2016-04-01,17.3,20.9,13.9,5.5,,,,,3.2,,,,,
2016-04-02,18.6,20.4,16.3,0.0,,,,,4.5,,,,,
2016-04-03,19.0,20.8,17.4,4.0,,,,,3.0,,,,,
2016-04-04,19.2,23.4,16.2,4.0,,,,,3.2,,,,,
2016-04-05,17.5,20.3,12.8,0.0,,,,,3.3,,,,,
2016-04-06,17.0,20.2,13.3,0.0,,,,,2.5,,,,,
2016-04-07,21.6,27.8,15.7,4.5,,,,,5.9,,,,,
2016-04-08,18.0,20.2,15.2,1.5,,,,,3.2,,,,,
2016-04-09,17.0,19.5,14.1,0.0,,,,,1.8,,,,,
2016-04-10,16.2,18.7,14.8,4.5,,,,,2.4,,,,,
2016-04-11,17.0,19.9,15.2,0.0,,,,,6.1,,,,,
2016-04-12,15.3,19.8,11.9,0.5,,,,,4.3,,,,,
2016-04-13,15.8,17.9,12.1,4.5,,,,,2.0,,,,,
2016-04-14,19.5,22.7,15.6,0.0,,,,,2.3,,,,,
2016-04-15,17.4,22.3,12.8,0.0,,,,,4.6,,,,,
2016-04-16,17.3,22.7,11.1,4.0,,,,,4.5,,,,,
2016-04-17,20.9,27.1,15.1,25.0,,,,,8.7,,,,,
2016-04-18,13.8,15.3,11.7,1.0,,,,,3.9,,,,,
2016-04-19,15.8,21.4,8.5,0.0,,,,,3.9,,,,,
2016-04-20,17.0,22.3,10.7,0.0,,,,,3.2,,,,,
2016-04-21,20.0,25.4,15.6,39.0,,,,,4.1,,,,,
2016-04-22,20.1,24.0,16.3,0.0,,,,,4.6,,,,,
2016-04-23,16.1,21.5,13.7,11.0,,,,,2.5,,,,,
2016-04-24,15.0,16.3,13.6,26.0,,,,,2.2,,,,,
2016-04-25,16.7,17.8,15.2,22.5,,,,,2.8,,,,,
2016-04-26,18.5,20.1,17.4,11.0,,,,,4.1,,,,,
2016-04-27,19.2,20.8,18.0,41.0,,,,,2.8,,,,,
2016-04-28,20.3,25.4,16.1,0.0,,,,,7.0,,,,,
2016-04-29,17.6,22.4,13.0,0.0,,,,,3.8,,,,,
2016-04-30,18.0,23.1,10.6,0.0,,,,,4.6,,,,,
2016-05-01,20.7,25.7,15.0,0.0,,,,,3.9,,,,,
2016-05-02,20.0,24.7,14.4,0.0,,,,,3.6,,,,,
2016-05-03,20.1,23.8,15.8,39.0,,,,,7.6,,,,,
2016-05-04,20.2,27.2,13.3,0.0,,,,,5.7,,,,,
2016-05-05,21.4,28.6,17.3,0.0,,,,,4.1,,,,,
2016-05-06,17.9,19.6,15.3,22.0,,,,,2.3,,,,,
2016-05-07,21.0,23.8,18.5,0.0,,,,,2.7,,,,,
2016-05-08,19.4,21.6,17.4,26.0,,,,,2.3,,,,,
2016-05-09,21.3,25.5,17.5,46.0,,,,,3.1,,,,,
2016-05-10,22.1,24.9,20.5,39.0,,,,,3.1,,,,,
2016-05-11,20.8,26.7,17.8,0.0,,,,,5.6,,,,,
2016-05-12,18.9,22.2,14.6,0.0,,,,,2.6,,,,,
2016-05-13,20.3,24.9,15.0,0.0,,,,,2.8,,,,,
2016-05-14,21.1,24.1,16.7,0.0,,,,,2.5,,,,,
2016-05-15,21.4,23.9,19.9,29.5,,,,,1.7,,,,,
2016-05-16,20.6,25.0,16.8,15.0,,,,,3.9,,,,,
2016-05-17,18.9,23.8,14.7,0.0,,,,,3.3,,,,,
2016-05-18,19.3,23.8,13.3,0.0,,,,,3.2,,,,,
2016-05-19,21.4,25.3,16.2,0.0,,,,,5.3,,,,,
2016-05-20,22.7,25.8,21.3,0.0,,,,,5.7,,,,,
2016-05-21,22.1,25.0,19.2,0.0,,,,,4.3,,,,,
2016-05-22,21.5,25.9,16.7,0.0,,,,,3.1,,,,,
2016-05-23,22.3,25.8,18.9,0.0,,,,,3.1,,,,,
2016-05-24,22.5,26.1,18.7,1.5,,,,,4.1,,,,,
2016-05-25,23.2,24.4,22.1,22.0,,,,,2.2,,,,,
2016-05-26,24.4,27.3,22.3,0.0,,,,,2.5,,,,,
2016-05-27,24.4,27.3,22.0,0.0,,,,,2.8,,,,,
2016-05-28,20.5,22.8,19.5,45.0,,,,,2.6,,,,,
2016-05-29,21.5,23.9,19.8,16.5,,,,,1.6,,,,,
2016-05-30,24.3,27.0,20.7,0.0,,,,,3.8,,,,,
2016-05-31,24.2,28.6,18.8,0.0,,,,,4.1,,,,,
2016-06-01,22.1,25.1,18.0,0.0,,,,,2.4,,,,,
2016-06-02,20.8,25.4,15.1,0.0,,,,,4.3,,,,,
2016-06-03,21.1,25.3,15.7,0.0,,,,,3.4,,,,,
2016-06-04,19.7,22.7,18.4,36.0,,,,,2.7,,,,,
2016-06-05,20.4,21.6,19.4,5.0,,,,,3.3,,,,,
2016-06-06,20.7,21.6,19.6,19.5,,,,,6.0,,,,,
2016-06-07,23.2,26.2,20.8,0.0,,,,,3.3,,,,,
2016-06-08,24.3,26.7,22.4,0.0,,,,,2.1,,,,,
2016-06-09,23.4,27.1,21.4,1.5,,,,,2.6,,,,,
2016-06-10,23.9,26.9,20.8,0.0,,,,,2.5,,,,,
2016-06-11,24.9,27.9,22.1,0.0,,,,,2.5,,,,,
2016-06-12,23.6,25.2,22.4,43.5,,,,,3.6,,,,,
2016-06-13,23.4,24.8,21.9,28.0,,,,,2.4,,,,,
2016-06-14,24.5,27.6,20.5,0.0,,,,,3.1,,,,,
2016-06-15,24.8,28.0,21.3,0.5,,,,,2.8,,,,,
2016-06-16,24.6,28.6,22.8,39.0,,,,,4.6,,,,,
2016-06-17,23.6,26.3,21.3,0.0,,,,,4.7,,,,,
2016-06-18,23.5,27.0,20.2,0.0,,,,,2.2,,,,,
2016-06-19,23.7,26.3,21.9,45.0,,,,,2.6,,,,,
2016-06-20,24.2,26.5,22.5,42.5,,,,,3.0,,,,,
2016-06-21,26.9,31.2,24.1,65.5,,,,,4.2,,,,,
2016-06-22,26.6,30.7,23.3,5.5,,,,,2.5,,,,,
2016-06-23,29.4,33.6,27.1,0.0,,,,,6.4,,,,,
2016-06-24,29.6,33.6,24.6,0.0,,,,,5.1,,,,,
2016-06-25,24.6,29.4,20.0,0.5,,,,,6.1,,,,,
2016-06-26,24.8,31.5,19.5,0.0,,,,,5.3,,,,,
2016-06-27,20.0,22.6,18.5,59.0,,,,,2.3,,,,,
2016-06-28,24.2,29.0,19.7,77.0,,,,,2.2,,,,,
2016-06-29,24.4,28.1,22.9,43.5,,,,,2.2,,,,,
2016-06-30,23.6,27.5,21.6,35.0,,,,,1.8,,,,,
2016-07-01,25.8,30.7,21.9,0.0,,,,,2.5,,,,,
2016-07-02,28.2,34.5,22.6,0.0,,,,,3.0,,,,,
2016-07-03,29.8,35.2,25.6,0.0,,,,,3.8,,,,,
2016-07-04,27.9,32.8,23.9,0.0,,,,,3.2,,,,,
2016-07-05,27.8,30.4,25.1,0.0,,,,,4.1,,,,,
2016-07-06,27.2,30.1,23.7,0.0,,,,,3.0,,,,,
2016-07-07,26.4,29.6,23.0,0.0,,,,,2.2,,,,,
2016-07-08,23.8,26.2,22.2,229.0,,,,,3.1,,,,,
2016-07-09,26.0,30.3,23.9,20.5,,,,,2.6,,,,,
2016-07-10,25.5,27.8,24.2,40.5,,,,,1.5,,,,,
2016-07-11,26.1,28.2,25.0,23.5,,,,,1.5,,,,,
2016-07-12,28.9,35.1,24.7,3.5,,,,,3.1,,,,,
2016-07-13,28.0,31.1,25.5,14.5,,,,,3.4,,,,,
2016-07-14,27.6,31.8,25.1,93.0,,,,,4.5,,,,,
2016-07-15,25.9,29.8,22.9,0.0,,,,,3.4,,,,,
2016-07-16,25.9,28.8,23.4,7.5,,,,,1.8,,,,,
2016-07-17,30.5,35.0,26.8,1.0,,,,,5.3,,,,,
2016-07-18,27.0,29.2,24.0,0.0,,,,,3.0,,,,,
2016-07-19,27.9,30.9,25.2,0.0,,,,,2.8,,,,,
2016-07-20,26.9,29.5,25.3,0.0,,,,,1.8,,,,,
2016-07-21,27.1,30.4,24.3,0.5,,,,,2.4,,,,,
2016-07-22,27.4,30.4,24.7,0.0,,,,,2.5,,,,,
2016-07-23,28.0,30.7,24.9,0.0,,,,,3.0,,,,,
2016-07-24,26.4,29.3,24.5,18.5,,,,,3.1,,,,,
2016-07-25,27.0,30.3,24.1,0.5,,,,,2.5,,,,,
2016-07-26,27.1,30.3,24.2,0.0,,,,,2.9,,,,,
2016-07-27,27.3,30.9,23.5,0.0,,,,,2.6,,,,,
2016-07-28,27.5,31.0,24.0,0.0,,,,,2.7,,,,,
2016-07-29,27.8,30.8,24.2,0.0,,,,,2.7,,,,,
2016-07-30,28.2,30.8,25.5,0.0,,,,,3.0,,,,,
2016-07-31,27.6,30.8,24.9,0.0,,,,,2.7,,,,,
2016-08-01,28.1,32.2,23.8,0.0,,,,,2.9,,,,,
2016-08-02,28.9,32.0,25.8,0.0,,,,,2.3,,,,,
2016-08-03,27.7,31.4,25.0,0.5,,,,,2.2,,,,,
2016-08-04,27.8,31.2,24.8,0.0,,,,,2.5,,,,,
2016-08-05,27.6,31.5,25.6,4.0,,,,,2.9,,,,,
2016-08-06,27.1,30.5,23.7,69.5,,,,,2.6,,,,,
2016-08-07,28.0,31.2,25.7,4.0,,,,,2.4,,,,,
2016-08-08,27.8,30.9,25.0,0.0,,,,,2.7,,,,,
2016-08-09,29.0,33.0,25.7,0.0,,,,,2.2,,,,,
2016-08-10,28.6,31.8,25.3,0.0,,,,,2.5,,,,,
2016-08-11,29.0,31.6,25.7,0.0,,,,,2.0,,,,,
2016-08-12,28.7,31.2,26.1,0.0,,,,,2.3,,,,,
2016-08-13,29.0,32.1,25.6,0.0,,,,,2.9,,,,,
2016-08-14,29.1,31.9,26.0,0.0,,,,,2.7,,,,,
2016-08-15,29.8,32.8,26.8,0.0,,,,,3.0,,,,,
2016-08-16,29.8,33.4,27.1,0.0,,,,,3.3,,,,,
2016-08-17,29.3,32.4,26.5,0.0,,,,,3.4,,,,,
2016-08-18,29.0,32.0,26.4,0.0,,,,,2.1,,,,,
2016-08-19,28.8,32.2,25.7,0.0,,,,,2.5,,,,,
2016-08-20,29.5,33.4,25.8,0.0,,,,,2.4,,,,,
2016-08-21,29.3,32.9,26.0,0.0,,,,,3.7,,,,,
2016-08-22,29.4,33.0,25.4,0.0,,,,,2.4,,,,,
2016-08-23,29.7,32.9,26.7,0.0,,,,,3.4,,,,,
2016-08-24,27.7,30.9,26.2,6.5,,,,,5.2,,,,,
2016-08-25,28.5,32.4,25.6,6.5,,,,,3.4,,,,,
2016-08-26,28.4,31.7,24.6,2.0,,,,,2.8,,,,,
2016-08-27,29.1,31.7,26.2,0.0,,,,,4.8,,,,,
2016-08-28,27.6,31.2,25.5,0.0,,,,,3.4,,,,,
2016-08-29,26.0,31.8,21.5,0.0,,,,,7.7,,,,,
2016-08-30,25.5,31.3,20.1,0.0,,,,,7.2,,,,,
2016-08-31,26.7,32.4,22.4,0.0,,,,,6.0,,,,,
2016-09-01,26.0,30.4,21.4,0.0,,,,,2.9,,,,,
2016-09-02,26.5,31.1,22.8,3.0,,,,,4.6,,,,,
2016-09-03,27.5,29.7,25.1,14.5,,,,,5.6,,,,,
2016-09-04,26.0,28.5,24.7,84.5,,,,,7.7,,,,,
2016-09-05,26.9,30.3,23.3,0.0,,,,,3.3,,,,,
2016-09-06,26.6,29.1,25.1,4.0,,,,,1.7,,,,,
2016-09-07,26.9,30.2,24.5,0.5,,,,,2.8,,,,,
2016-09-08,28.0,33.7,24.6,0.0,,,,,4.0,,,,,
2016-09-09,25.7,29.3,22.3,0.0,,,,,2.8,,,,,
2016-09-10,25.3,29.5,20.9,0.0,,,,,3.0,,,,,
2016-09-11,26.1,29.9,22.7,14.5,,,,,3.2,,,,,
2016-09-12,26.8,28.3,24.3,30.0,,,,,4.5,,,,,
2016-09-13,26.2,29.7,24.7,0.5,,,,,2.1,,,,,
2016-09-14,25.5,28.0,24.0,3.5,,,,,2.1,,,,,
2016-09-15,25.7,28.9,23.4,0.0,,,,,2.4,,,,,
2016-09-16,26.0,29.4,23.2,0.0,,,,,2.2,,,,,
2016-09-17,26.2,30.9,22.5,18.0,,,,,3.5,,,,,
2016-09-18,27.1,31.9,24.0,10.0,,,,,2.2,,,,,
2016-09-19,25.5,27.5,23.9,171.0,,,,,5.1,,,,,
2016-09-20,26.0,30.5,21.6,191.0,,,,,10.6,,,,,
2016-09-21,24.2,26.6,21.8,0.0,,,,,5.1,,,,,
2016-09-22,24.5,27.5,22.2,0.0,,,,,1.9,,,,,
2016-09-23,24.5,28.1,22.0,0.0,,,,,2.3,,,,,
2016-09-24,24.6,28.3,21.1,2.0,,,,,3.6,,,,,
2016-09-25,25.3,28.7,23.1,52.5,,,,,4.0,,,,,
2016-09-26,26.3,29.2,24.2,16.5,,,,,3.5,,,,,
2016-09-27,26.5,28.5,25.6,20.5,,,,,3.1,,,,,
2016-09-28,27.3,31.2,24.9,0.0,,,,,2.1,,,,,
2016-09-29,27.7,34.6,24.3,0.0,,,,,3.8,,,,,
2016-09-30,26.1,28.9,23.4,0.0,,,,,2.3,,,,,
2016-10-01,27.3,31.4,23.8,0.0,,,,,3.0,,,,,
2016-10-02,26.6,30.0,24.6,1.0,,,,,2.5,,,,,
2016-10-03,25.2,27.7,23.7,36.0,,,,,3.4,,,,,
2016-10-04,26.5,30.0,24.3,1.0,,,,,5.3,,,,,
2016-10-05,27.7,31.2,24.9,22.5,,,,,6.2,,,,,
2016-10-06,25.3,28.3,21.5,0.0,,,,,2.8,,,,,
2016-10-07,23.9,25.3,22.6,0.5,,,,,4.5,,,,,
2016-10-08,26.6,32.0,22.4,0.0,,,,,3.0,,,,,
2016-10-09,21.8,26.2,18.6,50.5,,,,,4.5,,,,,
2016-10-10,21.8,24.8,18.9,0.0,,,,,4.8,,,,,
2016-10-11,21.1,24.4,15.4,0.0,,,,,2.7,,,,,
2016-10-12,21.6,25.6,17.3,0.5,,,,,3.8,,,,,
2016-10-13,20.0,23.2,15.3,0.0,,,,,5.3,,,,,
2016-10-14,18.7,21.1,17.0,0.5,,,,,2.9,,,,,
2016-10-15,20.1,23.3,17.3,37.0,,,,,6.1,,,,,
2016-10-16,21.7,24.1,19.9,18.0,,,,,3.6,,,,,
2016-10-17,23.9,27.0,21.1,0.5,,,,,2.1,,,,,
2016-10-18,23.9,26.5,21.7,0.0,,,,,2.4,,,,,
2016-10-19,22.9,24.9,21.3,0.0,,,,,1.8,,,,,
2016-10-20,22.3,24.3,20.4,0.0,,,,,2.1,,,,,
2016-10-21,20.3,23.0,19.0,5.0,,,,,2.2,,,,,
2016-10-22,20.0,21.2,18.7,73.0,,,,,2.1,,,,,
2016-10-23,20.5,21.7,18.5,16.5,,,,,6.3,,,,,
2016-10-24,19.3,23.0,15.9,0.0,,,,,3.8,,,,,
2016-10-25,20.7,25.8,14.5,0.0,,,,,2.8,,,,,
2016-10-26,24.5,30.1,19.1,0.5,,,,,3.5,,,,,
2016-10-27,22.5,23.8,20.9,0.0,,,,,5.3,,,,,
2016-10-28,22.3,26.9,18.7,8.5,,,,,3.4,,,,,
2016-10-29,21.5,24.9,17.5,0.0,,,,,5.2,,,,,
2016-10-30,18.4,22.3,13.6,0.0,,,,,3.4,,,,,
2016-10-31,17.9,21.6,13.4,17.5,,,,,2.9,,,,,
2016-11-01,17.8,22.4,12.6,8.0,,,,,3.1,,,,,
2016-11-02,15.0,20.0,11.0,0.0,,,,,3.0,,,,,
2016-11-03,14.4,19.1,10.8,0.0,,,,,3.8,,,,,
2016-11-04,13.5,19.3,7.7,0.0,,,,,3.1,,,,,
2016-11-05,16.3,23.4,10.2,0.0,,,,,3.9,,,,,
2016-11-06,17.3,23.3,10.7,0.0,,,,,5.8,,,,,
2016-11-07,15.7,19.6,10.7,0.0,,,,,3.2,,,,,
2016-11-08,18.4,23.6,15.1,8.5,,,,,2.8,,,,,
2016-11-09,16.0,20.1,12.6,0.0,,,,,5.9,,,,,
2016-11-10,13.2,16.0,12.1,13.5,,,,,4.3,,,,,
2016-11-11,15.9,21.5,10.0,0.0,,,,,4.1,,,,,
2016-11-12,15.1,20.4,8.8,0.0,,,,,2.8,,,,,
2016-11-13,17.9,22.7,11.7,0.0,,,,,3.1,,,,,
2016-11-14,19.0,21.2,17.6,14.0,,,,,1.9,,,,,
2016-11-15,21.1,26.2,16.7,0.0,,,,,3.7,,,,,
2016-11-16,16.2,19.8,11.9,0.0,,,,,2.5,,,,,
2016-11-17,16.2,20.9,12.0,0.0,,,,,2.9,,,,,
2016-11-18,15.8,17.2,13.5,16.0,,,,,2.7,,,,,
2016-11-19,20.3,26.9,15.1,10.5,,,,,3.5,,,,,
2016-11-20,19.9,22.2,16.9,0.0,,,,,2.9,,,,,
2016-11-21,18.8,20.7,17.6,18.5,,,,,2.9,,,,,
2016-11-22,18.5,22.8,14.8,0.0,,,,,3.0,,,,,
2016-11-23,16.3,19.4,14.2,0.0,,,,,5.7,,,,,
