calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.1,12.7,-3.7,0.0,8.5,,,,1.0,,,,,
2016-01-02,8.4,14.9,-0.4,3.5,0.5,,,,0.6,,,,,
2016-01-03,12.9,17.5,10.2,1.5,0.8,,,,0.7,,,,,
2016-01-04,10.5,17.3,5.1,0.0,9.0,,,,1.8,,,,,
2016-01-05,10.0,15.2,7.9,13.0,0.2,,,,1.1,,,,,
2016-01-06,8.6,10.5,4.1,12.5,0.0,,,,0.9,,,,,
2016-01-07,6.8,9.4,3.3,0.0,3.6,,,,2.8,,,,,
2016-01-08,5.9,7.5,3.4,0.0,0.1,,,,2.7,,,,,
2016-01-09,4.4,8.2,-0.7,0.0,1.2,,,,1.5,,,,,
2016-01-10,4.4,10.3,-1.7,0.0,1.0,,,,1.1,,,,,
2016-01-11,6.1,9.6,3.3,2.5,0.0,,,,0.7,,,,,
2016-01-12,4.8,9.1,0.4,2.0,3.0,,,,2.0,,,,,
2016-01-13,3.6,7.3,-0.3,0.0,1.2,,,,2.1,,,,,
2016-01-14,4.1,8.4,-0.9,0.0,1.9,,,,2.3,,,,,
2016-01-15,2.8,8.6,-2.2,0.0,1.0,,,,1.0,,,,,
2016-01-16,3.9,14.0,-3.8,0.0,9.0,,,,0.7,,,,,
2016-01-17,7.3,12.2,-0.8,10.0,0.0,,,,1.9,,,,,
2016-01-18,7.1,11.6,0.5,2.0,1.5,,,,4.9,,,,,
2016-01-19,1.3,4.4,0.1,5.5,1.3,,,,4.5,,,,,
2016-01-20,0.9,4.9,-2.5,0.0,9.7,,,,3.0,,,,,
2016-01-21,1.3,4.6,-2.5,0.0,0.0,,,,1.3,,,,,
2016-01-22,4.2,8.2,0.3,0.0,3.9,,,,1.5,,,,,
2016-01-23,3.4,8.9,0.4,0.0,1.3,,,,2.4,,,,,
2016-01-24,-3.5,0.5,-5.4,10.5,0.1,,,,3.1,,,,,
2016-01-25,-3.1,2.8,-12.0,0.0,4.0,,,,1.8,,,,,
2016-01-26,1.9,6.0,-2.6,0.0,0.9,,,,1.9,,,,,
2016-01-27,3.1,9.4,-2.0,0.0,1.1,,,,1.0,,,,,
2016-01-28,6.5,10.6,2.1,2.0,0.0,,,,0.6,,,,,
2016-01-29,11.8,15.4,8.3,75.0,0.0,,,,1.3,,,,,
2016-01-30,11.5,14.6,4.7,1.0,2.3,,,,1.9,,,,,
2016-01-31,6.6,14.2,0.7,0.0,7.7,,,,1.7,,,,,
2016-02-01,5.8,7.6,3.8,0.0,0.0,,,,2.1,,,,,
2016-02-02,4.2,9.0,0.3,0.0,8.7,,,,2.1,,,,,
2016-02-03,3.5,10.8,-2.6,0.0,10.2,,,,1.6,,,,,
2016-02-04,4.1,12.0,-2.3,0.0,8.2,,,,1.6,,,,,
2016-02-05,5.7,12.9,0.1,0.0,7.1,,,,2.2,,,,,
2016-02-06,3.0,8.4,-1.7,0.0,2.5,,,,2.7,,,,,
2016-02-07,3.2,9.8,-2.3,0.0,10.3,,,,1.9,,,,,
2016-02-08,3.0,10.4,-3.8,0.0,8.4,,,,2.2,,,,,
2016-02-09,7.2,12.8,1.8,0.0,9.2,,,,3.8,,,,,
2016-02-10,6.2,16.6,-1.8,0.0,10.1,,,,1.4,,,,,
2016-02-11,8.0,17.6,-1.8,0.0,9.1,,,,1.5,,,,,
2016-02-12,12.6,15.2,8.7,3.0,0.1,,,,2.5,,,,,
2016-02-13,16.9,19.8,13.2,31.0,0.0,,,,2.0,,,,,
2016-02-14,10.6,18.1,5.1,2.0,0.1,,,,4.6,,,,,
2016-02-15,2.3,5.1,0.3,0.0,0.6,,,,4.3,,,,,
2016-02-16,3.0,6.1,-0.2,0.0,1.7,,,,2.6,,,,,
2016-02-17,4.6,9.4,-0.7,0.0,6.6,,,,3.3,,,,,
2016-02-18,4.7,12.4,-1.4,0.0,8.0,,,,1.3,,,,,
2016-02-19,8.4,14.8,0.1,0.0,3.6,,,,1.3,,,,,
2016-02-20,9.9,14.0,7.2,31.0,0.4,,,,3.1,,,,,
2016-02-21,5.9,9.8,1.7,0.0,5.9,,,,3.2,,,,,
2016-02-22,5.4,10.2,0.0,6.0,0.0,,,,1.1,,,,,
2016-02-23,8.6,12.3,5.1,9.5,0.1,,,,1.4,,,,,
2016-02-24,5.9,11.0,0.7,0.0,8.7,,,,2.9,,,,,
2016-02-25,2.8,8.1,-1.9,0.0,6.0,,,,2.3,,,,,
2016-02-26,4.6,11.6,-0.8,0.0,8.3,,,,2.0,,,,,
2016-02-27,6.0,14.5,-1.0,0.0,3.0,,,,1.2,,,,,
