calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.6,12.8,-0.1,0.0,9.5,,,,2.1,,,,,
2016-01-02,9.3,14.8,3.4,4.5,1.2,,,,1.0,,,,,
2016-01-03,12.8,17.1,10.1,1.0,1.5,,,,1.0,,,,,
2016-01-04,12.1,17.7,8.4,0.0,9.3,,,,3.2,,,,,
2016-01-05,10.5,14.5,7.6,13.5,0.8,,,,2.1,,,,,
2016-01-06,8.2,10.7,6.1,14.0,0.0,,,,1.4,,,,,
2016-01-07,7.3,10.6,5.2,0.0,4.8,,,,3.7,,,,,
2016-01-08,6.0,7.7,3.8,0.0,0.0,,,,2.6,,,,,
2016-01-09,5.3,9.2,1.9,0.0,4.9,,,,2.6,,,,,
2016-01-10,5.7,10.7,-0.4,0.0,1.1,,,,2.4,,,,,
2016-01-11,6.6,8.7,4.7,4.0,0.0,,,,1.2,,,,,
2016-01-12,5.8,9.7,2.7,2.0,5.9,,,,3.2,,,,,
2016-01-13,4.1,7.3,1.4,0.0,3.0,,,,2.8,,,,,
2016-01-14,4.7,7.7,1.0,0.0,2.2,,,,3.0,,,,,
2016-01-15,4.8,8.8,0.6,0.0,1.1,,,,2.3,,,,,
2016-01-16,5.3,13.9,-1.4,0.0,9.6,,,,1.3,,,,,
2016-01-17,6.8,11.7,1.7,18.5,0.0,,,,1.1,,,,,
2016-01-18,7.3,11.8,1.1,1.0,4.2,,,,5.2,,,,,
2016-01-19,1.0,3.6,-0.1,5.0,1.7,,,,4.0,,,,,
2016-01-20,0.9,4.4,-1.2,0.0,9.5,,,,4.6,,,,,
2016-01-21,1.8,4.8,-1.7,0.0,0.0,,,,2.3,,,,,
2016-01-22,4.7,8.6,1.4,0.0,4.3,,,,2.7,,,,,
2016-01-23,4.0,9.6,0.5,0.0,0.8,,,,3.4,,,,,
2016-01-24,-3.5,0.5,-5.3,6.5,0.2,,,,3.6,,,,,
2016-01-25,-1.8,3.3,-8.7,0.0,6.9,,,,2.1,,,,,
2016-01-26,2.9,6.8,-0.6,0.0,3.1,,,,1.7,,,,,
2016-01-27,5.4,10.0,1.2,0.0,1.3,,,,1.8,,,,,
2016-01-28,8.8,13.4,3.3,0.5,0.0,,,,0.9,,,,,
2016-01-29,13.4,15.4,10.5,56.5,0.0,,,,1.3,,,,,
2016-01-30,12.3,15.7,7.6,1.0,2.4,,,,2.9,,,,,
2016-01-31,8.3,14.4,4.3,0.0,8.4,,,,3.3,,,,,
2016-02-01,6.0,7.6,3.9,0.0,0.0,,,,2.5,,,,,
2016-02-02,4.6,9.6,1.1,0.0,8.7,,,,3.5,,,,,
2016-02-03,5.0,11.1,0.6,0.0,9.9,,,,3.6,,,,,
2016-02-04,5.6,11.5,0.7,0.0,8.6,,,,3.8,,,,,
2016-02-05,6.6,13.3,3.6,0.0,7.2,,,,3.2,,,,,
2016-02-06,4.2,8.2,1.7,0.0,2.9,,,,4.2,,,,,
2016-02-07,4.0,9.9,0.0,0.0,10.2,,,,3.0,,,,,
2016-02-08,4.7,10.4,-0.6,0.0,9.5,,,,3.3,,,,,
2016-02-09,8.4,12.4,5.2,0.0,9.5,,,,5.2,,,,,
2016-02-10,8.3,16.9,1.9,0.0,10.3,,,,2.3,,,,,
2016-02-11,9.2,16.2,1.9,0.0,8.9,,,,2.1,,,,,
2016-02-12,11.9,13.9,8.0,6.5,0.0,,,,2.3,,,,,
2016-02-13,16.5,19.2,12.9,42.0,0.1,,,,2.2,,,,,
2016-02-14,10.6,18.5,5.0,2.0,0.5,,,,4.7,,,,,
2016-02-15,2.3,5.1,0.2,0.0,6.3,,,,6.3,,,,,
2016-02-16,3.3,7.4,0.1,0.0,6.6,,,,3.5,,,,,
2016-02-17,5.0,9.7,1.3,0.0,7.2,,,,4.1,,,,,
2016-02-18,5.9,13.0,0.7,0.0,8.5,,,,2.6,,,,,
2016-02-19,9.1,14.7,1.7,1.0,3.5,,,,1.9,,,,,
2016-02-20,9.7,14.1,7.3,48.0,1.4,,,,3.0,,,,,
2016-02-21,6.2,10.0,2.6,0.0,7.0,,,,3.8,,,,,
2016-02-22,5.9,9.8,1.2,6.5,0.0,,,,1.8,,,,,
2016-02-23,8.2,11.4,5.1,11.5,0.0,,,,1.5,,,,,
2016-02-24,6.3,11.2,1.6,0.0,8.9,,,,3.6,,,,,
2016-02-25,4.2,8.7,1.0,0.0,9.6,,,,3.5,,,,,
2016-02-26,5.2,11.7,0.6,0.0,8.6,,,,3.2,,,,,
2016-02-27,8.1,15.3,0.9,0.0,4.9,,,,2.1,,,,,
2016-02-28,10.6,18.4,2.9,0.0,10.1,,,,2.0,,,,,
2016-02-29,5.8,11.1,0.1,0.0,3.5,,,,5.2,,,,,
2016-03-01,2.6,8.7,-1.4,0.0,10.9,,,,3.6,,,,,
2016-03-02,6.3,14.8,-1.1,0.0,11.0,,,,3.0,,,,,
2016-03-03,9.6,17.6,1.8,0.0,10.2,,,,2.8,,,,,
2016-03-04,12.7,21.5,5.6,0.0,8.4,,,,2.2,,,,,
2016-03-05,14.2,18.8,9.3,0.0,3.4,,,,2.9,,,,,
2016-03-06,15.6,19.5,12.8,0.0,0.0,,,,2.0,,,,,
2016-03-07,17.5,25.1,11.1,0.0,10.1,,,,1.6,,,,,
2016-03-08,16.7,25.4,10.3,0.0,7.6,,,,2.2,,,,,
2016-03-09,11.8,16.6,6.8,55.5,2.4,,,,3.6,,,,,
2016-03-10,8.9,13.0,5.2,0.0,0.2,,,,2.7,,,,,
2016-03-11,7.3,12.2,3.0,0.0,9.9,,,,3.6,,,,,
2016-03-12,6.8,14.3,0.6,0.0,11.2,,,,2.3,,,,,
2016-03-13,7.6,12.3,2.5,8.0,0.1,,,,1.0,,,,,
2016-03-14,9.0,13.7,5.3,12.5,6.2,,,,3.5,,,,,
2016-03-15,8.5,17.3,2.1,0.0,11.1,,,,2.4,,,,,
2016-03-16,9.9,17.3,3.8,4.5,5.8,,,,1.9,,,,,
2016-03-17,12.6,20.0,5.2,0.0,10.1,,,,2.7,,,,,
2016-03-18,12.9,14.8,10.4,43.0,0.0,,,,2.0,,,,,
2016-03-19,16.1,21.7,11.7,0.5,3.0,,,,3.2,,,,,
2016-03-20,13.3,21.4,7.7,0.0,11.3,,,,2.8,,,,,
2016-03-21,11.2,19.0,5.1,0.0,11.3,,,,2.3,,,,,
2016-03-22,12.4,20.5,3.6,0.0,10.9,,,,2.4,,,,,
2016-03-23,11.2,14.3,9.3,0.5,0.0,,,,2.4,,,,,
2016-03-24,10.9,17.1,5.4,0.0,6.7,,,,3.0,,,,,
2016-03-25,7.3,13.4,1.9,0.0,3.1,,,,1.9,,,,,
2016-03-26,9.1,17.1,1.8,0.0,9.5,,,,2.1,,,,,
2016-03-27,8.3,13.7,4.6,0.0,8.0,,,,2.8,,,,,
2016-03-28,9.2,15.8,2.1,0.0,11.6,,,,3.4,,,,,
2016-03-29,11.2,17.5,3.0,0.0,6.1,,,,2.4,,,,,
2016-03-30,12.4,18.6,8.1,0.0,0.3,,,,1.8,,,,,
2016-03-31,11.8,14.0,9.2,25.0,0.0,,,,2.1,,,,,
2016-04-01,15.3,20.8,11.0,1.5,6.9,,,,2.7,,,,,
2016-04-02,15.9,22.0,11.7,0.0,1.8,,,,2.5,,,,,
2016-04-03,16.8,20.7,14.8,6.5,0.5,,,,2.4,,,,,
2016-04-04,17.0,21.4,13.9,6.0,0.8,,,,2.8,,,,,
2016-04-05,15.8,22.6,11.7,0.0,6.4,,,,2.9,,,,,
2016-04-06,14.7,19.1,9.8,2.0,0.0,,,,2.5,,,,,
2016-04-07,19.2,24.6,13.9,27.0,0.1,,,,3.5,,,,,
2016-04-08,16.4,20.3,13.2,0.0,1.1,,,,2.0,,,,,
2016-04-09,16.0,20.9,12.1,0.5,1.4,,,,1.9,,,,,
2016-04-10,14.4,18.1,12.5,7.0,0.4,,,,1.3,,,,,
2016-04-11,15.8,22.8,12.6,0.0,6.8,,,,3.1,,,,,
2016-04-12,13.2,17.2,9.6,0.0,0.5,,,,2.9,,,,,
2016-04-13,14.1,16.3,10.7,0.5,0.0,,,,1.5,,,,,
2016-04-14,20.1,27.4,13.9,0.0,11.3,,,,3.4,,,,,
2016-04-15,17.2,23.6,11.5,0.0,11.5,,,,3.1,,,,,
2016-04-16,15.6,20.4,9.8,7.0,4.5,,,,4.0,,,,,
2016-04-17,17.1,22.0,11.0,29.5,11.9,,,,4.4,,,,,
2016-04-18,12.0,13.6,9.5,0.5,0.0,,,,2.9,,,,,
2016-04-19,14.8,22.7,7.2,0.0,12.3,,,,3.4,,,,,
2016-04-20,16.1,22.7,8.5,0.0,11.3,,,,2.7,,,,,
2016-04-21,17.5,23.8,13.9,71.5,0.0,,,,2.7,,,,,
2016-04-22,19.2,26.1,14.1,0.0,11.4,,,,3.2,,,,,
2016-04-23,13.6,18.6,11.3,16.0,0.1,,,,1.9,,,,,
2016-04-24,13.3,14.7,11.8,25.0,0.0,,,,1.7,,,,,
2016-04-25,15.2,16.7,13.6,20.5,0.0,,,,1.4,,,,,
2016-04-26,17.6,19.5,16.0,4.5,0.0,,,,2.9,,,,,
2016-04-27,17.6,19.0,16.3,44.5,0.0,,,,2.5,,,,,
2016-04-28,16.9,20.6,13.7,0.0,2.2,,,,3.7,,,,,
2016-04-29,16.3,22.2,10.6,0.0,12.4,,,,3.6,,,,,
2016-04-30,17.1,24.9,8.8,0.0,12.5,,,,2.6,,,,,
2016-05-01,19.3,27.2,11.4,0.0,12.3,,,,3.4,,,,,
2016-05-02,19.3,27.2,11.9,0.0,10.8,,,,3.0,,,,,
2016-05-03,16.9,22.1,13.4,53.5,0.1,,,,4.0,,,,,
2016-05-04,17.4,23.9,11.3,0.0,12.6,,,,3.9,,,,,
2016-05-05,19.8,27.7,13.8,0.0,8.2,,,,2.3,,,,,
2016-05-06,16.0,18.0,13.2,19.0,0.0,,,,2.4,,,,,
2016-05-07,21.4,27.8,17.1,0.0,6.9,,,,2.1,,,,,
2016-05-08,17.4,21.1,15.7,45.0,0.0,,,,2.7,,,,,
2016-05-09,19.1,21.9,15.8,60.5,0.0,,,,1.6,,,,,
2016-05-10,20.4,22.3,17.9,126.0,0.0,,,,2.3,,,,,
2016-05-11,18.2,23.7,13.5,0.0,6.9,,,,3.3,,,,,
2016-05-12,18.6,27.4,11.1,0.0,12.6,,,,2.1,,,,,
2016-05-13,20.1,26.8,14.2,0.0,8.0,,,,2.1,,,,,
2016-05-14,20.7,27.3,14.2,0.0,6.0,,,,2.7,,,,,
2016-05-15,19.8,22.3,18.5,3.0,0.0,,,,2.3,,,,,
2016-05-16,18.4,22.9,13.1,23.0,0.0,,,,3.2,,,,,
2016-05-17,18.0,27.0,11.0,0.0,12.9,,,,2.5,,,,,
2016-05-18,19.2,26.7,12.2,0.0,12.1,,,,2.7,,,,,
2016-05-19,19.9,24.6,14.7,0.0,6.4,,,,3.8,,,,,
2016-05-20,20.3,23.6,17.7,0.0,4.8,,,,4.2,,,,,
2016-05-21,20.1,25.1,16.0,0.0,5.3,,,,2.7,,,,,
2016-05-22,20.7,26.7,15.0,0.0,11.2,,,,3.1,,,,,
2016-05-23,20.9,26.0,15.6,0.0,11.3,,,,3.5,,,,,
2016-05-24,20.7,25.2,16.9,3.5,2.7,,,,2.9,,,,,
2016-05-25,22.4,25.0,20.1,5.5,0.4,,,,1.5,,,,,
2016-05-26,24.7,30.3,20.3,0.0,7.5,,,,1.7,,,,,
2016-05-27,23.3,29.2,19.4,0.0,1.4,,,,2.1,,,,,
2016-05-28,18.8,20.0,18.1,44.5,0.0,,,,1.8,,,,,
2016-05-29,20.5,22.3,18.4,20.0,0.0,,,,0.8,,,,,
2016-05-30,23.8,31.1,19.6,0.0,9.1,,,,2.4,,,,,
2016-05-31,23.9,31.6,17.3,0.0,11.5,,,,2.0,,,,,
2016-06-01,19.9,21.9,15.2,0.0,0.0,,,,1.9,,,,,
2016-06-02,20.0,28.0,13.5,0.0,12.1,,,,2.6,,,,,
2016-06-03,20.3,26.3,14.5,0.0,7.1,,,,2.3,,,,,
2016-06-04,17.7,18.9,16.4,32.0,0.0,,,,2.4,,,,,
2016-06-05,19.2,20.8,17.9,1.0,0.0,,,,2.1,,,,,
2016-06-06,20.6,22.9,18.4,0.5,0.0,,,,1.8,,,,,
2016-06-07,23.3,30.3,19.7,1.5,8.1,,,,2.3,,,,,
2016-06-08,23.3,28.3,20.7,0.5,3.2,,,,2.0,,,,,
2016-06-09,23.1,29.4,19.9,0.0,4.9,,,,1.6,,,,,
2016-06-10,23.8,30.0,18.6,0.0,7.6,,,,2.2,,,,,
2016-06-11,23.3,27.6,20.4,0.0,2.3,,,,2.6,,,,,
2016-06-12,22.4,23.9,21.1,22.0,0.0,,,,1.3,,,,,
2016-06-13,22.6,25.6,21.4,11.5,0.0,,,,1.7,,,,,
2016-06-14,24.3,31.1,20.6,0.0,6.8,,,,1.8,,,,,
2016-06-15,24.4,28.9,20.5,0.0,4.9,,,,2.0,,,,,
2016-06-16,22.1,23.9,19.7,40.0,0.0,,,,2.2,,,,,
2016-06-17,21.6,25.5,18.9,0.0,1.5,,,,2.4,,,,,
2016-06-18,23.3,29.9,17.8,0.0,4.6,,,,1.7,,,,,
2016-06-19,22.2,24.0,20.9,78.0,0.0,,,,1.2,,,,,
2016-06-20,23.0,26.5,21.8,95.0,0.2,,,,1.9,,,,,
2016-06-21,24.7,27.9,21.8,99.5,1.8,,,,2.9,,,,,
2016-06-22,25.1,29.4,21.7,22.0,0.7,,,,1.8,,,,,
2016-06-23,26.2,30.7,24.0,5.0,5.6,,,,2.8,,,,,
2016-06-24,26.6,30.1,23.4,3.5,1.3,,,,2.1,,,,,
2016-06-25,20.8,27.1,17.1,7.5,0.0,,,,3.0,,,,,
2016-06-26,21.7,28.4,16.1,0.0,12.8,,,,3.3,,,,,
2016-06-27,17.8,19.5,16.3,49.0,0.4,,,,2.2,,,,,
2016-06-28,23.4,26.4,18.6,130.0,0.0,,,,1.5,,,,,
2016-06-29,23.0,24.3,22.2,70.0,0.0,,,,1.4,,,,,
2016-06-30,23.3,26.2,21.1,42.0,0.8,,,,1.3,,,,,
2016-07-01,24.6,29.4,20.5,2.0,3.0,,,,1.0,,,,,
2016-07-02,26.5,32.6,21.1,0.0,4.1,,,,1.4,,,,,
2016-07-03,26.3,31.4,23.9,17.0,5.6,,,,1.5,,,,,
2016-07-04,27.6,33.2,22.9,0.0,8.0,,,,1.8,,,,,
2016-07-05,28.1,34.8,22.8,0.0,10.6,,,,1.9,,,,,
2016-07-06,27.5,32.9,23.1,0.0,12.2,,,,2.3,,,,,
2016-07-07,26.0,31.4,22.3,0.0,5.8,,,,2.1,,,,,
2016-07-08,22.5,24.5,21.7,144.0,0.0,,,,2.1,,,,,
2016-07-09,25.0,29.0,23.2,23.5,0.9,,,,1.4,,,,,
2016-07-10,24.9,28.5,23.9,64.0,0.6,,,,1.2,,,,,
2016-07-11,25.2,27.0,23.9,36.5,0.0,,,,1.3,,,,,
2016-07-12,27.1,31.3,24.4,37.0,3.7,,,,2.1,,,,,
2016-07-13,25.8,28.6,24.4,52.5,0.2,,,,2.2,,,,,
2016-07-14,25.8,30.2,22.6,81.5,1.6,,,,2.4,,,,,
2016-07-15,26.2,33.5,21.1,0.0,12.9,,,,2.7,,,,,
2016-07-16,24.8,28.4,22.3,10.5,0.8,,,,1.0,,,,,
2016-07-17,27.1,31.0,23.4,8.5,5.7,,,,2.9,,,,,
2016-07-18,27.4,34.0,21.5,0.0,11.9,,,,2.4,,,,,
2016-07-19,27.1,33.9,22.7,0.5,8.7,,,,1.8,,,,,
2016-07-20,25.5,31.8,23.2,37.0,3.7,,,,1.6,,,,,
2016-07-21,27.4,34.5,22.5,0.0,11.4,,,,2.0,,,,,
2016-07-22,27.4,34.7,22.5,0.0,10.5,,,,2.3,,,,,
2016-07-23,26.9,31.5,24.2,0.0,4.3,,,,2.5,,,,,
2016-07-24,25.5,30.5,22.1,2.5,4.3,,,,1.6,,,,,
2016-07-25,26.0,31.9,22.8,0.0,5.7,,,,1.6,,,,,
2016-07-26,26.3,31.9,21.8,0.0,9.0,,,,1.7,,,,,
2016-07-27,27.3,33.3,22.7,0.0,10.2,,,,1.8,,,,,
2016-07-28,27.2,33.2,23.0,0.0,10.4,,,,2.5,,,,,
2016-07-29,26.9,33.2,22.8,0.0,10.3,,,,2.6,,,,,
2016-07-30,26.6,32.3,22.4,0.0,8.5,,,,2.2,,,,,
2016-07-31,27.0,32.9,20.7,0.0,11.0,,,,2.1,,,,,
2016-08-01,27.5,36.3,23.0,2.0,9.9,,,,1.7,,,,,
2016-08-02,27.1,35.5,23.2,2.0,9.4,,,,2.3,,,,,
2016-08-03,26.2,33.4,22.7,0.0,7.3,,,,1.8,,,,,
2016-08-04,26.1,33.7,22.1,0.0,6.2,,,,1.3,,,,,
2016-08-05,27.1,32.7,22.3,0.5,10.6,,,,2.4,,,,,
2016-08-06,26.4,31.2,23.4,0.0,5.8,,,,2.1,,,,,
2016-08-07,27.0,31.6,23.7,0.0,3.5,,,,2.1,,,,,
2016-08-08,27.6,33.9,22.3,0.0,6.2,,,,1.6,,,,,
2016-08-09,28.9,35.3,24.7,0.0,7.2,,,,1.7,,,,,
2016-08-10,29.2,35.6,23.3,0.0,11.7,,,,2.0,,,,,
2016-08-11,29.6,35.7,24.9,0.0,9.4,,,,2.1,,,,,
2016-08-12,29.1,35.2,24.9,0.0,10.4,,,,2.4,,,,,
2016-08-13,28.8,34.9,24.5,0.0,6.8,,,,1.6,,,,,
2016-08-14,28.0,35.9,24.8,30.0,7.2,,,,1.7,,,,,
2016-08-15,29.1,35.0,24.6,0.0,10.9,,,,2.4,,,,,
2016-08-16,28.7,35.0,24.2,0.0,10.3,,,,2.7,,,,,
2016-08-17,28.3,35.9,23.0,0.0,9.3,,,,2.3,,,,,
2016-08-18,27.9,34.0,23.9,3.0,6.4,,,,1.6,,,,,
2016-08-19,27.8,35.1,24.3,4.0,8.6,,,,1.7,,,,,
2016-08-20,28.0,35.4,23.6,0.0,8.5,,,,1.8,,,,,
2016-08-21,27.8,34.3,23.0,0.0,8.4,,,,2.1,,,,,
2016-08-22,28.7,36.5,22.6,3.5,8.9,,,,1.7,,,,,
2016-08-23,27.7,34.3,23.6,2.0,8.7,,,,2.0,,,,,
2016-08-24,25.8,32.5,21.5,0.5,4.2,,,,1.7,,,,,
2016-08-25,26.6,32.0,23.5,0.5,7.0,,,,2.2,,,,,
2016-08-26,27.8,34.1,23.0,0.0,11.7,,,,2.3,,,,,
2016-08-27,27.6,33.4,24.0,0.0,7.6,,,,2.2,,,,,
2016-08-28,25.3,30.0,22.7,3.0,1.2,,,,2.0,,,,,
2016-08-29,22.6,26.3,19.0,0.0,8.7,,,,4.4,,,,,
2016-08-30,22.5,28.1,17.3,0.0,8.4,,,,3.2,,,,,
2016-08-31,23.5,28.5,19.4,0.0,9.1,,,,2.5,,,,,
2016-09-01,23.4,29.6,18.1,0.0,3.4,,,,1.8,,,,,
2016-09-02,24.1,29.4,20.8,4.0,3.9,,,,3.3,,,,,
2016-09-03,24.1,26.6,22.5,20.0,0.0,,,,3.8,,,,,
2016-09-04,23.6,25.1,22.7,75.5,0.0,,,,3.1,,,,,
2016-09-05,26.8,32.8,23.2,1.5,7.7,,,,1.5,,,,,
2016-09-06,26.3,31.8,22.4,0.0,5.0,,,,2.1,,,,,
2016-09-07,26.8,32.8,23.1,2.0,5.8,,,,2.1,,,,,
2016-09-08,26.0,30.9,22.0,0.0,11.6,,,,3.0,,,,,
2016-09-09,24.8,31.1,20.4,0.0,10.7,,,,2.2,,,,,
2016-09-10,24.4,31.1,18.7,0.0,8.3,,,,2.0,,,,,
2016-09-11,24.6,30.2,19.6,0.5,7.3,,,,2.0,,,,,
2016-09-12,24.1,26.0,21.7,20.0,0.0,,,,2.0,,,,,
2016-09-13,25.7,32.0,23.2,0.5,2.9,,,,1.9,,,,,
2016-09-14,24.3,28.7,23.0,34.5,1.5,,,,1.0,,,,,
2016-09-15,25.4,31.1,22.8,11.0,5.5,,,,1.9,,,,,
2016-09-16,25.3,31.0,21.5,0.0,8.3,,,,2.2,,,,,
2016-09-17,25.1,31.3,21.4,8.5,4.2,,,,2.2,,,,,
