calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,9.2,-2.7,0.0,6.8,,,,1.0,,,,,
2016-01-02,5.9,11.6,-2.5,1.5,0.1,,,,0.8,,,,,
2016-01-03,9.0,12.6,6.8,1.5,0.0,,,,0.5,,,,,
2016-01-04,6.9,14.1,2.8,0.0,6.8,,,,0.7,,,,,
2016-01-05,5.4,9.0,3.3,20.0,0.0,,,,0.7,,,,,
2016-01-06,4.8,7.8,0.2,3.0,0.0,,,,0.5,,,,,
2016-01-07,3.3,5.3,-0.1,0.0,0.3,,,,1.0,,,,,
2016-01-08,1.5,3.7,0.0,2.0,0.0,,,,1.0,,,,,
2016-01-09,1.3,5.5,-0.8,0.0,2.2,,,,0.9,,,,,
2016-01-10,1.9,8.4,-1.3,0.0,4.4,,,,0.8,,,,,
2016-01-11,3.2,7.7,-1.4,0.0,0.2,,,,0.5,,,,,
2016-01-12,2.0,6.0,-1.3,0.5,1.1,,,,0.8,,,,,
2016-01-13,0.6,2.4,-1.4,0.0,0.1,,,,1.1,,,,,
2016-01-14,1.0,4.4,-3.8,0.0,1.6,,,,1.0,,,,,
2016-01-15,-0.5,6.1,-4.3,0.0,4.8,,,,0.9,,,,,
2016-01-16,1.3,10.4,-4.7,0.0,7.0,,,,1.1,,,,,
2016-01-17,5.1,10.7,-2.0,28.0,0.0,,,,1.8,,,,,
2016-01-18,2.9,8.7,-2.9,19.0,0.4,,,,1.6,,,,,
2016-01-19,-2.9,-2.0,-3.7,7.0,0.0,,,,2.0,,,,,
2016-01-20,-3.4,1.0,-6.8,0.5,4.4,,,,1.3,,,,,
2016-01-21,-2.8,1.3,-8.1,0.0,0.0,,,,0.8,,,,,
2016-01-22,0.2,4.8,-4.8,0.0,3.3,,,,0.5,,,,,
2016-01-23,-0.5,4.9,-4.3,2.0,3.3,,,,1.0,,,,,
2016-01-24,-7.7,-4.2,-10.6,12.5,0.0,,,,1.9,,,,,
2016-01-25,-4.3,-1.2,-10.5,0.0,0.2,,,,1.0,,,,,
2016-01-26,0.4,4.3,-2.3,0.0,2.2,,,,1.2,,,,,
2016-01-27,1.9,6.5,-1.7,0.0,1.2,,,,0.8,,,,,
2016-01-28,4.7,12.4,0.4,1.0,0.1,,,,0.8,,,,,
2016-01-29,8.5,12.7,5.5,33.5,0.0,,,,0.7,,,,,
2016-01-30,7.4,9.9,3.0,1.0,0.2,,,,0.8,,,,,
2016-01-31,3.4,10.3,-0.6,0.5,3.6,,,,0.8,,,,,
2016-02-01,2.5,4.2,0.4,0.0,0.0,,,,0.7,,,,,
2016-02-02,1.2,5.4,-2.3,0.0,5.0,,,,0.8,,,,,
2016-02-03,0.8,6.2,-3.2,0.0,2.7,,,,0.6,,,,,
2016-02-04,0.6,8.2,-4.2,0.0,7.2,,,,0.7,,,,,
2016-02-05,1.1,11.0,-3.4,0.0,7.0,,,,0.7,,,,,
2016-02-06,0.1,2.6,-3.5,0.0,0.2,,,,0.9,,,,,
