calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.4,14.9,-0.9,0.0,9.6,,,,1.8,,,,,
2016-01-02,10.8,15.3,4.9,4.0,0.2,,,,1.2,,,,,
2016-01-03,15.1,20.6,11.5,2.0,7.0,,,,1.0,,,,,
2016-01-04,14.3,19.8,9.4,0.0,9.2,,,,1.9,,,,,
2016-01-05,12.6,17.6,9.9,0.5,1.2,,,,3.2,,,,,
2016-01-06,10.9,12.2,9.1,12.5,0.0,,,,1.4,,,,,
2016-01-07,9.6,13.3,6.5,0.0,8.1,,,,2.1,,,,,
2016-01-08,8.8,12.7,4.7,0.0,2.6,,,,1.6,,,,,
2016-01-09,7.1,13.6,2.1,0.0,7.7,,,,1.5,,,,,
2016-01-10,7.4,13.7,1.7,0.0,1.1,,,,1.3,,,,,
2016-01-11,8.2,10.0,6.7,9.5,0.0,,,,0.8,,,,,
2016-01-12,8.6,12.4,5.9,4.0,4.8,,,,1.8,,,,,
2016-01-13,7.0,11.6,2.6,0.0,6.9,,,,2.3,,,,,
2016-01-14,6.2,12.4,2.1,0.0,5.0,,,,1.4,,,,,
2016-01-15,6.1,10.9,0.8,0.0,1.5,,,,1.2,,,,,
2016-01-16,6.9,14.2,1.1,0.0,9.8,,,,1.9,,,,,
2016-01-17,9.5,15.0,2.8,12.5,0.0,,,,2.9,,,,,
2016-01-18,10.8,14.3,5.1,0.5,5.9,,,,5.1,,,,,
2016-01-19,5.5,10.3,3.0,0.0,7.0,,,,4.4,,,,,
2016-01-20,4.1,8.8,-0.4,0.0,9.8,,,,3.2,,,,,
2016-01-21,3.4,7.5,-0.6,1.0,0.0,,,,1.0,,,,,
2016-01-22,6.6,12.3,2.3,0.0,4.4,,,,1.0,,,,,
2016-01-23,6.8,11.7,2.7,1.5,2.3,,,,1.7,,,,,
2016-01-24,0.0,2.8,-2.5,1.0,1.5,,,,2.5,,,,,
2016-01-25,1.6,7.2,-3.2,0.0,9.6,,,,2.1,,,,,
2016-01-26,4.4,10.1,-2.8,0.0,3.2,,,,1.6,,,,,
2016-01-27,7.0,12.5,0.6,0.0,1.0,,,,1.3,,,,,
2016-01-28,12.0,17.9,5.5,0.5,1.6,,,,1.4,,,,,
2016-01-29,16.6,19.7,13.5,40.5,0.0,,,,2.4,,,,,
2016-01-30,14.4,16.7,8.4,2.0,0.1,,,,1.6,,,,,
2016-01-31,10.1,17.0,4.3,0.0,10.1,,,,1.7,,,,,
2016-02-01,7.8,9.7,6.4,5.0,0.0,,,,1.2,,,,,
2016-02-02,6.9,12.0,1.5,0.0,8.2,,,,1.8,,,,,
2016-02-03,5.8,13.7,-0.5,0.0,9.3,,,,1.8,,,,,
2016-02-04,7.2,14.7,-0.5,0.0,9.0,,,,2.1,,,,,
2016-02-05,8.0,12.7,2.3,0.0,1.6,,,,1.4,,,,,
2016-02-06,6.0,11.2,0.4,0.0,4.7,,,,2.3,,,,,
2016-02-07,5.4,12.1,-1.2,0.0,10.1,,,,2.0,,,,,
2016-02-08,6.0,13.3,-1.2,0.0,9.8,,,,1.8,,,,,
2016-02-09,10.4,16.9,2.3,0.0,9.3,,,,3.3,,,,,
2016-02-10,8.0,17.0,0.1,0.0,10.4,,,,1.5,,,,,
2016-02-11,10.9,18.2,3.1,0.0,8.0,,,,2.2,,,,,
2016-02-12,17.0,19.0,12.5,0.0,0.0,,,,2.4,,,,,
2016-02-13,19.0,20.5,17.2,30.5,0.0,,,,3.0,,,,,
2016-02-14,13.9,18.8,8.1,9.0,2.2,,,,5.1,,,,,
2016-02-15,5.5,8.3,1.5,0.0,3.0,,,,4.1,,,,,
2016-02-16,5.2,10.5,-0.4,0.0,7.4,,,,2.7,,,,,
2016-02-17,8.1,13.7,2.0,0.0,9.6,,,,2.4,,,,,
2016-02-18,7.4,14.3,1.6,0.0,7.2,,,,1.8,,,,,
2016-02-19,10.8,18.8,2.0,0.5,5.8,,,,2.0,,,,,
2016-02-20,13.3,17.7,10.7,94.5,0.6,,,,3.4,,,,,
2016-02-21,9.0,13.3,4.9,0.0,8.3,,,,2.3,,,,,
2016-02-22,8.5,13.5,3.4,5.5,0.2,,,,2.2,,,,,
2016-02-23,10.6,12.5,9.2,15.5,0.0,,,,2.6,,,,,
2016-02-24,8.7,13.7,4.5,0.0,10.0,,,,2.9,,,,,
