calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.9,14.3,1.3,,9.7,13.23,,,2.7,6.5,1028.9,69,1030.8,0.0
2016-01-02,10.1,16.4,3.1,4.5,1.3,5.71,,,2.0,9.9,1023.8,79,1025.6,8.8
2016-01-03,13.6,17.6,11.1,1.0,1.2,5.62,,,1.7,14.5,1017.5,94,1019.3,9.3
2016-01-04,14.1,20.5,8.7,,9.4,12.62,,,3.3,11.3,1017.6,73,1019.4,5.5
2016-01-05,12.0,15.5,8.9,6.5,0.0,3.24,,,2.7,10.9,1019.4,78,1021.2,10.0
2016-01-06,9.6,10.6,7.6,14.5,0.0,1.36,,,1.7,11.5,1017.8,96,1019.6,10.0
2016-01-07,9.4,14.1,6.1,,9.2,12.41,,,4.7,7.7,1017.9,67,1019.8,1.5
2016-01-08,9.2,14.6,5.3,,4.2,8.85,,,3.5,7.3,1017.6,63,1019.4,7.5
2016-01-09,7.7,12.5,4.7,,9.7,13.32,,,4.0,6.1,1021.3,60,1023.1,4.0
2016-01-10,8.2,13.1,3.4,,0.2,6.19,,,3.0,6.9,1021.7,65,1023.6,9.0
2016-01-11,8.2,10.2,7.0,4.0,0.0,2.38,,,2.5,9.3,1018.5,86,1020.3,10.0
2016-01-12,8.7,13.7,5.6,2.5,7.8,11.65,,,4.0,8.3,1015.3,75,1017.1,4.0
2016-01-13,7.2,12.6,3.2,,9.5,13.56,,,4.3,6.0,1016.3,61,1018.2,0.8
2016-01-14,6.8,11.8,2.0,,8.2,11.03,,,3.0,6.1,1017.9,64,1019.8,7.0
2016-01-15,6.7,12.0,1.9,,4.9,10.22,,,2.3,5.5,1018.3,58,1020.1,7.3
2016-01-16,5.9,12.5,-0.2,,9.7,13.55,,,2.9,6.5,1019.7,73,1021.6,0.3
2016-01-17,7.6,13.6,1.9,40.5,0.0,1.51,,,2.4,9.9,1011.2,92,1013.0,7.8
2016-01-18,10.5,14.3,4.1,0.5,7.9,13.11,,,8.6,8.8,1004.2,68,1006.0,1.8
2016-01-19,4.2,7.9,2.2,0.0,8.7,14.38,,0,7.9,5.8,1014.7,71,1016.6,2.0
2016-01-20,4.2,9.2,1.6,,9.8,14.60,,0,5.3,4.5,1021.8,55,1023.7,2.8
2016-01-21,4.3,7.8,0.7,0.0,0.0,4.04,,,3.3,5.4,1021.1,65,1023.0,10.0
2016-01-22,7.1,11.9,3.3,,4.6,10.24,,,2.2,6.0,1020.5,61,1022.3,9.5
2016-01-23,6.8,12.9,2.3,0.0,2.3,8.01,,,4.4,6.4,1018.1,66,1020.0,7.5
