calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.1,13.9,0.4,,9.6,,,,2.2,6.5,1028.1,72,1030.7,
2016-01-02,8.1,14.8,2.0,1.5,0.8,,,,1.7,8.9,1023.4,81,1026.0,
2016-01-03,12.2,16.9,9.7,1.0,0.1,,,,1.7,13.3,1017.0,94,1019.5,
2016-01-04,12.5,18.6,7.3,,9.2,,,,2.1,11.2,1017.0,79,1019.5,
2016-01-05,10.7,13.7,7.2,14.5,0.0,,,,1.7,9.5,1019.2,75,1021.8,
2016-01-06,8.3,10.1,5.9,4.0,0.0,,,,1.2,10.6,1017.3,97,1019.9,
2016-01-07,8.3,12.4,5.0,,9.2,,,,4.4,7.3,1017.1,69,1019.7,
2016-01-08,7.6,11.5,4.5,,5.4,,,,4.0,6.6,1017.1,63,1019.7,
2016-01-09,6.8,12.2,2.4,,9.7,,,,3.0,5.5,1020.7,57,1023.3,
2016-01-10,6.3,11.2,2.9,,2.1,,,,2.5,6.6,1021.3,70,1023.9,
2016-01-11,7.8,11.7,4.7,0.0,0.1,,,,1.5,7.5,1018.1,72,1020.7,
2016-01-12,7.6,13.2,3.4,0.0,6.9,,,,2.3,7.3,1014.6,72,1017.2,
2016-01-13,6.6,10.0,2.7,,7.8,,,,5.9,5.4,1015.5,56,1018.1,
2016-01-14,7.1,11.3,4.0,,8.0,,,,4.4,5.2,1017.2,52,1019.8,
2016-01-15,5.6,11.6,1.3,,8.2,,,,2.7,4.6,1017.9,53,1020.5,
2016-01-16,5.1,12.6,-0.8,,9.5,,,,2.7,5.8,1019.3,68,1021.9,
2016-01-17,5.5,11.7,1.6,59.5,0.0,,,,2.7,8.3,1011.6,90,1014.2,
