calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.0,14.7,-1.5,0.0,9.5,,,,1.6,,,,,
2016-01-02,8.9,16.2,0.7,4.0,1.6,,,,1.4,,,,,
2016-01-03,13.2,17.2,10.1,2.5,0.2,,,,0.8,,,,,
2016-01-04,11.6,19.4,5.1,0.0,9.2,,,,1.7,,,,,
2016-01-05,11.0,14.8,8.5,11.0,0.0,,,,1.5,,,,,
2016-01-06,9.3,10.7,5.8,13.5,0.0,,,,0.9,,,,,
2016-01-07,8.2,14.0,3.3,0.0,9.1,,,,2.5,,,,,
2016-01-08,8.1,14.5,3.5,0.0,5.2,,,,2.5,,,,,
2016-01-09,5.7,12.8,0.9,0.0,8.9,,,,2.0,,,,,
2016-01-10,6.6,12.8,0.7,0.0,1.1,,,,1.3,,,,,
2016-01-11,7.9,10.5,5.9,2.5,0.0,,,,1.1,,,,,
2016-01-12,8.1,13.6,4.2,2.5,8.2,,,,2.3,,,,,
2016-01-13,6.8,12.3,1.7,0.0,9.5,,,,3.4,,,,,
2016-01-14,5.3,12.3,0.2,0.0,8.2,,,,2.3,,,,,
2016-01-15,4.9,11.2,-0.4,0.0,4.9,,,,1.5,,,,,
2016-01-16,4.7,12.6,-1.7,0.0,9.6,,,,1.8,,,,,
2016-01-17,7.3,13.7,0.9,42.0,0.0,,,,2.2,,,,,
2016-01-18,10.5,14.6,4.0,0.5,8.5,,,,5.6,,,,,
2016-01-19,4.4,8.9,2.0,0.0,8.6,,,,4.6,,,,,
2016-01-20,4.0,9.6,0.2,0.0,9.5,,,,2.9,,,,,
2016-01-21,3.4,7.1,-1.5,0.0,0.0,,,,1.2,,,,,
2016-01-22,6.3,12.2,2.1,0.0,4.1,,,,1.3,,,,,
2016-01-23,7.0,13.3,1.5,0.0,2.4,,,,2.7,,,,,
2016-01-24,0.3,3.5,-3.5,0.0,5.7,,,,4.7,,,,,
2016-01-25,1.9,8.7,-4.0,0.0,9.8,,,,3.2,,,,,
2016-01-26,3.5,13.1,-3.1,0.0,7.5,,,,2.0,,,,,
2016-01-27,5.3,12.7,-1.1,0.0,0.1,,,,1.7,,,,,
2016-01-28,9.6,15.5,4.1,0.5,0.2,,,,1.2,,,,,
2016-01-29,13.6,16.3,10.2,57.5,0.0,,,,1.6,,,,,
2016-01-30,13.2,16.0,8.1,0.0,0.0,,,,1.3,,,,,
2016-01-31,9.1,17.0,3.4,0.0,9.5,,,,1.7,,,,,
2016-02-01,7.8,9.7,6.0,0.5,0.0,,,,1.5,,,,,
2016-02-02,6.7,11.6,2.6,0.0,8.7,,,,2.0,,,,,
2016-02-03,5.9,12.9,-0.4,0.0,9.8,,,,1.8,,,,,
2016-02-04,6.7,14.7,-0.4,0.0,9.2,,,,1.6,,,,,
2016-02-05,7.3,13.8,2.3,0.0,7.2,,,,1.7,,,,,
2016-02-06,5.3,11.2,0.0,0.0,3.6,,,,2.9,,,,,
2016-02-07,3.9,11.2,-2.7,0.0,9.7,,,,2.0,,,,,
2016-02-08,5.7,13.4,-1.8,0.0,9.9,,,,2.7,,,,,
2016-02-09,10.2,16.1,0.5,0.0,9.5,,,,4.9,,,,,
2016-02-10,6.1,13.8,-1.3,0.0,10.4,,,,2.1,,,,,
2016-02-11,8.9,16.5,1.2,0.0,8.9,,,,1.8,,,,,
2016-02-12,11.8,13.8,7.5,10.0,0.0,,,,1.8,,,,,
2016-02-13,16.9,21.5,13.0,21.0,0.3,,,,1.6,,,,,
2016-02-14,15.5,19.4,8.7,0.5,7.4,,,,5.3,,,,,
2016-02-15,5.9,9.3,2.6,0.0,9.6,,,,6.1,,,,,
2016-02-16,5.1,11.3,-0.3,0.0,9.0,,,,3.4,,,,,
2016-02-17,6.8,13.4,0.0,0.0,10.2,,,,3.2,,,,,
2016-02-18,6.2,13.5,0.7,0.0,7.4,,,,1.7,,,,,
2016-02-19,9.3,17.8,0.7,0.5,5.1,,,,2.0,,,,,
2016-02-20,11.6,16.0,9.2,42.0,1.1,,,,2.5,,,,,
2016-02-21,8.7,13.3,4.3,0.0,7.6,,,,2.7,,,,,
2016-02-22,7.1,11.1,3.3,4.0,0.0,,,,1.1,,,,,
2016-02-23,9.1,11.2,6.7,11.5,0.0,,,,1.6,,,,,
2016-02-24,8.4,15.7,2.9,0.0,10.4,,,,2.1,,,,,
2016-02-25,7.1,12.8,1.0,0.0,7.2,,,,2.8,,,,,
2016-02-26,6.2,12.7,1.8,0.0,8.6,,,,1.7,,,,,
2016-02-27,9.0,18.0,1.8,0.0,6.3,,,,2.0,,,,,
2016-02-28,10.4,18.1,2.3,0.0,9.6,,,,2.2,,,,,
2016-02-29,8.9,13.5,2.9,0.0,9.3,,,,5.3,,,,,
2016-03-01,3.4,10.0,-2.5,0.0,11.0,,,,1.9,,,,,
2016-03-02,6.0,13.7,-2.2,0.0,11.1,,,,2.1,,,,,
2016-03-03,8.0,16.7,0.0,0.0,10.5,,,,2.0,,,,,
2016-03-04,12.1,19.5,5.7,0.0,8.6,,,,2.0,,,,,
2016-03-05,13.9,20.3,8.1,0.0,2.6,,,,2.2,,,,,
2016-03-06,15.4,19.6,11.3,2.0,0.1,,,,1.7,,,,,
