calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.6,3.2,-7.1,2.0,7.3,,7,8,1.0,,,,,
2016-01-02,1.4,8.8,-7.1,0.0,2.1,,2,0,1.6,,,,,
2016-01-03,4.5,13.2,-1.4,0.0,5.7,,0,0,1.6,,,,,
2016-01-04,4.5,13.0,-2.9,0.0,5.7,,0,0,2.1,,,,,
2016-01-05,3.9,8.7,0.9,0.0,2.6,,1,1,1.9,,,,,
2016-01-06,1.4,4.9,-0.6,0.0,1.0,,1,1,0.8,,,,,
2016-01-07,-0.1,1.1,-1.6,1.0,0.0,,1,2,1.4,,,,,
2016-01-08,-0.7,3.0,-3.8,1.5,1.2,,1,2,0.7,,,,,
2016-01-09,-0.9,1.8,-3.2,1.0,1.7,,1,2,1.1,,,,,
2016-01-10,0.7,5.7,-2.5,0.0,2.6,,1,0,1.6,,,,,
2016-01-11,-1.5,0.9,-3.2,0.0,1.1,,1,2,1.8,,,,,
2016-01-12,-2.7,0.1,-6.2,0.0,1.2,,1,0,1.3,,,,,
2016-01-13,-2.6,3.4,-8.5,0.5,4.0,,1,1,0.7,,,,,
2016-01-14,-1.5,0.1,-2.5,1.0,0.0,,2,3,0.8,,,,,
2016-01-15,-2.2,0.3,-4.7,0.0,1.0,,1,1,0.9,,,,,
2016-01-16,-1.5,2.7,-4.6,0.0,6.0,,1,0,1.3,,,,,
2016-01-17,-1.1,2.8,-5.5,0.5,3.2,,1,1,0.8,,,,,
2016-01-18,0.1,2.2,-1.9,38.0,0.0,,25,27,1.3,,,,,
2016-01-19,-3.4,1.4,-5.9,2.0,0.0,,23,5,1.5,,,,,
2016-01-20,-3.4,-0.2,-6.6,21.0,0.0,,41,25,1.9,,,,,
2016-01-21,-2.7,0.3,-4.8,0.0,4.3,,38,0,1.6,,,,,
2016-01-22,-5.1,-0.8,-9.7,0.0,1.3,,31,0,1.1,,,,,
2016-01-23,-5.0,-2.2,-9.3,1.0,0.1,,30,5,0.6,,,,,
2016-01-24,-6.1,-2.7,-9.2,8.0,0.0,,42,12,1.2,,,,,
