calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.0,4.5,-3.5,1.5,6.4,,,,,,,,,
2016-01-02,2.0,10.6,-4.9,0.0,7.3,,,,1.1,,,,,
2016-01-03,4.5,13.9,-1.6,0.0,8.2,,,,1.0,,,,,
2016-01-04,4.7,16.2,-3.0,0.0,6.1,,,,1.2,,,,,
2016-01-05,3.8,11.7,-2.1,0.0,5.8,,,,1.4,,,,,
2016-01-06,3.1,6.7,1.0,0.0,1.3,,,,1.1,,,,,
2016-01-07,0.3,3.0,-2.3,0.5,0.0,,,,0.9,,,,,
2016-01-08,0.3,7.8,-4.6,0.0,6.4,,,,1.5,,,,,
2016-01-09,0.6,5.5,-3.1,0.5,5.7,,,,1.1,,,,,
2016-01-10,0.5,9.8,-5.4,0.0,7.0,,,,1.1,,,,,
2016-01-11,-0.7,3.1,-3.2,0.0,2.3,,,,1.4,,,,,
2016-01-12,-0.9,2.2,-4.2,0.0,1.8,,,,1.3,,,,,
2016-01-13,-0.6,7.2,-7.7,0.0,8.2,,,,2.5,,,,,
2016-01-14,0.4,7.0,-4.1,0.0,5.4,,,,1.3,,,,,
2016-01-15,0.1,5.1,-4.6,0.0,5.9,,,,1.7,,,,,
2016-01-16,-1.1,5.8,-5.9,0.0,7.7,,,,1.3,,,,,
2016-01-17,-1.1,3.6,-6.8,0.0,3.8,,,,0.6,,,,,
2016-01-18,0.0,1.8,-1.3,35.0,0.6,,,,1.8,,,,,
2016-01-19,-1.7,0.9,-4.3,1.0,0.2,,,,3.6,,,,,
2016-01-20,-3.3,-0.3,-7.3,8.5,0.5,,,,2.2,,,,,
2016-01-21,-6.7,-1.1,-11.9,0.0,4.7,,,,0.3,,,,,
2016-01-22,-5.0,1.4,-9.7,0.0,5.4,,,,1.0,,,,,
2016-01-23,-4.2,1.2,-10.3,0.0,0.0,,,,1.3,,,,,
2016-01-24,-4.3,-0.9,-10.0,0.0,0.0,,,,2.4,,,,,
2016-01-25,-5.8,0.0,-11.0,0.0,8.1,,,,1.1,,,,,
2016-01-26,-7.7,1.1,-14.9,0.0,8.9,,,,0.5,,,,,
