calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.6,7.5,-3.1,0.0,8.6,,,,2.1,,,,,
2016-01-02,0.9,7.7,-4.7,0.0,7.4,,,,2.5,,,,,
2016-01-03,3.9,13.1,-1.6,0.0,8.0,,,,2.5,,,,,
2016-01-04,4.2,14.3,-1.7,0.0,8.6,,,,2.8,,,,,
2016-01-05,3.9,10.4,-0.8,0.0,7.1,,,,2.6,,,,,
2016-01-06,3.8,9.1,-0.2,0.0,0.7,,,,2.5,,,,,
2016-01-07,1.9,8.6,-2.0,0.0,4.3,,,,1.8,,,,,
2016-01-08,1.2,5.5,-2.8,0.0,7.3,,,,3.2,,,,,
2016-01-09,1.4,7.5,-2.4,0.0,8.5,,,,2.0,,,,,
2016-01-10,0.9,8.5,-3.2,0.0,8.4,,,,2.4,,,,,
2016-01-11,1.1,7.0,-3.3,0.0,7.7,,,,2.5,,,,,
2016-01-12,-0.5,3.2,-3.6,0.0,1.8,,,,2.6,,,,,
2016-01-13,-1.0,5.2,-5.7,0.0,7.8,,,,2.6,,,,,
2016-01-14,0.4,5.6,-2.6,0.0,6.3,,,,3.6,,,,,
2016-01-15,0.1,6.5,-3.1,0.0,8.0,,,,1.7,,,,,
2016-01-16,-0.4,7.0,-4.7,0.0,8.7,,,,1.8,,,,,
2016-01-17,-0.5,4.0,-5.8,0.0,4.9,,,,1.9,,,,,
2016-01-18,0.5,3.8,-1.5,17.0,0.0,,,,3.6,,,,,
2016-01-19,-3.9,0.3,-6.7,6.5,0.0,,,,5.4,,,,,
2016-01-20,-3.7,2.3,-7.0,1.0,3.8,,,,3.2,,,,,
2016-01-21,-3.0,3.1,-9.0,0.0,7.4,,,,1.6,,,,,
2016-01-22,-2.2,4.4,-6.5,0.0,8.6,,,,2.2,,,,,
