calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.0,4.6,-4.9,5.0,3.1,,17,5,,,,,,
2016-01-02,-0.7,5.7,-6.2,0.0,5.7,,8,0,0.9,,,,,
2016-01-03,0.5,8.1,-2.9,0.0,6.2,,6,0,0.7,,,,,
2016-01-04,2.3,10.4,-3.0,0.0,1.7,,5,0,1.3,,,,,
2016-01-05,3.6,8.0,-0.2,0.0,4.7,,1,0,1.5,,,,,
2016-01-06,3.4,7.1,0.0,0.0,0.9,,0,0,1.2,,,,,
2016-01-07,1.3,4.4,-0.9,11.5,0.0,,0,0,1.0,,,,,
2016-01-08,0.6,3.7,-1.7,0.5,1.3,,0,0,0.7,,,,,
2016-01-09,0.8,3.5,-2.2,1.5,2.2,,0,0,1.2,,,,,
2016-01-10,1.8,7.2,-2.8,0.0,5.4,,1,1,1.5,,,,,
2016-01-11,0.5,3.6,-1.2,3.5,2.0,,0,0,2.0,,,,,
2016-01-12,-0.7,2.0,-3.3,0.0,1.7,,0,0,1.5,,,,,
2016-01-13,-1.4,5.0,-7.2,0.0,4.7,,0,0,0.9,,,,,
2016-01-14,-0.3,2.7,-2.4,0.0,0.7,,0,0,1.5,,,,,
2016-01-15,-0.6,3.6,-3.5,0.0,2.3,,0,0,1.4,,,,,
2016-01-16,-1.0,3.2,-4.4,0.0,2.8,,1,1,1.9,,,,,
2016-01-17,-1.2,2.5,-5.5,0.5,0.7,,1,1,0.9,,,,,
2016-01-18,1.3,3.3,0.3,12.5,0.0,,0,0,2.5,,,,,
2016-01-19,0.3,3.9,-2.2,0.0,1.5,,0,0,2.1,,,,,
2016-01-20,-0.3,3.0,-3.5,18.0,0.0,,19,21,4.3,,,,,
2016-01-21,-1.0,3.0,-7.6,1.0,4.7,,21,3,1.5,,,,,
2016-01-22,-2.6,1.1,-7.0,0.5,1.0,,16,6,1.3,,,,,
2016-01-23,-2.3,2.0,-5.5,0.0,2.5,,15,0,1.6,,,,,
2016-01-24,-3.8,1.3,-7.5,8.0,1.4,,29,20,3.1,,,,,
2016-01-25,-5.7,0.5,-13.4,1.0,3.4,,32,4,1.9,,,,,
2016-01-26,-8.8,2.0,-16.3,0.0,7.2,,27,0,0.6,,,,,
2016-01-27,-4.8,6.3,-14.2,0.0,7.5,,25,0,0.9,,,,,
2016-01-28,-3.2,5.7,-9.8,0.0,5.2,,21,0,0.7,,,,,
2016-01-29,0.3,1.7,-1.1,19.5,0.0,,36,17,0.8,,,,,
2016-01-30,-0.3,3.1,-5.0,5.5,0.7,,43,7,0.7,,,,,
2016-01-31,0.1,5.1,-5.1,1.5,4.6,,36,2,1.6,,,,,
2016-02-01,-1.0,1.2,-7.5,0.0,0.3,,30,0,2.0,,,,,
2016-02-02,-3.1,0.8,-7.7,3.5,0.0,,39,10,0.6,,,,,
2016-02-03,-3.0,2.6,-8.5,0.0,3.8,,36,0,,,,,,
2016-02-04,-3.8,4.5,-13.6,0.0,6.9,,29,1,1.0,,,,,
2016-02-05,0.4,5.6,-3.9,0.0,5.0,,28,0,1.4,,,,,
2016-02-06,0.3,3.8,-1.8,0.5,1.5,,27,1,2.0,,,,,
2016-02-07,-2.3,-0.2,-8.1,0.0,3.4,,35,9,1.9,,,,,
2016-02-08,-5.6,3.5,-13.9,0.0,8.4,,27,0,0.6,,,,,
2016-02-09,-2.4,2.0,-9.2,12.5,1.5,,50,25,1.5,,,,,
2016-02-10,-0.4,1.2,-2.2,5.5,1.2,,56,8,2.5,,,,,
2016-02-11,-0.6,5.5,-6.7,0.0,8.0,,46,0,1.0,,,,,
2016-02-12,-1.3,7.3,-9.8,0.0,7.0,,38,0,0.5,,,,,
2016-02-13,4.1,9.7,-1.2,0.0,1.5,,36,0,1.1,,,,,
2016-02-14,6.1,10.2,3.8,6.5,0.0,,30,0,2.1,,,,,
2016-02-15,-0.2,5.3,-2.8,6.0,0.0,,39,21,2.7,,,,,
2016-02-16,-2.0,3.3,-11.5,0.5,5.9,,38,1,0.8,,,,,
2016-02-17,-1.7,0.0,-8.6,12.0,0.0,,50,29,0.9,,,,,
2016-02-18,-4.3,5.3,-10.3,0.0,7.0,,48,0,,,,,,
2016-02-19,-0.2,10.0,-10.4,0.0,8.8,,32,0,0.9,,,,,
2016-02-20,2.7,6.7,-1.0,7.0,0.0,,28,0,1.4,,,,,
2016-02-21,3.0,6.2,-0.6,0.0,4.9,,25,0,2.6,,,,,
2016-02-22,1.1,3.9,-0.5,0.5,4.6,,23,2,2.2,,,,,
2016-02-23,2.9,7.6,-3.0,0.5,5.4,,20,1,1.8,,,,,
2016-02-24,-0.7,2.1,-2.5,3.5,1.9,,30,15,2.8,,,,,
2016-02-25,-1.6,2.1,-4.4,2.0,4.0,,24,5,1.0,,,,,
2016-02-26,-0.6,2.9,-5.4,0.0,4.4,,19,0,1.6,,,,,
2016-02-27,1.8,8.1,-6.1,0.0,7.9,,19,1,2.0,,,,,
2016-02-28,4.4,9.3,-2.1,0.0,9.9,,16,0,1.8,,,,,
2016-02-29,2.7,6.8,-2.3,9.0,0.2,,29,21,3.5,,,,,
2016-03-01,-3.2,0.0,-9.6,6.5,2.9,,44,17,2.3,,,,,
