calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.5,3.7,-7.4,0.0,8.8,,,,2.8,4.1,906.9,83,,
2016-01-02,0.1,8.0,-8.5,,8.5,,,,2.9,4.0,904.1,67,,
2016-01-03,3.2,12.8,-2.7,,9.1,,,,1.8,4.2,900.6,60,,
2016-01-04,3.2,13.6,-3.6,,6.3,,,,2.4,4.8,898.0,70,,
2016-01-05,2.2,9.9,-3.1,,6.7,,,,2.4,4.8,900.0,72,,
2016-01-06,-0.5,4.9,-3.1,,1.0,,,,1.5,4.9,899.4,85,,
2016-01-07,-1.7,5.4,-6.0,0.0,3.2,,,,2.2,4.8,895.9,90,,
2016-01-08,-1.3,6.4,-8.5,,8.7,,,,2.3,3.8,895.7,72,,
2016-01-09,-2.1,5.1,-6.1,0.0,6.2,,,,1.9,4.0,899.3,78,,
2016-01-10,-0.8,6.6,-8.0,,8.6,,,,2.8,3.4,899.2,63,,
2016-01-11,-2.6,4.9,-6.1,,6.7,,,,2.2,4.2,899.2,85,,
2016-01-12,-5.2,-0.2,-9.4,,2.0,,,,2.1,3.7,896.5,89,,
2016-01-13,-3.4,5.0,-11.9,,8.5,,,,2.3,2.7,894.5,62,,
2016-01-14,-1.5,5.4,-6.0,,6.9,,,,3.3,3.2,894.3,60,,
2016-01-15,-2.6,4.5,-8.4,,9.0,,,,2.3,3.2,897.5,66,,
2016-01-16,-3.5,4.5,-8.4,,9.5,,,,2.1,3.3,900.2,73,,
2016-01-17,-3.1,2.0,-7.7,1.0,2.9,,1,1,2.4,3.6,902.5,76,,
2016-01-18,-2.2,0.2,-3.6,34.0,0.0,,31,31,3.4,5.1,884.0,98,,
2016-01-19,-5.0,-0.8,-8.7,0.0,9.4,,29,1,3.5,3.0,883.5,70,,
2016-01-20,-6.2,-2.3,-9.7,14.0,1.2,,51,25,3.6,3.5,891.3,89,,
2016-01-21,-6.0,-0.5,-11.7,,4.7,,46,,2.2,3.4,899.0,88,,
2016-01-22,-6.1,0.7,-11.3,,5.8,,39,,2.3,3.0,900.9,81,,
2016-01-23,-6.4,0.4,-9.5,0.0,3.5,,35,,1.9,3.2,897.6,85,,
2016-01-24,-7.4,-2.9,-13.3,0.0,5.5,,35,2,3.9,2.3,886.7,65,,
2016-01-25,-9.0,-2.4,-15.1,0.0,9.7,,32,,2.9,2.0,896.9,67,,
2016-01-26,-7.2,1.3,-16.0,,9.7,,30,,1.9,2.3,903.1,67,,
2016-01-27,-3.0,4.9,-10.0,,9.7,,29,,1.8,3.0,905.2,65,,
2016-01-28,-3.5,3.8,-10.8,,9.7,,27,,1.9,3.5,907.5,77,,
2016-01-29,-1.1,0.6,-3.8,27.5,0.0,,36,15,3.3,5.4,904.3,96,,
2016-01-30,-3.3,-2.4,-4.0,7.0,0.0,,39,5,2.1,4.7,900.9,99,,
2016-01-31,-3.5,1.2,-6.4,0.0,4.6,,37,,1.7,4.5,901.9,96,,
2016-02-01,-4.7,-1.2,-7.4,0.0,2.5,,32,,2.0,4.1,900.9,94,,
2016-02-02,-4.9,0.6,-7.3,,6.9,,32,,2.5,3.6,899.6,87,,
2016-02-03,-6.2,0.8,-11.5,0.0,6.4,,32,1,2.2,3.1,902.1,83,,
2016-02-04,-3.9,3.3,-11.4,,8.2,,31,,1.9,3.1,900.6,71,,
2016-02-05,-3.1,3.0,-9.8,,9.1,,31,,1.8,3.7,898.0,76,,
2016-02-06,-3.1,4.0,-8.6,,5.6,,31,,1.7,3.8,894.8,81,,
2016-02-07,-5.6,0.5,-10.6,0.0,10.0,,31,,2.6,2.9,897.2,75,,
2016-02-08,-5.8,1.3,-13.0,,9.8,,31,,2.1,3.0,898.4,77,,
2016-02-09,-2.3,2.7,-7.2,0.0,5.1,,32,2,3.4,3.9,892.5,75,,
2016-02-10,-4.6,0.5,-8.8,0.0,10.0,,33,1,3.4,3.2,901.0,75,,
2016-02-11,-3.3,2.3,-7.1,,7.2,,32,,2.3,3.5,910.3,76,,
2016-02-12,-0.2,7.4,-6.4,,9.1,,31,,2.4,3.8,911.0,65,,
2016-02-13,5.9,12.1,-1.2,0.0,1.4,,28,,1.7,6.9,903.3,75,,
2016-02-14,8.7,16.2,2.6,23.0,3.1,,22,,3.2,9.0,887.3,81,,
2016-02-15,-2.1,7.3,-7.4,,1.8,,11,,3.1,4.2,887.2,78,,
2016-02-16,-4.1,2.6,-10.5,,7.7,,11,,2.3,2.8,892.9,65,,
2016-02-17,-3.6,2.3,-9.0,0.0,7.8,,11,,2.5,3.1,896.8,67,,
2016-02-18,-3.1,6.4,-9.4,,8.9,,11,,1.9,3.4,905.0,73,,
2016-02-19,2.7,9.0,-6.1,,10.2,,9,,3.2,3.2,907.3,46,,
2016-02-20,1.8,4.1,-0.5,12.5,0.1,,9,2,2.5,5.6,902.4,80,,
2016-02-21,0.8,6.4,-5.6,,7.8,,6,,3.3,4.7,898.2,74,,
2016-02-22,-1.6,5.1,-6.4,0.0,6.8,,6,1,2.4,4.1,908.8,77,,
2016-02-23,0.4,9.0,-3.9,,7.1,,5,,1.7,4.9,902.8,81,,
2016-02-24,-2.5,3.2,-6.6,0.0,8.2,,2,1,2.8,3.2,902.9,65,,
2016-02-25,-4.4,2.0,-8.7,0.0,9.8,,2,,2.6,2.6,905.2,63,,
2016-02-26,-3.6,4.4,-10.9,,10.6,,,,2.4,2.7,904.6,60,,
2016-02-27,-0.9,7.6,-8.3,,6.9,,,,2.1,3.4,905.3,64,,
2016-02-28,1.9,10.5,-3.2,,8.7,,,,3.1,4.5,906.0,70,,
2016-02-29,0.1,10.0,-5.3,0.5,2.4,,,,2.4,5.6,893.1,90,,
2016-03-01,-5.4,0.0,-10.4,0.0,10.6,,1,1,3.1,2.6,897.1,67,,
2016-03-02,-3.4,5.9,-11.5,,10.9,,,,2.2,2.6,902.0,60,,
2016-03-03,3.1,11.6,-3.7,,10.9,,,,2.5,3.4,904.4,47,,
2016-03-04,2.5,10.9,-4.2,,10.1,,,,2.3,5.2,911.0,76,,
2016-03-05,3.4,10.4,-2.9,,5.5,,,,2.7,6.5,913.1,85,,
2016-03-06,6.8,16.0,-1.5,0.0,4.0,,,,2.0,7.8,908.4,80,,
2016-03-07,8.3,11.5,5.9,0.0,0.0,,,,2.0,9.5,902.9,87,,
2016-03-08,9.2,19.7,2.7,,8.7,,,,2.2,8.3,899.3,78,,
2016-03-09,0.2,3.7,-3.6,22.0,0.0,,6,6,1.5,6.2,898.7,100,,
2016-03-10,-3.0,-0.3,-4.6,4.0,0.1,,8,5,2.2,4.8,898.8,98,,
2016-03-11,-2.6,1.7,-5.0,0.5,2.7,,9,1,1.6,4.6,899.3,92,,
