calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.4,6.9,-4.9,0.0,7.4,,,,0.9,,,,,
2016-01-02,0.0,9.2,-6.2,0.0,5.2,,,,1.3,,,,,
2016-01-03,2.0,13.9,-4.0,0.0,7.4,,,,0.8,,,,,
2016-01-04,2.8,13.7,-4.5,0.0,7.4,,,,1.2,,,,,
2016-01-05,2.7,11.8,-3.2,0.0,4.3,,,,0.8,,,,,
2016-01-06,2.6,9.9,-1.3,0.0,0.8,,,,1.1,,,,,
2016-01-07,0.2,5.4,-3.6,0.0,0.9,,,,0.8,,,,,
2016-01-08,0.9,5.6,-3.9,0.0,0.9,,,,2.3,,,,,
2016-01-09,1.3,8.2,-3.4,0.0,6.9,,,,1.7,,,,,
2016-01-10,0.6,8.7,-4.5,0.0,5.8,,,,1.6,,,,,
2016-01-11,1.3,8.3,-4.7,0.0,5.8,,,,1.6,,,,,
2016-01-12,0.2,5.0,-4.1,0.0,2.4,,,,1.5,,,,,
2016-01-13,-1.4,5.5,-7.8,0.0,3.6,,,,1.8,,,,,
2016-01-14,0.2,4.9,-2.4,0.0,1.8,,,,2.7,,,,,
2016-01-15,-0.4,5.9,-5.3,0.0,5.7,,,,1.4,,,,,
2016-01-16,-1.5,8.1,-6.9,0.0,7.3,,,,0.9,,,,,
2016-01-17,-0.9,6.0,-7.6,0.0,2.4,,,,0.8,,,,,
2016-01-18,0.9,2.5,-0.6,14.0,0.0,,,,2.0,,,,,
2016-01-19,-4.0,1.0,-6.4,1.0,0.0,,,,3.8,,,,,
2016-01-20,-4.0,2.0,-7.8,3.5,3.8,,,,2.8,,,,,
2016-01-21,-3.4,2.4,-8.7,0.0,5.3,,,,1.4,,,,,
2016-01-22,-4.2,3.5,-10.0,0.0,7.6,,,,1.4,,,,,
2016-01-23,-4.4,-0.7,-9.8,1.0,0.0,,,,1.8,,,,,
2016-01-24,-5.9,-1.9,-11.0,0.0,0.9,,,,2.9,,,,,
2016-01-25,-6.9,-0.2,-11.4,0.0,4.5,,,,1.0,,,,,
2016-01-26,-5.9,4.2,-14.6,0.0,7.8,,,,1.3,,,,,
2016-01-27,-2.9,7.5,-10.2,0.0,7.5,,,,0.9,,,,,
2016-01-28,-1.0,8.7,-8.9,0.0,4.9,,,,0.9,,,,,
2016-01-29,1.7,3.0,0.4,46.0,0.0,,,,0.6,,,,,
