calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,7.0,,,29,10,,,,,,
2016-01-02,,,,0.0,,,16,0,,,,,,
2016-01-03,,,,0.0,,,12,0,,,,,,
2016-01-04,,,,0.0,,,8,0,,,,,,
2016-01-05,,,,2.0,,,3,0,,,,,,
2016-01-06,,,,0.0,,,0,0,,,,,,
2016-01-07,,,,11.5,,,10,11,,,,,,
2016-01-08,,,,2.5,,,9,4,,,,,,
2016-01-09,,,,3.5,,,18,11,,,,,,
2016-01-10,,,,0.0,,,5,2,,,,,,
2016-01-11,,,,2.5,,,10,11,,,,,,
2016-01-12,,,,1.0,,,14,4,,,,,,
2016-01-13,,,,1.0,,,8,3,,,,,,
2016-01-14,,,,3.0,,,13,8,,,,,,
2016-01-15,,,,0.5,,,13,0,,,,,,
2016-01-16,,,,0.5,,,11,3,,,,,,
2016-01-17,,,,0.5,,,9,3,,,,,,
2016-01-18,,,,42.0,,,32,23,,,,,,
2016-01-19,,,,6.0,,,28,10,,,,,,
2016-01-20,,,,39.5,,,48,25,,,,,,
2016-01-21,,,,0.0,,,48,0,,,,,,
2016-01-22,,,,0.0,,,43,1,,,,,,
2016-01-23,,,,2.0,,,43,4,,,,,,
2016-01-24,,,,14.0,,,62,20,,,,,,
2016-01-25,,,,0.5,,,59,1,,,,,,
2016-01-26,,,,0.0,,,55,0,,,,,,
2016-01-27,,,,0.0,,,49,0,,,,,,
2016-01-28,,,,0.0,,,42,0,,,,,,
2016-01-29,,,,32.0,,,46,8,,,,,,
2016-01-30,,,,7.0,,,56,11,,,,,,
2016-01-31,,,,1.0,,,50,2,,,,,,
2016-02-01,,,,4.0,,,53,7,,,,,,
2016-02-02,,,,0.5,,,53,2,,,,,,
2016-02-03,,,,0.0,,,51,0,,,,,,
2016-02-04,,,,0.0,,,47,0,,,,,,
2016-02-05,,,,0.0,,,47,1,,,,,,
2016-02-06,,,,6.5,,,55,15,,,,,,
2016-02-07,,,,9.0,,,78,24,,,,,,
2016-02-08,,,,0.0,,,57,0,,,,,,
2016-02-09,,,,25.5,,,88,35,,,,,,
2016-02-10,,,,4.5,,,90,3,,,,,,
2016-02-11,,,,0.0,,,79,0,,,,,,
2016-02-12,,,,0.0,,,70,0,,,,,,
2016-02-13,,,,0.5,,,60,0,,,,,,
2016-02-14,,,,24.5,,,52,0,,,,,,
2016-02-15,,,,15.5,,,80,34,,,,,,
2016-02-16,,,,1.0,,,78,2,,,,,,
2016-02-17,,,,15.0,,,94,27,,,,,,
2016-02-18,,,,0.0,,,91,0,,,,,,
2016-02-19,,,,0.0,,,70,0,,,,,,
2016-02-20,,,,10.0,,,61,0,,,,,,
2016-02-21,,,,5.5,,,55,0,,,,,,
2016-02-22,,,,0.0,,,51,1,,,,,,
2016-02-23,,,,1.0,,,49,2,,,,,,
2016-02-24,,,,2.5,,,57,10,,,,,,
2016-02-25,,,,2.5,,,60,8,,,,,,
2016-02-26,,,,2.5,,,56,7,,,,,,
2016-02-27,,,,2.5,,,55,0,,,,,,
2016-02-28,,,,0.0,,,47,0,,,,,,
2016-02-29,,,,29.5,,,79,35,,,,,,
2016-03-01,,,,6.5,,,88,9,,,,,,
2016-03-02,,,,0.0,,,72,1,,,,,,
2016-03-03,,,,0.0,,,63,0,,,,,,
2016-03-04,,,,0.0,,,53,0,,,,,,
2016-03-05,,,,0.0,,,46,0,,,,,,
2016-03-06,,,,0.5,,,43,0,,,,,,
2016-03-07,,,,3.5,,,37,0,,,,,,
2016-03-08,,,,0.0,,,34,0,,,,,,
2016-03-09,,,,8.5,,,36,9,,,,,,
2016-03-10,,,,0.0,,,36,2,,,,,,
2016-03-11,,,,0.0,,,31,0,,,,,,
2016-03-12,,,,0.0,,,29,1,,,,,,
2016-03-13,,,,0.5,,,27,0,,,,,,
2016-03-14,,,,8.5,,,30,6,,,,,,
2016-03-15,,,,12.5,,,44,17,,,,,,
2016-03-16,,,,0.0,,,38,0,,,,,,
2016-03-17,,,,0.0,,,29,0,,,,,,
2016-03-18,,,,0.5,,,23,0,,,,,,
2016-03-19,,,,6.5,,,17,0,,,,,,
2016-03-20,,,,1.0,,,11,0,,,,,,
2016-03-21,,,,0.5,,,9,2,,,,,,
2016-03-22,,,,0.0,,,5,0,,,,,,
2016-03-23,,,,3.5,,,3,3,,,,,,
2016-03-24,,,,5.0,,,6,9,,,,,,
2016-03-25,,,,4.5,,,10,7,,,,,,
2016-03-26,,,,0.0,,,0,0,,,,,,
2016-03-27,,,,0.0,,,0,0,,,,,,
2016-03-28,,,,0.0,,,0,0,,,,,,
2016-03-29,,,,0.0,,,0,0,,,,,,
2016-03-30,,,,1.0,,,0,0,,,,,,
2016-03-31,,,,0.0,,,0,0,,,,,,
2016-04-01,,,,0.0,,,0,0,,,,,,
2016-04-02,,,,0.0,,,0,0,,,,,,
2016-04-03,,,,0.0,,,0,0,,,,,,
2016-04-04,,,,11.5,,,0,0,,,,,,
2016-04-05,,,,0.0,,,0,0,,,,,,
2016-04-06,,,,0.0,,,0,0,,,,,,
2016-04-07,,,,75.5,,,0,0,,,,,,
2016-04-08,,,,0.0,,,0,0,,,,,,
2016-04-09,,,,0.0,,,0,0,,,,,,
2016-04-10,,,,0.0,,,0,0,,,,,,
2016-04-11,,,,4.0,,,0,0,,,,,,
2016-04-12,,,,0.0,,,0,0,,,,,,
2016-04-13,,,,14.5,,,0,0,,,,,,
2016-04-14,,,,4.5,,,0,0,,,,,,
2016-04-15,,,,0.0,,,0,0,,,,,,
2016-04-16,,,,0.0,,,0,0,,,,,,
2016-04-17,,,,5.0,,,0,0,,,,,,
2016-04-18,,,,0.0,,,0,0,,,,,,
2016-04-19,,,,0.0,,,0,0,,,,,,
2016-04-20,,,,0.0,,,0,0,,,,,,
2016-04-21,,,,33.5,,,0,0,,,,,,
2016-04-22,,,,4.0,,,0,0,,,,,,
2016-04-23,,,,0.0,,,0,0,,,,,,
2016-04-24,,,,0.0,,,0,0,,,,,,
2016-04-25,,,,0.0,,,0,0,,,,,,
2016-04-26,,,,0.0,,,0,0,,,,,,
2016-04-27,,,,2.0,,,0,0,,,,,,
2016-04-28,,,,43.0,,,0,0,,,,,,
2016-04-29,,,,2.0,,,0,0,,,,,,
2016-04-30,,,,0.0,,,0,0,,,,,,
2016-05-01,,,,1.5,,,0,0,,,,,,
2016-05-02,,,,0.0,,,0,0,,,,,,
2016-05-03,,,,0.0,,,0,0,,,,,,
2016-05-04,,,,10.0,,,0,0,,,,,,
2016-05-05,,,,0.0,,,0,0,,,,,,
2016-05-06,,,,0.0,,,0,0,,,,,,
2016-05-07,,,,4.5,,,0,0,,,,,,
2016-05-08,,,,0.0,,,0,0,,,,,,
2016-05-09,,,,0.0,,,0,0,,,,,,
2016-05-10,,,,9.0,,,0,0,,,,,,
2016-05-11,,,,28.5,,,0,0,,,,,,
2016-05-12,,,,0.0,,,0,0,,,,,,
2016-05-13,,,,0.0,,,0,0,,,,,,
2016-05-14,,,,0.0,,,0,0,,,,,,
2016-05-15,,,,0.0,,,0,0,,,,,,
2016-05-16,,,,2.0,,,0,0,,,,,,
2016-05-17,,,,19.0,,,0,0,,,,,,
2016-05-18,,,,0.0,,,0,0,,,,,,
2016-05-19,,,,0.0,,,0,0,,,,,,
2016-05-20,,,,0.0,,,0,0,,,,,,
2016-05-21,,,,0.0,,,0,0,,,,,,
2016-05-22,,,,0.0,,,0,0,,,,,,
2016-05-23,,,,0.0,,,0,0,,,,,,
2016-05-24,,,,0.0,,,0,0,,,,,,
2016-05-25,,,,0.0,,,0,0,,,,,,
2016-05-26,,,,8.0,,,0,0,,,,,,
2016-05-27,,,,6.0,,,0,0,,,,,,
2016-05-28,,,,0.0,,,0,0,,,,,,
2016-05-29,,,,1.5,,,0,0,,,,,,
2016-05-30,,,,4.0,,,0,0,,,,,,
2016-05-31,,,,2.5,,,0,0,,,,,,
2016-06-01,,,,0.5,,,0,0,,,,,,
2016-06-02,,,,0.5,,,0,0,,,,,,
2016-06-03,,,,0.0,,,0,0,,,,,,
2016-06-04,,,,0.0,,,0,0,,,,,,
2016-06-05,,,,0.0,,,0,0,,,,,,
2016-06-06,,,,0.0,,,0,0,,,,,,
2016-06-07,,,,0.0,,,0,0,,,,,,
2016-06-08,,,,0.0,,,0,0,,,,,,
2016-06-09,,,,2.5,,,0,0,,,,,,
2016-06-10,,,,0.0,,,0,0,,,,,,
2016-06-11,,,,3.0,,,0,0,,,,,,
2016-06-12,,,,0.5,,,0,0,,,,,,
2016-06-13,,,,20.5,,,0,0,,,,,,
2016-06-14,,,,2.0,,,0,0,,,,,,
2016-06-15,,,,0.5,,,0,0,,,,,,
2016-06-16,,,,7.5,,,0,0,,,,,,
2016-06-17,,,,2.0,,,0,0,,,,,,
2016-06-18,,,,0.0,,,0,0,,,,,,
2016-06-19,,,,4.0,,,0,0,,,,,,
2016-06-20,,,,4.0,,,0,0,,,,,,
2016-06-21,,,,0.0,,,0,0,,,,,,
2016-06-22,,,,0.0,,,0,0,,,,,,
2016-06-23,,,,22.5,,,0,0,,,,,,
2016-06-24,,,,33.5,,,0,0,,,,,,
2016-06-25,,,,48.5,,,0,0,,,,,,
2016-06-26,,,,1.5,,,0,0,,,,,,
2016-06-27,,,,0.5,,,0,0,,,,,,
2016-06-28,,,,17.5,,,0,0,,,,,,
2016-06-29,,,,0.0,,,0,0,,,,,,
2016-06-30,,,,2.5,,,0,0,,,,,,
2016-07-01,,,,0.0,,,0,0,,,,,,
2016-07-02,,,,2.5,,,0,0,,,,,,
2016-07-03,,,,18.0,,,0,0,,,,,,
2016-07-04,,,,21.0,,,0,0,,,,,,
2016-07-05,,,,1.5,,,0,0,,,,,,
2016-07-06,,,,1.0,,,0,0,,,,,,
2016-07-07,,,,0.5,,,0,0,,,,,,
2016-07-08,,,,7.0,,,0,0,,,,,,
2016-07-09,,,,6.0,,,0,0,,,,,,
2016-07-10,,,,0.0,,,0,0,,,,,,
2016-07-11,,,,0.0,,,0,0,,,,,,
2016-07-12,,,,0.0,,,0,0,,,,,,
2016-07-13,,,,31.5,,,0,0,,,,,,
2016-07-14,,,,15.5,,,0,0,,,,,,
2016-07-15,,,,70.0,,,0,0,,,,,,
2016-07-16,,,,0.5,,,0,0,,,,,,
2016-07-17,,,,7.5,,,0,0,,,,,,
2016-07-18,,,,0.5,,,0,0,,,,,,
2016-07-19,,,,0.0,,,0,0,,,,,,
2016-07-20,,,,1.5,,,0,0,,,,,,
2016-07-21,,,,0.0,,,0,0,,,,,,
2016-07-22,,,,0.0,,,0,0,,,,,,
2016-07-23,,,,0.0,,,0,0,,,,,,
2016-07-24,,,,0.0,,,0,0,,,,,,
2016-07-25,,,,2.0,,,0,0,,,,,,
2016-07-26,,,,51.0,,,0,0,,,,,,
2016-07-27,,,,20.5,,,0,0,,,,,,
2016-07-28,,,,1.0,,,0,0,,,,,,
2016-07-29,,,,0.0,,,0,0,,,,,,
2016-07-30,,,,0.0,,,0,0,,,,,,
2016-07-31,,,,1.5,,,0,0,,,,,,
2016-08-01,,,,0.0,,,0,0,,,,,,
2016-08-02,,,,12.0,,,0,0,,,,,,
2016-08-03,,,,0.0,,,0,0,,,,,,
2016-08-04,,,,0.0,,,0,0,,,,,,
2016-08-05,,,,0.0,,,0,0,,,,,,
2016-08-06,,,,0.0,,,0,0,,,,,,
2016-08-07,,,,0.0,,,0,0,,,,,,
2016-08-08,,,,5.5,,,0,0,,,,,,
2016-08-09,,,,0.0,,,0,0,,,,,,
2016-08-10,,,,0.0,,,0,0,,,,,,
2016-08-11,,,,0.0,,,0,0,,,,,,
2016-08-12,,,,0.0,,,0,0,,,,,,
2016-08-13,,,,0.0,,,0,0,,,,,,
2016-08-14,,,,0.0,,,0,0,,,,,,
2016-08-15,,,,6.0,,,0,0,,,,,,
2016-08-16,,,,0.0,,,0,0,,,,,,
2016-08-17,,,,5.5,,,0,0,,,,,,
2016-08-18,,,,0.0,,,0,0,,,,,,
2016-08-19,,,,0.0,,,0,0,,,,,,
2016-08-20,,,,0.0,,,0,0,,,,,,
2016-08-21,,,,7.5,,,0,0,,,,,,
2016-08-22,,,,18.0,,,0,0,,,,,,
2016-08-23,,,,17.5,,,0,0,,,,,,
2016-08-24,,,,4.0,,,0,0,,,,,,
2016-08-25,,,,2.0,,,0,0,,,,,,
2016-08-26,,,,10.5,,,0,0,,,,,,
2016-08-27,,,,13.0,,,0,0,,,,,,
2016-08-28,,,,0.0,,,0,0,,,,,,
2016-08-29,,,,0.0,,,0,0,,,,,,
2016-08-30,,,,25.0,,,0,0,,,,,,
2016-08-31,,,,0.0,,,0,0,,,,,,
2016-09-01,,,,0.0,,,0,0,,,,,,
2016-09-02,,,,0.0,,,0,0,,,,,,
2016-09-03,,,,0.0,,,0,0,,,,,,
2016-09-04,,,,1.5,,,0,0,,,,,,
2016-09-05,,,,11.5,,,0,0,,,,,,
2016-09-06,,,,0.0,,,0,0,,,,,,
2016-09-07,,,,0.0,,,0,0,,,,,,
2016-09-08,,,,14.0,,,0,0,,,,,,
2016-09-09,,,,0.0,,,0,0,,,,,,
2016-09-10,,,,0.0,,,0,0,,,,,,
2016-09-11,,,,0.0,,,0,0,,,,,,
2016-09-12,,,,5.0,,,0,0,,,,,,
2016-09-13,,,,30.5,,,0,0,,,,,,
2016-09-14,,,,0.5,,,0,0,,,,,,
2016-09-15,,,,0.0,,,0,0,,,,,,
2016-09-16,,,,0.0,,,0,0,,,,,,
2016-09-17,,,,1.5,,,0,0,,,,,,
2016-09-18,,,,86.5,,,0,0,,,,,,
2016-09-19,,,,44.0,,,0,0,,,,,,
2016-09-20,,,,56.5,,,0,0,,,,,,
2016-09-21,,,,0.0,,,0,0,,,,,,
2016-09-22,,,,7.0,,,0,0,,,,,,
2016-09-23,,,,2.5,,,0,0,,,,,,
2016-09-24,,,,0.0,,,0,0,,,,,,
2016-09-25,,,,0.5,,,0,0,,,,,,
