calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.6,4.7,-6.1,1.0,,,,,1.7,,,,,
2016-01-02,2.9,9.7,-7.3,0.0,,,,,4.7,,,,,
2016-01-03,7.2,15.0,-1.5,0.0,,,,,3.9,,,,,
2016-01-04,5.5,15.5,-5.5,0.0,,,,,4.0,,,,,
2016-01-05,4.8,12.2,-3.9,0.0,,,,,3.2,,,,,
2016-01-06,1.8,5.9,-1.9,0.0,,,,,1.5,,,,,
2016-01-07,-0.6,3.8,-5.1,0.0,,,,,1.8,,,,,
2016-01-08,0.5,7.5,-7.4,0.0,,,,,4.4,,,,,
2016-01-09,0.0,5.1,-4.9,0.0,,,,,1.8,,,,,
2016-01-10,3.5,8.4,-2.7,0.0,,,,,4.5,,,,,
2016-01-11,-1.0,3.8,-6.2,0.0,,,,,1.9,,,,,
2016-01-12,-1.5,2.6,-7.4,0.0,,,,,2.6,,,,,
2016-01-13,-1.1,6.5,-11.0,0.0,,,,,4.2,,,,,
2016-01-14,1.8,6.4,-0.4,0.0,,,,,6.3,,,,,
2016-01-15,0.6,6.4,-6.7,0.0,,,,,4.2,,,,,
2016-01-16,-1.1,6.2,-8.4,0.0,,,,,2.1,,,,,
2016-01-17,-1.9,2.6,-8.5,0.5,,,,,0.9,,,,,
2016-01-18,0.4,5.1,-2.1,37.5,,,,,2.4,,,,,
2016-01-19,-2.9,1.6,-5.7,0.0,,,,,7.5,,,,,
2016-01-20,-3.9,0.7,-10.7,1.0,,,,,4.9,,,,,
2016-01-21,-7.0,-1.0,-15.5,0.0,,,,,1.1,,,,,
2016-01-22,-6.5,0.5,-14.2,0.0,,,,,1.4,,,,,
2016-01-23,-4.3,1.0,-13.7,0.0,,,,,3.9,,,,,
2016-01-24,-4.7,-0.2,-10.3,0.0,,,,,4.9,,,,,
2016-01-25,-6.8,0.6,-12.8,0.0,,,,,2.6,,,,,
2016-01-26,-7.4,0.0,-16.9,0.0,,,,,1.6,,,,,
2016-01-27,-1.2,5.7,-8.4,0.0,,,,,2.4,,,,,
2016-01-28,-2.9,5.1,-11.8,0.0,,,,,1.3,,,,,
2016-01-29,0.3,1.2,-1.1,32.5,,,,,0.7,,,,,
2016-01-30,0.2,1.7,-1.5,8.0,,,,,2.8,,,,,
2016-01-31,-1.0,3.2,-5.8,0.0,,,,,1.4,,,,,
2016-02-01,-1.3,0.6,-3.3,0.0,,,,,3.1,,,,,
2016-02-02,-1.9,1.6,-4.3,0.0,,,,,2.3,,,,,
2016-02-03,-3.8,1.7,-10.9,0.0,,,,,1.7,,,,,
2016-02-04,-2.5,5.8,-12.3,0.0,,,,,3.1,,,,,
2016-02-05,-1.8,4.1,-8.8,0.0,,,,,1.4,,,,,
2016-02-06,-1.3,4.8,-7.1,0.0,,,,,2.6,,,,,
2016-02-07,-2.5,1.3,-7.7,0.0,,,,,3.1,,,,,
2016-02-08,-3.7,5.0,-12.6,0.0,,,,,2.8,,,,,
2016-02-09,0.2,3.1,-2.2,0.0,,,,,5.7,,,,,
2016-02-10,-2.5,1.8,-9.7,0.5,,,,,2.2,,,,,
2016-02-11,-4.0,3.7,-12.2,0.0,,,,,1.5,,,,,
2016-02-12,2.1,9.2,-7.6,0.0,,,,,4.2,,,,,
