calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.6,5.6,-3.0,0.5,7.3,,1,,1.5,4.7,953.5,75,1028.4,
2016-01-02,3.5,10.1,-4.7,,8.1,,,,2.9,4.5,949.3,61,1023.1,
2016-01-03,7.9,15.5,1.4,,8.9,,,,2.3,5.0,944.8,49,1016.9,
2016-01-04,6.2,15.9,-2.2,,8.6,,,,2.5,4.6,942.8,55,1015.4,
2016-01-05,4.7,12.5,-1.3,,7.1,,,,2.1,4.8,945.3,59,1018.4,
2016-01-06,3.1,6.9,0.5,,0.6,,,,1.2,5.4,944.7,72,1018.3,
2016-01-07,0.6,4.9,-1.9,0.5,1.4,,,,1.6,5.2,941.8,81,1015.9,
2016-01-08,0.6,7.7,-4.8,,3.9,,,,2.7,4.3,941.0,71,1015.0,
2016-01-09,0.7,6.1,-2.4,0.0,6.0,,,,1.4,4.7,944.9,74,1019.1,
2016-01-10,2.9,9.0,-3.6,,8.5,,,,2.9,3.9,944.8,54,1018.4,
2016-01-11,-0.2,4.5,-3.1,0.0,4.5,,,,1.7,4.3,945.4,72,1020.0,
2016-01-12,-0.7,2.8,-4.5,,3.7,,,,2.0,3.7,942.6,65,1017.1,
2016-01-13,0.0,7.0,-7.5,,8.0,,,,3.2,3.2,939.9,57,1014.0,
2016-01-14,2.6,6.5,-0.2,,5.9,,,,4.3,3.6,939.7,49,1013.0,
2016-01-15,1.5,6.7,-3.3,,7.8,,,,3.0,3.7,942.8,55,1016.6,
2016-01-16,-0.8,6.9,-6.3,,9.3,,,,2.1,3.7,946.0,67,1020.8,
2016-01-17,-0.9,3.4,-5.9,0.0,3.8,,1,1,1.2,3.9,947.9,69,1022.8,
2016-01-18,-0.2,2.8,-1.6,42.5,1.2,,33,32,1.0,5.5,928.7,92,1001.9,
2016-01-19,-1.9,2.0,-4.5,0.0,2.2,,28,,5.6,3.2,929.5,60,1003.3,
2016-01-20,-2.7,0.8,-5.7,2.5,0.8,,29,5,3.4,3.7,938.1,74,1012.8,
2016-01-21,-5.2,-0.9,-10.6,,6.4,,26,,1.2,3.3,945.7,78,1021.7,
2016-01-22,-4.1,1.9,-8.5,,9.3,,24,,1.5,3.3,947.8,74,1023.7,
2016-01-23,-2.7,2.0,-8.4,0.0,0.1,,22,,3.3,3.6,943.4,72,1018.6,
2016-01-24,-3.8,-0.3,-7.9,0.0,3.7,,21,1,4.4,2.5,933.5,54,1008.2,
2016-01-25,-4.8,1.1,-8.9,,9.2,,19,,1.7,2.1,943.9,51,1019.7,
2016-01-26,-5.2,2.1,-12.0,,9.5,,18,,1.5,2.7,949.6,66,1026.0,
2016-01-27,-0.4,7.8,-8.2,,9.5,,18,,1.5,3.5,951.0,61,1026.1,
2016-01-28,-1.2,5.9,-8.2,,8.4,,16,,1.3,3.9,953.5,71,1029.0,
2016-01-29,0.6,1.6,-0.4,29.5,0.0,,16,3,0.6,6.0,949.4,93,1024.0,
2016-01-30,0.7,2.7,-0.7,8.0,0.1,,16,3,1.8,5.3,946.7,83,1021.0,
2016-01-31,-0.3,4.2,-4.7,,8.1,,12,,1.4,4.6,948.0,78,1022.8,
2016-02-01,-0.6,1.7,-2.3,0.0,0.0,,12,1,2.3,4.2,947.3,73,1022.2,
2016-02-02,-1.2,3.0,-3.8,,6.0,,11,,1.9,3.8,946.1,68,1021.0,
2016-02-03,-2.5,3.0,-7.2,,9.4,,10,,1.8,3.3,948.7,66,1024.1,
2016-02-04,-1.2,6.2,-8.4,,9.4,,10,,2.0,3.3,946.5,62,1021.4,
2016-02-05,-0.4,5.7,-5.8,,8.4,,9,,1.5,4.0,943.6,70,1018.0,
2016-02-06,-0.4,6.0,-5.2,,6.8,,9,,2.0,3.9,940.4,69,1014.6,
2016-02-07,-1.6,3.0,-5.8,,9.2,,9,,2.9,3.2,943.7,61,1018.5,
2016-02-08,-1.8,5.1,-8.4,,9.8,,8,,2.0,2.9,943.8,57,1018.7,
2016-02-09,1.2,4.7,-1.8,0.5,0.9,,11,3,3.9,4.6,938.1,69,1011.7,
2016-02-10,-1.2,3.7,-4.7,0.0,8.4,,11,1,2.1,3.5,948.1,65,1023.1,
2016-02-11,-1.7,5.5,-7.9,,9.9,,9,,1.4,3.6,957.1,67,1033.0,
2016-02-12,4.2,12.7,-5.8,,7.5,,8,,3.4,5.9,955.9,70,1030.0,
2016-02-13,11.5,13.6,7.8,0.5,0.1,,,,5.6,9.3,946.9,68,1018.2,
2016-02-14,13.7,20.1,7.0,22.5,1.8,,,,4.4,11.1,930.2,72,999.7,
2016-02-15,1.0,7.8,-3.3,0.0,1.8,,,,3.5,4.6,933.5,68,1006.8,
2016-02-16,0.0,5.2,-4.8,,8.0,,,,3.9,3.1,938.6,53,1012.6,
2016-02-17,0.1,4.4,-3.0,0.0,1.6,,,,3.9,3.8,942.9,63,1017.2,
2016-02-18,1.9,9.8,-5.7,,9.7,,,,3.3,3.1,950.3,48,1024.7,
2016-02-19,7.1,12.1,0.7,,9.6,,,,4.0,3.4,952.5,35,1025.5,
2016-02-20,2.8,6.4,0.9,23.0,0.0,,,,1.2,5.6,947.0,76,1020.8,
2016-02-21,3.5,9.6,-1.2,0.0,7.7,,,,2.0,4.7,944.3,63,1017.7,
2016-02-22,1.9,8.7,-2.6,,7.7,,,,1.7,4.3,954.6,62,1029.3,
2016-02-23,4.3,11.6,-0.9,,5.5,,,,1.8,5.1,947.9,64,1021.3,
2016-02-24,0.7,5.0,-2.5,0.0,8.9,,,,4.0,3.6,949.5,56,1024.1,
2016-02-25,0.1,5.6,-5.2,,10.1,,,,2.2,2.6,951.5,46,1026.4,
2016-02-26,0.4,6.9,-5.0,,9.2,,,,2.4,3.2,950.9,52,1025.7,
2016-02-27,2.1,10.2,-5.1,0.0,5.8,,,,3.6,4.0,951.1,57,1025.4,
2016-02-28,7.2,14.5,-0.5,,9.9,,,,3.1,3.8,950.1,41,1022.9,
2016-02-29,5.1,11.8,-1.9,3.0,0.6,,1,1,4.8,5.9,937.8,67,1010.2,
2016-03-01,-1.7,2.9,-4.6,0.0,8.9,,1,,2.7,2.9,944.0,54,1018.8,
2016-03-02,-0.1,7.9,-7.2,,10.4,,,,1.7,3.0,947.9,52,1022.6,
2016-03-03,6.9,15.1,-0.4,,10.6,,,,3.1,3.6,949.5,38,1022.4,
2016-03-04,5.8,16.5,-2.4,,10.4,,,,1.8,4.5,955.7,55,1029.3,
2016-03-05,8.4,17.0,0.0,,6.1,,,,2.9,6.4,957.0,60,1030.0,
2016-03-06,13.7,18.1,10.1,0.0,3.0,,,,5.9,8.3,951.8,53,1022.9,
2016-03-07,13.1,16.1,9.2,,0.5,,,,2.3,10.3,946.0,68,1016.8,
2016-03-08,12.0,22.5,5.0,,8.7,,,,2.7,7.9,943.1,62,1014.0,
2016-03-09,2.7,8.2,-0.2,21.0,0.0,,1,1,1.6,6.6,944.0,89,1017.6,
2016-03-10,0.5,3.4,-0.9,1.5,0.1,,,,2.7,5.0,945.2,80,1019.5,
2016-03-11,1.0,5.6,-1.2,0.0,4.1,,,,2.3,4.5,945.0,69,1019.2,
2016-03-12,1.6,7.2,-2.0,0.0,5.6,,,,2.2,4.6,948.5,68,1022.7,
2016-03-13,4.0,11.5,-2.1,0.0,5.6,,,,1.8,4.4,949.4,59,1023.1,
2016-03-14,0.8,2.5,0.2,18.0,0.0,,1,1,1.5,5.9,942.5,91,1016.6,
2016-03-15,1.5,6.1,-2.0,0.0,8.1,,,,2.6,4.8,944.7,72,1018.7,
2016-03-16,5.0,13.6,-3.6,,9.0,,,,3.1,4.8,949.5,58,1022.9,
2016-03-17,9.0,18.7,0.4,,10.8,,,,1.9,4.6,949.8,44,1022.1,
2016-03-18,10.8,18.0,2.1,0.0,6.1,,,,4.3,6.5,946.3,54,1017.8,
2016-03-19,12.5,17.4,8.2,2.5,1.2,,,,4.7,10.4,937.0,71,1007.3,
2016-03-20,6.4,10.5,3.4,,2.5,,,,3.8,6.0,941.9,63,1014.3,
2016-03-21,3.9,9.7,-0.6,,7.0,,,,3.6,4.4,945.8,55,1019.2,
2016-03-22,7.0,17.3,-2.9,,11.0,,,,3.3,3.4,943.0,42,1015.3,
2016-03-23,5.6,9.4,1.0,0.0,1.2,,,,3.2,5.3,942.5,60,1015.2,
2016-03-24,2.5,8.3,-0.8,0.0,3.7,,,,2.9,4.8,943.5,67,1017.1,
2016-03-25,1.4,7.2,-2.9,,9.2,,,,3.2,3.8,946.0,59,1020.1,
2016-03-26,3.9,11.8,-0.2,,9.4,,,,2.6,3.7,946.8,47,1020.3,
2016-03-27,6.2,16.0,-2.0,,9.4,,,,2.3,4.3,945.5,53,1018.2,
2016-03-28,7.3,15.1,1.6,,9.2,,,,2.5,5.4,946.8,56,1019.2,
2016-03-29,9.4,19.0,0.3,,9.9,,,,3.4,4.3,949.7,43,1021.8,
2016-03-30,12.5,19.6,7.9,0.0,9.7,,,,5.1,5.0,946.5,35,1017.5,
2016-03-31,10.3,18.7,2.0,,10.2,,,,2.2,3.9,946.6,35,1018.3,
2016-04-01,11.0,19.3,3.2,,6.9,,,,2.2,6.2,947.0,49,1018.5,
2016-04-02,12.9,21.8,5.3,,7.6,,,,3.0,8.3,950.5,58,1021.7,
2016-04-03,15.1,19.5,12.7,0.0,1.7,,,,6.1,9.8,949.3,58,1019.8,
2016-04-04,12.0,19.2,7.9,16.5,1.5,,,,3.1,10.8,938.0,77,1008.5,
2016-04-05,10.8,19.3,6.1,,5.1,,,,2.1,8.0,941.3,65,1012.4,
