calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.2,10.4,-3.2,0.0,7.6,,,,0.8,,,,,
2016-01-02,2.9,11.7,-4.0,0.0,7.3,,,,1.0,,,,,
2016-01-03,4.9,16.6,-1.2,0.0,5.8,,,,0.7,,,,,
2016-01-04,5.6,17.2,-1.7,0.0,7.3,,,,1.4,,,,,
2016-01-05,6.0,14.5,-0.5,0.0,4.9,,,,1.2,,,,,
2016-01-06,6.0,11.9,2.0,0.0,0.6,,,,0.7,,,,,
2016-01-07,4.2,11.6,-0.4,0.0,7.3,,,,1.3,,,,,
2016-01-08,2.4,9.0,-2.7,0.0,4.8,,,,0.9,,,,,
2016-01-09,3.2,11.4,-1.6,0.0,7.6,,,,1.0,,,,,
2016-01-10,3.5,10.4,-2.1,0.0,6.6,,,,1.7,,,,,
2016-01-11,3.3,11.6,-2.6,0.0,6.9,,,,1.1,,,,,
2016-01-12,2.0,6.3,-2.1,0.0,0.1,,,,1.0,,,,,
2016-01-13,1.2,8.7,-4.5,0.0,7.0,,,,1.1,,,,,
2016-01-14,2.5,8.4,-1.9,0.0,3.9,,,,1.2,,,,,
2016-01-15,2.2,10.3,-2.6,0.0,7.7,,,,1.0,,,,,
2016-01-16,1.1,10.7,-4.4,0.0,7.8,,,,0.9,,,,,
2016-01-17,0.8,7.5,-5.0,0.0,3.9,,,,0.8,,,,,
2016-01-18,2.7,4.8,0.5,29.5,0.0,,,,0.9,,,,,
2016-01-19,0.3,3.6,-2.1,0.5,3.6,,,,3.6,,,,,
2016-01-20,-0.7,5.6,-3.8,0.0,3.0,,,,1.1,,,,,
2016-01-21,0.0,7.3,-5.6,0.0,5.7,,,,1.0,,,,,
2016-01-22,0.9,8.7,-3.0,0.0,7.9,,,,1.0,,,,,
2016-01-23,-1.6,0.4,-4.2,4.5,0.0,,,,0.2,,,,,
2016-01-24,-3.1,-1.4,-7.8,0.0,1.9,,,,1.6,,,,,
2016-01-25,-3.4,4.2,-9.9,0.0,8.1,,,,1.0,,,,,
2016-01-26,-1.8,7.9,-8.2,0.0,8.1,,,,0.9,,,,,
2016-01-27,1.4,10.5,-4.4,0.0,7.1,,,,1.3,,,,,
2016-01-28,2.5,14.1,-4.6,0.0,6.3,,,,0.9,,,,,
2016-01-29,3.0,3.7,1.8,55.0,0.0,,,,0.4,,,,,
2016-01-30,3.8,5.3,2.5,8.5,0.0,,,,0.6,,,,,
2016-01-31,4.1,10.9,1.2,0.0,6.4,,,,0.9,,,,,
2016-02-01,3.4,7.8,1.2,0.0,0.0,,,,1.0,,,,,
2016-02-02,2.7,10.2,-2.4,0.0,7.3,,,,1.5,,,,,
2016-02-03,0.4,9.2,-4.7,0.0,8.3,,,,0.9,,,,,
2016-02-04,1.0,9.7,-5.3,0.0,8.2,,,,1.2,,,,,
2016-02-05,4.4,13.2,-0.8,0.0,7.4,,,,1.2,,,,,
2016-02-06,2.2,9.8,-2.4,0.0,2.0,,,,1.0,,,,,
2016-02-07,0.8,8.9,-4.2,0.0,8.5,,,,0.9,,,,,
2016-02-08,0.3,9.8,-6.2,0.0,8.5,,,,1.0,,,,,
2016-02-09,0.5,3.3,-2.3,1.5,0.0,,,,0.8,,,,,
2016-02-10,0.7,7.5,-3.4,0.0,8.5,,,,1.3,,,,,
2016-02-11,1.2,11.8,-5.5,0.0,8.6,,,,0.8,,,,,
2016-02-12,3.8,10.1,-2.7,0.0,0.0,,,,0.6,,,,,
2016-02-13,7.7,11.2,2.5,29.0,0.0,,,,0.8,,,,,
2016-02-14,12.5,16.3,9.3,40.5,0.2,,,,1.2,,,,,
2016-02-15,6.2,11.7,-1.5,0.5,4.9,,,,1.8,,,,,
2016-02-16,0.9,6.8,-3.4,0.0,6.3,,,,1.1,,,,,
2016-02-17,1.4,6.1,-2.4,0.0,2.1,,,,1.1,,,,,
2016-02-18,1.7,11.3,-4.6,0.0,8.7,,,,1.2,,,,,
2016-02-19,5.3,14.0,-1.5,0.0,8.5,,,,1.2,,,,,
2016-02-20,3.7,9.7,1.5,49.0,0.0,,,,0.9,,,,,
2016-02-21,6.1,11.0,-0.5,0.0,7.1,,,,1.6,,,,,
2016-02-22,4.1,10.4,-1.5,0.0,5.5,,,,1.3,,,,,
2016-02-23,7.0,14.0,1.1,0.0,4.3,,,,1.6,,,,,
2016-02-24,4.9,11.4,-0.8,0.0,8.0,,,,2.2,,,,,
2016-02-25,1.6,8.7,-3.9,0.0,8.8,,,,1.2,,,,,
2016-02-26,1.4,9.0,-3.9,0.0,5.6,,,,1.2,,,,,
2016-02-27,3.5,10.6,-4.0,0.0,4.6,,,,1.2,,,,,
2016-02-28,6.9,15.8,-0.6,0.0,8.5,,,,1.5,,,,,
2016-02-29,5.4,14.8,0.6,1.5,1.7,,,,1.3,,,,,
2016-03-01,1.6,7.3,-2.7,0.0,8.8,,,,2.0,,,,,
