calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.3,6.2,-2.4,1.5,7.7,11.47,3,2,1.6,5.5,976.6,83,1028.6,4.8
2016-01-02,2.0,9.4,-3.1,0.0,6.1,9.34,,,1.3,5.0,971.8,73,1023.4,7.3
2016-01-03,4.5,12.1,-1.7,0.0,8.7,10.87,,,1.4,6.3,967.6,76,1018.5,3.3
2016-01-04,4.8,11.6,-1.5,,7.7,10.83,,,1.6,6.6,965.4,78,1016.2,3.5
2016-01-05,4.5,9.3,0.0,0.0,6.3,8.94,,,2.0,6.5,968.1,78,1019.1,4.5
2016-01-06,3.4,6.6,0.2,0.0,0.6,5.98,,,1.7,6.1,967.7,79,1018.8,10.0
2016-01-07,1.5,3.7,-1.5,0.0,0.0,3.85,,,2.3,6.0,964.7,89,1016.1,9.3
2016-01-08,0.1,4.7,-2.7,0.0,2.7,6.91,,,1.2,5.5,964.1,90,1015.7,5.0
2016-01-09,1.0,5.3,-2.0,0.0,3.9,7.14,1,1,1.7,5.3,968.0,82,1019.6,5.0
2016-01-10,1.2,8.1,-4.1,,6.1,8.95,,,1.6,4.9,967.6,76,1019.2,4.3
2016-01-11,0.5,3.9,-1.8,0.0,3.1,7.37,0,,3.0,4.9,968.7,78,1020.5,9.5
2016-01-12,-0.9,2.5,-3.3,0.0,3.1,7.80,,,2.1,4.5,965.9,79,1017.8,7.5
2016-01-13,-0.6,6.1,-6.2,,7.1,10.87,,,1.0,3.9,962.4,70,1014.1,3.5
2016-01-14,0.1,6.6,-3.0,0.0,5.2,9.34,,,1.9,4.7,962.7,76,1014.2,6.5
2016-01-15,-0.5,4.0,-4.6,0.0,7.2,11.21,,,1.8,4.4,966.2,76,1018.0,3.8
2016-01-16,-1.0,6.3,-5.0,0.0,6.2,10.84,,,2.2,4.4,969.5,78,1021.6,3.5
2016-01-17,-0.4,3.6,-5.0,0.0,2.5,7.27,1,1,1.5,4.5,970.9,77,1023.0,5.5
2016-01-18,1.2,3.0,0.4,13.5,0.0,2.00,7,7,4.5,6.3,950.3,94,1000.9,10.0
2016-01-19,-0.2,1.7,-2.1,0.0,1.2,4.76,3,,3.4,3.7,951.0,61,1001.9,9.0
2016-01-20,-2.2,0.4,-4.4,16.5,0.0,2.92,26,27,2.3,4.9,960.7,93,1012.5,10.0
2016-01-21,-1.6,2.2,-5.6,0.0,4.2,10.96,25,,1.4,4.5,968.6,84,1020.8,9.0
2016-01-22,-2.4,1.7,-6.6,0.0,6.0,10.29,16,,1.8,4.1,971.0,80,1023.4,6.8
2016-01-23,-2.0,3.1,-5.5,0.0,2.0,8.26,13,,1.3,4.0,966.1,77,1018.2,10.0
2016-01-24,-3.9,0.7,-7.7,0.5,3.1,8.00,13,2,3.0,3.4,955.6,75,1007.6,7.8
2016-01-25,-4.4,0.5,-9.0,0.0,7.9,13.49,13,,1.7,3.1,967.2,71,1019.9,5.3
2016-01-26,-3.5,3.8,-10.0,,9.2,13.99,12,,1.3,3.2,972.4,70,1025.2,0.0
2016-01-27,-0.9,6.5,-7.1,,9.3,13.64,12,,1.4,4.2,974.2,73,1026.6,1.8
2016-01-28,0.5,6.9,-5.4,,9.1,13.48,11,,1.2,4.9,976.4,78,1028.6,3.5
2016-01-29,0.6,3.1,-0.6,17.0,0.0,1.70,17,10,1.1,6.1,972.4,95,1024.4,10.0
2016-01-30,0.1,3.1,-2.7,4.0,0.3,7.58,22,5,2.0,5.4,970.1,88,1022.0,9.8
2016-01-31,0.1,5.3,-4.2,0.0,6.1,12.98,17,,1.1,5.0,971.0,82,1023.0,6.8
2016-02-01,-0.6,1.7,-3.1,0.0,0.7,6.96,13,1,3.2,4.7,970.9,80,1023.0,10.0
2016-02-02,-1.7,1.9,-3.9,0.0,2.6,10.50,13,1,1.9,4.6,969.6,84,1021.8,8.0
2016-02-03,-2.1,3.5,-6.7,,7.7,14.25,12,,1.9,3.8,971.8,74,1024.3,3.5
2016-02-04,-0.9,6.0,-7.1,,8.9,14.75,11,,1.6,3.7,969.2,67,1021.3,4.0
2016-02-05,1.1,6.7,-2.5,0.0,7.4,13.68,11,,1.6,5.0,966.5,76,1018.0,7.0
2016-02-06,1.1,6.3,-1.4,0.0,7.7,14.79,9,,2.7,4.9,963.5,76,1014.9,6.8
2016-02-07,-1.7,1.1,-4.8,0.0,4.5,10.91,8,3,2.9,4.0,967.4,75,1019.5,7.8
2016-02-08,-1.8,4.6,-8.0,,9.6,15.68,7,,1.8,3.5,966.7,66,1018.8,0.0
2016-02-09,-0.9,2.2,-4.0,5.5,0.8,4.05,16,9,1.4,5.0,960.7,86,1012.4,9.0
2016-02-10,-1.0,2.4,-4.2,2.0,5.1,13.82,18,3,2.6,4.7,971.5,84,1023.7,7.5
2016-02-11,-0.3,6.0,-5.0,,5.3,12.88,9,,1.4,4.3,980.0,73,1032.5,2.8
2016-02-12,3.5,11.0,-4.5,,7.5,13.99,7,,1.2,5.4,978.0,71,1029.7,6.3
2016-02-13,8.7,15.0,2.0,0.0,3.0,9.62,,,2.9,8.5,968.5,76,1018.6,8.0
2016-02-14,10.1,15.0,5.7,14.0,1.2,7.23,,,3.0,11.1,951.9,89,1000.9,9.5
2016-02-15,0.5,6.1,-3.4,1.0,2.3,7.80,,,3.9,5.1,957.1,80,1008.2,9.0
2016-02-16,0.3,5.9,-4.8,0.0,7.0,13.72,,,1.6,3.9,961.1,65,1012.5,6.8
2016-02-17,-0.2,2.1,-1.7,1.0,0.4,5.83,2,2,2.4,5.1,966.1,84,1017.8,10.0
2016-02-18,1.2,8.9,-4.6,,9.9,16.34,,,2.0,4.1,973.2,64,1025.1,0.3
2016-02-19,4.3,13.5,-3.6,,9.8,16.75,,,1.8,4.2,974.8,56,1026.2,1.0
2016-02-20,4.5,7.6,2.1,12.5,0.0,3.39,,,2.5,6.5,968.8,77,1019.8,10.0
2016-02-21,3.9,8.3,-0.8,0.0,5.8,13.23,,,2.9,6.1,967.3,75,1018.3,6.3
2016-02-22,1.8,7.6,-1.2,0.0,6.3,14.25,,,2.5,4.8,978.0,70,1030.0,10.0
2016-02-23,4.5,11.1,-0.9,0.0,8.5,16.37,,,2.4,5.6,971.1,68,1022.2,6.8
2016-02-24,-0.1,3.1,-2.7,0.0,4.1,11.35,1,1,4.2,4.4,973.6,73,1025.8,8.3
