calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.8,4.0,-8.4,0.0,7.4,,,,1.6,,,,,
2016-01-02,0.3,5.6,-7.9,0.0,2.6,,,,2.3,,,,,
2016-01-03,1.8,10.8,-3.6,0.0,7.4,,,,1.8,,,,,
2016-01-04,2.0,10.2,-4.6,0.0,6.9,,,,2.2,,,,,
2016-01-05,1.9,8.2,-4.1,0.0,5.0,,,,1.8,,,,,
2016-01-06,1.2,6.8,-2.5,0.0,1.2,,,,1.5,,,,,
2016-01-07,-0.4,3.6,-3.2,0.0,2.0,,,,1.8,,,,,
2016-01-08,-0.7,1.0,-3.5,0.0,0.1,,,,1.8,,,,,
2016-01-09,-1.0,3.2,-4.4,0.0,7.2,,,,1.7,,,,,
2016-01-10,-0.4,4.1,-4.2,0.0,4.7,,,,1.9,,,,,
2016-01-11,0.0,3.9,-4.2,0.0,5.7,,,,1.6,,,,,
2016-01-12,-3.0,1.6,-5.9,0.0,1.5,,,,1.8,,,,,
2016-01-13,-3.3,0.8,-8.7,0.0,2.3,,,,2.4,,,,,
2016-01-14,-2.9,0.0,-5.9,0.5,0.9,,,,2.1,,,,,
2016-01-15,-3.2,1.9,-7.8,0.0,2.1,,,,1.6,,,,,
2016-01-16,-3.5,3.3,-8.5,0.0,7.3,,,,1.4,,,,,
2016-01-17,-4.4,1.2,-10.7,0.5,2.4,,,,1.3,,,,,
2016-01-18,-1.2,2.0,-3.6,33.5,0.0,,,,1.9,,,,,
2016-01-19,-6.5,-0.6,-8.9,3.5,0.0,,,,3.4,,,,,
2016-01-20,-5.9,-1.3,-9.2,9.0,1.1,,,,2.1,,,,,
2016-01-21,-4.9,-0.6,-9.7,0.0,5.1,,,,1.9,,,,,
2016-01-22,-8.3,-0.5,-14.3,0.0,6.0,,,,1.6,,,,,
2016-01-23,-6.7,-2.1,-14.8,0.0,0.0,,,,1.8,,,,,
2016-01-24,-8.8,-4.0,-12.9,1.0,0.0,,,,2.4,,,,,
2016-01-25,-9.2,-3.6,-14.4,0.0,2.2,,,,1.7,,,,,
2016-01-26,-7.1,2.4,-16.3,0.0,8.2,,,,1.9,,,,,
2016-01-27,-3.6,4.2,-9.6,0.0,8.2,,,,2.2,,,,,
2016-01-28,-2.2,6.5,-10.8,0.0,5.3,,,,1.7,,,,,
2016-01-29,-0.4,0.0,-1.6,65.5,0.0,,,,,,,,,
2016-01-30,-1.7,0.0,-3.2,10.5,0.0,,,,0.0,,,,,
2016-01-31,-2.6,2.7,-8.6,0.0,8.1,,,,,,,,,
2016-02-01,-3.5,-1.2,-5.5,0.0,1.2,,,,1.7,,,,,
2016-02-02,-5.8,1.2,-12.4,0.0,7.2,,,,1.4,,,,,
2016-02-03,-9.0,-1.4,-15.9,0.0,8.5,,,,1.4,,,,,
