calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.5,6.1,-6.1,0.0,6.2,,,,0.9,,,,,
2016-01-02,-0.9,7.5,-6.6,0.0,3.7,,,,0.7,,,,,
2016-01-03,1.5,12.5,-3.5,0.0,6.1,,,,0.9,,,,,
2016-01-04,2.4,11.5,-3.9,0.0,6.1,,,,1.2,,,,,
2016-01-05,1.0,8.9,-4.7,0.0,5.7,,,,1.1,,,,,
2016-01-06,2.6,8.0,-2.3,0.0,0.1,,,,0.8,,,,,
2016-01-07,-0.2,5.5,-4.2,0.0,4.3,,,,1.3,,,,,
2016-01-08,-0.5,3.7,-5.5,0.0,4.3,,,,1.1,,,,,
2016-01-09,-0.5,5.6,-5.0,0.0,6.3,,,,1.0,,,,,
2016-01-10,-1.1,4.8,-5.2,0.0,4.4,,,,1.1,,,,,
2016-01-11,-0.7,6.3,-5.5,0.0,5.5,,,,0.8,,,,,
2016-01-12,-1.6,2.8,-6.5,0.0,0.0,,,,0.5,,,,,
2016-01-13,-2.4,3.8,-8.4,0.0,5.0,,,,1.0,,,,,
2016-01-14,-1.6,1.8,-5.7,0.0,3.1,,,,1.2,,,,,
2016-01-15,-1.9,4.9,-5.8,0.0,6.1,,,,0.9,,,,,
2016-01-16,-2.3,5.5,-7.9,0.0,6.4,,,,1.1,,,,,
2016-01-17,-1.9,5.1,-8.0,1.0,3.4,,,,0.5,,,,,
2016-01-18,0.8,3.4,-1.7,28.5,0.0,,,,,,,,,
2016-01-19,-5.1,0.3,-7.7,2.0,1.8,,,,2.4,,,,,
2016-01-20,-4.5,0.4,-9.2,3.0,5.7,,,,2.1,,,,,
2016-01-21,-3.8,2.6,-10.2,0.0,6.0,,,,1.3,,,,,
2016-01-22,-4.0,2.5,-9.0,0.0,6.4,,,,1.1,,,,,
