calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.3,3.1,-4.6,1.5,6.7,,1,1,1.8,,,,,
2016-01-02,2.0,8.5,-5.3,0.0,4.4,,1,0,1.7,,,,,
2016-01-03,5.2,12.9,-0.1,0.0,8.5,,0,0,2.0,,,,,
2016-01-04,5.1,12.0,-0.8,0.0,7.5,,0,0,3.6,,,,,
2016-01-05,3.1,8.4,-0.1,0.0,4.5,,0,0,3.2,,,,,
2016-01-06,1.6,4.6,-0.5,0.0,1.0,,0,0,1.7,,,,,
2016-01-07,-0.5,1.3,-3.3,2.0,0.0,,0,0,2.0,,,,,
2016-01-08,-0.3,5.5,-5.6,0.0,6.3,,0,0,1.6,,,,,
2016-01-09,-0.7,3.4,-3.1,0.0,4.9,,0,0,2.1,,,,,
2016-01-10,0.4,5.1,-3.1,0.0,5.2,,0,0,2.6,,,,,
2016-01-11,-1.6,0.6,-3.5,1.5,1.1,,0,0,1.7,,,,,
2016-01-12,-2.7,0.3,-5.5,0.0,2.2,,0,0,1.9,,,,,
2016-01-13,-2.1,4.5,-8.1,0.0,6.5,,0,0,1.3,,,,,
2016-01-14,-0.9,2.6,-2.7,0.0,3.2,,0,0,2.1,,,,,
2016-01-15,-1.7,1.0,-5.0,0.0,5.7,,1,1,2.6,,,,,
2016-01-16,-1.3,4.1,-4.4,0.0,7.2,,1,0,2.3,,,,,
2016-01-17,-2.0,2.2,-6.9,0.5,3.6,,1,1,1.0,,,,,
2016-01-18,-0.6,2.2,-2.4,36.0,0.0,,28,27,2.1,,,,,
2016-01-19,-3.6,-0.3,-6.0,0.0,0.0,,23,1,,,,,,
2016-01-20,-4.9,-2.1,-7.2,18.5,0.0,,46,28,1.9,,,,,
2016-01-21,-4.9,-0.2,-11.4,0.0,6.6,,42,0,1.4,,,,,
2016-01-22,-6.2,-0.7,-11.6,0.0,3.4,,31,1,1.8,,,,,
2016-01-23,-5.5,-1.2,-11.4,0.0,0.0,,28,1,1.0,,,,,
2016-01-24,-6.1,-2.3,-10.0,1.5,0.3,,30,5,2.5,,,,,
2016-01-25,-7.5,-2.2,-11.9,1.0,3.6,,31,2,1.6,,,,,
2016-01-26,-7.8,1.3,-15.8,0.0,9.0,,29,0,1.1,,,,,
2016-01-27,-2.0,5.5,-8.2,0.0,9.1,,28,0,1.7,,,,,
2016-01-28,-1.4,6.0,-9.4,0.0,8.0,,25,1,1.3,,,,,
2016-01-29,0.0,1.4,-1.6,32.0,0.0,,38,19,0.6,,,,,
2016-01-30,-1.1,0.6,-4.4,7.0,0.3,,39,4,0.1,,,,,
2016-01-31,-2.1,2.7,-8.0,0.0,7.2,,34,2,,,,,,
2016-02-01,-3.2,-1.2,-7.8,0.0,0.1,,33,1,2.2,,,,,
2016-02-02,-4.6,-0.8,-10.2,0.0,2.3,,32,1,1.7,,,,,
2016-02-03,-6.1,0.3,-11.2,0.0,7.8,,30,0,2.5,,,,,
2016-02-04,-4.7,2.8,-12.9,0.0,6.5,,30,0,1.6,,,,,
2016-02-05,-2.3,3.3,-7.4,0.0,8.8,,29,0,1.9,,,,,
2016-02-06,-1.9,1.8,-7.1,0.0,6.5,,27,1,3.0,,,,,
2016-02-07,-4.7,-0.2,-9.2,0.0,7.0,,27,0,2.9,,,,,
2016-02-08,-5.9,3.8,-12.9,0.0,9.5,,26,0,1.4,,,,,
2016-02-09,-3.0,-1.0,-6.8,21.5,0.0,,59,34,,,,,,
2016-02-10,-4.7,-0.3,-10.5,4.0,4.1,,62,3,,,,,,
2016-02-11,-4.5,3.8,-11.1,0.0,8.7,,50,0,1.5,,,,,
2016-02-12,0.3,8.4,-8.6,0.0,7.7,,40,0,1.4,,,,,
2016-02-13,3.8,8.3,-1.4,0.5,0.2,,35,0,1.6,,,,,
2016-02-14,6.7,16.0,3.4,22.5,3.0,,26,0,3.3,,,,,
2016-02-15,-2.0,3.5,-5.5,0.0,3.6,,15,1,5.3,,,,,
2016-02-16,-2.9,1.8,-7.3,0.0,2.6,,13,0,1.8,,,,,
2016-02-17,-3.4,-1.5,-8.6,0.5,0.3,,16,4,3.0,,,,,
2016-02-18,-3.1,5.4,-11.2,0.0,10.0,,14,0,1.5,,,,,
2016-02-19,2.1,8.2,-6.1,0.0,8.8,,12,0,2.2,,,,,
2016-02-20,1.1,5.0,-0.2,18.5,0.0,,14,5,0.7,,,,,
2016-02-21,1.2,4.3,-2.7,0.0,8.4,,12,0,2.4,,,,,
2016-02-22,-1.1,4.7,-5.7,0.0,5.6,,9,1,1.8,,,,,
2016-02-23,2.1,5.9,-2.2,0.0,5.6,,7,0,2.9,,,,,
2016-02-24,-2.9,0.3,-5.3,0.0,6.0,,2,3,4.6,,,,,
2016-02-25,-2.9,1.0,-7.4,0.0,9.6,,3,1,2.5,,,,,
2016-02-26,-3.0,-1.5,-5.7,0.0,2.0,,1,1,2.5,,,,,
2016-02-27,-0.4,6.6,-8.3,0.0,6.7,,0,0,2.1,,,,,
2016-02-28,3.1,10.3,-2.2,0.0,9.6,,0,0,1.6,,,,,
2016-02-29,0.5,4.0,-5.3,8.0,0.0,,3,4,3.2,,,,,
2016-03-01,-5.0,-1.1,-8.7,4.5,7.5,,11,8,2.7,,,,,
2016-03-02,-2.7,3.8,-8.6,0.0,7.5,,3,1,1.8,,,,,
2016-03-03,2.0,9.6,-5.0,0.0,8.1,,1,0,2.7,,,,,
2016-03-04,2.6,12.9,-3.9,0.0,10.2,,0,0,1.6,,,,,
2016-03-05,4.4,14.0,-1.5,0.0,4.1,,0,0,1.4,,,,,
2016-03-06,9.0,16.6,1.4,0.0,6.5,,0,0,2.9,,,,,
2016-03-07,8.5,13.8,5.1,0.0,0.0,,0,0,1.8,,,,,
2016-03-08,8.7,19.4,2.2,0.0,8.7,,0,0,2.9,,,,,
2016-03-09,0.4,4.9,-1.9,10.5,0.0,,0,0,,,,,,
2016-03-10,-1.4,2.2,-2.8,2.5,0.7,,0,0,,,,,,
2016-03-11,-1.1,2.6,-3.1,0.0,2.3,,0,0,2.2,,,,,
2016-03-12,-1.1,4.3,-5.8,0.0,5.5,,1,1,2.0,,,,,
2016-03-13,1.7,6.8,-1.9,0.5,4.2,,0,0,2.0,,,,,
