calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.5,4.3,-6.4,0.0,8.3,,,,2.8,,,,,
2016-01-02,1.5,9.2,-8.4,0.0,7.8,,,,2.5,,,,,
2016-01-03,3.1,13.6,-4.0,0.0,8.2,,,,1.0,,,,,
2016-01-04,2.7,14.2,-3.8,0.0,6.4,,,,0.9,,,,,
2016-01-05,2.4,10.1,-4.3,0.0,6.8,,,,1.2,,,,,
2016-01-06,0.9,4.5,-2.7,0.0,1.1,,,,1.0,,,,,
2016-01-07,-0.6,3.3,-5.7,0.0,1.8,,,,2.0,,,,,
2016-01-08,-0.4,7.7,-7.0,0.0,5.7,,,,1.8,,,,,
2016-01-09,-0.9,5.4,-6.6,0.0,6.6,,,,1.7,,,,,
2016-01-10,-0.5,8.7,-8.6,0.0,8.2,,,,1.6,,,,,
2016-01-11,-1.3,3.6,-6.2,0.0,7.1,,,,2.1,,,,,
2016-01-12,-3.6,1.5,-9.5,0.0,1.3,,,,1.6,,,,,
2016-01-13,-2.7,5.9,-11.4,0.0,8.0,,,,1.6,,,,,
2016-01-14,0.6,6.8,-5.6,0.0,6.8,,,,2.6,,,,,
2016-01-15,-1.9,4.5,-8.6,0.0,6.9,,,,1.9,,,,,
2016-01-16,-3.7,5.0,-10.2,0.0,8.5,,,,1.3,,,,,
2016-01-17,-2.9,2.3,-9.6,1.5,3.3,,,,0.8,,,,,
2016-01-18,-1.0,2.3,-5.7,20.5,0.1,,,,1.9,,,,,
2016-01-19,-3.1,0.0,-7.1,0.0,7.5,,,,3.7,,,,,
2016-01-20,-3.7,-0.3,-8.2,1.5,0.9,,,,3.8,,,,,
2016-01-21,-5.1,0.3,-13.8,0.0,6.4,,,,1.7,,,,,
2016-01-22,-5.9,0.6,-15.3,0.0,7.7,,,,1.6,,,,,
2016-01-23,-4.0,1.8,-9.5,0.0,1.6,,,,1.3,,,,,
2016-01-24,-4.9,-0.4,-9.6,0.0,7.7,,,,3.7,,,,,
2016-01-25,-7.3,-0.9,-15.0,0.0,8.5,,,,2.0,,,,,
2016-01-26,-7.6,3.1,-18.1,0.0,8.8,,,,0.8,,,,,
2016-01-27,-4.3,5.6,-14.1,0.0,8.8,,,,0.8,,,,,
2016-01-28,-3.1,6.5,-12.4,0.0,8.6,,,,0.7,,,,,
2016-01-29,0.7,2.2,-1.2,34.5,0.0,,,,0.7,,,,,
2016-01-30,-0.4,1.7,-3.3,5.5,0.0,,,,0.9,,,,,
2016-01-31,-1.0,3.7,-6.8,0.0,8.7,,,,2.4,,,,,
2016-02-01,-2.2,-0.1,-7.1,0.0,0.0,,,,2.4,,,,,
2016-02-02,-3.4,1.1,-9.0,0.0,7.2,,,,2.6,,,,,
2016-02-03,-4.6,1.4,-11.7,0.0,8.8,,,,1.6,,,,,
2016-02-04,-3.4,5.4,-11.3,0.0,8.4,,,,1.4,,,,,
2016-02-05,-2.4,4.7,-9.4,0.0,8.7,,,,1.0,,,,,
2016-02-06,-1.3,4.7,-6.1,0.0,4.5,,,,1.5,,,,,
2016-02-07,-3.9,0.5,-9.9,0.0,7.9,,,,2.8,,,,,
2016-02-08,-3.7,5.3,-12.2,0.0,8.7,,,,1.3,,,,,
2016-02-09,-0.6,3.4,-6.7,0.0,4.0,,,,2.1,,,,,
2016-02-10,-2.9,0.9,-8.6,0.0,8.9,,,,2.7,,,,,
2016-02-11,-1.4,4.9,-7.2,0.0,9.6,,,,3.1,,,,,
2016-02-12,1.8,12.4,-8.7,0.0,7.5,,,,1.3,,,,,
2016-02-13,6.8,14.6,0.3,0.0,3.1,,,,1.3,,,,,
2016-02-14,11.0,19.0,5.2,27.5,3.5,,,,2.3,,,,,
2016-02-15,-0.4,8.7,-4.7,0.0,1.3,,,,3.8,,,,,
2016-02-16,-1.5,4.8,-7.7,0.0,8.8,,,,3.0,,,,,
2016-02-17,-1.8,3.0,-6.7,0.5,3.9,,,,3.1,,,,,
2016-02-18,-1.0,8.9,-10.4,0.0,9.9,,,,1.6,,,,,
2016-02-19,4.0,11.0,-4.2,0.0,9.7,,,,2.7,,,,,
2016-02-20,3.4,6.9,0.0,13.0,0.0,,,,1.1,,,,,
2016-02-21,2.8,6.8,-3.0,0.0,5.6,,,,2.8,,,,,
2016-02-22,1.5,7.6,-2.2,0.0,7.6,,,,2.2,,,,,
2016-02-23,2.6,9.7,-2.4,0.0,7.2,,,,1.1,,,,,
2016-02-24,-0.8,2.5,-3.9,0.0,6.7,,,,3.1,,,,,
2016-02-25,-2.8,3.2,-7.8,0.0,9.3,,,,1.8,,,,,
2016-02-26,-1.7,6.2,-8.5,0.0,7.6,,,,1.5,,,,,
2016-02-27,1.2,9.7,-7.6,0.0,9.9,,,,2.2,,,,,
2016-02-28,4.3,13.4,-2.5,0.0,8.4,,,,2.2,,,,,
2016-02-29,2.7,12.9,-3.2,3.0,2.7,,,,2.5,,,,,
2016-03-01,-4.0,-0.6,-7.7,0.0,6.9,,,,2.9,,,,,
2016-03-02,-2.6,5.6,-10.5,0.0,10.6,,,,1.3,,,,,
2016-03-03,2.8,12.1,-6.3,0.0,10.4,,,,1.9,,,,,
2016-03-04,3.4,14.5,-5.0,0.0,10.3,,,,1.1,,,,,
2016-03-05,5.3,15.1,-3.0,0.0,3.6,,,,1.5,,,,,
2016-03-06,11.0,18.7,2.3,0.0,5.7,,,,2.4,,,,,
2016-03-07,10.5,15.6,4.3,0.0,0.0,,,,1.0,,,,,
2016-03-08,9.5,20.0,1.6,0.0,5.2,,,,1.4,,,,,
2016-03-09,1.4,6.5,-1.7,21.0,0.0,,,,,,,,,
2016-03-10,-0.5,2.7,-2.0,2.0,2.6,,,,,,,,,
2016-03-11,-0.2,3.2,-2.3,0.0,0.5,,,,1.9,,,,,
2016-03-12,0.1,3.5,-2.4,0.0,0.9,,,,1.1,,,,,
2016-03-13,1.9,7.6,-1.1,0.0,4.6,,,,1.6,,,,,
2016-03-14,0.1,1.2,-1.2,15.5,0.0,,,,,,,,,
2016-03-15,-0.4,2.3,-6.9,0.0,3.1,,,,,,,,,
2016-03-16,1.6,9.8,-8.4,0.0,8.1,,,,1.3,,,,,
2016-03-17,7.1,17.6,-2.2,0.0,11.0,,,,1.4,,,,,
2016-03-18,9.2,17.2,0.3,0.0,5.8,,,,1.8,,,,,
2016-03-19,10.8,19.1,6.6,0.5,3.6,,,,2.2,,,,,
2016-03-20,5.1,9.5,1.6,0.0,6.9,,,,4.2,,,,,
2016-03-21,2.4,8.2,-3.9,0.0,6.7,,,,3.3,,,,,
2016-03-22,4.6,15.4,-6.0,0.0,11.4,,,,1.4,,,,,
2016-03-23,3.8,9.5,-1.4,0.0,2.6,,,,2.3,,,,,
2016-03-24,1.4,7.0,-3.5,1.0,9.3,,,,3.0,,,,,
2016-03-25,0.2,5.5,-5.1,0.0,9.8,,,,2.9,,,,,
2016-03-26,2.9,9.9,-2.0,0.0,9.1,,,,1.7,,,,,
2016-03-27,5.1,13.7,-2.8,0.0,7.0,,,,1.9,,,,,
2016-03-28,5.7,13.6,-0.8,1.0,3.9,,,,1.2,,,,,
2016-03-29,7.4,17.5,-2.0,0.0,9.4,,,,1.6,,,,,
2016-03-30,10.3,18.7,-0.4,0.0,9.9,,,,2.6,,,,,
2016-03-31,8.2,16.9,-2.7,0.0,10.8,,,,1.7,,,,,
2016-04-01,8.3,18.0,-1.5,0.0,7.0,,,,2.2,,,,,
2016-04-02,8.8,17.0,4.6,0.0,7.7,,,,2.5,,,,,
2016-04-03,12.6,19.5,3.0,0.0,4.4,,,,2.1,,,,,
2016-04-04,10.7,16.4,6.8,9.0,2.1,,,,1.7,,,,,
2016-04-05,7.6,13.7,1.7,0.0,4.9,,,,1.6,,,,,
2016-04-06,9.3,18.6,-0.4,0.0,9.4,,,,1.2,,,,,
2016-04-07,9.7,16.2,7.1,23.5,0.0,,,,1.5,,,,,
2016-04-08,10.1,14.9,2.2,0.0,6.4,,,,2.5,,,,,
2016-04-09,10.7,21.1,-0.2,0.0,10.6,,,,1.3,,,,,
2016-04-10,12.0,18.7,4.7,0.0,2.7,,,,1.3,,,,,
2016-04-11,3.3,7.5,-1.7,1.0,8.7,,,,3.5,,,,,
2016-04-12,5.0,14.9,-5.4,0.0,11.0,,,,1.9,,,,,
2016-04-13,10.1,16.2,4.6,3.5,1.7,,,,1.8,,,,,
2016-04-14,13.1,21.3,8.3,15.0,7.2,,,,1.7,,,,,
2016-04-15,8.2,13.5,0.0,0.0,12.2,,,,2.8,,,,,
2016-04-16,9.5,19.2,-1.6,0.0,11.0,,,,1.7,,,,,
2016-04-17,15.7,22.1,8.3,3.5,5.8,,,,2.7,,,,,
2016-04-18,11.8,19.1,5.0,0.0,4.9,,,,1.8,,,,,
2016-04-19,9.3,20.2,0.3,0.0,12.0,,,,2.1,,,,,
2016-04-20,9.7,19.3,-1.2,0.0,12.2,,,,2.1,,,,,
2016-04-21,10.9,17.5,5.1,7.0,1.4,,,,1.6,,,,,
2016-04-22,14.5,20.6,8.5,0.5,11.0,,,,2.0,,,,,
2016-04-23,15.9,24.7,9.3,0.0,8.5,,,,1.7,,,,,
2016-04-24,13.4,19.1,9.7,0.0,5.8,,,,1.6,,,,,
2016-04-25,14.0,21.6,8.7,0.0,5.9,,,,1.6,,,,,
2016-04-26,14.9,25.7,5.2,0.0,12.2,,,,1.3,,,,,
2016-04-27,14.2,22.5,7.5,2.0,8.9,,,,1.8,,,,,
2016-04-28,10.9,12.6,9.2,28.5,0.0,,,,2.0,,,,,
2016-04-29,8.2,12.3,4.2,0.0,9.9,,,,3.9,,,,,
2016-04-30,10.5,17.2,2.5,0.0,8.0,,,,2.4,,,,,
2016-05-01,14.2,23.2,5.8,0.0,7.2,,,,1.9,,,,,
2016-05-02,14.6,24.3,6.1,0.0,10.3,,,,1.4,,,,,
2016-05-03,15.6,21.3,9.5,0.0,5.2,,,,1.8,,,,,
2016-05-04,16.4,22.3,10.1,5.5,10.1,,,,3.1,,,,,
2016-05-05,14.9,21.4,6.8,0.0,11.4,,,,3.2,,,,,
2016-05-06,12.4,17.8,5.5,0.0,1.2,,,,1.5,,,,,
2016-05-07,17.3,26.3,9.1,0.0,9.9,,,,3.8,,,,,
2016-05-08,13.8,20.7,7.2,0.0,12.0,,,,2.5,,,,,
2016-05-09,13.9,18.1,9.5,3.5,0.1,,,,1.8,,,,,
2016-05-10,16.7,22.1,12.9,2.5,0.8,,,,1.2,,,,,
2016-05-11,16.9,22.5,12.2,8.5,1.3,,,,2.1,,,,,
2016-05-12,15.8,23.2,8.7,0.0,13.4,,,,2.1,,,,,
2016-05-13,18.1,27.1,9.9,0.0,12.4,,,,1.7,,,,,
2016-05-14,17.6,25.4,12.7,0.0,9.5,,,,1.6,,,,,
2016-05-15,16.4,24.6,10.6,0.0,12.8,,,,2.1,,,,,
2016-05-16,16.1,22.2,11.3,0.0,9.7,,,,2.3,,,,,
2016-05-17,11.8,16.4,5.8,16.0,2.5,,,,1.5,,,,,
2016-05-18,13.7,24.3,3.4,0.0,12.7,,,,1.5,,,,,
2016-05-19,16.1,25.0,7.4,0.0,11.4,,,,1.7,,,,,
2016-05-20,14.7,22.2,8.5,0.0,7.0,,,,1.6,,,,,
2016-05-21,15.3,25.0,6.4,0.0,13.3,,,,1.6,,,,,
2016-05-22,17.6,27.3,7.4,0.0,13.2,,,,1.3,,,,,
2016-05-23,18.9,28.9,10.3,0.0,12.0,,,,1.1,,,,,
2016-05-24,20.3,29.1,10.9,0.0,10.5,,,,1.5,,,,,
2016-05-25,18.7,22.2,14.5,0.0,0.2,,,,1.2,,,,,
2016-05-26,20.8,30.2,12.4,0.0,8.8,,,,1.7,,,,,
2016-05-27,17.2,22.3,11.4,0.0,3.7,,,,2.1,,,,,
2016-05-28,16.0,22.7,10.3,0.0,2.2,,,,0.9,,,,,
2016-05-29,18.6,26.6,11.0,0.0,5.5,,,,1.7,,,,,
2016-05-30,13.4,16.9,11.1,8.0,0.0,,,,1.6,,,,,
2016-05-31,18.2,27.3,11.3,0.0,10.5,,,,1.1,,,,,
2016-06-01,14.9,19.9,9.8,0.0,13.5,,,,3.0,,,,,
2016-06-02,12.2,18.4,6.3,0.0,11.8,,,,2.8,,,,,
2016-06-03,14.3,25.1,3.9,0.0,12.2,,,,1.3,,,,,
