calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-6.4,-1.9,-16.8,4.0,7.9,,21,6,1.5,,,,,
2016-01-02,-3.1,4.6,-17.1,0.0,7.1,,18,1,1.0,,,,,
2016-01-03,0.3,7.8,-7.9,0.0,8.7,,15,1,1.2,,,,,
2016-01-04,-0.4,8.6,-11.3,0.0,7.2,,15,0,1.5,,,,,
2016-01-05,-0.4,4.2,-6.5,0.0,6.5,,,,1.6,,,,,
2016-01-06,-2.2,0.8,-6.6,0.0,0.7,,,,1.1,,,,,
2016-01-07,-4.8,-1.8,-12.1,5.0,0.0,,,,1.9,,,,,
2016-01-08,-7.6,1.3,-15.7,0.0,7.7,,18,1,0.9,,,,,
2016-01-09,-6.6,-0.9,-13.8,2.5,5.8,,23,10,1.3,,,,,
2016-01-10,-5.5,1.9,-15.7,0.0,7.2,,,,1.3,,,,,
2016-01-11,-5.7,-3.7,-7.3,1.0,2.1,,23,3,1.6,,,,,
2016-01-12,-8.1,-5.3,-16.4,0.0,2.1,,21,1,1.6,,,,,
2016-01-13,-8.5,0.0,-20.2,0.0,7.2,,,,1.2,,,,,
2016-01-14,-7.3,-1.9,-15.6,0.0,3.7,,,,0.9,,,,,
2016-01-15,-9.0,-2.7,-16.3,0.0,5.7,,21,0,0.8,,,,,
2016-01-16,-8.8,-1.5,-16.3,0.0,5.6,,21,0,1.1,,,,,
2016-01-17,-7.5,-1.3,-17.6,0.5,3.5,,24,4,1.1,,,,,
2016-01-18,-2.7,-0.1,-5.0,19.5,0.1,,49,28,2.1,,,,,
2016-01-19,-7.3,-3.1,-10.2,0.0,3.3,,49,0,1.9,,,,,
2016-01-20,-7.8,-5.3,-10.9,19.0,0.0,,85,42,2.3,,,,,
2016-01-21,-7.9,-5.1,-14.5,0.0,5.1,,83,0,1.5,,,,,
2016-01-22,-8.1,-3.9,-13.0,0.0,7.3,,73,0,1.7,,,,,
2016-01-23,-6.1,-1.8,-15.8,0.0,2.9,,65,0,1.8,,,,,
2016-01-24,-11.5,-5.9,-24.5,1.0,1.9,,64,4,1.6,,,,,
2016-01-25,-14.4,-6.5,-24.7,0.0,6.2,,61,1,1.0,,,,,
2016-01-26,-13.0,-1.1,-25.6,0.0,9.0,,58,0,0.5,,,,,
2016-01-27,-9.5,1.4,-20.3,0.0,9.2,,55,0,0.9,,,,,
2016-01-28,-7.5,2.3,-20.2,0.0,7.4,,53,0,0.8,,,,,
2016-01-29,-1.5,0.0,-5.1,13.0,0.0,,52,3,0.8,,,,,
2016-01-30,-4.4,-1.6,-5.8,5.0,0.0,,55,10,0.0,,,,,
2016-01-31,-4.9,-1.1,-10.1,0.0,7.5,,51,2,,,,,,
2016-02-01,-7.0,-4.9,-9.0,0.0,0.0,,52,3,,,,,,
2016-02-02,-7.8,-5.2,-13.4,0.0,3.2,,52,2,,,,,,
2016-02-03,-8.4,-4.4,-16.1,0.0,8.0,,51,0,,,,,,
2016-02-04,-10.3,-0.4,-21.8,0.0,8.1,,49,2,0.3,,,,,
2016-02-05,-8.8,-0.1,-18.4,0.0,9.1,,48,0,0.5,,,,,
2016-02-06,-7.4,-0.9,-15.0,0.0,3.8,,48,2,1.3,,,,,
2016-02-07,-9.9,-6.2,-19.6,0.0,3.4,,50,3,1.6,,,,,
2016-02-08,-9.6,-0.2,-23.1,0.0,9.6,,49,0,1.1,,,,,
2016-02-09,-4.9,-2.4,-7.3,6.0,1.7,,61,16,1.9,,,,,
2016-02-10,-7.8,-6.1,-9.0,2.5,1.5,,65,5,2.0,,,,,
2016-02-11,-5.8,0.3,-11.6,0.0,8.8,,62,0,1.9,,,,,
2016-02-12,1.1,7.6,-12.9,0.0,8.2,,59,0,1.9,,,,,
2016-02-13,6.3,9.4,2.5,0.0,3.3,,52,0,2.3,,,,,
2016-02-14,6.6,13.6,0.5,21.5,3.3,,42,0,2.0,,,,,
2016-02-15,-6.3,0.5,-9.7,3.0,0.6,,38,9,2.6,,,,,
2016-02-16,-7.1,-1.9,-16.1,0.0,6.3,,35,0,1.2,,,,,
2016-02-17,-6.9,-4.7,-8.9,3.5,0.2,,43,10,1.6,,,,,
2016-02-18,-6.4,2.9,-21.3,0.0,9.8,,41,0,1.3,,,,,
2016-02-19,-0.7,5.0,-7.9,0.0,9.7,,38,0,1.5,,,,,
2016-02-20,1.4,5.3,-3.7,11.0,0.0,,36,2,1.5,,,,,
2016-02-21,-2.4,2.6,-6.6,1.5,2.5,,34,3,2.3,,,,,
2016-02-22,-3.5,2.5,-7.1,0.0,7.2,,34,0,1.7,,,,,
2016-02-23,-0.8,3.7,-6.5,0.0,6.0,,32,0,1.3,,,,,
2016-02-24,-7.3,-3.6,-9.3,1.0,3.4,,37,5,2.4,,,,,
2016-02-25,-8.3,-3.2,-12.0,0.0,9.4,,37,1,1.3,,,,,
2016-02-26,-6.8,-1.9,-13.3,0.0,8.3,,35,0,1.1,,,,,
2016-02-27,-3.2,3.6,-12.4,0.0,7.9,,34,2,1.7,,,,,
2016-02-28,-0.8,6.2,-9.1,0.0,7.9,,34,3,1.3,,,,,
2016-02-29,-1.6,4.4,-8.7,10.0,0.1,,47,16,2.7,,,,,
2016-03-01,-10.3,-7.0,-17.9,2.0,2.5,,52,7,1.9,,,,,
2016-03-02,-10.1,-1.4,-21.3,0.0,9.1,,48,0,0.9,,,,,
2016-03-03,-3.1,4.4,-15.3,0.0,9.3,,45,0,1.9,,,,,
2016-03-04,-1.0,7.7,-10.9,0.0,10.2,,41,0,0.9,,,,,
2016-03-05,1.6,9.4,-6.8,0.0,6.4,,37,0,1.1,,,,,
2016-03-06,6.9,10.7,0.3,0.0,6.0,,34,0,2.8,,,,,
2016-03-07,6.4,10.2,0.6,0.0,0.5,,28,0,1.1,,,,,
2016-03-08,4.8,13.1,-1.3,0.0,8.8,,25,0,1.3,,,,,
2016-03-09,-2.3,1.2,-6.1,15.5,0.0,,28,14,,,,,,
2016-03-10,-5.3,-2.9,-6.7,1.5,0.3,,29,4,,,,,,
2016-03-11,-5.6,-2.4,-8.7,0.5,1.5,,29,0,,,,,,
2016-03-12,-5.1,-1.3,-7.6,0.0,0.7,,27,0,0.8,,,,,
2016-03-13,-2.9,2.7,-11.8,0.0,6.3,,24,0,1.1,,,,,
2016-03-14,-3.1,-1.9,-4.9,14.0,0.0,,38,17,1.3,,,,,
2016-03-15,-6.2,-4.3,-16.0,3.0,1.5,,46,9,2.3,,,,,
2016-03-16,-3.4,6.5,-18.7,0.0,8.4,,44,0,1.1,,,,,
2016-03-17,1.8,11.1,-10.4,0.0,10.7,,37,0,1.0,,,,,
2016-03-18,6.1,11.2,0.7,2.0,5.4,,29,1,2.0,,,,,
2016-03-19,5.9,11.2,1.3,3.5,1.8,,22,0,2.5,,,,,
2016-03-20,-1.2,2.2,-3.5,0.0,1.6,,13,0,2.7,,,,,
2016-03-21,-2.9,0.5,-4.5,0.0,8.2,,10,0,2.5,,,,,
2016-03-22,0.6,8.4,-8.0,0.0,10.9,,8,0,1.4,,,,,
2016-03-23,-1.8,0.9,-4.2,0.0,0.7,,4,0,1.7,,,,,
2016-03-24,-4.5,-2.0,-6.0,1.5,2.2,,9,8,2.2,,,,,
2016-03-25,-5.9,-3.1,-8.4,1.0,1.5,,10,5,2.0,,,,,
2016-03-26,-3.0,2.5,-8.3,0.0,10.0,,10,0,1.6,,,,,
2016-03-27,0.7,7.6,-3.1,0.0,6.9,,4,0,1.4,,,,,
2016-03-28,0.0,6.7,-5.5,0.0,5.7,,0,0,1.3,,,,,
2016-03-29,3.0,11.4,-6.6,0.0,9.3,,0,0,1.2,,,,,
2016-03-30,5.3,12.4,-2.5,0.5,7.6,,0,0,1.8,,,,,
2016-03-31,3.9,10.8,-2.4,0.0,10.0,,0,0,1.6,,,,,
2016-04-01,4.6,14.2,-4.7,0.0,7.9,,0,0,1.7,,,,,
2016-04-02,5.8,13.8,0.6,0.0,10.6,,0,0,1.8,,,,,
2016-04-03,9.4,14.5,3.2,0.0,3.1,,0,0,2.5,,,,,
2016-04-04,6.4,12.1,2.0,13.0,0.7,,0,0,1.6,,,,,
2016-04-05,3.8,9.9,-1.6,0.0,3.2,,0,0,1.3,,,,,
2016-04-06,5.6,12.8,-2.7,0.0,10.3,,0,0,1.4,,,,,
2016-04-07,7.7,14.4,2.4,20.5,0.0,,0,0,2.3,,,,,
2016-04-08,5.0,10.3,-1.5,0.0,4.0,,0,0,1.7,,,,,
2016-04-09,5.7,15.7,-4.1,0.0,11.1,,0,0,1.1,,,,,
2016-04-10,6.5,13.3,-0.8,0.0,4.4,,0,0,1.2,,,,,
2016-04-11,-3.3,4.2,-5.3,2.5,2.4,,1,1,2.5,,,,,
2016-04-12,1.7,11.5,-10.8,0.5,10.7,,0,0,1.6,,,,,
2016-04-13,8.4,14.6,4.7,7.5,5.0,,0,0,2.0,,,,,
2016-04-14,9.2,15.4,5.9,13.0,7.9,,0,0,2.0,,,,,
2016-04-15,2.9,6.3,-1.6,0.0,10.8,,0,0,2.3,,,,,
2016-04-16,7.3,17.0,-4.1,0.0,10.5,,0,0,1.4,,,,,
2016-04-17,12.1,18.6,7.3,2.5,5.4,,0,0,3.2,,,,,
2016-04-18,5.8,13.2,-0.3,0.0,4.9,,0,0,1.4,,,,,
2016-04-19,4.4,12.9,-3.6,0.0,12.0,,0,0,1.6,,,,,
2016-04-20,6.3,16.1,-4.9,0.0,10.9,,0,0,1.6,,,,,
2016-04-21,8.6,12.9,3.3,9.0,1.5,,0,0,2.4,,,,,
2016-04-22,9.7,13.6,4.9,0.0,4.7,,0,0,1.5,,,,,
2016-04-23,11.8,19.4,7.0,0.0,8.7,,0,0,1.6,,,,,
2016-04-24,8.3,12.9,5.5,0.0,6.2,,0,0,1.6,,,,,
2016-04-25,9.7,16.6,4.1,0.0,6.2,,0,0,1.4,,,,,
2016-04-26,10.2,19.8,0.8,0.0,11.8,,0,0,1.2,,,,,
2016-04-27,11.2,20.5,2.6,0.0,7.7,,0,0,1.4,,,,,
2016-04-28,8.0,12.5,4.8,40.0,0.9,,0,0,2.0,,,,,
2016-04-29,2.0,4.9,0.2,0.0,1.9,,0,0,2.5,,,,,
2016-04-30,5.8,11.7,0.0,0.0,7.5,,0,0,1.7,,,,,
2016-05-01,9.8,16.2,3.1,0.0,5.9,,0,0,1.7,,,,,
2016-05-02,11.9,20.8,2.7,0.0,10.6,,0,0,1.4,,,,,
2016-05-03,12.3,18.3,4.3,0.0,5.7,,0,0,2.5,,,,,
2016-05-04,12.8,17.0,6.3,10.5,9.2,,0,0,2.7,,,,,
2016-05-05,9.4,14.6,1.8,0.0,11.0,,0,0,2.0,,,,,
2016-05-06,9.9,15.8,1.4,0.0,2.9,,0,0,2.0,,,,,
2016-05-07,12.1,20.2,7.0,0.0,7.6,,0,0,2.4,,,,,
2016-05-08,9.1,14.6,5.1,0.0,11.2,,0,0,2.0,,,,,
2016-05-09,10.7,13.2,7.5,1.0,1.8,,0,0,1.6,,,,,
2016-05-10,14.1,18.6,9.8,2.5,0.4,,0,0,1.8,,,,,
2016-05-11,14.1,19.2,7.4,8.0,0.4,,0,0,2.2,,,,,
2016-05-12,11.8,17.6,5.6,0.0,11.8,,0,0,1.9,,,,,
2016-05-13,13.3,20.4,7.1,0.0,11.7,,0,0,1.6,,,,,
2016-05-14,13.4,18.7,8.9,0.0,8.7,,0,0,1.5,,,,,
2016-05-15,13.1,20.4,6.9,0.0,9.6,,0,0,1.4,,,,,
2016-05-16,13.6,21.1,7.9,0.5,10.3,,0,0,2.3,,,,,
2016-05-17,7.4,11.0,1.3,26.0,0.8,,0,0,1.5,,,,,
2016-05-18,11.2,18.3,0.9,0.0,12.6,,0,0,1.8,,,,,
2016-05-19,11.9,20.1,1.0,0.0,10.9,,0,0,1.3,,,,,
2016-05-20,11.5,19.3,4.8,0.0,7.8,,0,0,1.0,,,,,
2016-05-21,11.6,18.4,3.7,0.0,12.7,,0,0,1.9,,,,,
2016-05-22,12.6,20.8,2.2,0.0,12.2,,0,0,1.2,,,,,
2016-05-23,13.9,22.3,4.4,0.0,11.2,,0,0,1.1,,,,,
2016-05-24,16.7,23.5,6.0,0.0,9.7,,0,0,1.7,,,,,
2016-05-25,15.9,18.2,12.2,0.0,0.1,,0,0,2.1,,,,,
2016-05-26,17.5,25.8,7.8,0.0,8.7,,0,0,1.2,,,,,
2016-05-27,12.1,16.8,4.6,1.5,3.9,,0,0,1.7,,,,,
2016-05-28,11.9,18.7,4.9,0.0,3.5,,0,0,1.0,,,,,
2016-05-29,14.4,22.8,4.2,0.0,7.8,,0,0,1.5,,,,,
2016-05-30,10.8,14.6,8.5,2.0,1.4,,0,0,1.5,,,,,
2016-05-31,14.9,22.4,9.9,0.0,10.2,,0,0,1.3,,,,,
2016-06-01,8.6,12.4,4.8,0.0,9.6,,0,0,2.5,,,,,
2016-06-02,6.5,11.5,1.3,0.0,9.1,,0,0,2.2,,,,,
2016-06-03,9.7,18.5,-1.9,0.0,12.7,,0,0,1.2,,,,,
2016-06-04,13.4,20.3,6.4,1.0,8.1,,0,0,1.2,,,,,
2016-06-05,12.4,19.0,5.0,0.0,8.6,,0,0,1.3,,,,,
2016-06-06,12.9,20.7,2.4,0.0,8.1,,0,0,1.0,,,,,
2016-06-07,14.3,19.6,11.8,0.0,2.7,,0,0,1.1,,,,,
2016-06-08,15.4,20.8,12.1,0.5,7.2,,0,0,1.2,,,,,
2016-06-09,14.2,18.5,11.3,8.5,0.0,,0,0,1.2,,,,,
2016-06-10,15.4,21.3,11.3,0.0,8.0,,0,0,1.6,,,,,
2016-06-11,17.0,24.6,11.7,7.5,9.3,,0,0,1.3,,,,,
2016-06-12,16.1,22.4,11.0,0.5,5.9,,0,0,1.4,,,,,
2016-06-13,13.7,16.0,11.5,21.0,0.0,,0,0,1.0,,,,,
2016-06-14,15.3,20.0,13.4,4.5,3.5,,0,0,1.4,,,,,
2016-06-15,15.8,21.4,13.0,4.0,5.6,,0,0,1.0,,,,,
2016-06-16,14.8,18.3,13.2,4.5,0.5,,0,0,1.4,,,,,
2016-06-17,16.2,20.3,13.5,0.0,6.0,,0,0,1.6,,,,,
2016-06-18,16.4,22.5,8.6,0.0,12.0,,0,0,1.4,,,,,
2016-06-19,16.2,22.1,12.5,4.5,2.8,,0,0,1.5,,,,,
2016-06-20,16.3,22.5,11.7,0.0,7.9,,0,0,1.3,,,,,
2016-06-21,15.5,20.9,11.7,0.0,2.0,,0,0,0.9,,,,,
2016-06-22,16.6,20.3,12.1,2.0,0.3,,0,0,0.8,,,,,
2016-06-23,14.9,17.5,10.4,12.5,1.2,,0,0,1.4,,,,,
2016-06-24,14.8,20.1,8.3,10.0,3.0,,0,0,1.2,,,,,
2016-06-25,17.5,21.9,11.5,24.5,1.3,,0,0,1.5,,,,,
2016-06-26,13.8,19.3,10.0,0.0,3.4,,0,0,1.0,,,,,
2016-06-27,15.9,23.0,7.4,0.5,8.6,,0,0,1.0,,,,,
2016-06-28,13.4,16.3,11.2,16.0,0.0,,0,0,1.1,,,,,
2016-06-29,15.7,20.3,12.9,0.5,0.8,,0,0,0.8,,,,,
2016-06-30,17.8,22.8,14.6,0.5,2.8,,0,0,1.1,,,,,
2016-07-01,19.3,24.6,15.1,0.0,10.6,,0,0,1.1,,,,,
2016-07-02,20.4,25.0,16.5,0.0,2.5,,0,0,1.3,,,,,
2016-07-03,20.2,24.5,15.8,0.0,3.7,,0,0,1.3,,,,,
2016-07-04,18.8,24.7,15.2,6.5,2.0,,0,0,1.0,,,,,
2016-07-05,19.0,25.6,15.1,0.5,3.8,,0,0,1.1,,,,,
2016-07-06,20.7,26.8,15.9,0.0,6.5,,0,0,1.1,,,,,
2016-07-07,20.3,27.0,14.7,0.0,9.6,,0,0,1.1,,,,,
2016-07-08,19.4,24.8,13.7,0.5,2.1,,0,0,1.1,,,,,
2016-07-09,16.9,18.9,15.6,13.5,0.2,,0,0,1.1,,,,,
2016-07-10,18.5,24.6,14.6,0.0,9.7,,0,0,1.3,,,,,
2016-07-11,17.6,24.2,11.7,0.0,11.1,,0,0,1.1,,,,,
2016-07-12,18.8,25.8,10.2,0.0,10.7,,0,0,0.9,,,,,
2016-07-13,20.0,23.4,18.4,5.0,0.3,,0,0,0.8,,,,,
2016-07-14,18.6,24.1,14.1,4.0,5.0,,0,0,1.0,,,,,
2016-07-15,17.6,22.3,14.9,4.5,1.1,,0,0,0.9,,,,,
2016-07-16,18.4,22.6,15.9,0.0,2.1,,0,0,1.0,,,,,
2016-07-17,20.2,25.1,16.6,0.0,1.5,,0,0,1.1,,,,,
2016-07-18,18.3,23.2,15.7,0.0,5.7,,0,0,1.3,,,,,
2016-07-19,18.1,23.6,14.8,0.0,10.1,,0,0,1.4,,,,,
2016-07-20,17.8,23.5,14.1,0.0,7.6,,0,0,1.3,,,,,
2016-07-21,17.7,22.5,15.4,0.0,1.6,,0,0,0.9,,,,,
2016-07-22,17.6,22.7,14.6,0.5,7.1,,0,0,1.1,,,,,
2016-07-23,16.8,22.6,12.8,0.0,2.0,,0,0,1.0,,,,,
2016-07-24,17.9,24.8,11.8,0.0,7.4,,0,0,1.0,,,,,
2016-07-25,17.9,22.8,13.5,5.5,3.4,,0,0,0.8,,,,,
2016-07-26,16.8,19.0,15.9,36.5,0.0,,0,0,0.9,,,,,
2016-07-27,18.8,23.8,15.8,2.5,1.8,,0,0,0.8,,,,,
2016-07-28,19.9,25.2,15.8,0.0,4.5,,0,0,0.9,,,,,
2016-07-29,20.1,26.4,16.0,0.5,3.1,,0,0,1.0,,,,,
2016-07-30,19.7,23.9,15.8,2.5,2.8,,0,0,1.0,,,,,
2016-07-31,19.2,25.2,13.1,0.0,6.4,,0,0,0.9,,,,,
2016-08-01,19.4,24.9,14.7,17.5,5.2,,0,0,0.9,,,,,
2016-08-02,18.6,22.3,16.3,16.5,1.1,,0,0,0.8,,,,,
2016-08-03,18.9,24.0,14.3,0.0,5.5,,0,0,0.9,,,,,
2016-08-04,20.2,25.4,16.6,0.0,7.8,,0,0,1.2,,,,,
2016-08-05,21.0,26.3,16.4,0.0,10.8,,0,0,1.0,,,,,
2016-08-06,21.7,26.9,17.0,0.0,8.6,,0,0,0.9,,,,,
2016-08-07,21.3,27.3,16.3,0.0,10.5,,0,0,1.2,,,,,
2016-08-08,19.6,25.5,12.9,0.0,9.9,,0,0,1.6,,,,,
2016-08-09,19.4,22.7,17.5,0.0,6.3,,0,0,2.1,,,,,
2016-08-10,18.3,23.0,16.4,0.0,3.7,,0,0,1.2,,,,,
2016-08-11,19.0,24.0,14.6,0.0,10.3,,0,0,1.1,,,,,
2016-08-12,19.5,25.7,15.2,0.0,7.5,,0,0,0.9,,,,,
2016-08-13,20.2,25.8,16.7,0.0,7.2,,0,0,1.1,,,,,
2016-08-14,20.0,25.4,15.7,0.0,6.9,,0,0,0.9,,,,,
2016-08-15,19.0,23.0,15.8,0.0,4.5,,0,0,0.9,,,,,
2016-08-16,20.1,24.8,15.6,0.0,6.8,,0,0,1.2,,,,,
2016-08-17,19.2,24.1,14.7,0.5,1.6,,0,0,1.3,,,,,
2016-08-18,19.9,25.0,17.5,53.0,2.9,,0,0,1.0,,,,,
2016-08-19,20.2,24.1,17.4,0.5,3.6,,0,0,0.9,,,,,
2016-08-20,19.2,24.4,16.5,7.0,0.9,,0,0,1.1,,,,,
2016-08-21,20.4,26.3,14.3,1.0,6.2,,0,0,1.0,,,,,
2016-08-22,18.7,22.6,16.1,14.5,1.0,,0,0,1.5,,,,,
2016-08-23,18.2,22.2,14.4,3.0,1.7,,0,0,1.2,,,,,
2016-08-24,20.0,25.0,15.7,0.0,7.6,,0,0,0.9,,,,,
2016-08-25,20.8,25.2,17.3,0.0,8.5,,0,0,1.0,,,,,
2016-08-26,20.1,26.3,16.5,25.0,6.1,,0,0,1.3,,,,,
2016-08-27,15.5,17.2,14.4,18.0,0.0,,0,0,1.1,,,,,
2016-08-28,17.9,21.7,15.8,0.0,6.6,,0,0,1.7,,,,,
2016-08-29,19.1,24.2,17.1,2.0,6.1,,0,0,1.9,,,,,
2016-08-30,15.7,17.7,12.9,28.5,0.5,,0,0,1.4,,,,,
2016-08-31,17.4,23.0,12.8,0.0,11.1,,0,0,1.9,,,,,
2016-09-01,16.7,22.8,9.5,0.0,8.5,,0,0,1.0,,,,,
2016-09-02,18.6,24.2,13.7,0.0,10.3,,0,0,1.3,,,,,
2016-09-03,19.0,23.4,14.3,0.0,8.8,,0,0,1.3,,,,,
2016-09-04,19.9,24.4,16.6,0.0,7.7,,0,0,1.2,,,,,
2016-09-05,19.9,24.3,15.8,1.0,5.8,,0,0,1.0,,,,,
2016-09-06,20.5,25.5,17.3,0.0,5.9,,0,0,1.2,,,,,
2016-09-07,19.9,24.9,16.1,0.0,6.1,,0,0,1.0,,,,,
2016-09-08,18.8,23.1,15.5,9.0,0.7,,0,0,1.4,,,,,
2016-09-09,15.9,19.5,14.1,0.0,4.8,,0,0,1.8,,,,,
2016-09-10,16.0,20.7,13.5,0.0,7.7,,0,0,1.3,,,,,
2016-09-11,17.1,21.2,14.1,0.0,1.8,,0,0,1.0,,,,,
2016-09-12,17.1,21.8,13.7,0.0,3.5,,0,0,1.0,,,,,
2016-09-13,17.1,20.2,15.3,31.0,0.2,,0,0,0.9,,,,,
2016-09-14,16.8,20.1,14.3,4.5,0.4,,0,0,1.0,,,,,
2016-09-15,15.8,19.5,13.4,1.0,2.8,,0,0,1.1,,,,,
2016-09-16,16.0,20.1,13.7,0.0,0.2,,0,0,0.7,,,,,
2016-09-17,16.3,20.3,12.4,1.0,0.9,,0,0,0.7,,,,,
2016-09-18,15.9,18.6,15.0,55.5,0.0,,0,0,0.7,,,,,
2016-09-19,14.1,17.0,12.5,25.0,0.0,,0,0,0.9,,,,,
2016-09-20,13.2,16.2,12.3,67.5,0.0,,0,0,0.7,,,,,
2016-09-21,13.9,17.5,10.6,0.0,0.9,,0,0,1.0,,,,,
2016-09-22,14.0,15.7,13.1,12.5,0.1,,0,0,1.0,,,,,
2016-09-23,14.2,15.9,12.6,10.0,0.0,,0,0,0.9,,,,,
2016-09-24,14.5,18.0,11.4,0.0,1.5,,0,0,0.9,,,,,
2016-09-25,16.3,22.7,9.7,0.0,9.5,,0,0,0.8,,,,,
2016-09-26,16.5,18.9,14.9,3.0,0.0,,0,0,0.6,,,,,
2016-09-27,18.5,24.6,13.2,0.0,9.3,,0,0,0.9,,,,,
2016-09-28,17.6,20.3,15.6,21.0,0.0,,0,0,0.8,,,,,
2016-09-29,13.5,17.5,9.2,10.5,0.1,,0,0,1.8,,,,,
2016-09-30,12.4,19.7,3.2,0.5,6.7,,0,0,0.9,,,,,
2016-10-01,14.4,18.1,11.8,7.5,0.1,,0,0,0.8,,,,,
2016-10-02,17.3,22.2,14.5,0.0,2.1,,0,0,1.0,,,,,
2016-10-03,16.3,20.0,11.9,1.0,0.0,,0,0,1.2,,,,,
2016-10-04,13.1,19.5,6.5,0.0,2.3,,0,0,1.3,,,,,
2016-10-05,15.2,21.6,6.6,0.0,1.8,,0,0,2.0,,,,,
2016-10-06,12.8,21.4,8.8,0.0,0.2,,0,0,2.2,,,,,
2016-10-07,10.2,16.1,5.7,0.0,9.3,,0,0,1.8,,,,,
2016-10-08,15.9,20.5,9.8,0.0,2.0,,0,0,1.6,,,,,
2016-10-09,10.7,17.5,5.8,17.5,0.9,,0,0,2.2,,,,,
2016-10-10,6.6,9.7,4.0,0.0,2.3,,0,0,1.5,,,,,
2016-10-11,7.4,11.9,1.2,0.5,0.6,,0,0,0.9,,,,,
2016-10-12,6.5,14.1,0.0,1.5,7.8,,0,0,1.4,,,,,
2016-10-13,5.9,8.6,4.5,0.0,0.4,,0,0,1.2,,,,,
2016-10-14,5.6,13.7,-0.9,0.0,8.7,,0,0,0.9,,,,,
2016-10-15,6.1,14.2,-2.1,0.0,9.8,,0,0,0.9,,,,,
2016-10-16,8.8,16.1,-0.2,0.0,9.0,,0,0,1.2,,,,,
2016-10-17,10.7,16.3,8.4,16.5,2.5,,0,0,1.2,,,,,
2016-10-18,13.4,17.8,8.9,0.0,5.7,,0,0,1.2,,,,,
2016-10-19,13.5,19.5,7.9,0.0,4.1,,0,0,0.7,,,,,
2016-10-20,9.8,15.2,5.8,0.0,5.9,,0,0,1.8,,,,,
2016-10-21,5.3,13.1,0.4,0.0,6.4,,0,0,1.7,,,,,
2016-10-22,7.6,15.2,-0.5,0.0,4.5,,0,0,0.8,,,,,
