calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,5.1,-3.7,0.0,8.1,,,,1.6,,,,,
2016-01-02,1.1,8.6,-5.9,0.0,7.7,,,,1.2,,,,,
2016-01-03,2.9,13.0,-3.2,0.0,8.2,,,,0.9,,,,,
2016-01-04,4.2,14.7,-3.8,0.0,8.1,,,,1.1,,,,,
2016-01-05,4.4,11.6,-1.9,0.0,6.2,,,,1.0,,,,,
2016-01-06,3.7,10.2,-0.4,0.0,0.5,,,,1.5,,,,,
2016-01-07,1.0,5.5,-3.0,0.0,4.9,,,,1.6,,,,,
2016-01-08,1.7,6.1,-3.4,0.0,5.3,,,,1.5,,,,,
2016-01-09,1.4,8.0,-3.0,0.0,6.7,,,,1.2,,,,,
2016-01-10,1.6,8.4,-3.3,0.0,8.0,,,,1.4,,,,,
2016-01-11,0.8,7.9,-3.3,0.0,7.5,,,,1.9,,,,,
2016-01-12,-1.2,2.1,-4.9,0.0,3.5,,,,2.7,,,,,
2016-01-13,-0.7,6.0,-7.1,0.0,8.1,,,,1.5,,,,,
2016-01-14,1.0,5.9,-2.2,0.0,5.3,,,,1.7,,,,,
2016-01-15,0.4,6.8,-3.9,0.0,7.7,,,,1.6,,,,,
2016-01-16,-0.8,6.6,-6.3,0.0,8.3,,,,1.4,,,,,
2016-01-17,-0.7,4.3,-5.9,0.5,3.5,,,,2.4,,,,,
2016-01-18,0.4,2.7,-1.6,23.5,0.2,,,,3.6,,,,,
2016-01-19,-2.7,2.0,-5.5,0.0,0.3,,,,2.5,,,,,
2016-01-20,-3.8,0.7,-7.2,1.5,3.4,,,,2.2,,,,,
2016-01-21,-4.5,1.9,-10.8,0.0,6.3,,,,1.9,,,,,
2016-01-22,-3.2,3.5,-7.8,0.0,8.1,,,,2.5,,,,,
2016-01-23,-4.0,-1.1,-7.7,3.5,0.0,,,,1.6,,,,,
2016-01-24,-5.1,-1.7,-11.7,0.0,4.3,,,,2.2,,,,,
2016-01-25,-7.4,0.6,-13.5,0.0,8.0,,,,1.3,,,,,
2016-01-26,-6.0,2.9,-13.5,0.0,8.5,,,,1.5,,,,,
2016-01-27,-2.7,6.5,-10.4,0.0,8.5,,,,1.2,,,,,
2016-01-28,-0.4,8.1,-8.5,0.0,8.5,,,,1.5,,,,,
