calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.1,11.7,4.0,0.0,1.8,,,,1.9,,,,,
2016-01-02,13.2,16.4,10.1,1.5,0.9,,,,1.4,,,,,
2016-01-03,13.0,16.3,9.3,0.5,1.4,,,,1.6,,,,,
2016-01-04,12.2,16.4,8.6,0.0,5.7,,,,2.2,,,,,
2016-01-05,10.9,13.5,9.5,3.5,0.0,,,,2.9,,,,,
2016-01-06,11.6,13.3,10.5,0.0,0.2,,,,3.9,,,,,
2016-01-07,9.0,10.6,8.7,0.0,0.3,,,,4.2,,,,,
2016-01-08,7.7,8.9,6.8,0.0,0.0,,,,3.9,,,,,
2016-01-09,8.3,10.0,6.9,0.0,0.0,,,,3.0,,,,,
2016-01-10,8.2,10.6,4.8,0.0,3.6,,,,2.9,,,,,
2016-01-11,10.3,11.8,5.3,0.0,0.1,,,,3.9,,,,,
2016-01-12,8.3,10.3,6.5,0.0,1.0,,,,3.5,,,,,
2016-01-13,6.6,7.9,4.9,3.0,0.0,,,,3.7,,,,,
2016-01-14,7.3,8.6,3.4,0.0,1.0,,,,3.9,,,,,
2016-01-15,5.8,10.5,2.3,0.0,1.4,,,,2.1,,,,,
2016-01-16,7.7,12.9,2.7,0.0,2.7,,,,2.1,,,,,
2016-01-17,9.4,11.6,6.9,21.5,0.0,,,,3.0,,,,,
2016-01-18,7.6,11.5,2.6,2.0,0.6,,,,6.2,,,,,
2016-01-19,3.3,4.9,1.9,1.5,0.9,,,,6.2,,,,,
2016-01-20,3.1,4.8,0.6,0.0,1.1,,,,4.6,,,,,
2016-01-21,4.9,6.9,0.6,0.0,0.0,,,,2.5,,,,,
2016-01-22,7.2,8.8,5.3,0.0,4.1,,,,5.1,,,,,
2016-01-23,4.4,8.5,-1.2,0.5,0.8,,,,5.5,,,,,
2016-01-24,-1.7,1.2,-3.5,9.5,0.0,,,,6.7,,,,,
2016-01-25,3.3,5.4,0.5,2.0,0.0,,,,4.3,,,,,
2016-01-26,7.1,9.2,2.6,0.5,0.2,,,,2.5,,,,,
2016-01-27,8.2,11.5,3.8,0.0,2.2,,,,1.6,,,,,
2016-01-28,11.1,16.6,7.7,33.5,0.0,,,,2.2,,,,,
2016-01-29,13.1,17.2,10.9,44.5,0.0,,,,4.9,,,,,
2016-01-30,11.6,12.8,10.3,2.5,0.4,,,,5.2,,,,,
2016-01-31,9.7,11.5,7.7,0.0,5.6,,,,3.2,,,,,
2016-02-01,6.8,8.3,5.1,0.0,0.0,,,,3.9,,,,,
2016-02-02,4.9,6.3,1.4,0.0,2.2,,,,3.9,,,,,
2016-02-03,4.6,8.3,0.4,0.0,4.1,,,,2.5,,,,,
2016-02-04,7.8,9.6,2.1,0.0,6.5,,,,3.1,,,,,
2016-02-05,8.5,10.2,7.6,0.0,3.6,,,,3.2,,,,,
2016-02-06,6.4,8.2,5.4,0.0,2.2,,,,5.1,,,,,
