calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.7,12.0,1.5,0.0,,,,,3.2,,,,,
2016-01-02,12.7,15.0,8.3,0.0,,,,,2.4,,,,,
2016-01-03,13.0,16.4,8.7,0.0,,,,,1.8,,,,,
2016-01-04,11.5,15.2,7.7,0.0,,,,,2.7,,,,,
2016-01-05,10.9,13.1,8.4,1.0,,,,,2.8,,,,,
2016-01-06,10.0,12.5,6.7,0.0,,,,,2.5,,,,,
2016-01-07,7.6,9.2,5.7,0.0,,,,,3.1,,,,,
2016-01-08,6.1,7.3,5.6,0.0,,,,,4.7,,,,,
2016-01-09,6.9,8.5,4.9,0.0,,,,,2.9,,,,,
2016-01-10,6.5,10.6,2.6,0.0,,,,,2.1,,,,,
2016-01-11,8.1,11.8,3.0,0.0,,,,,3.2,,,,,
2016-01-12,6.7,10.2,0.0,0.0,,,,,3.0,,,,,
2016-01-13,5.3,7.0,1.1,0.0,,,,,4.8,,,,,
2016-01-14,4.6,7.2,0.3,0.0,,,,,3.5,,,,,
2016-01-15,5.0,9.8,-0.9,0.0,,,,,2.2,,,,,
2016-01-16,9.0,,,0.0,,,,,2.4,,,,,
2016-01-17,9.8,11.2,7.7,22.0,,,,,6.3,,,,,
2016-01-18,6.3,9.6,0.5,7.0,,,,,7.0,,,,,
2016-01-19,1.4,2.5,-0.4,0.5,,,,,8.9,,,,,
2016-01-20,1.2,5.2,-1.8,0.0,,,,,2.8,,,,,
2016-01-21,2.8,7.2,-1.9,0.0,,,,,2.1,,,,,
2016-01-22,5.9,9.1,1.0,0.0,,,,,3.5,,,,,
2016-01-23,3.2,7.1,-1.8,0.0,,,,,5.3,,,,,
2016-01-24,-3.0,-0.4,-4.5,0.0,,,,,7.6,,,,,
2016-01-25,2.2,4.2,-1.2,0.0,,,,,5.5,,,,,
2016-01-26,6.0,7.8,3.9,0.0,,,,,5.5,,,,,
2016-01-27,8.1,10.4,4.9,0.0,,,,,2.5,,,,,
2016-01-28,10.3,12.1,8.9,31.0,,,,,3.4,,,,,
2016-01-29,10.9,12.3,9.8,49.0,,,,,6.6,,,,,
2016-01-30,10.7,12.9,9.1,5.5,,,,,5.8,,,,,
2016-01-31,8.3,11.8,4.5,0.5,,,,,2.5,,,,,
2016-02-01,6.1,8.2,1.7,0.0,,,,,2.7,,,,,
2016-02-02,,,,,,,,,,,,,,
2016-02-03,4.3,9.1,-0.6,0.0,,,,,2.3,,,,,
2016-02-04,4.4,9.7,-0.3,0.0,,,,,2.4,,,,,
2016-02-05,4.6,10.2,0.4,0.0,,,,,2.2,,,,,
2016-02-06,4.6,7.0,1.9,0.0,,,,,2.9,,,,,
2016-02-07,3.8,7.4,0.3,5.5,,,,,2.6,,,,,
2016-02-08,7.0,10.8,-0.6,0.0,,,,,4.7,,,,,
2016-02-09,8.0,11.2,2.0,0.0,,,,,5.0,,,,,
2016-02-10,6.5,12.0,0.4,0.0,,,,,2.3,,,,,
2016-02-11,10.5,14.4,2.7,0.0,,,,,2.4,,,,,
2016-02-12,14.6,17.5,12.5,4.0,,,,,3.6,,,,,
2016-02-13,16.0,18.0,14.4,49.5,,,,,2.9,,,,,
2016-02-14,8.3,15.7,3.9,0.0,,,,,6.8,,,,,
2016-02-15,2.6,4.1,1.5,0.0,,,,,6.0,,,,,
2016-02-16,5.0,7.7,2.3,0.0,,,,,6.0,,,,,
2016-02-17,4.6,7.8,0.0,0.0,,,,,3.4,,,,,
2016-02-18,7.3,11.3,-0.7,0.0,,,,,3.4,,,,,
2016-02-19,11.3,13.5,9.5,5.0,,,,,3.4,,,,,
2016-02-20,9.2,12.1,5.9,16.5,,,,,3.5,,,,,
2016-02-21,4.9,8.0,1.1,1.5,,,,,3.1,,,,,
2016-02-22,6.3,9.2,1.1,0.0,,,,,1.9,,,,,
2016-02-23,8.4,13.1,5.6,2.5,,,,,2.1,,,,,
2016-02-24,7.1,9.8,5.3,0.0,,,,,4.3,,,,,
2016-02-25,4.2,6.9,-0.6,0.0,,,,,3.5,,,,,
2016-02-26,6.1,10.8,-1.2,0.0,,,,,3.3,,,,,
2016-02-27,11.1,14.5,8.4,2.5,,,,,5.1,,,,,
2016-02-28,13.4,16.4,9.5,1.0,,,,,5.0,,,,,
2016-02-29,4.6,11.8,1.0,0.0,,,,,6.9,,,,,
2016-03-01,2.6,5.8,0.0,0.0,,,,,2.8,,,,,
2016-03-02,6.9,11.3,0.3,0.0,,,,,2.9,,,,,
2016-03-03,12.4,16.1,8.8,0.0,,,,,3.7,,,,,
2016-03-04,14.6,18.2,11.1,0.0,,,,,2.2,,,,,
2016-03-05,16.1,20.6,9.8,0.0,,,,,3.0,,,,,
2016-03-06,15.5,17.2,14.3,33.5,,,,,2.4,,,,,
2016-03-07,13.9,15.5,10.7,0.0,,,,,2.9,,,,,
2016-03-08,12.3,15.8,9.6,0.0,,,,,4.0,,,,,
2016-03-09,9.9,11.7,8.8,39.0,,,,,7.7,,,,,
2016-03-10,9.2,11.0,7.8,0.0,,,,,4.1,,,,,
2016-03-11,6.0,8.5,2.8,0.0,,,,,3.7,,,,,
2016-03-12,6.2,10.1,0.4,0.0,,,,,2.7,,,,,
2016-03-13,8.3,10.1,6.7,6.0,,,,,3.1,,,,,
2016-03-14,9.8,12.8,7.3,2.5,,,,,5.5,,,,,
2016-03-15,9.3,12.6,5.6,0.0,,,,,3.2,,,,,
2016-03-16,9.8,15.8,4.9,0.0,,,,,2.5,,,,,
2016-03-17,11.5,16.8,4.3,0.0,,,,,1.8,,,,,
2016-03-18,14.6,16.2,13.1,5.5,,,,,2.3,,,,,
2016-03-19,14.1,16.9,12.1,0.5,,,,,4.8,,,,,
2016-03-20,11.6,13.8,10.1,0.0,,,,,6.6,,,,,
2016-03-21,10.5,12.6,8.3,0.0,,,,,5.7,,,,,
2016-03-22,10.6,16.7,3.2,0.0,,,,,3.6,,,,,
2016-03-23,12.4,15.8,7.8,0.0,,,,,3.4,,,,,
2016-03-24,9.8,12.1,8.2,2.5,,,,,7.3,,,,,
2016-03-25,9.5,11.8,8.4,0.0,,,,,6.6,,,,,
2016-03-26,10.0,13.5,5.6,0.0,,,,,3.2,,,,,
2016-03-27,8.8,12.7,5.4,0.5,,,,,3.2,,,,,
2016-03-28,11.1,16.2,3.8,0.0,,,,,3.3,,,,,
2016-03-29,14.5,17.1,9.8,0.0,,,,,3.9,,,,,
2016-03-30,16.2,19.3,14.7,0.0,,,,,3.7,,,,,
2016-03-31,14.3,16.1,12.0,5.5,,,,,2.4,,,,,
2016-04-01,15.2,17.8,13.6,0.0,,,,,4.7,,,,,
2016-04-02,15.4,19.3,13.0,0.0,,,,,2.0,,,,,
2016-04-03,16.1,19.4,13.8,12.5,,,,,1.5,,,,,
2016-04-04,14.0,15.6,12.7,14.5,,,,,5.1,,,,,
2016-04-05,13.5,18.1,9.2,0.0,,,,,2.1,,,,,
2016-04-06,13.9,17.1,10.4,13.0,,,,,2.6,,,,,
2016-04-07,16.6,20.0,12.7,56.5,,,,,5.8,,,,,
2016-04-08,14.4,18.2,11.1,0.0,,,,,1.5,,,,,
2016-04-09,16.1,21.9,11.9,0.0,,,,,1.9,,,,,
2016-04-10,15.2,20.4,12.3,0.0,,,,,2.7,,,,,
2016-04-11,12.7,14.2,11.3,0.0,,,,,7.1,,,,,
2016-04-12,14.0,17.0,11.4,0.0,,,,,3.8,,,,,
2016-04-13,15.5,18.3,13.7,50.0,,,,,2.8,,,,,
2016-04-14,16.8,20.8,13.6,0.0,,,,,2.2,,,,,
2016-04-15,15.8,17.8,13.1,0.0,,,,,5.5,,,,,
2016-04-16,16.0,20.4,10.2,13.0,,,,,3.0,,,,,
2016-04-17,15.4,19.1,12.6,13.0,,,,,7.5,,,,,
2016-04-18,14.5,16.8,11.8,0.0,,,,,2.6,,,,,
2016-04-19,15.1,19.0,10.6,0.0,,,,,3.1,,,,,
2016-04-20,15.9,21.0,9.8,0.0,,,,,2.2,,,,,
2016-04-21,16.7,19.0,14.3,61.0,,,,,5.1,,,,,
2016-04-22,17.1,20.5,15.6,0.0,,,,,4.1,,,,,
2016-04-23,16.5,17.9,15.2,2.0,,,,,2.7,,,,,
2016-04-24,16.2,19.2,13.4,0.0,,,,,3.9,,,,,
2016-04-25,16.8,19.7,15.3,0.0,,,,,4.8,,,,,
2016-04-26,17.7,21.9,15.0,0.5,,,,,3.2,,,,,
2016-04-27,16.2,16.7,15.5,45.5,,,,,6.1,,,,,
2016-04-28,13.7,15.8,12.9,3.5,,,,,6.2,,,,,
2016-04-29,14.1,17.5,10.2,0.0,,,,,2.7,,,,,
2016-04-30,16.8,21.2,9.8,0.0,,,,,4.0,,,,,
2016-05-01,19.2,23.0,16.1,0.0,,,,,4.0,,,,,
2016-05-02,19.8,24.9,14.2,0.0,,,,,2.5,,,,,
2016-05-03,17.5,21.4,15.3,57.5,,,,,7.0,,,,,
2016-05-04,19.2,22.1,16.2,0.0,,,,,6.8,,,,,
2016-05-05,19.3,23.5,15.1,0.0,,,,,2.3,,,,,
2016-05-06,18.7,20.3,15.4,4.5,,,,,4.1,,,,,
2016-05-07,17.9,21.4,13.5,0.0,,,,,3.0,,,,,
2016-05-08,17.8,21.1,13.7,1.5,,,,,2.6,,,,,
2016-05-09,17.5,18.8,15.8,15.0,,,,,2.5,,,,,
2016-05-10,17.2,18.4,14.6,69.5,,,,,2.9,,,,,
2016-05-11,14.8,18.1,11.5,2.5,,,,,3.5,,,,,
2016-05-12,16.3,21.0,9.9,0.0,,,,,1.9,,,,,
2016-05-13,19.0,23.3,15.0,0.0,,,,,3.4,,,,,
2016-05-14,18.2,21.1,16.6,0.0,,,,,4.6,,,,,
2016-05-15,20.7,25.7,17.1,2.5,,,,,2.7,,,,,
2016-05-16,15.8,22.1,12.1,41.0,,,,,3.1,,,,,
2016-05-17,16.8,22.2,11.1,0.0,,,,,2.0,,,,,
2016-05-18,17.6,22.2,11.4,0.0,,,,,2.9,,,,,
2016-05-19,19.0,23.3,14.0,0.0,,,,,2.2,,,,,
2016-05-20,19.9,23.2,16.3,0.0,,,,,3.8,,,,,
2016-05-21,19.5,22.1,17.9,0.0,,,,,4.3,,,,,
2016-05-22,19.2,22.3,17.4,0.0,,,,,4.2,,,,,
2016-05-23,20.6,24.8,17.9,0.0,,,,,2.0,,,,,
2016-05-24,21.7,26.7,16.9,14.5,,,,,3.0,,,,,
2016-05-25,20.2,26.1,18.1,0.0,,,,,1.6,,,,,
2016-05-26,21.2,24.8,17.0,0.0,,,,,2.0,,,,,
2016-05-27,21.5,25.4,19.9,0.0,,,,,2.2,,,,,
2016-05-28,18.9,20.7,16.8,3.5,,,,,2.3,,,,,
2016-05-29,19.4,21.0,17.8,22.0,,,,,1.1,,,,,
2016-05-30,20.5,25.2,16.3,0.0,,,,,1.7,,,,,
2016-05-31,21.0,26.6,16.5,0.0,,,,,3.5,,,,,
2016-06-01,19.7,22.2,18.3,0.0,,,,,5.7,,,,,
2016-06-02,19.7,22.7,18.0,0.0,,,,,5.9,,,,,
2016-06-03,20.0,26.4,14.6,0.0,,,,,2.0,,,,,
