calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.7,10.8,0.9,,8.1,,,,2.7,7.0,1030.1,72,1030.6,
2016-01-02,11.4,14.3,8.9,,0.4,,,,2.3,9.6,1023.7,71,1024.2,
2016-01-03,12.3,16.2,8.0,,4.6,,,,2.1,10.3,1018.8,73,1019.3,
2016-01-04,11.6,15.5,7.9,,7.2,,,,2.1,8.4,1020.0,62,1020.5,
2016-01-05,8.6,11.4,5.5,0.5,0.0,,,,2.1,7.6,1022.7,69,1023.2,
2016-01-06,7.6,10.7,5.4,,3.5,,,,2.3,6.2,1021.2,60,1021.7,
2016-01-07,6.6,9.2,5.3,,4.8,,,,3.5,5.6,1021.1,57,1021.6,
2016-01-08,5.2,6.3,4.2,0.0,0.1,,,,3.0,5.0,1020.6,56,1021.1,
2016-01-09,5.7,8.7,2.5,,3.6,,,,2.2,5.1,1023.5,56,1024.0,
2016-01-10,5.9,10.4,3.2,,8.1,,,,1.8,5.8,1024.3,64,1024.8,
2016-01-11,6.4,9.1,3.8,,5.9,,,,3.0,5.0,1022.0,53,1022.5,
2016-01-12,5.1,8.4,0.7,,8.2,,,,2.9,4.5,1019.4,52,1019.9,
2016-01-13,4.1,6.7,2.1,,2.9,,,,3.2,4.3,1018.6,53,1019.1,
2016-01-14,4.3,7.5,1.0,0.0,1.7,,,,2.5,4.6,1020.5,56,1021.0,
2016-01-15,4.1,9.4,-0.7,,4.7,,,,1.6,5.0,1020.7,63,1021.2,
2016-01-16,6.5,10.8,1.9,0.0,0.7,,,,1.6,7.8,1020.7,79,1021.2,
2016-01-17,9.6,11.8,7.1,20.5,0.0,,,,3.3,9.4,1013.6,79,1014.1,
2016-01-18,5.4,8.9,0.5,0.5,2.6,,,,5.0,5.8,1009.6,62,1010.1,
2016-01-19,0.3,1.4,-0.5,0.0,2.4,,,,6.7,3.1,1017.2,50,1017.7,
2016-01-20,0.6,3.7,-1.2,,8.7,,,,4.6,3.3,1025.3,52,1025.8,
2016-01-21,2.8,5.6,-1.4,,0.8,,,,2.8,4.0,1023.7,55,1024.2,
2016-01-22,4.2,7.8,0.3,,7.3,,,,2.9,4.3,1025.2,52,1025.7,
2016-01-23,1.4,4.3,-3.8,0.0,3.4,,,,5.1,3.2,1024.5,47,1025.0,
2016-01-24,-3.6,-1.0,-5.6,0.0,0.7,,,,7.2,2.1,1021.4,44,1021.9,
2016-01-25,1.3,4.3,-2.2,0.0,1.7,,,,3.8,3.7,1026.1,54,1026.6,
2016-01-26,4.7,7.5,2.4,0.0,2.2,,,,3.7,4.9,1026.2,58,1026.7,
2016-01-27,6.6,9.7,4.8,,2.4,,,,2.5,6.2,1028.9,63,1029.4,
2016-01-28,7.8,9.4,5.3,34.0,0.0,,,,2.1,9.9,1025.9,93,1026.4,
2016-01-29,8.4,9.5,7.7,39.5,0.0,,,,4.0,10.1,1019.6,91,1020.1,
2016-01-30,8.8,9.9,7.3,1.0,0.0,,,,3.7,9.3,1021.6,82,1022.1,
2016-01-31,6.6,10.3,3.6,,8.2,,,,2.2,7.0,1024.9,73,1025.4,
2016-02-01,4.8,6.8,1.5,,6.0,,,,3.2,4.8,1024.0,56,1024.5,
2016-02-02,3.2,7.9,0.3,,7.7,,,,3.3,4.4,1024.0,59,1024.5,
2016-02-03,3.2,7.4,0.0,,9.5,,,,2.4,4.5,1025.0,61,1025.5,
2016-02-04,4.4,9.2,-0.1,,7.1,,,,1.9,4.8,1023.8,59,1024.3,
2016-02-05,6.3,10.7,2.2,,7.5,,,,3.3,4.3,1020.6,46,1021.1,
2016-02-06,3.7,6.6,0.9,,2.8,,,,3.2,4.1,1020.0,52,1020.5,
2016-02-07,2.8,6.3,-1.3,0.0,2.6,,,,2.9,5.2,1020.3,69,1020.8,
2016-02-08,6.6,10.3,0.9,,7.0,,,,4.0,5.1,1018.1,53,1018.6,
2016-02-09,7.9,10.6,4.1,,9.7,,,,4.0,4.6,1020.1,44,1020.6,
2016-02-10,6.1,12.2,1.3,,9.7,,,,1.4,5.7,1025.6,62,1026.1,
2016-02-11,8.4,14.6,3.3,,8.7,,,,1.2,7.7,1026.5,72,1027.0,
2016-02-12,13.4,16.0,8.7,34.5,0.1,,,,4.8,12.7,1020.8,83,1021.3,
2016-02-13,16.1,18.5,13.0,59.5,0.0,,,,4.8,17.3,1009.8,95,1010.3,
2016-02-14,7.3,14.1,2.8,,0.8,,,,5.0,7.6,1009.8,71,1010.3,
2016-02-15,1.9,3.0,0.8,0.0,6.5,,,,6.1,3.4,1018.0,48,1018.5,
2016-02-16,4.4,6.8,1.5,0.0,2.7,,,,4.4,4.4,1018.8,52,1019.3,
2016-02-17,4.2,7.1,0.0,0.0,7.9,,,,3.5,4.3,1023.4,53,1023.9,
2016-02-18,6.7,10.9,-0.2,,7.7,,,,2.8,6.2,1023.9,63,1024.4,
2016-02-19,10.4,12.9,7.8,0.0,2.2,,,,2.1,8.5,1025.5,68,1026.0,
2016-02-20,8.4,9.8,6.5,17.0,0.0,,,,2.5,9.3,1019.1,84,1019.6,
2016-02-21,4.2,7.5,0.3,,9.8,,,,3.8,4.0,1028.0,49,1028.5,
2016-02-22,6.0,11.1,0.5,0.5,0.4,,,,1.5,6.5,1029.3,69,1029.8,
2016-02-23,8.3,12.9,5.0,0.5,8.1,,,,2.4,6.8,1025.8,65,1026.3,
2016-02-24,5.4,8.1,2.1,,6.9,,,,4.3,4.6,1028.5,51,1029.0,
2016-02-25,3.4,7.5,0.2,0.0,9.9,,,,4.0,4.1,1032.1,53,1032.6,
2016-02-26,6.8,11.0,0.3,0.0,7.7,,,,2.6,5.7,1029.5,58,1030.0,
2016-02-27,11.1,13.9,6.8,1.0,6.8,,,,4.2,8.0,1023.9,62,1024.4,
2016-02-28,11.9,16.4,6.7,1.0,1.8,,,,4.4,10.3,1020.4,75,1020.9,
2016-02-29,3.8,9.5,0.5,0.0,4.4,,,,6.7,3.9,1022.2,47,1022.7,
2016-03-01,2.4,6.0,-1.8,,9.9,,,,2.9,3.7,1026.4,51,1026.9,
2016-03-02,7.6,12.8,1.0,,10.1,,,,2.6,5.7,1025.8,55,1026.3,
2016-03-03,13.0,17.4,8.3,0.0,8.2,,,,3.0,10.0,1024.3,66,1024.8,
