calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,10.0,12.5,5.5,0.0,,,,,1.6,,,,,
2016-01-02,14.3,15.9,12.4,1.0,,,,,1.6,,,,,
2016-01-03,13.8,16.1,11.0,3.0,,,,,1.4,,,,,
2016-01-04,13.9,16.1,12.4,0.0,,,,,1.5,,,,,
2016-01-05,12.5,14.2,9.5,1.0,,,,,4.2,,,,,
2016-01-06,11.4,12.7,9.7,0.0,,,,,3.5,,,,,
2016-01-07,8.5,9.8,7.9,0.0,,,,,2.8,,,,,
2016-01-08,7.3,8.2,6.8,0.0,,,,,2.8,,,,,
2016-01-09,7.8,9.4,6.4,0.0,,,,,2.0,,,,,
2016-01-10,8.6,10.7,7.2,0.0,,,,,1.9,,,,,
2016-01-11,10.0,11.1,9.0,0.0,,,,,3.5,,,,,
2016-01-12,7.9,9.9,5.8,0.0,,,,,2.6,,,,,
2016-01-13,6.2,7.5,5.4,0.5,,,,,2.8,,,,,
2016-01-14,7.2,9.4,5.9,0.0,,,,,2.4,,,,,
2016-01-15,8.3,10.3,6.0,0.0,,,,,2.7,,,,,
2016-01-16,10.8,12.8,8.3,0.0,,,,,2.5,,,,,
2016-01-17,10.6,12.3,8.7,15.0,,,,,4.9,,,,,
2016-01-18,7.4,11.6,2.2,3.0,,,,,4.4,,,,,
2016-01-19,2.8,4.8,1.0,0.5,,,,,4.1,,,,,
2016-01-20,3.3,5.1,2.0,0.0,,,,,2.7,,,,,
2016-01-21,5.7,7.4,2.0,0.0,,,,,1.7,,,,,
2016-01-22,7.0,8.2,5.4,0.0,,,,,4.5,,,,,
2016-01-23,3.8,8.0,-1.9,0.0,,,,,4.2,,,,,
2016-01-24,-2.1,0.9,-3.8,1.0,,,,,4.7,,,,,
2016-01-25,3.2,5.0,0.4,0.5,,,,,3.1,,,,,
2016-01-26,6.9,8.8,4.6,2.0,,,,,2.4,,,,,
2016-01-27,9.7,11.3,7.8,0.0,,,,,1.5,,,,,
2016-01-28,11.9,16.5,9.5,17.0,,,,,2.3,,,,,
2016-01-29,12.3,16.6,10.4,47.0,,,,,9.0,,,,,
2016-01-30,11.4,13.1,10.1,3.5,,,,,6.9,,,,,
2016-01-31,9.3,11.4,7.3,0.0,,,,,2.2,,,,,
2016-02-01,6.5,8.3,4.7,0.0,,,,,2.4,,,,,
2016-02-02,4.8,6.6,3.6,0.0,,,,,2.5,,,,,
2016-02-03,6.0,8.9,3.2,0.0,,,,,1.7,,,,,
2016-02-04,7.5,9.8,5.7,0.0,,,,,2.0,,,,,
2016-02-05,8.2,10.0,7.0,0.0,,,,,2.2,,,,,
2016-02-06,5.9,7.8,5.0,0.0,,,,,3.0,,,,,
2016-02-07,5.7,8.0,3.7,0.0,,,,,2.1,,,,,
2016-02-08,8.4,11.0,4.9,0.0,,,,,2.6,,,,,
2016-02-09,10.0,11.7,8.1,0.0,,,,,2.8,,,,,
2016-02-10,9.6,12.9,6.5,0.0,,,,,1.3,,,,,
2016-02-11,13.1,15.5,10.3,0.0,,,,,2.6,,,,,
2016-02-12,15.6,16.8,14.4,5.0,,,,,8.4,,,,,
2016-02-13,17.1,19.1,14.7,39.0,,,,,3.9,,,,,
2016-02-14,8.2,14.7,3.5,0.0,,,,,3.6,,,,,
2016-02-15,3.2,4.2,1.8,0.0,,,,,3.8,,,,,
2016-02-16,5.8,8.9,3.1,0.5,,,,,3.3,,,,,
2016-02-17,6.3,8.5,4.5,0.0,,,,,2.6,,,,,
2016-02-18,9.1,11.7,4.5,0.0,,,,,1.7,,,,,
2016-02-19,11.8,14.1,9.7,7.5,,,,,1.5,,,,,
2016-02-20,10.3,12.1,7.8,18.0,,,,,3.0,,,,,
2016-02-21,6.2,8.0,3.7,0.0,,,,,3.1,,,,,
2016-02-22,8.1,9.9,4.5,1.5,,,,,1.4,,,,,
2016-02-23,10.0,13.2,7.5,2.0,,,,,4.2,,,,,
2016-02-24,6.1,9.5,4.4,0.0,,,,,3.1,,,,,
2016-02-25,5.2,6.9,3.4,0.0,,,,,3.2,,,,,
2016-02-26,8.4,11.5,3.5,0.0,,,,,1.8,,,,,
2016-02-27,12.6,15.0,9.3,2.5,,,,,2.6,,,,,
2016-02-28,14.3,17.5,11.3,0.0,,,,,2.7,,,,,
2016-02-29,5.0,11.6,1.4,0.0,,,,,3.7,,,,,
2016-03-01,3.9,6.5,2.1,0.0,,,,,2.1,,,,,
2016-03-02,8.9,12.1,5.7,0.0,,,,,1.7,,,,,
2016-03-03,13.1,16.6,9.9,0.0,,,,,2.9,,,,,
2016-03-04,15.7,20.2,14.1,0.0,,,,,3.7,,,,,
2016-03-05,17.0,19.6,13.8,0.0,,,,,6.5,,,,,
2016-03-06,16.4,18.2,13.9,15.0,,,,,3.9,,,,,
2016-03-07,14.1,16.6,11.4,0.0,,,,,3.6,,,,,
2016-03-08,13.7,16.7,11.1,0.0,,,,,5.6,,,,,
2016-03-09,10.7,12.2,9.7,23.0,,,,,10.0,,,,,
2016-03-10,9.5,11.2,7.7,0.0,,,,,3.9,,,,,
2016-03-11,6.5,8.8,5.2,0.0,,,,,3.1,,,,,
2016-03-12,7.9,10.9,3.7,0.0,,,,,2.4,,,,,
2016-03-13,8.7,10.6,6.5,6.0,,,,,2.2,,,,,
2016-03-14,10.2,12.3,8.0,0.5,,,,,6.3,,,,,
2016-03-15,10.7,13.2,9.0,0.0,,,,,4.0,,,,,
2016-03-16,11.3,15.4,6.8,0.0,,,,,1.3,,,,,
2016-03-17,14.3,17.7,8.4,0.0,,,,,1.5,,,,,
2016-03-18,15.8,16.9,14.7,1.5,,,,,6.2,,,,,
2016-03-19,14.9,18.2,12.7,0.0,,,,,5.0,,,,,
2016-03-20,12.6,15.2,10.9,0.0,,,,,7.7,,,,,
2016-03-21,11.7,14.3,10.6,0.0,,,,,8.1,,,,,
2016-03-22,12.8,16.4,10.2,0.0,,,,,1.8,,,,,
2016-03-23,13.2,16.5,10.4,0.0,,,,,2.5,,,,,
2016-03-24,11.2,13.0,9.9,0.0,,,,,8.9,,,,,
2016-03-25,10.5,12.3,9.4,0.0,,,,,6.1,,,,,
2016-03-26,10.1,13.5,8.2,0.0,,,,,1.8,,,,,
2016-03-27,10.3,13.4,7.1,0.0,,,,,2.2,,,,,
2016-03-28,13.2,15.9,9.3,0.0,,,,,1.8,,,,,
2016-03-29,15.2,17.0,10.9,0.0,,,,,2.6,,,,,
2016-03-30,16.6,18.9,15.0,0.0,,,,,2.2,,,,,
2016-03-31,14.9,16.4,13.1,7.0,,,,,2.7,,,,,
2016-04-01,15.6,18.7,14.0,0.5,,,,,4.6,,,,,
2016-04-02,16.6,20.4,14.5,0.0,,,,,2.5,,,,,
2016-04-03,16.9,18.8,16.1,17.5,,,,,1.9,,,,,
2016-04-04,15.0,16.4,14.1,14.5,,,,,6.9,,,,,
2016-04-05,14.6,17.7,10.6,0.0,,,,,1.2,,,,,
2016-04-06,15.5,19.0,12.2,18.5,,,,,1.8,,,,,
2016-04-07,17.1,20.8,14.5,35.5,,,,,3.7,,,,,
2016-04-08,15.2,18.8,12.6,0.0,,,,,0.9,,,,,
