calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.4,12.1,3.0,0.0,3.4,,,,2.3,,,,,
2016-01-02,12.3,16.6,8.7,0.0,2.3,,,,1.6,,,,,
2016-01-03,12.0,15.0,9.4,1.0,0.6,,,,1.4,,,,,
2016-01-04,11.3,15.9,8.6,0.0,5.6,,,,2.1,,,,,
2016-01-05,10.0,12.8,8.1,1.0,0.0,,,,1.8,,,,,
2016-01-06,9.7,12.1,6.4,0.5,0.0,,,,1.9,,,,,
2016-01-07,8.6,10.3,7.7,0.0,0.3,,,,2.9,,,,,
2016-01-08,7.2,8.0,6.6,0.0,0.2,,,,3.7,,,,,
2016-01-09,7.1,8.4,5.5,0.0,0.0,,,,2.5,,,,,
2016-01-10,7.0,10.2,4.3,0.0,3.6,,,,2.2,,,,,
2016-01-11,8.3,10.6,4.5,0.0,0.0,,,,2.8,,,,,
2016-01-12,7.1,9.7,1.7,0.0,2.2,,,,2.9,,,,,
2016-01-13,5.9,7.1,3.1,0.0,0.6,,,,3.5,,,,,
2016-01-14,6.0,8.9,2.7,0.0,2.8,,,,3.2,,,,,
2016-01-15,5.0,9.5,1.5,0.0,8.5,,,,1.9,,,,,
2016-01-16,7.0,12.7,1.2,0.0,6.0,,,,1.7,,,,,
2016-01-17,7.1,11.0,4.2,28.5,0.0,,,,1.9,,,,,
2016-01-18,7.1,10.5,1.9,5.5,0.6,,,,5.4,,,,,
2016-01-19,2.5,3.4,1.4,1.0,0.1,,,,6.0,,,,,
2016-01-20,2.6,5.0,-0.2,0.0,0.9,,,,3.3,,,,,
2016-01-21,3.9,6.6,-0.2,0.0,0.0,,,,1.8,,,,,
2016-01-22,7.0,8.6,5.1,0.0,1.4,,,,3.7,,,,,
2016-01-23,4.0,8.0,-0.9,1.0,0.0,,,,3.9,,,,,
2016-01-24,-2.2,1.0,-4.1,1.0,0.0,,,,6.2,,,,,
2016-01-25,1.7,3.2,-0.4,5.0,0.1,,,,3.2,,,,,
2016-01-26,4.2,6.9,2.4,1.0,0.0,,,,2.1,,,,,
2016-01-27,6.7,10.2,3.3,0.0,0.7,,,,1.8,,,,,
2016-01-28,8.5,16.3,6.2,8.0,0.0,,,,1.4,,,,,
