calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,,,,,,,,
2016-01-02,,,,0.0,,,,,,,,,,
2016-01-03,,,,0.0,,,,,,,,,,
2016-01-04,,,,0.0,,,,,,,,,,
2016-01-05,,,,5.0,,,,,,,,,,
2016-01-06,,,,0.0,,,,,,,,,,
2016-01-07,,,,0.0,,,,,,,,,,
2016-01-08,,,,2.0,,,,,,,,,,
2016-01-09,,,,0.0,,,,,,,,,,
2016-01-10,,,,0.0,,,,,,,,,,
2016-01-11,,,,0.0,,,,,,,,,,
2016-01-12,,,,0.5,,,,,,,,,,
2016-01-13,,,,5.5,,,,,,,,,,
2016-01-14,,,,0.0,,,,,,,,,,
2016-01-15,,,,0.0,,,,,,,,,,
2016-01-16,,,,0.0,,,,,,,,,,
2016-01-17,,,,18.0,,,,,,,,,,
2016-01-18,,,,5.5,,,,,,,,,,
2016-01-19,,,,3.5,,,,,,,,,,
2016-01-20,,,,0.5,,,,,,,,,,
2016-01-21,,,,1.5,,,,,,,,,,
2016-01-22,,,,0.0,,,,,,,,,,
2016-01-23,,,,4.0,,,,,,,,,,
2016-01-24,,,,26.5,,,,,,,,,,
2016-01-25,,,,15.0,,,,,,,,,,
2016-01-26,,,,2.5,,,,,,,,,,
2016-01-27,,,,0.0,,,,,,,,,,
2016-01-28,,,,8.0,,,,,,,,,,
2016-01-29,,,,59.5,,,,,,,,,,
2016-01-30,,,,0.5,,,,,,,,,,
2016-01-31,,,,0.0,,,,,,,,,,
2016-02-01,,,,0.5,,,,,,,,,,
2016-02-02,,,,0.0,,,,,,,,,,
2016-02-03,,,,0.0,,,,,,,,,,
2016-02-04,,,,0.0,,,,,,,,,,
2016-02-05,,,,0.0,,,,,,,,,,
2016-02-06,,,,0.0,,,,,,,,,,
2016-02-07,,,,0.0,,,,,,,,,,
2016-02-08,,,,0.0,,,,,,,,,,
2016-02-09,,,,0.0,,,,,,,,,,
2016-02-10,,,,0.0,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,1.5,,,,,,,,,,
2016-02-13,,,,55.0,,,,,,,,,,
2016-02-14,,,,3.5,,,,,,,,,,
2016-02-15,,,,1.0,,,,,,,,,,
2016-02-16,,,,9.5,,,,,,,,,,
2016-02-17,,,,2.0,,,,,,,,,,
2016-02-18,,,,0.0,,,,,,,,,,
2016-02-19,,,,5.0,,,,,,,,,,
2016-02-20,,,,29.5,,,,,,,,,,
2016-02-21,,,,0.0,,,,,,,,,,
2016-02-22,,,,1.5,,,,,,,,,,
2016-02-23,,,,4.5,,,,,,,,,,
2016-02-24,,,,0.0,,,,,,,,,,
2016-02-25,,,,0.0,,,,,,,,,,
2016-02-26,,,,0.0,,,,,,,,,,
2016-02-27,,,,1.0,,,,,,,,,,
2016-02-28,,,,0.0,,,,,,,,,,
2016-02-29,,,,0.0,,,,,,,,,,
2016-03-01,,,,0.0,,,,,,,,,,
2016-03-02,,,,0.0,,,,,,,,,,
2016-03-03,,,,0.0,,,,,,,,,,
2016-03-04,,,,0.0,,,,,,,,,,
2016-03-05,,,,0.0,,,,,,,,,,
2016-03-06,,,,1.5,,,,,,,,,,
2016-03-07,,,,0.0,,,,,,,,,,
2016-03-08,,,,0.0,,,,,,,,,,
2016-03-09,,,,44.0,,,,,,,,,,
2016-03-10,,,,0.0,,,,,,,,,,
2016-03-11,,,,0.0,,,,,,,,,,
2016-03-12,,,,0.0,,,,,,,,,,
2016-03-13,,,,8.5,,,,,,,,,,
2016-03-14,,,,2.5,,,,,,,,,,
2016-03-15,,,,0.0,,,,,,,,,,
2016-03-16,,,,0.0,,,,,,,,,,
2016-03-17,,,,0.0,,,,,,,,,,
2016-03-18,,,,16.5,,,,,,,,,,
2016-03-19,,,,0.5,,,,,,,,,,
2016-03-20,,,,0.0,,,,,,,,,,
2016-03-21,,,,0.0,,,,,,,,,,
2016-03-22,,,,0.0,,,,,,,,,,
2016-03-23,,,,0.0,,,,,,,,,,
2016-03-24,,,,0.0,,,,,,,,,,
2016-03-25,,,,0.0,,,,,,,,,,
2016-03-26,,,,0.0,,,,,,,,,,
2016-03-27,,,,0.0,,,,,,,,,,
2016-03-28,,,,0.0,,,,,,,,,,
2016-03-29,,,,0.0,,,,,,,,,,
2016-03-30,,,,0.5,,,,,,,,,,
2016-03-31,,,,18.5,,,,,,,,,,
2016-04-01,,,,2.0,,,,,,,,,,
2016-04-02,,,,0.0,,,,,,,,,,
2016-04-03,,,,21.5,,,,,,,,,,
2016-04-04,,,,28.5,,,,,,,,,,
2016-04-05,,,,0.0,,,,,,,,,,
2016-04-06,,,,11.5,,,,,,,,,,
2016-04-07,,,,43.0,,,,,,,,,,
2016-04-08,,,,0.0,,,,,,,,,,
2016-04-09,,,,0.0,,,,,,,,,,
2016-04-10,,,,0.0,,,,,,,,,,
2016-04-11,,,,0.0,,,,,,,,,,
2016-04-12,,,,0.0,,,,,,,,,,
2016-04-13,,,,18.0,,,,,,,,,,
2016-04-14,,,,0.5,,,,,,,,,,
2016-04-15,,,,0.0,,,,,,,,,,
2016-04-16,,,,31.5,,,,,,,,,,
2016-04-17,,,,26.0,,,,,,,,,,
2016-04-18,,,,1.0,,,,,,,,,,
2016-04-19,,,,0.0,,,,,,,,,,
2016-04-20,,,,0.0,,,,,,,,,,
2016-04-21,,,,106.0,,,,,,,,,,
2016-04-22,,,,0.0,,,,,,,,,,
2016-04-23,,,,4.0,,,,,,,,,,
2016-04-24,,,,1.0,,,,,,,,,,
2016-04-25,,,,0.5,,,,,,,,,,
2016-04-26,,,,3.5,,,,,,,,,,
2016-04-27,,,,48.5,,,,,,,,,,
2016-04-28,,,,2.0,,,,,,,,,,
2016-04-29,,,,0.0,,,,,,,,,,
2016-04-30,,,,0.0,,,,,,,,,,
2016-05-01,,,,0.0,,,,,,,,,,
2016-05-02,,,,0.0,,,,,,,,,,
2016-05-03,,,,91.0,,,,,,,,,,
2016-05-04,,,,0.0,,,,,,,,,,
2016-05-05,,,,0.0,,,,,,,,,,
2016-05-06,,,,30.0,,,,,,,,,,
2016-05-07,,,,1.0,,,,,,,,,,
2016-05-08,,,,18.0,,,,,,,,,,
2016-05-09,,,,11.0,,,,,,,,,,
2016-05-10,,,,46.0,,,,,,,,,,
2016-05-11,,,,0.0,,,,,,,,,,
2016-05-12,,,,0.0,,,,,,,,,,
2016-05-13,,,,0.0,,,,,,,,,,
2016-05-14,,,,0.0,,,,,,,,,,
2016-05-15,,,,42.0,,,,,,,,,,
2016-05-16,,,,52.0,,,,,,,,,,
2016-05-17,,,,0.0,,,,,,,,,,
2016-05-18,,,,0.0,,,,,,,,,,
2016-05-19,,,,0.0,,,,,,,,,,
2016-05-20,,,,0.0,,,,,,,,,,
2016-05-21,,,,0.0,,,,,,,,,,
2016-05-22,,,,0.0,,,,,,,,,,
2016-05-23,,,,0.0,,,,,,,,,,
2016-05-24,,,,23.0,,,,,,,,,,
2016-05-25,,,,2.5,,,,,,,,,,
2016-05-26,,,,0.0,,,,,,,,,,
2016-05-27,,,,2.5,,,,,,,,,,
2016-05-28,,,,16.0,,,,,,,,,,
2016-05-29,,,,25.0,,,,,,,,,,
2016-05-30,,,,0.0,,,,,,,,,,
2016-05-31,,,,0.0,,,,,,,,,,
2016-06-01,,,,0.0,,,,,,,,,,
2016-06-02,,,,0.0,,,,,,,,,,
2016-06-03,,,,0.0,,,,,,,,,,
2016-06-04,,,,20.0,,,,,,,,,,
2016-06-05,,,,7.5,,,,,,,,,,
2016-06-06,,,,0.5,,,,,,,,,,
2016-06-07,,,,0.0,,,,,,,,,,
2016-06-08,,,,0.0,,,,,,,,,,
2016-06-09,,,,4.5,,,,,,,,,,
2016-06-10,,,,0.0,,,,,,,,,,
2016-06-11,,,,0.0,,,,,,,,,,
2016-06-12,,,,15.5,,,,,,,,,,
2016-06-13,,,,2.5,,,,,,,,,,
2016-06-14,,,,0.0,,,,,,,,,,
2016-06-15,,,,0.0,,,,,,,,,,
2016-06-16,,,,8.0,,,,,,,,,,
2016-06-17,,,,0.0,,,,,,,,,,
2016-06-18,,,,1.0,,,,,,,,,,
2016-06-19,,,,68.0,,,,,,,,,,
2016-06-20,,,,41.0,,,,,,,,,,
2016-06-21,,,,9.5,,,,,,,,,,
2016-06-22,,,,133.0,,,,,,,,,,
2016-06-23,,,,2.0,,,,,,,,,,
2016-06-24,,,,9.5,,,,,,,,,,
2016-06-25,,,,14.5,,,,,,,,,,
2016-06-26,,,,0.0,,,,,,,,,,
