calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.4,12.7,2.7,0.0,,,,,3.0,,,,,
2016-01-02,11.3,15.9,8.9,0.0,,,,,5.1,,,,,
2016-01-03,11.7,15.1,7.5,0.0,,,,,1.3,,,,,
2016-01-04,11.0,16.1,5.3,0.0,,,,,1.9,,,,,
2016-01-05,10.0,12.3,8.0,4.5,,,,,2.1,,,,,
2016-01-06,9.4,12.5,6.2,0.0,,,,,2.5,,,,,
2016-01-07,9.2,11.9,7.7,0.0,,,,,6.1,,,,,
2016-01-08,7.4,9.3,6.2,0.0,,,,,6.5,,,,,
2016-01-09,7.2,9.5,5.0,0.0,,,,,4.3,,,,,
2016-01-10,7.5,11.7,3.9,0.0,,,,,2.8,,,,,
2016-01-11,8.6,12.6,4.8,0.0,,,,,3.8,,,,,
2016-01-12,6.7,9.4,2.1,0.0,,,,,3.7,,,,,
2016-01-13,5.5,8.2,3.2,0.0,,,,,4.8,,,,,
2016-01-14,6.5,9.9,1.9,0.0,,,,,5.2,,,,,
2016-01-15,4.9,9.4,1.5,0.0,,,,,2.7,,,,,
2016-01-16,6.8,12.6,1.2,0.0,,,,,3.0,,,,,
2016-01-17,7.4,9.2,4.5,21.5,,,,,3.2,,,,,
2016-01-18,7.3,10.6,1.7,2.5,,,,,9.6,,,,,
2016-01-19,3.2,5.6,0.9,0.5,,,,,11.4,,,,,
2016-01-20,3.3,6.7,0.1,0.0,,,,,6.0,,,,,
2016-01-21,3.1,4.8,0.1,0.5,,,,,3.0,,,,,
2016-01-22,6.1,9.9,0.4,0.0,,,,,4.0,,,,,
2016-01-23,4.1,7.7,-1.1,0.5,,,,,6.6,,,,,
2016-01-24,-2.8,-0.9,-5.5,,,,,,10.2,,,,,
2016-01-25,0.5,2.5,-6.2,,,,,,3.4,,,,,
2016-01-26,4.0,8.0,1.4,,,,,,2.4,,,,,
2016-01-27,6.0,9.2,2.1,,,,,,3.4,,,,,
2016-01-28,8.3,13.3,6.6,3.0,,,,,4.9,,,,,
2016-01-29,12.4,16.0,10.1,31.0,,,,,4.0,,,,,
2016-01-30,10.9,15.1,7.0,0.0,,,,,4.7,,,,,
2016-01-31,9.0,13.2,5.6,0.0,,,,,3.2,,,,,
2016-02-01,6.5,9.0,4.6,0.0,,,,,3.5,,,,,
2016-02-02,5.6,9.0,1.2,0.0,,,,,4.5,,,,,
2016-02-03,5.3,10.6,-0.6,0.0,,,,,3.2,,,,,
2016-02-04,5.9,11.2,0.1,0.0,,,,,2.9,,,,,
2016-02-05,6.2,10.8,2.1,0.0,,,,,3.0,,,,,
2016-02-06,5.6,8.3,1.6,0.0,,,,,5.8,,,,,
2016-02-07,4.8,9.9,-0.2,0.0,,,,,3.0,,,,,
2016-02-08,6.6,10.2,1.4,0.0,,,,,3.0,,,,,
2016-02-09,9.6,12.9,3.4,0.0,,,,,5.9,,,,,
2016-02-10,7.1,14.2,1.5,0.0,,,,,1.8,,,,,
2016-02-11,9.3,16.5,2.8,0.0,,,,,3.6,,,,,
2016-02-12,13.8,18.3,10.5,0.5,,,,,6.9,,,,,
2016-02-13,17.1,21.9,13.0,30.0,,,,,6.7,,,,,
2016-02-14,9.6,16.0,4.6,0.5,,,,,7.4,,,,,
2016-02-15,3.4,5.2,1.1,0.0,,,,,10.1,,,,,
2016-02-16,4.4,7.0,1.3,5.0,,,,,5.0,,,,,
2016-02-17,6.1,9.7,2.8,1.5,,,,,5.3,,,,,
