calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.8,12.8,1.7,,3.9,,,,2.2,7.5,1030.6,72,1031.3,
2016-01-02,11.5,14.3,8.4,0.0,0.9,,,,2.4,10.3,1024.2,76,1024.9,
2016-01-03,12.3,16.0,8.4,0.0,1.0,,,,1.4,11.9,1019.0,84,1019.7,
2016-01-04,10.8,16.4,6.5,,5.7,,,,2.1,10.9,1020.4,85,1021.1,
2016-01-05,10.3,12.8,7.9,1.0,0.0,,,,1.7,9.3,1021.6,75,1022.3,
2016-01-06,10.1,12.9,7.6,,0.0,,,,2.1,8.7,1020.1,71,1020.8,
2016-01-07,9.0,10.7,8.3,0.0,1.5,,,,4.3,6.8,1021.2,59,1021.9,
2016-01-08,7.5,8.6,6.9,0.0,0.1,,,,4.7,6.0,1020.7,58,1021.4,
2016-01-09,7.4,8.7,6.0,0.0,0.0,,,,2.8,5.9,1023.7,58,1024.4,
2016-01-10,7.9,11.3,5.0,,6.8,,,,2.4,6.7,1024.2,64,1024.9,
2016-01-11,8.5,12.0,5.7,,0.5,,,,2.2,6.9,1020.9,63,1021.6,
2016-01-12,7.0,9.8,3.3,0.0,2.4,,,,2.4,6.1,1018.7,61,1019.4,
2016-01-13,6.1,7.1,3.5,0.0,1.0,,,,4.4,5.9,1019.1,63,1019.8,
2016-01-14,6.5,9.3,2.8,0.0,2.8,,,,3.8,5.3,1020.6,55,1021.3,
2016-01-15,5.4,10.9,1.3,,7.0,,,,1.7,5.2,1020.3,61,1021.0,
2016-01-16,7.4,12.8,2.7,,7.3,,,,2.4,5.7,1020.4,56,1021.1,
2016-01-17,7.6,9.4,5.6,20.0,0.0,,,,3.1,8.2,1011.9,77,1012.6,
2016-01-18,7.4,10.0,2.5,4.0,1.2,,,,7.1,7.0,1009.6,66,1010.3,
2016-01-19,2.7,4.2,1.2,1.5,0.3,,,,7.7,4.7,1018.6,63,1019.3,
2016-01-20,2.8,6.0,0.1,0.0,1.7,,,,3.6,4.5,1025.3,61,1026.0,
2016-01-21,2.4,4.6,-0.5,0.5,0.0,,,,1.8,6.0,1023.6,82,1024.3,
2016-01-22,6.1,9.4,1.0,,3.5,,,,2.5,6.0,1023.7,64,1024.4,
2016-01-23,4.0,7.6,-1.8,1.0,0.4,,,,4.8,5.5,1023.2,68,1023.9,
2016-01-24,-2.9,-1.3,-4.1,11.5,0.0,,,,6.2,3.8,1021.4,77,1022.1,
2016-01-25,1.6,3.9,-2.5,2.0,1.5,,,,3.3,5.4,1026.7,78,1027.4,
2016-01-26,4.4,8.2,1.5,1.5,0.1,,,,2.2,7.1,1027.1,85,1027.8,
2016-01-27,6.9,10.3,2.9,0.0,2.3,,,,1.7,7.8,1029.3,78,1030.0,
2016-01-28,9.3,14.0,6.6,5.5,0.0,,,,3.2,10.9,1025.0,91,1025.7,
2016-01-29,13.1,16.1,11.1,35.0,0.0,,,,3.2,14.1,1016.3,93,1017.0,
2016-01-30,11.8,14.8,9.8,0.0,5.1,,,,3.5,9.8,1019.3,71,1020.0,
2016-01-31,9.5,12.7,6.9,0.5,8.3,,,,2.6,8.3,1024.5,70,1025.2,
2016-02-01,6.8,8.7,4.9,0.0,0.0,,,,2.6,6.7,1023.5,67,1024.2,
