calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.8,7.1,-1.8,0.0,7.0,,,,3.4,6.3,949.6,85,1032.1,
2016-01-02,8.2,11.5,5.0,0.0,1.5,,,,2.8,9.6,945.1,88,1025.5,
2016-01-03,9.5,12.7,6.1,0.0,0.1,,,,2.5,10.4,940.3,89,1019.9,
2016-01-04,8.6,12.4,5.6,,7.0,,,,3.8,9.4,941.4,86,1021.4,
2016-01-05,6.5,9.3,3.7,12.5,0.0,,,,3.9,7.8,941.4,81,1022.1,
2016-01-06,6.4,9.5,3.7,0.0,0.0,,,,3.4,7.2,939.7,76,1020.3,
2016-01-07,3.2,5.8,2.2,0.0,1.6,,,,4.8,6.4,940.6,82,1022.2,
2016-01-08,1.4,3.0,0.5,0.5,0.1,,,,4.8,6.0,939.6,90,1021.7,
2016-01-09,1.8,3.6,0.4,,0.5,,,,4.0,5.1,942.5,73,1024.8,
2016-01-10,2.9,6.5,0.2,,6.0,,,,3.1,6.1,943.2,82,1025.2,
2016-01-11,4.0,7.5,1.0,,0.3,,,,3.3,5.5,940.0,68,1021.3,
2016-01-12,1.9,3.9,-1.1,0.0,0.0,,,,4.4,5.5,937.7,79,1019.5,
2016-01-13,0.7,3.1,-0.5,0.0,1.6,,,,4.5,5.3,938.0,82,1020.2,
2016-01-14,1.3,4.6,-0.2,0.0,3.0,,,,4.6,4.8,939.3,71,1021.4,
2016-01-15,1.5,4.4,-1.5,,2.6,,,,3.9,4.2,939.2,63,1021.3,
2016-01-16,2.4,9.1,-2.3,,7.2,,,,2.4,5.3,940.1,75,1022.0,
2016-01-17,5.9,9.8,1.3,18.5,0.0,,,,6.4,7.8,932.3,83,1012.4,
2016-01-18,2.0,8.2,-3.9,2.5,1.0,,,,6.9,6.6,929.2,91,1010.2,
2016-01-19,-3.3,-1.9,-4.4,3.5,0.1,,,,7.0,4.5,936.2,94,1019.5,
2016-01-20,-2.8,1.1,-4.9,0.0,5.7,,,,4.8,4.0,942.5,80,1026.3,
2016-01-21,-0.8,1.1,-4.9,1.5,0.0,,,,4.0,4.9,941.5,85,1024.5,
2016-01-22,1.1,3.6,-1.6,,2.9,,,,6.5,5.2,941.7,78,1024.1,
2016-01-23,-0.8,2.5,-5.8,0.5,0.6,,,,5.3,5.2,940.3,90,1023.2,
2016-01-24,-8.4,-5.6,-9.9,19.5,0.0,,,,6.9,3.1,937.2,94,1022.3,
2016-01-25,-4.0,-1.8,-9.1,0.0,0.0,,,,3.5,4.2,943.9,92,1028.1,
2016-01-26,0.5,2.2,-1.9,0.5,0.8,,,,4.6,5.8,945.7,92,1028.6,
2016-01-27,2.7,5.3,0.4,,1.0,,,,3.7,6.6,948.4,89,1030.9,
2016-01-28,7.2,11.2,2.3,5.0,0.0,,,,6.4,10.2,946.0,99,1026.8,
2016-01-29,11.5,13.0,9.3,59.5,0.0,,,,4.7,13.6,938.3,100,1017.1,
