calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.8,9.1,-2.7,0.5,8.0,,,,1.2,,,,,
2016-01-02,3.4,12.2,-4.1,0.0,5.6,,,,0.9,,,,,
2016-01-03,6.3,14.9,1.4,0.0,5.8,,,,0.6,,,,,
2016-01-04,6.5,14.4,-0.7,0.0,6.8,,,,1.1,,,,,
2016-01-05,5.6,11.8,0.3,0.0,3.0,,,,0.8,,,,,
2016-01-06,6.0,9.9,3.0,0.0,2.2,,,,0.7,,,,,
2016-01-07,4.6,8.4,0.7,0.0,0.8,,,,1.0,,,,,
2016-01-08,4.1,9.1,-0.1,0.5,0.5,,,,1.9,,,,,
2016-01-09,2.7,9.0,-1.4,0.0,7.1,,,,1.7,,,,,
2016-01-10,1.9,9.0,-3.0,0.0,5.5,,,,1.5,,,,,
2016-01-11,2.2,9.8,-3.2,0.0,6.5,,,,1.0,,,,,
2016-01-12,2.8,6.6,-2.8,0.0,1.9,,,,0.9,,,,,
2016-01-13,0.9,8.4,-4.9,1.0,3.6,,,,1.4,,,,,
2016-01-14,2.3,6.7,-2.0,0.5,3.8,,,,2.9,,,,,
2016-01-15,1.6,8.0,-4.4,0.0,8.7,,,,1.3,,,,,
2016-01-16,0.6,8.2,-4.0,0.0,7.2,,,,0.9,,,,,
2016-01-17,2.4,9.9,-5.5,0.0,4.8,,,,1.0,,,,,
2016-01-18,5.9,8.5,0.8,9.0,0.0,,,,3.2,,,,,
2016-01-19,-1.1,1.7,-2.8,4.5,0.7,,,,3.6,,,,,
2016-01-20,0.7,3.0,-2.7,0.5,0.6,,,,3.0,,,,,
2016-01-21,1.4,6.0,-1.4,0.0,3.2,,,,1.2,,,,,
2016-01-22,1.5,7.0,-1.8,0.0,3.9,,,,1.3,,,,,
2016-01-23,0.0,4.8,-4.4,5.0,0.0,,,,1.0,,,,,
2016-01-24,-3.8,-1.1,-5.9,0.0,7.4,,,,2.8,,,,,
2016-01-25,-1.5,3.3,-5.6,0.0,5.4,,,,2.6,,,,,
2016-01-26,0.9,6.6,-5.6,0.0,3.7,,,,1.8,,,,,
2016-01-27,3.6,9.0,-1.9,0.0,4.4,,,,2.2,,,,,
2016-01-28,4.1,12.0,-3.1,0.5,5.9,,,,0.9,,,,,
2016-01-29,6.1,9.3,4.1,38.0,0.0,,,,1.1,,,,,
2016-01-30,4.4,6.5,2.0,7.0,0.0,,,,1.0,,,,,
2016-01-31,3.6,10.0,-1.1,0.0,8.0,,,,1.2,,,,,
2016-02-01,2.4,7.2,-0.6,0.0,0.6,,,,1.0,,,,,
2016-02-02,2.6,8.6,-3.0,0.0,4.1,,,,1.1,,,,,
2016-02-03,-0.7,6.5,-4.9,0.0,,,,,0.8,,,,,
2016-02-04,0.6,8.8,-6.0,0.0,8.3,,,,1.0,,,,,
2016-02-05,1.9,9.4,-3.0,0.0,7.2,,,,0.9,,,,,
2016-02-06,1.6,6.3,-3.2,0.0,3.0,,,,1.2,,,,,
2016-02-07,0.6,6.2,-4.9,0.0,4.1,,,,1.6,,,,,
2016-02-08,0.8,9.9,-7.1,0.0,9.2,,,,1.2,,,,,
2016-02-09,3.5,7.4,-1.0,1.5,1.0,,,,3.0,,,,,
2016-02-10,1.6,7.2,-3.7,0.0,4.9,,,,1.9,,,,,
2016-02-11,1.5,11.9,-5.9,0.0,9.3,,,,0.7,,,,,
2016-02-12,5.1,13.3,-3.5,0.0,2.2,,,,0.9,,,,,
2016-02-13,10.8,19.4,5.6,20.5,1.7,,,,0.7,,,,,
2016-02-14,12.2,16.5,7.7,47.5,1.0,,,,2.6,,,,,
2016-02-15,2.9,7.7,0.0,4.0,1.5,,,,2.5,,,,,
2016-02-16,1.0,4.9,-1.2,0.0,3.6,,,,2.7,,,,,
2016-02-17,1.6,5.7,-2.4,1.5,2.5,,,,2.2,,,,,
2016-02-18,1.4,11.1,-5.3,0.0,9.2,,,,1.1,,,,,
2016-02-19,5.1,13.8,-2.4,0.0,7.5,,,,1.3,,,,,
2016-02-20,5.5,9.0,2.1,16.0,0.0,,,,1.2,,,,,
2016-02-21,4.0,8.4,-0.6,2.5,3.6,,,,2.3,,,,,
2016-02-22,2.2,6.2,-2.6,0.0,1.1,,,,0.7,,,,,
2016-02-23,4.3,10.7,0.6,0.0,0.8,,,,1.1,,,,,
2016-02-24,1.8,6.1,-3.0,0.0,2.2,,,,1.7,,,,,
2016-02-25,0.7,7.7,-5.4,0.0,9.3,,,,1.5,,,,,
2016-02-26,1.0,7.0,-5.1,0.0,8.2,,,,1.4,,,,,
2016-02-27,4.7,13.8,-4.2,0.0,6.7,,,,1.7,,,,,
2016-02-28,6.6,15.1,-0.1,0.0,9.0,,,,1.0,,,,,
2016-02-29,4.5,14.5,-1.0,4.0,1.7,,,,2.8,,,,,
2016-03-01,-0.6,4.3,-3.0,0.0,4.0,,,,2.1,,,,,
2016-03-02,1.8,9.0,-2.9,0.0,4.8,,,,1.3,,,,,
2016-03-03,4.0,13.5,-4.1,0.0,10.0,,,,1.2,,,,,
2016-03-04,7.3,17.7,-2.7,0.0,8.0,,,,0.9,,,,,
2016-03-05,10.7,19.7,3.7,0.0,5.8,,,,0.7,,,,,
2016-03-06,11.4,19.5,2.9,0.0,3.7,,,,1.2,,,,,
2016-03-07,12.1,17.6,7.3,0.0,0.5,,,,1.0,,,,,
2016-03-08,11.3,19.5,4.4,0.0,4.8,,,,1.4,,,,,
2016-03-09,6.6,9.3,3.1,42.0,0.0,,,,1.5,,,,,
2016-03-10,4.1,7.8,2.1,0.0,0.8,,,,1.4,,,,,
2016-03-11,3.5,10.3,-2.1,0.0,5.6,,,,1.3,,,,,
2016-03-12,2.3,10.4,-4.3,0.0,10.2,,,,1.2,,,,,
2016-03-13,5.3,12.7,-2.4,5.0,4.1,,,,0.9,,,,,
2016-03-14,2.1,4.6,0.6,22.0,0.0,,,,0.6,,,,,
2016-03-15,3.8,9.6,-1.9,0.0,6.8,,,,1.9,,,,,
2016-03-16,4.0,13.7,-3.5,0.0,2.9,,,,0.7,,,,,
2016-03-17,8.3,19.1,-1.3,0.0,10.4,,,,0.9,,,,,
2016-03-18,10.2,21.2,0.6,5.5,4.3,,,,1.0,,,,,
2016-03-19,11.0,15.2,6.6,13.0,0.0,,,,1.1,,,,,
2016-03-20,7.5,13.1,4.4,0.0,7.0,,,,2.0,,,,,
2016-03-21,5.8,12.6,-0.7,0.0,8.2,,,,2.0,,,,,
2016-03-22,5.9,15.7,-3.4,0.0,10.4,,,,1.1,,,,,
2016-03-23,8.5,18.1,-0.5,0.0,9.4,,,,1.6,,,,,
2016-03-24,5.6,10.1,2.2,0.0,3.1,,,,2.3,,,,,
2016-03-25,3.5,9.5,-1.6,0.0,5.3,,,,1.7,,,,,
2016-03-26,3.3,11.9,-3.8,0.0,10.4,,,,1.1,,,,,
2016-03-27,5.4,12.2,-2.7,0.5,4.3,,,,0.9,,,,,
2016-03-28,6.3,14.6,1.4,0.0,6.6,,,,1.2,,,,,
2016-03-29,7.4,15.5,-1.5,0.0,6.9,,,,1.0,,,,,
2016-03-30,10.4,17.1,1.7,0.0,4.3,,,,1.2,,,,,
2016-03-31,12.7,20.1,5.1,0.0,6.8,,,,1.0,,,,,
2016-04-01,11.4,13.3,9.4,6.5,0.0,,,,1.1,,,,,
2016-04-02,13.0,18.8,8.6,0.0,6.2,,,,2.0,,,,,
2016-04-03,14.4,20.5,8.5,1.0,0.7,,,,1.6,,,,,
2016-04-04,13.4,18.6,9.1,15.0,0.7,,,,1.3,,,,,
2016-04-05,10.9,16.6,5.4,0.0,3.6,,,,1.2,,,,,
2016-04-06,12.7,21.9,3.6,0.0,9.7,,,,0.9,,,,,
2016-04-07,15.3,20.9,10.3,31.0,0.0,,,,2.6,,,,,
2016-04-08,11.9,15.7,6.6,0.0,0.6,,,,1.1,,,,,
2016-04-09,12.9,21.9,5.0,0.0,7.8,,,,1.1,,,,,
2016-04-10,12.4,18.7,5.8,0.0,0.0,,,,0.6,,,,,
2016-04-11,7.4,11.5,0.0,0.0,6.3,,,,2.4,,,,,
2016-04-12,9.0,18.1,-2.1,0.0,10.9,,,,1.2,,,,,
2016-04-13,14.6,20.8,9.4,2.5,0.2,,,,1.3,,,,,
2016-04-14,15.9,22.2,11.5,6.0,4.2,,,,1.6,,,,,
2016-04-15,11.2,18.2,3.1,0.0,11.2,,,,1.8,,,,,
2016-04-16,14.0,25.1,0.5,0.0,11.5,,,,1.6,,,,,
2016-04-17,18.3,28.0,9.8,1.5,8.0,,,,2.9,,,,,
2016-04-18,11.1,17.1,6.8,1.5,2.4,,,,1.0,,,,,
2016-04-19,11.4,19.0,3.5,0.0,9.5,,,,1.6,,,,,
2016-04-20,12.8,22.2,2.5,0.0,12.0,,,,1.3,,,,,
