calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.8,10.4,-1.5,0.0,5.7,,,,0.7,,,,,
2016-01-02,2.6,10.9,-2.8,0.0,3.0,,,,0.8,,,,,
2016-01-03,5.9,12.1,2.7,1.5,4.4,,,,0.4,,,,,
2016-01-04,4.8,13.1,0.0,0.0,5.8,,,,0.5,,,,,
2016-01-05,5.7,11.7,1.5,0.0,1.1,,,,0.4,,,,,
2016-01-06,7.1,11.6,4.8,0.0,0.6,,,,0.3,,,,,
2016-01-07,4.9,10.2,1.8,0.0,1.8,,,,0.7,,,,,
2016-01-08,5.0,9.0,1.7,0.0,0.2,,,,0.7,,,,,
2016-01-09,3.8,9.3,-1.2,0.0,5.9,,,,1.4,,,,,
2016-01-10,3.0,9.9,-1.6,0.0,6.0,,,,0.9,,,,,
2016-01-11,4.0,12.6,-0.9,0.0,4.4,,,,0.6,,,,,
2016-01-12,4.6,9.0,-0.5,0.0,1.6,,,,0.8,,,,,
2016-01-13,2.6,10.1,-2.1,0.0,5.4,,,,0.8,,,,,
2016-01-14,3.3,7.0,0.2,0.0,2.9,,,,1.1,,,,,
2016-01-15,2.5,8.0,-0.6,0.0,5.6,,,,0.9,,,,,
2016-01-16,1.5,9.5,-2.7,0.0,6.2,,,,0.8,,,,,
2016-01-17,2.1,9.4,-3.2,5.0,2.4,,,,0.4,,,,,
2016-01-18,6.3,9.6,2.0,26.0,1.1,,,,1.3,,,,,
2016-01-19,0.2,3.4,-2.9,3.5,1.1,,,,1.8,,,,,
2016-01-20,0.8,3.8,-2.9,1.5,0.9,,,,1.3,,,,,
2016-01-21,2.2,5.9,-0.2,0.0,2.7,,,,1.0,,,,,
2016-01-22,2.8,7.6,-0.4,0.0,6.1,,,,1.4,,,,,
2016-01-23,2.1,8.2,-2.0,0.5,1.0,,,,0.6,,,,,
2016-01-24,-3.0,1.3,-5.8,0.0,2.9,,,,1.4,,,,,
2016-01-25,-1.6,3.0,-5.4,0.0,4.0,,,,1.2,,,,,
2016-01-26,-0.5,6.4,-6.4,0.0,6.4,,,,1.1,,,,,
2016-01-27,2.9,9.3,-1.4,0.0,6.7,,,,1.0,,,,,
2016-01-28,3.9,14.5,-3.2,0.0,6.3,,,,0.6,,,,,
2016-01-29,6.8,8.9,4.7,46.5,0.0,,,,0.1,,,,,
2016-01-30,7.0,9.5,5.0,6.0,0.2,,,,1.4,,,,,
2016-01-31,5.2,12.4,1.8,0.0,7.1,,,,1.1,,,,,
2016-02-01,4.2,6.9,1.2,0.0,0.0,,,,0.4,,,,,
2016-02-02,3.8,9.8,0.2,0.0,5.9,,,,1.1,,,,,
2016-02-03,2.0,7.8,-1.8,0.0,7.3,,,,1.5,,,,,
2016-02-04,2.1,11.7,-3.3,0.0,6.6,,,,0.9,,,,,
2016-02-05,2.7,12.5,-2.8,0.0,5.9,,,,0.4,,,,,
2016-02-06,2.4,7.6,-2.0,0.0,2.6,,,,1.0,,,,,
2016-02-07,1.7,7.9,-2.7,0.0,7.3,,,,1.4,,,,,
2016-02-08,1.8,11.3,-4.3,0.0,7.4,,,,0.8,,,,,
2016-02-09,3.5,8.8,-0.7,0.5,1.1,,,,1.4,,,,,
2016-02-10,3.0,8.4,-1.0,0.0,5.1,,,,1.3,,,,,
2016-02-11,4.0,15.0,-2.3,0.0,7.4,,,,1.1,,,,,
2016-02-12,6.9,14.4,-0.3,0.0,1.1,,,,0.6,,,,,
2016-02-13,9.0,11.1,6.6,58.5,0.0,,,,0.2,,,,,
2016-02-14,12.3,17.6,8.1,37.5,0.9,,,,1.0,,,,,
2016-02-15,4.5,8.2,0.0,1.0,1.4,,,,1.3,,,,,
2016-02-16,1.5,5.5,-2.1,0.5,4.9,,,,,,,,,
2016-02-17,2.5,5.6,-1.0,0.0,0.1,,,,1.4,,,,,
2016-02-18,2.0,11.4,-3.4,0.0,7.6,,,,0.8,,,,,
2016-02-19,5.5,15.9,-1.3,0.0,7.4,,,,0.9,,,,,
2016-02-20,6.3,9.0,3.4,70.5,0.0,,,,0.6,,,,,
2016-02-21,6.0,9.6,1.7,0.5,5.3,,,,1.8,,,,,
