calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,9.5,,,,,,,,,,
2016-01-02,,,,0.5,,,,,,,,,,
2016-01-03,,,,0.0,,,,,,,,,,
2016-01-04,,,,3.5,,,,,,,,,,
2016-01-05,,,,39.5,,,,,,,,,,
2016-01-06,,,,6.5,,,,,,,,,,
2016-01-07,,,,46.0,,,,,,,,,,
2016-01-08,,,,30.5,,,,,,,,,,
2016-01-09,,,,18.5,,,,,,,,,,
2016-01-10,,,,43.5,,,,,,,,,,
2016-01-11,,,,13.0,,,,,,,,,,
2016-01-12,,,,4.0,,,,,,,,,,
2016-01-13,,,,8.5,,,,,,,,,,
2016-01-14,,,,29.0,,,,,,,,,,
2016-01-15,,,,7.0,,,,,,,,,,
2016-01-16,,,,14.5,,,,,,,,,,
2016-01-17,,,,0.0,,,,,,,,,,
2016-01-18,,,,25.5,,,,,,,,,,
2016-01-19,,,,7.0,,,,,,,,,,
2016-01-20,,,,11.0,,,,,,,,,,
2016-01-21,,,,17.5,,,,,,,,,,
2016-01-22,,,,21.0,,,,,,,,,,
2016-01-23,,,,14.5,,,,,,,,,,
2016-01-24,,,,20.0,,,,,,,,,,
2016-01-25,,,,38.5,,,,,,,,,,
2016-01-26,,,,0.0,,,,,,,,,,
2016-01-27,,,,1.0,,,,,,,,,,
2016-01-28,,,,3.5,,,,,,,,,,
2016-01-29,,,,32.0,,,,,,,,,,
2016-01-30,,,,10.5,,,,,,,,,,
2016-01-31,,,,5.5,,,,,,,,,,
2016-02-01,,,,9.0,,,,,,,,,,
2016-02-02,,,,7.0,,,,,,,,,,
2016-02-03,,,,5.0,,,,,,,,,,
2016-02-04,,,,11.5,,,,,,,,,,
2016-02-05,,,,24.5,,,,,,,,,,
2016-02-06,,,,4.5,,,,,,,,,,
2016-02-07,,,,7.0,,,,,,,,,,
2016-02-08,,,,0.0,,,,,,,,,,
2016-02-09,,,,20.0,,,,,,,,,,
2016-02-10,,,,12.0,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,0.0,,,,,,,,,,
2016-02-13,,,,0.0,,,,,,,,,,
2016-02-14,,,,15.0,,,,,,,,,,
2016-02-15,,,,28.5,,,,,,,,,,
2016-02-16,,,,4.0,,,,,,,,,,
2016-02-17,,,,21.0,,,,,,,,,,
2016-02-18,,,,0.0,,,,,,,,,,
2016-02-19,,,,0.0,,,,,,,,,,
2016-02-20,,,,1.0,,,,,,,,,,
2016-02-21,,,,18.5,,,,,,,,,,
2016-02-22,,,,3.0,,,,,,,,,,
2016-02-23,,,,21.0,,,,,,,,,,
2016-02-24,,,,4.0,,,,,,,,,,
2016-02-25,,,,9.0,,,,,,,,,,
2016-02-26,,,,20.5,,,,,,,,,,
2016-02-27,,,,0.5,,,,,,,,,,
2016-02-28,,,,5.0,,,,,,,,,,
2016-02-29,,,,24.5,,,,,,,,,,
2016-03-01,,,,14.5,,,,,,,,,,
2016-03-02,,,,14.0,,,,,,,,,,
2016-03-03,,,,7.0,,,,,,,,,,
2016-03-04,,,,0.0,,,,,,,,,,
2016-03-05,,,,0.0,,,,,,,,,,
2016-03-06,,,,0.0,,,,,,,,,,
2016-03-07,,,,1.0,,,,,,,,,,
2016-03-08,,,,1.5,,,,,,,,,,
2016-03-09,,,,5.5,,,,,,,,,,
2016-03-10,,,,0.0,,,,,,,,,,
2016-03-11,,,,2.0,,,,,,,,,,
2016-03-12,,,,0.0,,,,,,,,,,
2016-03-13,,,,0.0,,,,,,,,,,
2016-03-14,,,,5.5,,,,,,,,,,
2016-03-15,,,,3.0,,,,,,,,,,
2016-03-16,,,,0.0,,,,,,,,,,
2016-03-17,,,,0.0,,,,,,,,,,
2016-03-18,,,,0.0,,,,,,,,,,
2016-03-19,,,,4.0,,,,,,,,,,
2016-03-20,,,,2.5,,,,,,,,,,
2016-03-21,,,,1.5,,,,,,,,,,
2016-03-22,,,,0.0,,,,,,,,,,
2016-03-23,,,,0.5,,,,,,,,,,
2016-03-24,,,,3.5,,,,,,,,,,
2016-03-25,,,,7.0,,,,,,,,,,
2016-03-26,,,,0.0,,,,,,,,,,
2016-03-27,,,,0.0,,,,,,,,,,
2016-03-28,,,,0.0,,,,,,,,,,
2016-03-29,,,,0.0,,,,,,,,,,
2016-03-30,,,,4.0,,,,,,,,,,
2016-03-31,,,,0.0,,,,,,,,,,
2016-04-01,,,,0.0,,,,,,,,,,
2016-04-02,,,,0.0,,,,,,,,,,
2016-04-03,,,,0.0,,,,,,,,,,
2016-04-04,,,,14.5,,,,,,,,,,
2016-04-05,,,,0.0,,,,,,,,,,
2016-04-06,,,,0.0,,,,,,,,,,
2016-04-07,,,,21.0,,,,,,,,,,
2016-04-08,,,,1.0,,,,,,,,,,
2016-04-09,,,,0.0,,,,,,,,,,
2016-04-10,,,,0.0,,,,,,,,,,
2016-04-11,,,,10.5,,,,,,,,,,
2016-04-12,,,,0.0,,,,,,,,,,
2016-04-13,,,,8.5,,,,,,,,,,
2016-04-14,,,,9.5,,,,,,,,,,
2016-04-15,,,,2.0,,,,,,,,,,
2016-04-16,,,,0.0,,,,,,,,,,
2016-04-17,,,,2.5,,,,,,,,,,
2016-04-18,,,,0.0,,,,,,,,,,
2016-04-19,,,,0.0,,,,,,,,,,
2016-04-20,,,,0.0,,,,,,,,,,
2016-04-21,,,,16.0,,,,,,,,,,
2016-04-22,,,,6.5,,,,,,,,,,
2016-04-23,,,,0.0,,,,,,,,,,
2016-04-24,,,,0.0,,,,,,,,,,
2016-04-25,,,,0.0,,,,,,,,,,
2016-04-26,,,,0.0,,,,,,,,,,
2016-04-27,,,,0.5,,,,,,,,,,
2016-04-28,,,,38.0,,,,,,,,,,
2016-04-29,,,,10.0,,,,,,,,,,
2016-04-30,,,,1.5,,,,,,,,,,
2016-05-01,,,,4.0,,,,,,,,,,
2016-05-02,,,,0.0,,,,,,,,,,
2016-05-03,,,,0.0,,,,,,,,,,
2016-05-04,,,,6.0,,,,,,,,,,
2016-05-05,,,,0.0,,,,,,,,,,
2016-05-06,,,,0.0,,,,,,,,,,
2016-05-07,,,,3.5,,,,,,,,,,
2016-05-08,,,,0.0,,,,,,,,,,
2016-05-09,,,,0.0,,,,,,,,,,
2016-05-10,,,,0.5,,,,,,,,,,
2016-05-11,,,,16.5,,,,,,,,,,
2016-05-12,,,,0.5,,,,,,,,,,
2016-05-13,,,,0.0,,,,,,,,,,
2016-05-14,,,,0.0,,,,,,,,,,
2016-05-15,,,,0.0,,,,,,,,,,
2016-05-16,,,,0.0,,,,,,,,,,
2016-05-17,,,,16.0,,,,,,,,,,
2016-05-18,,,,0.0,,,,,,,,,,
2016-05-19,,,,0.0,,,,,,,,,,
2016-05-20,,,,0.0,,,,,,,,,,
2016-05-21,,,,0.0,,,,,,,,,,
2016-05-22,,,,0.0,,,,,,,,,,
2016-05-23,,,,0.0,,,,,,,,,,
2016-05-24,,,,0.0,,,,,,,,,,
2016-05-25,,,,0.0,,,,,,,,,,
2016-05-26,,,,0.0,,,,,,,,,,
2016-05-27,,,,15.0,,,,,,,,,,
2016-05-28,,,,0.0,,,,,,,,,,
2016-05-29,,,,0.0,,,,,,,,,,
2016-05-30,,,,0.0,,,,,,,,,,
2016-05-31,,,,1.0,,,,,,,,,,
2016-06-01,,,,0.5,,,,,,,,,,
2016-06-02,,,,3.0,,,,,,,,,,
2016-06-03,,,,0.0,,,,,,,,,,
2016-06-04,,,,0.0,,,,,,,,,,
2016-06-05,,,,0.0,,,,,,,,,,
2016-06-06,,,,0.0,,,,,,,,,,
2016-06-07,,,,0.0,,,,,,,,,,
2016-06-08,,,,0.0,,,,,,,,,,
2016-06-09,,,,5.0,,,,,,,,,,
2016-06-10,,,,1.0,,,,,,,,,,
2016-06-11,,,,1.5,,,,,,,,,,
2016-06-12,,,,0.0,,,,,,,,,,
2016-06-13,,,,18.0,,,,,,,,,,
2016-06-14,,,,0.0,,,,,,,,,,
2016-06-15,,,,0.0,,,,,,,,,,
2016-06-16,,,,1.5,,,,,,,,,,
2016-06-17,,,,3.5,,,,,,,,,,
2016-06-18,,,,0.0,,,,,,,,,,
2016-06-19,,,,3.0,,,,,,,,,,
2016-06-20,,,,2.0,,,,,,,,,,
2016-06-21,,,,0.0,,,,,,,,,,
2016-06-22,,,,0.0,,,,,,,,,,
2016-06-23,,,,26.5,,,,,,,,,,
2016-06-24,,,,13.0,,,,,,,,,,
2016-06-25,,,,19.5,,,,,,,,,,
2016-06-26,,,,0.0,,,,,,,,,,
2016-06-27,,,,0.0,,,,,,,,,,
2016-06-28,,,,17.5,,,,,,,,,,
2016-06-29,,,,0.0,,,,,,,,,,
2016-06-30,,,,17.0,,,,,,,,,,
2016-07-01,,,,0.0,,,,,,,,,,
2016-07-02,,,,0.5,,,,,,,,,,
2016-07-03,,,,8.0,,,,,,,,,,
2016-07-04,,,,32.5,,,,,,,,,,
2016-07-05,,,,1.5,,,,,,,,,,
2016-07-06,,,,3.5,,,,,,,,,,
2016-07-07,,,,7.5,,,,,,,,,,
2016-07-08,,,,23.0,,,,,,,,,,
2016-07-09,,,,9.5,,,,,,,,,,
2016-07-10,,,,1.5,,,,,,,,,,
2016-07-11,,,,0.0,,,,,,,,,,
2016-07-12,,,,0.0,,,,,,,,,,
2016-07-13,,,,21.5,,,,,,,,,,
2016-07-14,,,,1.0,,,,,,,,,,
2016-07-15,,,,30.5,,,,,,,,,,
2016-07-16,,,,0.0,,,,,,,,,,
2016-07-17,,,,8.0,,,,,,,,,,
2016-07-18,,,,0.5,,,,,,,,,,
2016-07-19,,,,0.0,,,,,,,,,,
2016-07-20,,,,0.0,,,,,,,,,,
2016-07-21,,,,0.0,,,,,,,,,,
2016-07-22,,,,0.0,,,,,,,,,,
2016-07-23,,,,0.0,,,,,,,,,,
2016-07-24,,,,0.0,,,,,,,,,,
2016-07-25,,,,0.0,,,,,,,,,,
2016-07-26,,,,24.0,,,,,,,,,,
2016-07-27,,,,3.5,,,,,,,,,,
2016-07-28,,,,0.0,,,,,,,,,,
2016-07-29,,,,0.0,,,,,,,,,,
2016-07-30,,,,0.0,,,,,,,,,,
2016-07-31,,,,1.5,,,,,,,,,,
2016-08-01,,,,2.5,,,,,,,,,,
2016-08-02,,,,43.5,,,,,,,,,,
2016-08-03,,,,0.0,,,,,,,,,,
2016-08-04,,,,0.0,,,,,,,,,,
2016-08-05,,,,0.0,,,,,,,,,,
2016-08-06,,,,0.0,,,,,,,,,,
2016-08-07,,,,0.0,,,,,,,,,,
2016-08-08,,,,0.0,,,,,,,,,,
2016-08-09,,,,12.5,,,,,,,,,,
2016-08-10,,,,0.0,,,,,,,,,,
2016-08-11,,,,0.0,,,,,,,,,,
2016-08-12,,,,0.0,,,,,,,,,,
2016-08-13,,,,0.0,,,,,,,,,,
2016-08-14,,,,0.0,,,,,,,,,,
2016-08-15,,,,1.0,,,,,,,,,,
2016-08-16,,,,0.0,,,,,,,,,,
2016-08-17,,,,2.5,,,,,,,,,,
2016-08-18,,,,0.0,,,,,,,,,,
2016-08-19,,,,0.0,,,,,,,,,,
2016-08-20,,,,0.0,,,,,,,,,,
2016-08-21,,,,0.0,,,,,,,,,,
2016-08-22,,,,16.0,,,,,,,,,,
2016-08-23,,,,10.5,,,,,,,,,,
2016-08-24,,,,0.0,,,,,,,,,,
2016-08-25,,,,0.0,,,,,,,,,,
2016-08-26,,,,10.0,,,,,,,,,,
2016-08-27,,,,9.0,,,,,,,,,,
2016-08-28,,,,0.0,,,,,,,,,,
2016-08-29,,,,0.0,,,,,,,,,,
2016-08-30,,,,47.0,,,,,,,,,,
2016-08-31,,,,0.0,,,,,,,,,,
2016-09-01,,,,0.0,,,,,,,,,,
2016-09-02,,,,0.0,,,,,,,,,,
2016-09-03,,,,0.0,,,,,,,,,,
2016-09-04,,,,0.0,,,,,,,,,,
2016-09-05,,,,2.5,,,,,,,,,,
2016-09-06,,,,0.0,,,,,,,,,,
2016-09-07,,,,0.0,,,,,,,,,,
2016-09-08,,,,3.5,,,,,,,,,,
2016-09-09,,,,5.5,,,,,,,,,,
2016-09-10,,,,0.0,,,,,,,,,,
2016-09-11,,,,0.0,,,,,,,,,,
2016-09-12,,,,3.0,,,,,,,,,,
2016-09-13,,,,17.0,,,,,,,,,,
2016-09-14,,,,2.5,,,,,,,,,,
2016-09-15,,,,1.5,,,,,,,,,,
2016-09-16,,,,0.0,,,,,,,,,,
2016-09-17,,,,11.5,,,,,,,,,,
2016-09-18,,,,32.5,,,,,,,,,,
2016-09-19,,,,14.0,,,,,,,,,,
2016-09-20,,,,53.5,,,,,,,,,,
2016-09-21,,,,0.0,,,,,,,,,,
2016-09-22,,,,4.0,,,,,,,,,,
2016-09-23,,,,5.0,,,,,,,,,,
2016-09-24,,,,0.0,,,,,,,,,,
2016-09-25,,,,0.0,,,,,,,,,,
2016-09-26,,,,6.0,,,,,,,,,,
2016-09-27,,,,0.0,,,,,,,,,,
2016-09-28,,,,29.5,,,,,,,,,,
2016-09-29,,,,27.5,,,,,,,,,,
2016-09-30,,,,0.0,,,,,,,,,,
2016-10-01,,,,1.5,,,,,,,,,,
2016-10-02,,,,0.0,,,,,,,,,,
